timestamp,event_type,packet_id,src,dst,size,flags
1765548423.0337586,RECEIVED,c549441f-b2bd-44fb-8ac3-e9f0a1626ef7,?,?,18389,
1765548423.2586644,RECEIVED,896d4b22-ed04-4aeb-b033-a5f57f8ae863,?,?,18729,
1765548423.4004896,RECEIVED,672888fb-cb1e-4a67-9507-e1353114cd71,?,?,18729,
1765548423.9639602,RECEIVED,0580f756-e97a-4310-b10b-bf57014345c2,?,?,18729,
1765548424.3595982,RECEIVED,775a4138-f7e7-40f0-9a5b-f09dcdad7de1,?,?,18729,
1765548424.8056157,SENT,c549441f-b2bd-44fb-8ac3-e9f0a1626ef7,?,?,7525,
1765548424.8119724,SENT,0580f756-e97a-4310-b10b-bf57014345c2,?,?,7669,
1765548424.8239577,SENT,775a4138-f7e7-40f0-9a5b-f09dcdad7de1,?,?,7669,
1765548424.8375285,SENT,672888fb-cb1e-4a67-9507-e1353114cd71,?,?,7669,
1765548424.8515131,SENT,896d4b22-ed04-4aeb-b033-a5f57f8ae863,?,?,7669,
1765548425.4674265,RECEIVED,a9d6350a-a98b-4276-9d68-0d8135a4b3ad,?,?,18729,
1765548425.7014208,RECEIVED,a4ee3727-fac6-44e6-ac93-937fce4b0417,?,?,18729,
1765548426.1974475,RECEIVED,c6e38520-6a59-4294-be7c-d527a1790298,?,?,18389,
1765548426.419624,RECEIVED,b58018b2-3370-4296-b40e-ac4155ea38ec,?,?,18389,
1765548426.4312377,RECEIVED,69af0faf-116e-4b37-8337-6616e66912db,?,?,18729,
1765548426.6898842,RECEIVED,bc8e8523-3ff0-4042-a605-8e9c2317b9be,?,?,18389,
1765548426.8567164,SENT,a4ee3727-fac6-44e6-ac93-937fce4b0417,?,?,7669,
1765548426.8675818,SENT,bc8e8523-3ff0-4042-a605-8e9c2317b9be,?,?,7525,
1765548426.8762484,SENT,a9d6350a-a98b-4276-9d68-0d8135a4b3ad,?,?,7669,
1765548426.899718,SENT,c6e38520-6a59-4294-be7c-d527a1790298,?,?,7525,
1765548426.926202,SENT,b58018b2-3370-4296-b40e-ac4155ea38ec,?,?,7525,
1765548426.964801,SENT,69af0faf-116e-4b37-8337-6616e66912db,?,?,7669,
1765548426.970831,RECEIVED,bbbf04b6-27d0-473b-8a7b-dd4010914a30,?,?,18729,
1765548427.2327085,RECEIVED,be455d54-69a1-404a-a434-37838edb8bd0,?,?,18729,
1765548427.2361355,RECEIVED,4b23eca2-8590-4ac9-bd91-81da2d7f6161,?,?,18389,
1765548428.2068398,RECEIVED,4741ec5a-2173-45f4-be49-85b28d9d4319,?,?,18729,
1765548428.7487054,RECEIVED,d56f2bad-783a-4e34-a391-bed0051c4803,?,?,18389,
1765548428.7574978,RECEIVED,81ede93c-f5c2-4d1f-852e-191fb4c8354a,?,?,18729,
1765548428.9819117,SENT,d56f2bad-783a-4e34-a391-bed0051c4803,?,?,7525,
1765548428.9965966,SENT,4741ec5a-2173-45f4-be49-85b28d9d4319,?,?,7669,
1765548429.0133379,SENT,4b23eca2-8590-4ac9-bd91-81da2d7f6161,?,?,7525,
1765548429.034697,SENT,bbbf04b6-27d0-473b-8a7b-dd4010914a30,?,?,7669,
1765548429.0505543,SENT,81ede93c-f5c2-4d1f-852e-191fb4c8354a,?,?,7669,
1765548429.0662942,SENT,be455d54-69a1-404a-a434-37838edb8bd0,?,?,7669,
