timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769759642.548957,RECEIVED,40b94344-e492-460a-8cb6-485b2271f4c7,81d663ce-90fd-4c4d-aa70-bca9b90109e0,c5,c1,26,p1,?,surb={'id': 'd36319af-66d7-4c95-8f93-3260418e458a', 'route': ['p1', 'e9', 'i9', 'x4', 'p2', 'c5']}
1769759643.0007908,SENT,fb86157a-f45d-4cea-b723-43834b4f40a9,895bf63f-a099-4482-a787-d36c1a68a49f,c1,c5,3376,?,p1,
1769759643.000922,CREATED,adb279b1-9796-4caf-8440-5605ed480ac2,a7c920df-6e3a-406b-b588-d18d18ce1cb9,c1,c5,27,?,?,surb={'id': '5874f191-88ea-47bb-a0eb-e0917a08306a', 'route': ['p2', 'e4', 'i6', 'x1', 'p1', 'c1']}
1769759643.0585618,SENT,a9569301-d899-4678-a1dc-f4adf4224d9f,acd7576f-cbb0-4212-b6f5-f793d0e7f044,c1,c5,3388,?,p1,
1769759643.0587034,CREATED,3a6e4863-e167-4964-bcb6-cc95a76a4f14,9fc364eb-72bd-4493-8c83-f9733014b4c2,c1,c5,26,?,?,surb={'id': 'e994034a-d05d-41df-8424-17e8edfffe3f', 'route': ['p2', 'e12', 'i5', 'x3', 'p1', 'c1']}
1769759643.063087,RECEIVED,0ca29909-dbeb-400e-af2a-20c45c54ec44,86dc242e-c2f8-46c2-9b88-8b3789e041e8,c5,c1,27,p1,?,surb={'id': '071f935b-e12d-4da0-891e-4d36d6c6f142', 'route': ['p1', 'e12', 'i1', 'x7', 'p2', 'c5']}
1769759643.1311088,RECEIVED,f2a9dd26-f8b1-4cbd-8900-34bfbad2db55,9db2afd1-a848-4a78-aa60-6d09621dbf0a,c5,c1,26,p1,?,surb={'id': 'b9cfb04f-e318-4ad1-b956-3a976dc26176', 'route': ['p1', 'e12', 'i10', 'x10', 'p2', 'c5']}
1769759643.2167864,SENT,da4d5b19-d4d2-40d6-ba17-04d35526e20c,acc2ce2f-2748-4907-826c-1100c158aef1,c1,c5,3392,?,p1,
1769759643.2169118,CREATED,9f4d2000-08ff-40cc-8b93-ab312ead6ff6,3de38c84-c849-49b2-9811-ae3642742c45,c1,c5,27,?,?,surb={'id': 'c8d61a3b-98ee-4795-870e-d11583f1e358', 'route': ['p2', 'e5', 'i10', 'x1', 'p1', 'c1']}
1769759643.222731,SENT,6a30d04e-f9a6-4b19-aef9-01f29f213481,3ed1a900-a1d5-4b55-8d71-624fbec8bed6,c1,c5,3393,?,p1,
1769759643.2228632,CREATED,a86bd188-8a5d-443a-b142-c66e06041b73,d8e14b87-a701-424e-bdb0-5f1784b7722a,c1,c5,27,?,?,surb={'id': '5826f147-8dd5-4998-88de-a8b83e61dba4', 'route': ['p2', 'e6', 'i7', 'x6', 'p1', 'c1']}
1769759643.35409,SENT,6b2d0fc0-e40d-43bc-9c26-7308bd5bde27,bbdc3d23-5d37-4f96-bd3b-4db88da58ea2,c1,c5,3388,?,p1,
1769759643.3542452,CREATED,1f5da583-f140-440e-8d64-7ed407c8e79c,dab01c63-e441-4ddb-93fe-4c07fef0c18d,c1,c5,25,?,?,surb={'id': 'bc8da7d5-e101-449a-a28d-9df09e1c9e6c', 'route': ['p2', 'e9', 'i7', 'x6', 'p1', 'c1']}
1769759643.4172966,RECEIVED,54ef6923-ccd3-43d4-ab81-b09b5aa289ed,8616ce50-6c3d-464f-b302-f718af18f717,c5,c1,27,p1,?,surb={'id': '61bae411-28cc-4aac-a872-bc2c8476008d', 'route': ['p1', 'e10', 'i1', 'x10', 'p2', 'c5']}
1769759643.6482506,RECEIVED,8a266e7a-641a-40ac-8ce2-d1b979d63148,9579168e-fa64-426b-9930-efa8732012b8,c5,c1,27,p1,?,surb={'id': '42b7ad83-52b7-4544-b4e1-74ccf05d8f2e', 'route': ['p1', 'e12', 'i7', 'x7', 'p2', 'c5']}
1769759643.7067966,SENT,bacf46f2-4002-4ca2-ae07-b62b68999ed0,02d0dfbf-5538-480f-8ed8-f5cb389df332,c1,c5,3387,?,p1,
1769759643.7069356,CREATED,ea2900f7-3fb1-43a4-b97f-99a8386d294b,4a3511d3-0e00-42e4-b1b8-65561d832e10,c1,c5,27,?,?,surb={'id': '727002ea-9bec-4555-957f-a6d42a8e3f24', 'route': ['p2', 'e1', 'i7', 'x7', 'p1', 'c1']}
1769759643.982596,SENT,26205f26-9d77-4930-bf91-0ef12fcc1600,45b9132d-02b5-4253-874d-e2ba5fe1ff53,c1,c5,3399,?,p1,
1769759643.9827313,CREATED,3069e84d-6128-469e-8857-b0ef5d5ad690,9adccf50-8fca-44d3-9590-bb1e81643f2f,c1,c5,27,?,?,surb={'id': '64ed2ecc-a921-4e91-9cab-348610b76c8c', 'route': ['p2', 'e5', 'i3', 'x8', 'p1', 'c1']}
1769759644.0039515,SENT,e05ee6aa-8812-4d75-9bea-9bc6172b2a74,d7ca6cf5-8966-4c4a-9a53-3ed023ecde87,c1,c5,3397,?,p1,
1769759644.004575,CREATED,36e1f047-dd0d-44ae-bd6f-2896c088ee59,a869e3ff-1348-4d85-ae39-36afc015fc66,c1,c5,27,?,?,surb={'id': '8f67c430-270a-4cfb-8543-51553a194ba6', 'route': ['p2', 'e7', 'i10', 'x6', 'p1', 'c1']}
1769759644.0868747,RECEIVED,5c1cb964-c855-4c0a-9ec1-0cdaf51a9d6c,53b68ad7-bff2-4f18-ae96-ce1491aa3e35,c5,c1,27,p1,?,surb={'id': '3f21cb2b-508c-4f9d-8161-9bccf0add209', 'route': ['p1', 'e11', 'i1', 'x11', 'p2', 'c5']}
1769759644.2087493,SENT,e46fd843-89a9-4461-add6-44b7467990af,e2a514bb-c195-49ab-9cac-c4917ad0e76d,c1,c5,3399,?,p1,
1769759644.2088766,CREATED,a7d7e469-aa4e-4389-bbcc-588d3a313847,9a53ed15-ef58-400c-9f1f-4de7ea142ece,c1,c5,27,?,?,surb={'id': '315013a2-6fba-4d7c-aacb-0b9923158001', 'route': ['p2', 'e4', 'i6', 'x2', 'p1', 'c1']}
1769759644.619478,SENT,ca693e1e-3ca6-4504-813e-d99141f72a60,15e653f9-6588-464e-a336-9c8138d6e0a2,c1,c5,3389,?,p1,
1769759644.619611,CREATED,50d7fe21-afb7-4cf2-8e92-2ea947c8a268,fc46c40e-928b-4944-a857-92822c396199,c1,c5,27,?,?,surb={'id': '8391d618-ef42-4bf6-b63f-8f35e949dc9f', 'route': ['p2', 'e6', 'i2', 'x10', 'p1', 'c1']}
1769759645.096763,RECEIVED,07ec0523-5471-475d-844e-1794823e5ede,87ae89a3-f308-4db3-a403-9553ee608518,c5,c1,27,p1,?,surb={'id': '72b466de-9563-4787-8afe-ebc5ce4889e9', 'route': ['p1', 'e7', 'i12', 'x5', 'p2', 'c5']}
1769759645.2088563,SENT,d50fabbf-36f7-4a42-b11b-50bba15d3ddd,3ceaae82-b99d-4343-90b1-2b018a62304c,c1,c5,3375,?,p1,
1769759645.2090044,CREATED,437c65b0-3748-48f4-ad44-b4516ae30c5a,d72bb7be-175e-461f-8bf3-c595d176a80f,c1,c5,26,?,?,surb={'id': '29dc9f6b-82a3-455c-85ea-9f65c766a08b', 'route': ['p2', 'e10', 'i5', 'x2', 'p1', 'c1']}
1769759645.4759226,RECEIVED,c1e7308c-9fa9-412d-bf9c-96b9e0cca321,d96eaaef-6040-497b-a417-04c71cfd596f,c5,c1,26,p1,?,surb={'id': '9b54f31b-ee09-4474-b773-a07e8854e278', 'route': ['p1', 'e5', 'i6', 'x1', 'p2', 'c5']}
1769759645.6073437,RECEIVED,2ffb786e-89e1-47ec-a12d-74d8ae0fdd48,1051b01f-9b0c-4b0f-9c88-006cba61bb4c,c5,c1,27,p1,?,surb={'id': 'ea752a47-ff74-4ed3-ad0c-c7c0fc17a694', 'route': ['p1', 'e12', 'i3', 'x7', 'p2', 'c5']}
1769759645.6768665,RECEIVED,21b7e070-9a5d-4221-be26-0e874fdb59f2,17fa14b0-9034-49cd-a75b-03630df6043c,c5,c1,27,p1,?,surb={'id': 'b383d0f7-8795-479c-aadb-d6ec2fd8a3b6', 'route': ['p1', 'e5', 'i3', 'x10', 'p2', 'c5']}
1769759645.7098289,RECEIVED,8caacc7b-c0db-4757-adaa-f095d7aae265,18ef7c76-29ee-4865-bafb-cc1133ce13dd,c5,c1,27,p1,?,surb={'id': 'd9ae4dc5-0ccc-424e-85ff-ea136c9a5b80', 'route': ['p1', 'e1', 'i12', 'x5', 'p2', 'c5']}
1769759645.827809,RECEIVED,90355276-390e-4b4c-af21-5f5c266ee913,87496e56-aa49-4049-8634-ff51551c9a67,c5,c1,27,p1,?,surb={'id': 'a4229f0f-71b3-4d51-9d9c-698a9743ab00', 'route': ['p1', 'e2', 'i11', 'x8', 'p2', 'c5']}
1769759646.1409047,RECEIVED,bf5a3a28-d29f-4201-a1de-5598ec9580c2,fe120f23-f608-49a6-98f0-1a3c67e2a620,c5,c1,26,p1,?,surb={'id': '87ea65eb-270f-43c5-9edf-a7b94491d0a1', 'route': ['p1', 'e9', 'i5', 'x6', 'p2', 'c5']}
1769759646.2340987,SENT,124a1925-e823-4628-a60e-06df53a9fcf7,1e83f2bf-81cd-4f42-8a91-34ff94e9a499,c1,c5,3389,?,p1,
1769759646.2342532,CREATED,7bbd79a3-efc0-4328-aaba-eca5a032319d,b78f387e-98b1-4466-9885-5c3358018bac,c1,c5,26,?,?,surb={'id': '61271ba4-8bdb-45c1-9fbc-27ff8ee684f5', 'route': ['p2', 'e11', 'i6', 'x12', 'p1', 'c1']}
1769759646.5325866,RECEIVED,7f9b40c1-76d8-4db4-a412-b5fa9d103807,fd64a7e7-6044-4c1d-88f2-eed40bc8a92c,c5,c1,27,p1,?,surb={'id': '1fa2e4bc-029a-44e8-8508-3269ec95dfa1', 'route': ['p1', 'e7', 'i11', 'x8', 'p2', 'c5']}
1769759646.5443184,RECEIVED,d4443608-869a-4f51-883d-abc3c7c4179a,31a86ae8-0932-46ee-a7fd-f8cc62288267,c5,c1,27,p1,?,surb={'id': 'd3ae24b3-3769-4fd9-8cdd-f4a55cde6ff4', 'route': ['p1', 'e8', 'i5', 'x4', 'p2', 'c5']}
1769759646.6387746,SENT,ef459764-e6c6-45ca-a6cf-3a808619a294,a32bfab6-f76f-4993-ade6-211b15c70c43,c1,c5,3400,?,p1,
1769759646.638904,CREATED,7345e95c-103b-4d98-bb45-96a82a3e3661,57d25fdd-ea18-46d8-979c-906cf23c7218,c1,c5,27,?,?,surb={'id': '80a1ca58-51e0-42eb-bad9-672f0b97c20d', 'route': ['p2', 'e11', 'i7', 'x7', 'p1', 'c1']}
1769759646.698828,SENT,dacbf0c2-fcb5-401f-a7b0-41662b957e7f,8e64a236-499d-485f-bc48-29109024fb53,c1,c5,3371,?,p1,
1769759646.6989584,CREATED,fb7af2b8-9c98-4f10-a7fc-fdcead7aa7b7,b78342a8-a380-4609-8970-03a5d389e584,c1,c5,27,?,?,surb={'id': 'd5185309-9c2d-4a9c-aea9-cbc5af3bbcac', 'route': ['p2', 'e4', 'i4', 'x9', 'p1', 'c1']}
