timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769759638.60547,SENT,0eeaed6c-f9a7-4369-861e-1dcd717bceae,d48b8c93-14f9-4d47-b39d-153b11b19ba1,c5,c1,3396,?,p2,
1769759638.605606,CREATED,07a47f95-3297-44fc-a548-8d98e7a4ec17,3460a3b0-afb2-4ba4-a876-d29dc157c31a,c5,c1,27,?,?,surb={'id': '7841c2df-e220-4a72-94e9-512dadfce3f6', 'route': ['p1', 'e10', 'i12', 'x6', 'p2', 'c5']}
1769759638.7667093,SENT,3f30840f-960a-4ac0-bb69-6c7e0bff7290,f539da96-3297-4aa1-940c-b50c0361626c,c5,c1,3358,?,p2,
1769759638.7668567,CREATED,c1e7308c-9fa9-412d-bf9c-96b9e0cca321,d96eaaef-6040-497b-a417-04c71cfd596f,c5,c1,26,?,?,surb={'id': '9b54f31b-ee09-4474-b773-a07e8854e278', 'route': ['p1', 'e5', 'i6', 'x1', 'p2', 'c5']}
1769759639.1744635,RECEIVED,3ac81793-dafd-4abb-b43f-38ae08a3dd44,ee8ddb4d-7981-485b-b433-c61ea490388a,c2,c5,27,p2,?,surb={'id': 'de8e381f-c2d0-4108-9538-bd85b2bd5a44', 'route': ['p2', 'e4', 'i9', 'x6', 'p2', 'c2']}
1769759639.220708,SENT,769e15fb-8c60-4695-82b5-c2a6880c65d1,c2e9b58f-85ca-4f92-82a4-c23614763563,c5,c1,3374,?,p2,
1769759639.2208397,CREATED,a911463a-cb4d-47ae-a470-242327126d5e,4187421c-bc56-4dab-9e61-a0827cdf2252,c5,c1,27,?,?,surb={'id': '8e516374-2c64-46b0-9302-c95b87b27483', 'route': ['p1', 'e3', 'i1', 'x6', 'p2', 'c5']}
1769759639.294076,RECEIVED,d052ba66-67a0-47f1-a090-b942fcd73eb0,ef2f840b-82ea-487d-8cd8-9a840dba51e9,c1,c5,27,p2,?,surb={'id': 'c5e1c41d-a960-4adf-8bab-2fe692a879d3', 'route': ['p2', 'e3', 'i5', 'x2', 'p1', 'c1']}
1769759639.3838103,SENT,c9bc5be6-66cf-43be-9c43-5fab4dd0c3ce,f7fd4b53-ca94-441e-be63-302ed53d503b,c5,c1,3385,?,p2,
1769759639.38396,CREATED,a15c29f6-dfe5-42c3-bc82-3648ab20fe54,4119b921-9ea7-44c3-bedd-1a48965b4e57,c5,c1,27,?,?,surb={'id': 'f7cd0172-1197-4321-8a8b-e9400eb08418', 'route': ['p1', 'e5', 'i12', 'x9', 'p2', 'c5']}
