timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769753467.857671,SENT,ff0396c6-ddb7-48e1-aac4-1462efb128d2,1350f2dd-4b8c-4f33-86b7-2c1a70fba926,c1,c5,3375,?,p1,
1769753467.8578281,CREATED,84589e69-2703-4e37-b482-6f734b52564d,0ffe1b07-2d9d-4fbf-85f9-5ad085125078,c1,c5,27,?,?,surb={'id': '5e5b426e-5870-4a02-8fe9-6b8d3a897aec', 'route': ['p2', 'e4', 'i7', 'x2', 'p1', 'c1']}
1769753467.9669263,SENT,cbf7b1f6-27b8-46e4-8925-796b34061bf6,d55c33b1-26ac-4fea-be98-0e1a02f341a0,c1,c5,3370,?,p1,
1769753467.967091,CREATED,c49b45a5-1737-42e2-9b64-0c92c0e7d93c,9e82a1ab-cedd-44f8-b058-73ac02cd74bd,c1,c5,27,?,?,surb={'id': '2d4e9f49-e1e7-49e3-8c9d-ffc8a81e0399', 'route': ['p2', 'e3', 'i8', 'x6', 'p1', 'c1']}
1769753468.6856198,SENT,39ecb082-b42b-48ab-ba23-9c1285897524,2a3324d9-8f56-4f28-bbc3-a42503f5a14d,c1,c5,3360,?,p1,
1769753468.6859553,CREATED,c951adfc-8c8b-424b-b5ca-aadeb048f23c,e47c7d95-34b8-4a18-922c-0398d8ff5af0,c1,c5,27,?,?,surb={'id': '36ecbe53-dd28-4061-8905-7ec2601359aa', 'route': ['p2', 'e4', 'i12', 'x9', 'p1', 'c1']}
1769753468.7125845,SENT,03ae77c4-b2c1-4836-98c6-0fd527d87fe7,af5470fa-eb8c-48c7-a210-d52b4f275b68,c1,c5,3388,?,p1,
1769753468.7127147,CREATED,f8f34dbe-70a0-4d31-959c-7e5e6c44f4e4,4a23c8c5-9098-4834-b544-c4fb6858fef9,c1,c5,27,?,?,surb={'id': '2284cab5-970c-4900-97a9-d113fb7d0709', 'route': ['p2', 'e4', 'i6', 'x8', 'p1', 'c1']}
1769753469.1875126,SENT,caf5087e-0c24-4cc6-8b1f-305014e4f495,20be902e-8450-4a4d-b07f-1ff74477c1a6,c1,c5,3384,?,p1,
1769753469.187666,CREATED,ac895439-a77f-43f4-8bcf-1e7f4520dda8,1832c2bc-e016-416c-8812-d3ccbbaba736,c1,c5,27,?,?,surb={'id': '86f6ec15-db55-416f-88d5-5ae5c0b5b9f8', 'route': ['p2', 'e10', 'i8', 'x12', 'p1', 'c1']}
1769753469.781556,SENT,2129cb66-6a92-4a38-8582-d5fbcf585f03,795a8e96-dfbe-4d9c-8723-10cc99ac2800,c1,c5,3366,?,p1,
1769753469.7816873,CREATED,7503b482-c19a-4e6f-89a3-d92d7a5ff2ce,c89b1638-3b9c-4521-a2db-1d3e372ac2d5,c1,c5,27,?,?,surb={'id': '8c9f8b15-fd89-43ec-a234-4d6713955c5d', 'route': ['p2', 'e9', 'i4', 'x9', 'p1', 'c1']}
1769753469.8726668,SENT,4cfffe4a-2980-473d-bdfe-2e5eb48e7f13,53fe0156-e217-4f7b-9779-2892ee6e57e5,c1,c5,3377,?,p1,
