timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769753468.2117782,SENT,939211a3-8126-4939-9905-d98c3d4a262b,473b72b9-c973-446e-9337-cd74c8927941,c5,DROP,2020,?,p2,
1769753468.2119029,CREATED,4d579a27-d3e1-413a-b4d2-6bb80cee1252,1fd67302-6ae1-47a7-b4df-67f957d3fa24,c5,DROP,27,?,?,
1769753468.289226,SENT,d1a455d3-bf85-42e7-9850-4951f7a0a62b,862874e2-f896-45e4-b258-77f5f6048ef4,c5,DROP,2036,?,p2,
1769753468.2893615,CREATED,224227ef-778f-4922-a71d-85dcfb65054d,4413a6da-a6a7-464e-ac65-7af25d112e13,c5,DROP,26,?,?,
1769753468.3059006,SENT,043e83d8-ffc9-42c8-ac9b-36190123ba33,e4214598-7e74-413d-a733-464cf444b8cb,c5,DROP,2015,?,p2,
1769753468.3060188,CREATED,3d9d9838-aa62-48cb-a7b7-a57f1bf8b4e9,418383f7-4949-4d58-9734-ee21cb0cfc22,c5,DROP,27,?,?,
1769753468.744753,SENT,aef0834d-c1d6-4149-aa74-d6e903235a5e,1d54c547-ff0b-4bab-bf69-2710e9da09ad,c5,c2,3379,?,p2,
1769753468.744885,CREATED,54dd1352-7e70-4723-a399-030af7907f59,704353d9-a6fa-4e85-890e-431ddcfba6cf,c5,c2,26,?,?,surb={'id': 'fd09954b-7453-481e-86b4-2a1a3d306290', 'route': ['p2', 'e9', 'i10', 'x8', 'p2', 'c5']}
1769753468.841731,SENT,f9952e67-e5cb-427c-b978-e835acd80576,29bf9df1-d616-43bb-a91f-62c8ccc30073,c5,DROP,2017,?,p2,
1769753468.841849,CREATED,2f89bbd5-5124-4541-802c-6d9aaa9d1e98,5b2b15ce-31d4-4de3-80d3-2ee222eedc98,c5,DROP,27,?,?,
1769753468.8906364,SENT,1fcdc459-29ae-4fb2-891f-0c9e548024be,f9019cf5-27e1-44f1-a702-c462e3419207,c5,DROP,2044,?,p2,
1769753468.8907537,CREATED,be78afed-2344-461b-8d14-0c4cffc6acd7,ae952506-4a58-4ee8-8715-3e0d48c41de0,c5,DROP,27,?,?,
1769753468.9348624,SENT,41af1d65-5cde-4fd8-a356-685655781e50,a03eab71-ad32-4016-a414-810e641432b7,c5,c2,3379,?,p2,
1769753468.9349954,CREATED,67d7a9c4-cf8d-44d8-a400-35b6300858d3,a2e4baf5-b2f9-4e60-9203-8cee02f25c0f,c5,c2,26,?,?,surb={'id': 'f788315e-4cb1-45ef-8e0e-35892172b61d', 'route': ['p2', 'e12', 'i9', 'x5', 'p2', 'c5']}
1769753469.7610228,RECEIVED,84589e69-2703-4e37-b482-6f734b52564d,0ffe1b07-2d9d-4fbf-85f9-5ad085125078,c1,c5,27,p2,?,surb={'id': '5e5b426e-5870-4a02-8fe9-6b8d3a897aec', 'route': ['p2', 'e4', 'i7', 'x2', 'p1', 'c1']}
1769753470.146322,SENT,a294d530-22c6-480b-b441-14ff1475b467,a603e92d-37d6-4bd9-8adf-f21e4b788ecf,c5,c2,3383,?,p2,
1769753470.146451,CREATED,5a17eb1f-c884-49dc-8e0c-71d2b1401a80,e75bf495-2c25-4b04-8b53-eb841645ea74,c5,c2,27,?,?,surb={'id': '9e3626b4-459d-489e-9362-6228f0f7f9d3', 'route': ['p2', 'e7', 'i12', 'x1', 'p2', 'c5']}
1769753470.524976,RECEIVED,c951adfc-8c8b-424b-b5ca-aadeb048f23c,e47c7d95-34b8-4a18-922c-0398d8ff5af0,c1,c5,27,p2,?,surb={'id': '36ecbe53-dd28-4061-8905-7ec2601359aa', 'route': ['p2', 'e4', 'i12', 'x9', 'p1', 'c1']}
