timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769753472.7007356,CREATED,8bfe4d1f-c889-420f-aa99-478edafdb29f,78b5f2a4-467d-4bce-add4-1681499d013e,c3,c1,27,?,?,surb={'id': 'd7d6cba5-f26b-40be-a1fc-0a2dfcd13069', 'route': ['p1', 'e2', 'i7', 'x3', 'p3', 'c3']}
1769753472.858915,RECEIVED,d8ff7838-39bc-4b6a-a646-d0a307f30e48,cbbf60f9-51d3-4c0f-a133-b849d36438e0,c2,c3,27,p3,?,surb={'id': '04a2f6a5-ca88-4ec9-a0cf-846a31ee1302', 'route': ['p3', 'e1', 'i1', 'x10', 'p2', 'c2']}
1769753472.9741814,RECEIVED,cecef89e-934d-4825-a081-e46941e33d39,424f6ca4-e44b-4db8-9965-c2133d6461a8,c2,c3,27,p3,?,surb={'id': '28d26002-128c-4895-a76c-46e6b66d5ce4', 'route': ['p3', 'e11', 'i2', 'x1', 'p2', 'c2']}
1769753472.9968762,SENT,e7c5144d-f777-48f2-9375-8a81fdcfd71a,ee8a0315-bf6a-40bd-a3c7-4c3747a221b6,c3,c1,3391,?,p3,
1769753472.9970107,CREATED,12657056-f93a-4c3d-8b99-8a58c9d7755f,fe13b7cb-27f0-4615-8a24-d016f9cf6c81,c3,c1,27,?,?,surb={'id': 'b80eb9b2-7852-4e5b-a7b7-fdb301ed903b', 'route': ['p1', 'e8', 'i4', 'x10', 'p3', 'c3']}
1769753473.0337996,RECEIVED,b20feb61-748f-4ce7-8c3a-6564e856de24,da2c4c5d-98da-4e46-ab26-204feb99cc26,c2,c3,27,p3,?,surb={'id': '03f9788a-b6dc-42e5-971e-bb85578ee855', 'route': ['p3', 'e10', 'i4', 'x4', 'p2', 'c2']}
1769753473.772509,SENT,2c0b0b47-b85c-4794-b624-9159a325ad25,aa4e1fcc-3e94-4c6f-8345-ff7c5c13c23c,c3,c1,3360,?,p3,
1769753473.7726576,CREATED,e7f0317d-7ef9-4d01-bece-eb80157d7333,1f69f9b0-3c3c-461a-a29d-b2a5adaea2bb,c3,c1,27,?,?,surb={'id': '89bb3857-f7cf-4a4b-86e3-3be96126f0e5', 'route': ['p1', 'e6', 'i3', 'x7', 'p3', 'c3']}
1769753473.858807,RECEIVED,30efffc2-47b6-4e0b-be98-0453ca1e4b80,f98a95e4-99b4-464d-b2d3-4b8a80ea2251,c2,c3,26,p3,?,surb={'id': '872e510e-3c24-449d-a79f-0e6ac6cdda83', 'route': ['p3', 'e8', 'i1', 'x11', 'p2', 'c2']}
1769753473.9653428,SENT,280a879b-5f01-4420-9d0b-795c85b57e83,24fa9cf1-5142-4b5b-9714-05fc8bf1623f,c3,c1,3401,?,p3,
