timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769445730.1195006,SENT,63f5f896-e553-4965-9233-7ff8983d7ba8,139eaa89-14a5-416c-bf38-35dfec89dba9,c1,c3,3396,?,p1,
1769445730.1201022,CREATED,3c5290d9-9613-40d5-87a5-042be43a9b74,6c09ae5f-a499-450e-9d48-434370da7c36,c1,c3,27,?,?,surb={'id': 'c165db0f-618f-414f-8757-a77626cc23ae', 'route': ['p3', 'e4', 'i12', 'x10', 'p1', 'c1']}
1769445730.405749,SENT,791b81dc-a513-49ac-9fca-70483b1925d3,22adedc8-2a2c-409b-9608-ddcf12bf5572,c1,c3,3413,?,p1,
1769445730.4058876,CREATED,c6171b82-2e20-4ed1-b515-7f549569f8f7,6c09ae5f-a499-450e-9d48-434370da7c36,c1,c3,27,?,?,surb={'id': 'c165db0f-618f-414f-8757-a77626cc23ae', 'route': ['p3', 'e4', 'i12', 'x10', 'p1', 'c1']}
1769445730.5635324,SENT,9c315e0b-505f-4cce-a145-f086081033d2,8713855a-58f9-4c46-bb74-d54d6edc0561,c1,c3,3388,?,p1,
1769445730.563684,CREATED,e99690f1-c8f1-40fe-9650-123269fe0c9c,094a6c85-58de-4efe-84b7-9cb982731890,c1,c3,27,?,?,surb={'id': 'd28802a5-5cbe-4e56-ade1-35f0f81da90a', 'route': ['p3', 'e9', 'i8', 'x3', 'p1', 'c1']}
1769445730.7730436,SENT,9b5a017d-e291-4149-8625-750d59b0f4d0,d4e8d74d-07a2-4b12-a57b-c4fcfb17eddc,c1,c3,3372,?,p1,
1769445730.7731981,CREATED,7ed9312f-5489-4614-a1fc-8ec7d8b1e055,094a6c85-58de-4efe-84b7-9cb982731890,c1,c3,27,?,?,surb={'id': 'd28802a5-5cbe-4e56-ade1-35f0f81da90a', 'route': ['p3', 'e9', 'i8', 'x3', 'p1', 'c1']}
1769445731.1225047,SENT,692037fb-85a1-4056-9081-62f773ae3fdf,b1669c5b-722d-4385-84a0-f9468e0be670,c1,c3,3375,?,p1,
1769445731.1226392,CREATED,1f0d4ee2-74a5-4a29-b0c3-bbdd017bbf59,99988d6c-b7a6-4585-980b-d1338517aaf8,c1,c3,27,?,?,surb={'id': '7c0b681c-f89e-4a23-b970-ba4401b4ef6f', 'route': ['p3', 'e2', 'i10', 'x8', 'p1', 'c1']}
1769445731.2568474,SENT,a2449b27-4948-41bc-b3ca-e65e1d54bd89,737ae15c-c187-4d90-9af1-cc3dfff44762,c1,c3,3387,?,p1,
1769445731.2569833,CREATED,ebe8a317-4fc4-488d-b1c6-0b94f8d28dbc,99988d6c-b7a6-4585-980b-d1338517aaf8,c1,c3,27,?,?,surb={'id': '7c0b681c-f89e-4a23-b970-ba4401b4ef6f', 'route': ['p3', 'e2', 'i10', 'x8', 'p1', 'c1']}
1769445731.4862506,RECEIVED,91138bd8-afa5-46e0-b6d0-245c378cde8a,95d4753e-031e-4a3f-a4bd-d180b867675a,c3,c1,25,p1,?,surb={'id': 'f266c954-b081-4203-9044-9b13e7208af1', 'route': ['p1', 'e8', 'i4', 'x9', 'p3', 'c3']}
1769445731.547934,SENT,a7b9cd2e-e371-4745-8f41-34890bbbd4e8,2da9edd5-efe0-45fc-b393-885d73cb94c4,c1,c3,3392,?,p1,
1769445731.5481098,CREATED,448a55e0-e60d-4402-a030-3b7d3c2787f2,77d1752f-c060-4750-8eee-347d5f3f7f9d,c1,c3,27,?,?,surb={'id': '2c8fb946-df38-4e21-9514-2c092b06add9', 'route': ['p3', 'e7', 'i3', 'x11', 'p1', 'c1']}
1769445731.5722873,SENT,e962809d-12ef-495f-b433-d118dc5ba73f,c261bb27-4ca9-4f59-9098-44a1b1c49a20,c1,c3,3374,?,p1,
1769445731.572419,CREATED,e77d1735-8ea1-42ce-93a4-c69406e7e689,77d1752f-c060-4750-8eee-347d5f3f7f9d,c1,c3,27,?,?,surb={'id': '2c8fb946-df38-4e21-9514-2c092b06add9', 'route': ['p3', 'e7', 'i3', 'x11', 'p1', 'c1']}
1769445731.688001,RECEIVED,33eaeb98-bb7e-4070-9e21-a2b9f5be8d69,2f9540d0-89e2-476a-86fe-6165765bb1e9,c4,c1,27,p1,?,surb={'id': '389160c2-1563-407e-aab0-349e0c9d7409', 'route': ['p1', 'e5', 'i6', 'x7', 'p1', 'c4']}
