timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769738048.3731909,SENT,fe150450-c74b-496e-a36d-b1eee9b579f6,8704d810-d9fc-43cf-be55-21b53648865a,c1,DROP,2019,?,p1,
1769738048.3733199,CREATED,e4c57034-faaf-4857-8afb-77cb435dde74,34256c12-6ce9-47c2-9fb0-8c0a76fffa0d,c1,DROP,27,?,?,
1769738048.602557,SENT,cfa062bb-5731-4716-a7f7-ce74f1697fe5,4b0e7b60-2641-4bee-b860-cd4109c89370,c1,DROP,2016,?,p1,
1769738048.602675,CREATED,ffe413c2-0fc2-42b8-a9ad-109f547bf8d6,41817b5e-0923-4156-819b-5aae165a4686,c1,DROP,27,?,?,
1769738048.689533,SENT,585d8260-5c76-4631-8fd3-7f69059928a0,a62104c7-3933-48c3-8dbf-3476bf7b05d1,c1,DROP,2032,?,p1,
1769738048.689691,CREATED,1cc8a5f8-4613-4dfb-adb3-40139ce3ef47,305f7aea-8b00-4bcb-a191-4b79d2ba5214,c1,DROP,26,?,?,
1769738048.8895333,SENT,a412b678-e1f5-4744-80ba-b6aecdb32b29,1d8f8763-3f52-44ae-af79-9388361046a2,c1,c2,3383,?,p1,
1769738048.889668,CREATED,c0a71b80-4468-4e66-8ed4-36eab5d135e3,8946cc11-a4ca-4ac5-b1a0-050e94696574,c1,c2,27,?,?,surb={'id': '6cfb011e-0a4c-4428-b2e2-46228f173f11', 'route': ['p2', 'e1', 'i6', 'x4', 'p1', 'c1']}
1769738048.9051611,SENT,ae9387c0-cb83-4389-8fa0-0ee20f0e704c,bc6af267-5991-4362-b6c4-96978a3a4d70,c1,c2,3401,?,p1,
1769738048.905293,CREATED,09eb54ec-98e1-404a-8965-0858905030ac,108d3a54-166c-4c1c-acb3-b24154797a2e,c1,c2,27,?,?,surb={'id': '0763ebc2-94f7-459e-a7da-62410cb5bee6', 'route': ['p2', 'e8', 'i2', 'x8', 'p1', 'c1']}
1769738049.1854131,SENT,c42d4663-7655-490e-bbfb-7447b251ff0f,41f3c7d0-0bbf-42ea-960b-19481af2e45c,c1,DROP,2036,?,p1,
1769738049.1855466,CREATED,0d1aa9cc-d456-4f93-8419-3f73a8b7a257,ff6e18cf-645e-4614-b853-a15cd802eb88,c1,DROP,27,?,?,
1769738049.5167644,SENT,456ecdb2-342a-48fa-b514-e6e2c5428f83,4c2e012d-41ff-44d0-a29b-000427fa8605,c1,DROP,2015,?,p1,
1769738049.5168958,CREATED,daab99af-ac6c-4fea-80ab-b3b13f43e890,532122a3-047e-4178-8889-3c1fcbfc6c22,c1,DROP,27,?,?,
1769738049.6498103,SENT,010bb614-1264-4c80-a72a-6e43c90a9f01,a2948316-73ca-4ea7-8eec-e68ca556f8bb,c1,c2,3373,?,p1,
1769738049.6499417,CREATED,e99b10d6-40ef-43b2-a3cc-60c8bb9d7054,f0e4afdd-d87d-47af-9192-5e8a9e21c2aa,c1,c2,27,?,?,surb={'id': '1082f2ef-7117-4cee-a699-6e5cffdf75a5', 'route': ['p2', 'e6', 'i9', 'x8', 'p1', 'c1']}
1769738049.9036086,RECEIVED,ecdd9f40-01ef-499d-83ef-c6281cbbda5d,2e52de60-341a-4cbc-a590-a53083e6945d,c4,c1,27,p1,?,surb={'id': 'cecc126c-6512-4982-ba6f-72bfff327715', 'route': ['p1', 'e5', 'i6', 'x1', 'p1', 'c4']}
1769738050.198005,SENT,f262051d-7941-445e-8a10-8148b04ee334,d1155812-2084-48f4-a06a-aa9ac7cd31a8,c1,DROP,2028,?,p1,
