timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769482744.5256667,RECEIVED,a6d8b16c-b63b-4b2c-b39d-60638ca159c0,44e35ce7-3410-4d59-9380-ad85fd9e5de5,c3,c5,27,p2,?,surb={'id': '2ad45f1a-c42c-42d9-a80c-811c1700b907', 'route': ['p2', 'e8', 'i1', 'x4', 'p3', 'c3']}
1769482744.684416,RECEIVED,050023c7-2521-43c7-803f-fdf7d6c353c0,efd12ee7-c295-4532-99b7-a848794f6041,c4,c5,27,p2,?,surb={'id': '2f0c65b2-0155-426e-a1d3-d6366c1b261e', 'route': ['p2', 'e4', 'i10', 'x6', 'p1', 'c4']}
1769482745.0671828,SENT,fc0121b5-c21e-47e4-94b1-471b955613fb,731ef316-069b-42b1-b6bd-7bdb2cd31556,c5,c3,3359,?,p2,
1769482745.067338,CREATED,42616de1-4384-4b29-9f1a-aabad66cb8c5,049a2c1a-f49d-417f-9b62-3f4b1a7c797c,c5,c3,27,?,?,surb={'id': '29a06dfa-7333-4335-8f25-e1d75db62a8d', 'route': ['p3', 'e4', 'i1', 'x6', 'p2', 'c5']}
1769482745.095257,SENT,73487ad0-5537-4e0f-b953-c9999375c266,b875f807-1d2c-4ec0-88d8-5ca1a2757235,c5,c3,3375,?,p2,
1769482745.0954325,CREATED,9210f070-165d-47ec-9990-bfe7f88e94b3,34f4e8a1-da88-46cf-8f13-58eb78e28aec,c5,c3,27,?,?,surb={'id': 'fa7ab357-c4bc-4b9a-be8c-95b83318d516', 'route': ['p3', 'e2', 'i5', 'x4', 'p2', 'c5']}
1769482745.097548,RECEIVED,f72b25a8-28d3-4bda-8b47-daf5f5edfca8,efd12ee7-c295-4532-99b7-a848794f6041,c4,c5,27,p2,?,surb={'id': '2f0c65b2-0155-426e-a1d3-d6366c1b261e', 'route': ['p2', 'e4', 'i10', 'x6', 'p1', 'c4']}
1769482745.1512642,RECEIVED,5d6c41ec-7ff0-4347-a014-a81bf27ce773,f39026e6-3504-42ca-a731-9d1397cd94e1,c4,c5,26,p2,?,surb={'id': 'd43b0e4e-0479-4085-835c-732e4e86e5d4', 'route': ['p2', 'e10', 'i4', 'x10', 'p1', 'c4']}
1769482745.1792855,RECEIVED,6d16013b-4348-4837-9953-7cc9480cf271,d9b1fcd8-a4ee-45b4-8265-157e1cf75d19,c4,c5,26,p2,?,surb={'id': '010bde09-5bfe-4712-8575-2badbe9c5b65', 'route': ['p2', 'e8', 'i7', 'x7', 'p1', 'c4']}
1769482745.192304,RECEIVED,b810539f-373d-4fda-80fb-ccc5735c913c,268b5fb6-3098-4bab-a29a-4746e5560616,c4,c5,27,p2,?,surb={'id': '1bdcc9b5-5ad3-4d8c-ba85-d3455f681dc8', 'route': ['p2', 'e3', 'i3', 'x2', 'p1', 'c4']}
1769482745.2750263,RECEIVED,6e7816bb-cd05-4ef7-b247-306b0b9e909a,268b5fb6-3098-4bab-a29a-4746e5560616,c4,c5,27,p2,?,surb={'id': '1bdcc9b5-5ad3-4d8c-ba85-d3455f681dc8', 'route': ['p2', 'e3', 'i3', 'x2', 'p1', 'c4']}
1769482745.3401277,SENT,2d056ba0-c1b0-4738-82b5-a0ce6efb142b,5a3469a0-6121-492b-b1a5-d5e997aa9c51,c5,c3,3384,?,p2,
1769482745.3402827,CREATED,3bd3edb3-8d23-4a55-bb24-178da335c7c9,34f4e8a1-da88-46cf-8f13-58eb78e28aec,c5,c3,27,?,?,surb={'id': 'fa7ab357-c4bc-4b9a-be8c-95b83318d516', 'route': ['p3', 'e2', 'i5', 'x4', 'p2', 'c5']}
1769482745.443366,SENT,46431b3b-06e6-4f10-b8aa-f9c900535f79,87431393-105a-478a-b8e2-088cbd0962ea,c5,c3,3400,?,p2,
1769482745.444923,CREATED,5bbaf0c0-4047-48dc-ad7d-a41aadc9d0fe,6dce7978-2d22-4ad1-b93c-9e6c95e2ce3e,c5,c3,27,?,?,surb={'id': '04d54365-310c-4194-a6d3-505104411fa7', 'route': ['p3', 'e12', 'i10', 'x6', 'p2', 'c5']}
1769482745.5723922,RECEIVED,415031d5-7bcf-49ab-8ba7-6b60333e4f0d,2c830960-0207-4f76-9a0e-7b5ce2c9b771,c1,c5,26,p2,?,surb={'id': 'c1b15bb7-d4f1-4b3b-99ff-a41d40341807', 'route': ['p2', 'e11', 'i6', 'x10', 'p1', 'c1']}
1769482745.6930082,RECEIVED,ad34892a-26f5-46d5-bfb5-eaf052125020,b4c2037a-ba3d-47c7-b192-67ba48155c02,c3,c5,27,p2,?,surb={'id': '457728a0-75f9-42e9-aa60-f8556538528e', 'route': ['p2', 'e10', 'i3', 'x1', 'p3', 'c3']}
1769482745.6988983,RECEIVED,e59dcd08-2c05-4995-9d82-5f8296fbd2ce,44e35ce7-3410-4d59-9380-ad85fd9e5de5,c3,c5,27,p2,?,surb={'id': '2ad45f1a-c42c-42d9-a80c-811c1700b907', 'route': ['p2', 'e8', 'i1', 'x4', 'p3', 'c3']}
1769482745.7019958,SENT,50dfbbe5-e96d-47c2-bf11-da2bf2236da6,23611964-1aff-4752-9cec-2147454be76d,c5,c3,3389,?,p2,
1769482745.7021437,CREATED,3ab34fdf-c3c5-4c8f-b100-e056bec96400,6dce7978-2d22-4ad1-b93c-9e6c95e2ce3e,c5,c3,27,?,?,surb={'id': '04d54365-310c-4194-a6d3-505104411fa7', 'route': ['p3', 'e12', 'i10', 'x6', 'p2', 'c5']}
1769482745.7969937,SENT,73275742-b415-42db-987f-273cd57152d3,33a82837-0b32-4fcf-a393-29a584ac3657,c5,c3,3367,?,p2,
1769482745.7971628,CREATED,ff05475e-6e7b-4504-93cc-90e22069985b,01fa7a86-25fe-4872-829b-1e02b4bb9a4a,c5,c3,26,?,?,surb={'id': '385e0c31-c6a5-4cc5-9052-ba78c4733c75', 'route': ['p3', 'e2', 'i4', 'x11', 'p2', 'c5']}
1769482745.9140134,RECEIVED,11c3aad4-4682-4875-9740-77c6b74f865a,0b139ed5-f5e9-4a80-a31e-cb48be14f789,c4,c5,27,p2,?,surb={'id': 'ef757447-ff4b-4364-bb7c-2954568aa015', 'route': ['p2', 'e12', 'i11', 'x7', 'p1', 'c4']}
1769482745.9793768,RECEIVED,c33d155d-7cdd-435f-83fc-bdefb7a22dbb,d9b1fcd8-a4ee-45b4-8265-157e1cf75d19,c4,c5,26,p2,?,surb={'id': '010bde09-5bfe-4712-8575-2badbe9c5b65', 'route': ['p2', 'e8', 'i7', 'x7', 'p1', 'c4']}
1769482746.1888173,RECEIVED,8817d1a9-d011-4ecb-bafd-e3b47b0c3bac,21dda74a-c003-481a-9b65-b5c026b1cbfb,c1,c5,27,p2,?,surb={'id': '1500fc6f-aeb5-4b7f-b8ac-48934d66d4f4', 'route': ['p2', 'e1', 'i2', 'x7', 'p1', 'c1']}
1769482746.4513977,RECEIVED,6d64c627-8c46-4c27-ab0b-62793d20a393,21dda74a-c003-481a-9b65-b5c026b1cbfb,c1,c5,27,p2,?,surb={'id': '1500fc6f-aeb5-4b7f-b8ac-48934d66d4f4', 'route': ['p2', 'e1', 'i2', 'x7', 'p1', 'c1']}
1769482746.5354695,RECEIVED,64254fa3-b087-48d9-bcea-9744502cc51f,87867250-bc2e-4d46-a40a-5af3e23d0596,c1,c5,27,p2,?,surb={'id': 'f665bff6-8393-41f1-979a-ad503fdf3eaa', 'route': ['p2', 'e1', 'i3', 'x5', 'p1', 'c1']}
1769482746.7351851,RECEIVED,47e9c0a4-7ff7-4012-9092-6c06e6cfa73d,f9e0eb8a-3170-4df9-bae1-4ce33273994c,c3,c5,26,p2,?,surb={'id': '0fa8d172-6364-4203-a110-36de5530900f', 'route': ['p2', 'e12', 'i3', 'x5', 'p3', 'c3']}
1769482746.740381,SENT,153ad932-327e-481c-a518-5673ff8abc26,6eda5625-27af-4046-8347-93dd3bb03089,c5,c3,3359,?,p2,
1769482746.740528,CREATED,089143be-dd03-4a3f-a613-20ff20c22cd7,01fa7a86-25fe-4872-829b-1e02b4bb9a4a,c5,c3,26,?,?,surb={'id': '385e0c31-c6a5-4cc5-9052-ba78c4733c75', 'route': ['p3', 'e2', 'i4', 'x11', 'p2', 'c5']}
1769482746.8100328,RECEIVED,ae5cbb6c-ee2f-4659-8c6f-5c37c2ca81e2,f39026e6-3504-42ca-a731-9d1397cd94e1,c4,c5,26,p2,?,surb={'id': 'd43b0e4e-0479-4085-835c-732e4e86e5d4', 'route': ['p2', 'e10', 'i4', 'x10', 'p1', 'c4']}
1769482746.9001172,RECEIVED,8f5c1146-e9c9-4dc5-bfc6-8298a6becc38,5877900c-c2ea-4e24-bdac-51eea1bf6c51,c3,c5,27,p2,?,surb={'id': 'c5276d43-d379-4441-bb24-c28c899bbfd4', 'route': ['p2', 'e3', 'i4', 'x9', 'p3', 'c3']}
1769482746.9601138,RECEIVED,690a2c93-da77-414c-be43-d48dcffd5f86,5746fa24-6364-4f0e-8dc7-056161ad17a4,c1,c5,27,p2,?,surb={'id': '61bb72c8-1a69-4efc-8d90-e245e0f622de', 'route': ['p2', 'e7', 'i1', 'x4', 'p1', 'c1']}
1769482746.993796,SENT,867c775d-c37e-4ccc-923a-ea4954ec75d5,e1154390-eb95-40cb-b574-720f7bb82270,c5,c3,3392,?,p2,
1769482746.9939306,CREATED,d9411b0d-6c45-4871-afee-d2d19f166f1b,d8006974-5af4-4daa-821e-51e3fee34a2c,c5,c3,27,?,?,surb={'id': 'f1db951a-203d-4c43-9cd6-58ada6c01b87', 'route': ['p3', 'e7', 'i10', 'x7', 'p2', 'c5']}
1769482747.0438056,RECEIVED,34c422b6-8201-41c4-8843-46874fe37283,2c830960-0207-4f76-9a0e-7b5ce2c9b771,c1,c5,26,p2,?,surb={'id': 'c1b15bb7-d4f1-4b3b-99ff-a41d40341807', 'route': ['p2', 'e11', 'i6', 'x10', 'p1', 'c1']}
1769482747.0843983,SENT,6056091e-95dc-4795-9fc2-a02cc8b1bcd8,64c8da2d-e666-4d27-9c4c-63bbb6a7f519,c5,c3,3376,?,p2,
1769482747.0845463,CREATED,2a87d5dc-d9be-4f78-a917-c99789266810,d8006974-5af4-4daa-821e-51e3fee34a2c,c5,c3,27,?,?,surb={'id': 'f1db951a-203d-4c43-9cd6-58ada6c01b87', 'route': ['p3', 'e7', 'i10', 'x7', 'p2', 'c5']}
1769482747.1608343,SENT,7eb6f707-f03e-4ffc-9334-31848ae994c1,fe50a9da-9f16-4342-9708-fb3fc04dd622,c5,c3,3383,?,p2,
1769482747.1609836,CREATED,2a51a21d-0f31-4ffd-99c0-cf31ad6ffd8a,c19a1e7a-8317-4f38-ad75-0a7af434d35d,c5,c3,26,?,?,surb={'id': '939032fe-085d-419d-b737-3ab7fe9c6e43', 'route': ['p3', 'e4', 'i5', 'x12', 'p2', 'c5']}
1769482747.2135403,RECEIVED,4e96f6c8-34fd-48b3-ad4b-887473418dbd,5877900c-c2ea-4e24-bdac-51eea1bf6c51,c3,c5,27,p2,?,surb={'id': 'c5276d43-d379-4441-bb24-c28c899bbfd4', 'route': ['p2', 'e3', 'i4', 'x9', 'p3', 'c3']}
1769482747.3043494,RECEIVED,08b7f711-c0e1-438f-a3ce-d4e5cbecaa30,f375be64-1104-404c-b176-d04ab8e58589,c1,c5,27,p2,?,surb={'id': 'ea1f7117-9372-45bb-bce9-ddc67e62c7bb', 'route': ['p2', 'e6', 'i1', 'x7', 'p1', 'c1']}
