timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769482742.5025334,SENT,234c014f-c07e-4fed-b2aa-0489900e0e04,07acb16e-4bd0-4cf8-b094-37a5fc124892,c4,c5,3380,?,p1,
1769482742.50269,CREATED,b810539f-373d-4fda-80fb-ccc5735c913c,268b5fb6-3098-4bab-a29a-4746e5560616,c4,c5,27,?,?,surb={'id': '1bdcc9b5-5ad3-4d8c-ba85-d3455f681dc8', 'route': ['p2', 'e3', 'i3', 'x2', 'p1', 'c4']}
1769482742.5618014,SENT,579a26ae-b23d-480d-aea1-f377cd5bbd2d,def693cf-3a4e-47b1-abac-c990a3b15027,c4,c5,3387,?,p1,
1769482742.5619507,CREATED,6e7816bb-cd05-4ef7-b247-306b0b9e909a,268b5fb6-3098-4bab-a29a-4746e5560616,c4,c5,27,?,?,surb={'id': '1bdcc9b5-5ad3-4d8c-ba85-d3455f681dc8', 'route': ['p2', 'e3', 'i3', 'x2', 'p1', 'c4']}
1769482742.590623,SENT,32e38101-fb90-4755-91d7-66e1f4131299,93bae882-aead-4e99-8601-95c7eea46f91,c4,c5,3393,?,p1,
1769482742.5907545,CREATED,5d6c41ec-7ff0-4347-a014-a81bf27ce773,f39026e6-3504-42ca-a731-9d1397cd94e1,c4,c5,26,?,?,surb={'id': 'd43b0e4e-0479-4085-835c-732e4e86e5d4', 'route': ['p2', 'e10', 'i4', 'x10', 'p1', 'c4']}
1769482743.268432,SENT,ce14e6e0-ba92-4c75-8892-1a480f71415c,0e462896-c51f-49f9-8107-76b07d6ec921,c4,c5,3383,?,p1,
1769482743.2692065,CREATED,ae5cbb6c-ee2f-4659-8c6f-5c37c2ca81e2,f39026e6-3504-42ca-a731-9d1397cd94e1,c4,c5,26,?,?,surb={'id': 'd43b0e4e-0479-4085-835c-732e4e86e5d4', 'route': ['p2', 'e10', 'i4', 'x10', 'p1', 'c4']}
1769482743.2971406,SENT,e342fdd2-90c6-497c-994c-30027b69944a,1ed1a0ea-1759-4836-9ebb-a519ce2ba02a,c4,c5,3361,?,p1,
1769482743.2972922,CREATED,c33d155d-7cdd-435f-83fc-bdefb7a22dbb,d9b1fcd8-a4ee-45b4-8265-157e1cf75d19,c4,c5,26,?,?,surb={'id': '010bde09-5bfe-4712-8575-2badbe9c5b65', 'route': ['p2', 'e8', 'i7', 'x7', 'p1', 'c4']}
1769482743.7008007,SENT,2928b18f-5552-4a6d-ae66-6a07154eba68,a44c3ea8-83cb-497f-8a82-e1544e24fb60,c4,c5,3383,?,p1,
1769482743.701337,CREATED,6d16013b-4348-4837-9953-7cc9480cf271,d9b1fcd8-a4ee-45b4-8265-157e1cf75d19,c4,c5,26,?,?,surb={'id': '010bde09-5bfe-4712-8575-2badbe9c5b65', 'route': ['p2', 'e8', 'i7', 'x7', 'p1', 'c4']}
1769482743.717378,SENT,d17a28f5-49c1-4a67-84c2-b8ce9f388cbb,d27ea187-d48e-4ca5-889b-095fc400cbc3,c4,c5,3385,?,p1,
1769482743.7175264,CREATED,f72b25a8-28d3-4bda-8b47-daf5f5edfca8,efd12ee7-c295-4532-99b7-a848794f6041,c4,c5,27,?,?,surb={'id': '2f0c65b2-0155-426e-a1d3-d6366c1b261e', 'route': ['p2', 'e4', 'i10', 'x6', 'p1', 'c4']}
