timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769482742.008119,SENT,f47fdb35-29a5-4426-b81d-244187dc1213,4d04bf04-e82e-49d6-a193-862eb56b4a47,c3,DROP,2040,?,p3,
1769482742.00826,CREATED,6f342a7c-32b4-419c-b997-350811f82168,daa47165-85e7-4d54-b47b-9237bd2f35fd,c3,DROP,27,?,?,
1769482742.8998675,SENT,0f3b4d2e-39fb-4769-9086-d0c17689630f,af9a8dce-0b0c-459b-a5dc-c8d212384f04,c3,c5,3377,?,p3,
1769482742.9000175,CREATED,a6d8b16c-b63b-4b2c-b39d-60638ca159c0,44e35ce7-3410-4d59-9380-ad85fd9e5de5,c3,c5,27,?,?,surb={'id': '2ad45f1a-c42c-42d9-a80c-811c1700b907', 'route': ['p2', 'e8', 'i1', 'x4', 'p3', 'c3']}
1769482743.6386352,SENT,e745d042-98e0-40cc-8dc1-de357ca2a559,c37fb7b2-f69b-4495-8443-842a3614b191,c3,c5,3367,?,p3,
1769482743.6387844,CREATED,e59dcd08-2c05-4995-9d82-5f8296fbd2ce,44e35ce7-3410-4d59-9380-ad85fd9e5de5,c3,c5,27,?,?,surb={'id': '2ad45f1a-c42c-42d9-a80c-811c1700b907', 'route': ['p2', 'e8', 'i1', 'x4', 'p3', 'c3']}
1769482743.9284415,RECEIVED,1c148c4a-eadc-4869-88f0-162017aeb489,de3e08d1-4d42-4a97-9b8c-d07a37a0e109,c5,c3,27,p3,?,surb={'id': '63098ae0-28fa-4776-be52-c27499c8fae7', 'route': ['p3', 'e12', 'i4', 'x10', 'p2', 'c5']}
1769482744.1414216,RECEIVED,324591cd-4c22-4319-91b3-ef57fdee50ff,1c2b035b-cd4a-45e6-84c8-361554cfa739,c5,c3,27,p3,?,surb={'id': '15490c6d-f28c-4cc6-b21b-1d7725c6e2a1', 'route': ['p3', 'e5', 'i4', 'x1', 'p2', 'c5']}
1769482744.1562448,SENT,2f72e793-40b5-4c09-b49a-9574a5465de0,d17918ee-0ef0-4f2e-9b6c-a99678766a59,c3,c5,3388,?,p3,
1769482744.156375,CREATED,ad34892a-26f5-46d5-bfb5-eaf052125020,b4c2037a-ba3d-47c7-b192-67ba48155c02,c3,c5,27,?,?,surb={'id': '457728a0-75f9-42e9-aa60-f8556538528e', 'route': ['p2', 'e10', 'i3', 'x1', 'p3', 'c3']}
1769482744.2649388,SENT,a0d70554-4c08-4509-be58-955822b1bdd9,17c76afb-3eb5-4482-9f5d-a864a8f969e6,c3,c5,3364,?,p3,
1769482744.2651176,CREATED,fce0d8df-3759-486c-878d-fa59a76b6754,b4c2037a-ba3d-47c7-b192-67ba48155c02,c3,c5,27,?,?,surb={'id': '457728a0-75f9-42e9-aa60-f8556538528e', 'route': ['p2', 'e10', 'i3', 'x1', 'p3', 'c3']}
1769482744.6898599,SENT,b5b99237-9e16-4028-980b-538e2af7fa37,88f9729e-f1a6-461b-89f2-738902e11e45,c3,c5,3376,?,p3,
1769482744.6900144,CREATED,4e96f6c8-34fd-48b3-ad4b-887473418dbd,5877900c-c2ea-4e24-bdac-51eea1bf6c51,c3,c5,27,?,?,surb={'id': 'c5276d43-d379-4441-bb24-c28c899bbfd4', 'route': ['p2', 'e3', 'i4', 'x9', 'p3', 'c3']}
1769482744.7614894,SENT,5dacd1a7-1dbc-4d4b-9914-9db449f1653e,d675a474-b87a-41aa-abbe-b1e2206c4467,c3,c5,3354,?,p3,
1769482744.7616346,CREATED,8f5c1146-e9c9-4dc5-bfc6-8298a6becc38,5877900c-c2ea-4e24-bdac-51eea1bf6c51,c3,c5,27,?,?,surb={'id': 'c5276d43-d379-4441-bb24-c28c899bbfd4', 'route': ['p2', 'e3', 'i4', 'x9', 'p3', 'c3']}
1769482745.0601985,SENT,bb1e573e-3ada-4719-acb8-282669d584fa,a1b809ba-4a59-4d91-a5f4-2fffd2a66c4e,c3,c5,3381,?,p3,
1769482745.060346,CREATED,47e9c0a4-7ff7-4012-9092-6c06e6cfa73d,f9e0eb8a-3170-4df9-bae1-4ce33273994c,c3,c5,26,?,?,surb={'id': '0fa8d172-6364-4203-a110-36de5530900f', 'route': ['p2', 'e12', 'i3', 'x5', 'p3', 'c3']}
1769482745.1442578,SENT,ac2afdfb-658e-4141-b0e1-6ff97e706604,150486f9-7227-4800-b97c-2768fbde7141,c3,c5,3379,?,p3,
