timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769756551.623512,SENT,4f9d1da7-8cbf-45f6-81a4-61ce3fdbfed0,fa457228-6b0b-480a-880f-d459284de3b3,c4,c3,3401,?,p1,
1769756551.623657,CREATED,aa315d3a-d415-463f-b2e3-a8c17a2f90a4,1f073da7-996b-4bc4-ad6c-94e61a175a73,c4,c3,27,?,?,surb={'id': '9573c284-57e1-40b0-ae5b-6028ab48ba7a', 'route': ['p3', 'e6', 'i9', 'x3', 'p1', 'c4']}
1769756551.7385662,SENT,1886fc21-ce14-497f-a15c-f5410f97776c,0063c651-d76d-4342-bfa6-aba32dbcdbe5,c4,DROP,2027,?,p1,
1769756551.7386844,CREATED,a2db952f-8e1b-4ab0-bea7-4917fc52c608,745ec0cf-b351-40aa-92d5-32444f23883d,c4,DROP,27,?,?,
1769756552.1702383,SENT,7f36707d-16ca-4a2a-9c7a-d6adfeb80f62,f74c6bf9-6a04-473c-abc2-9b4160e7cb49,c4,c3,3397,?,p1,
1769756552.1703913,CREATED,b2e9c946-6bf9-4e5f-9be5-2e102b331ae3,2de00617-3e98-4b79-9e4e-7c8662998eaf,c4,c3,27,?,?,surb={'id': '54fed31c-821c-4f62-9c5b-524aeacb0d75', 'route': ['p3', 'e9', 'i10', 'x1', 'p1', 'c4']}
1769756552.8259518,SENT,794fc84c-1447-47eb-aa59-ad407e4f6381,515b735c-8a1b-4ecc-93bf-2c4ad24c6c4d,c4,c3,3399,?,p1,
1769756552.8261263,CREATED,595f4daa-4e6c-43df-93dc-e27136498f77,7d2add15-22d2-48cb-9524-addfacb2e46b,c4,c3,26,?,?,surb={'id': '0fd4f63b-c2a6-482d-986c-fbfd840bb4b9', 'route': ['p3', 'e2', 'i12', 'x4', 'p1', 'c4']}
1769756552.8376951,SENT,a1047312-9a9d-426e-a9a9-55dfff091a94,4209a756-c61d-4464-991a-81442c952d36,c4,DROP,2024,?,p1,
1769756552.8378122,CREATED,7d34966b-414e-48d4-b9cd-91ffe1248fa6,45380d9b-b8cf-4274-bee8-f633977b81e6,c4,DROP,27,?,?,
1769756553.0031197,SENT,80f2f0c9-5416-4a4d-92dd-ca1b1bdddcff,bf919dec-a789-4a78-b291-bb6c7ef362c0,c4,c3,3380,?,p1,
1769756553.0032535,CREATED,0e48f056-bc51-4675-aac7-7c4b216a4ff0,edc9ce04-7757-46ae-aa23-4a85c64cc10a,c4,c3,27,?,?,surb={'id': '777e73f7-8aaf-44f8-8b13-64c70a470d7f', 'route': ['p3', 'e8', 'i5', 'x5', 'p1', 'c4']}
1769756553.2196038,SENT,833705c8-5b21-4a4b-b219-20a1e8e80df6,3276dc9e-c9ef-4c7c-8a0a-8559a7c0dab1,c4,c3,3359,?,p1,
1769756553.2197542,CREATED,91bbe722-023a-429b-9992-efe4e48ae55f,dbafd3f9-ede2-48a9-939a-c459cb17a1fe,c4,c3,27,?,?,surb={'id': '0fe7058b-e1cc-408f-bf9a-df7ab9b9284b', 'route': ['p3', 'e1', 'i6', 'x3', 'p1', 'c4']}
1769756553.7122037,SENT,4466add2-c760-4cd2-8308-a5cf45976c2e,5205d420-0a21-4775-8577-7a8022242d3d,c4,c3,3367,?,p1,
1769756553.7123365,CREATED,fd34d707-0b59-4758-86ff-842ccaf4d101,8274da01-26ee-4959-a16c-f2378e5f427e,c4,c3,26,?,?,surb={'id': 'a6557698-9186-4344-9616-784843af9379', 'route': ['p3', 'e11', 'i9', 'x2', 'p1', 'c4']}
1769756553.8303385,RECEIVED,d59c71fc-d0b8-440e-b174-6cc99a1d07b4,92eb3d68-5466-4cbd-9cbb-2dd3f93a3a56,c1,c4,27,p1,?,surb={'id': 'a9a26900-ed3d-4708-a06d-382da3109d50', 'route': ['p1', 'e11', 'i5', 'x4', 'p1', 'c1']}
1769756554.2687626,RECEIVED,83489fd7-8347-4cfb-9efb-f29a22ad7718,7a27db38-78ad-4222-aca5-83c1b5a19195,c1,c4,27,p1,?,surb={'id': '0e9112c9-8d53-48d3-ab5f-c5c84f671a4c', 'route': ['p1', 'e12', 'i4', 'x10', 'p1', 'c1']}
1769756555.0155852,SENT,5ce98b4a-b95c-4cc2-a1ad-fd722b3a8d7c,8e22173b-7377-4b7d-ad52-71ddd0b18d5e,c4,c3,3396,?,p1,
1769756555.0157387,CREATED,c1da0551-4084-4f50-b5d6-17b6e8b1aea3,757f45eb-7c47-4136-b9ac-e38611b2e08b,c4,c3,27,?,?,surb={'id': 'bb3f3e75-d8fb-48c1-a9fc-a289170efa55', 'route': ['p3', 'e6', 'i2', 'x1', 'p1', 'c4']}
1769756555.1208377,RECEIVED,fc342521-b5ff-4ea1-a560-f4f59aed4167,87ea00b5-6887-4708-8ca7-6e5485c958a5,c1,c4,26,p1,?,surb={'id': '6c51ed6b-4150-4cc0-9af0-5e549b3c1fd5', 'route': ['p1', 'e12', 'i3', 'x1', 'p1', 'c1']}
1769756555.1506963,SENT,6dd1c409-4970-41bc-b93d-6e78dc3ffa0d,57f6c5fe-6a48-4022-aa04-d8595d4b0cd9,c4,c3,3374,?,p1,
1769756555.1508598,CREATED,7f732dc5-9c2e-4cbe-95f9-4650556d498a,8cd1d54d-f806-44ea-ba5e-8b923c443414,c4,c3,27,?,?,surb={'id': 'ed88a042-bd75-4ec0-8504-2bea8ff70b65', 'route': ['p3', 'e7', 'i11', 'x1', 'p1', 'c4']}
1769756555.5115166,SENT,8b7a1f67-69bf-4233-9a4c-4f6a1f31b8fa,17d641e7-f6a3-4c13-9c0f-71b9be5a0994,c4,c3,3360,?,p1,
1769756555.5116649,CREATED,127c5ea0-c2ea-4721-88e5-d4497567d508,44456f64-c4fe-41d9-96cb-2869c23dd9fe,c4,c3,27,?,?,surb={'id': 'd74ee9a2-4f7d-4eed-bb94-9e3c88df9e3c', 'route': ['p3', 'e6', 'i2', 'x1', 'p1', 'c4']}
1769756555.6977582,SENT,9d1110e7-bdca-4524-b209-d37a83fcaf29,948c9077-222b-4882-95c9-f9ae2e54a3b5,c4,c3,3371,?,p1,
1769756555.697914,CREATED,3ef65363-a34a-4038-b8df-158d1d7f172d,e5ead473-43db-473f-9efc-515f0ddac031,c4,c3,27,?,?,surb={'id': '80b3c56d-a048-4b7d-b614-b732b4c1bc41', 'route': ['p3', 'e6', 'i2', 'x8', 'p1', 'c4']}
1769756555.7623472,SENT,42e1d4fc-d856-4c6d-9f02-f73c88798bc5,13c21b56-c169-4799-bdaa-2a263f34fb0d,c4,c3,3399,?,p1,
1769756555.762507,CREATED,d1800ad8-dc4a-4d89-8b2e-f0fc52e4147e,5b86b9df-494b-4e12-9fa9-bb735b895ffb,c4,c3,27,?,?,surb={'id': 'd45b42b4-b9c6-43ab-ab14-e0ff7805508d', 'route': ['p3', 'e4', 'i7', 'x6', 'p1', 'c4']}
1769756556.5187387,RECEIVED,4ca6542a-8ba0-4a0b-b003-b114d8b3ca9b,27687c60-5dcb-4413-86f5-0da820703d7b,c1,c4,27,p1,?,surb={'id': 'f21164c0-fc76-4f0b-a9e5-7030961499a3', 'route': ['p1', 'e2', 'i12', 'x4', 'p1', 'c1']}
1769756556.660022,SENT,2dcee7fb-82ed-4550-bcb0-60fc3027f384,fb68d72a-b45b-42a2-9c77-f252a1708bff,c4,c3,3402,?,p1,
1769756556.6601856,CREATED,c859ecd4-c968-468d-aade-896987d6b7f0,e05ba846-a545-4a7c-89b2-88ac1b6be2a6,c4,c3,27,?,?,surb={'id': '440f8520-c3e2-4526-8554-c0c210e5cf43', 'route': ['p3', 'e10', 'i1', 'x12', 'p1', 'c4']}
1769756556.7450612,RECEIVED,0589a366-8795-473f-a4f8-402cdf2be214,5669dad2-92dc-4057-9a9b-2ef686a1777d,c1,c4,27,p1,?,surb={'id': '0c012c77-3902-4f76-9247-60c3765a0cf3', 'route': ['p1', 'e3', 'i11', 'x9', 'p1', 'c1']}
1769756556.8979607,SENT,aeb33d19-5bf2-47bf-ab8b-e6ec427493c5,89df81c3-e469-4493-9556-cc1dd7caf8f8,c4,c3,3383,?,p1,
1769756556.8981438,CREATED,8833f9ca-e9c1-4492-958c-210b6c28bb31,2302a375-1823-4c81-aaab-e7e2149cc7fd,c4,c3,27,?,?,surb={'id': '858fd014-18cd-4140-9059-c31e31ea45e0', 'route': ['p3', 'e6', 'i4', 'x6', 'p1', 'c4']}
1769756556.9167964,SENT,5fa56daf-bc4a-43a5-b77e-40ef8a34c7b6,9e5e4d18-fa4f-4dd8-b3e9-d3175f540b2f,c4,c3,3394,?,p1,
1769756556.9169316,CREATED,d334cbfa-f6c2-49ae-86f6-3adee5a9b0fb,b7f6f398-f2d9-4ae5-bc88-973b707bb221,c4,c3,27,?,?,surb={'id': '5af8eeee-ad0b-4376-9f5a-b8e0a391fba8', 'route': ['p3', 'e12', 'i6', 'x12', 'p1', 'c4']}
1769756557.0157623,RECEIVED,467ae493-fdcc-4a38-94b8-8dfe3cbe599c,ed84adc9-0d67-4fd7-9cbd-c388d16c92cd,c1,c4,27,p1,?,surb={'id': 'd8d4f39d-0689-41d6-9602-9f7178c2ea8e', 'route': ['p1', 'e11', 'i9', 'x1', 'p1', 'c1']}
1769756557.593713,RECEIVED,82afb844-48bf-4f16-928b-8d4391a7e6b5,aadbdbf9-8744-47f1-9e5c-b893f715a490,c1,c4,27,p1,?,surb={'id': '1cbee487-68d7-4ad4-a784-3bbe99057111', 'route': ['p1', 'e5', 'i9', 'x4', 'p1', 'c1']}
