timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769756557.239827,RECEIVED,b73362c1-7e11-464b-b1e8-0a83b5b43271,91e51035-9736-43f5-afef-b4cdd39a2bd7,c5,c2,26,p2,?,surb={'id': '15cfaed0-1de5-40ec-9157-57d1d4e92e3f', 'route': ['p2', 'e3', 'i9', 'x11', 'p2', 'c5']}
1769756557.4465659,SENT,49731b1a-c229-46a5-bdf9-c2899b871ec7,94730855-1991-4405-ab95-d53486a9c4cf,c2,c1,3395,?,p2,
1769756557.4467187,CREATED,e7fed1f1-d4cd-4bda-b569-f7c39d4fca9d,d98fed20-77b5-42ac-b31b-33a35cbd90ff,c2,c1,27,?,?,surb={'id': '02a72727-7ee3-4bc5-9f2a-cf348b8b5615', 'route': ['p1', 'e10', 'i2', 'x12', 'p2', 'c2']}
1769756557.8992941,RECEIVED,ebebe5fd-0f5c-48be-a2dd-ded944ae1dee,78494faa-cd13-4dab-a30e-18223c6f5ada,c5,c2,27,p2,?,surb={'id': '21503c84-67cf-42ff-93a9-a2b353ca8b25', 'route': ['p2', 'e6', 'i8', 'x3', 'p2', 'c5']}
1769756557.958766,SENT,c86af5f1-5edf-4f6f-9f84-73ca30b29021,0d04094b-02e4-4ae5-a2cc-e8f089e0c3de,c2,c1,3359,?,p2,
1769756557.9589224,CREATED,aa7df727-ae81-4bc8-8726-a1175a351f0b,4fa4c194-dd03-4bef-b941-fac575e31d2a,c2,c1,27,?,?,surb={'id': '7ec54b20-3738-4ebb-abb5-92f683030408', 'route': ['p1', 'e6', 'i6', 'x8', 'p2', 'c2']}
1769756558.1340325,SENT,a4b41f52-0842-4fcc-926e-77a4f1909763,1bcfe5a6-75c7-4730-bc30-27d952908948,c2,c1,3397,?,p2,
1769756558.1351004,CREATED,3eb3b051-c93d-4d04-887a-4e9406c33fec,1767e6c2-7a4f-48e2-8d83-8ab81c29d629,c2,c1,27,?,?,surb={'id': 'ab5a1ce3-8c79-4803-baf4-405ca0575ceb', 'route': ['p1', 'e9', 'i2', 'x12', 'p2', 'c2']}
1769756558.1424882,RECEIVED,d780c320-f667-4b20-bdce-5c6bd33f3e6b,bb7006a6-d10f-4dc7-9237-a637eca555a4,c5,c2,27,p2,?,surb={'id': '53a86e01-260e-4887-a155-c6131582a390', 'route': ['p2', 'e9', 'i4', 'x5', 'p2', 'c5']}
1769756558.4757388,SENT,fc1e8a20-d35c-4af0-992e-432cb98247ed,9d9019d0-2399-48ad-b07c-e10355396c97,c2,c1,3376,?,p2,
1769756558.4776144,CREATED,301a4a0f-d2b7-404c-9a55-7d55cc0a0ec9,05a36a28-e7cd-4889-80a9-df9e275ce84f,c2,c1,27,?,?,surb={'id': '6302ebe4-7b44-49f8-a62a-0acad5dc0b44', 'route': ['p1', 'e4', 'i2', 'x8', 'p2', 'c2']}
1769756558.4886055,RECEIVED,b2dcd804-9a56-4688-bd85-7baf52a0990f,5e929f35-524c-4368-b37e-7597cbed9959,c5,c2,26,p2,?,surb={'id': 'dc678ba3-b156-4d1e-87b1-bfe3823f31d8', 'route': ['p2', 'e5', 'i5', 'x4', 'p2', 'c5']}
1769756558.7284017,SENT,75d89a8f-556a-4fd6-8a54-bb8caa7606cc,08b93a93-59af-405f-9e3b-240f125d2df4,c2,c1,3395,?,p2,
1769756558.7285337,CREATED,48b664af-a023-48ec-a57f-f7058ade521a,9fa06dec-4c43-4884-8211-3f0afabde48e,c2,c1,27,?,?,surb={'id': '02505f07-c578-4633-a044-776699e69ab2', 'route': ['p1', 'e10', 'i2', 'x8', 'p2', 'c2']}
1769756558.9031606,RECEIVED,3251a0c6-8987-494d-9102-6b7584f67c08,715708db-823f-4c33-8950-40d4c2f39ded,c5,c2,27,p2,?,surb={'id': 'c0cbbd0e-d4c9-427a-bdc1-02f3bb04b846', 'route': ['p2', 'e10', 'i7', 'x11', 'p2', 'c5']}
