timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769763459.1217537,RECEIVED,f9ea5e7d-3ff9-4397-98e8-44c17819c3bc,aba0a1fd-0934-4fe1-86be-a021a15ee44e,c3,c4,27,p1,?,surb={'id': '7c33ebae-9c60-4494-9ffd-c0ce761ecee9', 'route': ['p1', 'e11', 'i4', 'x1', 'p3', 'c3']}
1769763459.3192453,RECEIVED,110c90c3-cd0e-45a3-ac75-f1b2e139f738,e09c6c40-301d-4fe7-9415-0e5f02b0bc09,c2,c4,27,p1,?,surb={'id': 'c35719ab-68b3-4c07-a3bc-89a6e357c2eb', 'route': ['p1', 'e12', 'i9', 'x11', 'p2', 'c2']}
1769763459.6001337,RECEIVED,245b7734-4dda-47f5-afb0-d716375a9fab,8e341a2a-17f7-4dc8-a42c-5b70992fe104,c2,c4,25,p1,?,surb={'id': 'd37384e1-5b73-484d-8066-5d29bd33cad0', 'route': ['p1', 'e3', 'i6', 'x7', 'p2', 'c2']}
1769763459.681567,RECEIVED,649308b4-bc37-4bb5-8cc5-0eb47ab0723a,9d15d76a-304d-46c7-84a8-285c03ccb2af,c2,c4,27,p1,?,surb={'id': 'c77ef90e-53b4-4b9a-af2e-184e8253e310', 'route': ['p1', 'e5', 'i1', 'x9', 'p2', 'c2']}
1769763459.7421746,RECEIVED,3eecca13-29bc-4ea7-8796-8803c37c725e,a1db094b-808e-4463-bd29-ce603718ecd5,c2,c4,27,p1,?,surb={'id': '264addae-722e-4b91-9e53-3b23c3d0fe9e', 'route': ['p1', 'e3', 'i9', 'x11', 'p2', 'c2']}
1769763460.0746033,SENT,668cb474-3e17-478d-9cbb-6e8abd2a5997,1ba6c1c1-882e-4145-9c97-6449932e6081,c4,c3,3359,?,p1,
1769763460.074754,CREATED,08ab3332-d4eb-4df1-aa75-370692fb2041,2418c167-dd17-469c-90c6-b3161cfd96dc,c4,c3,27,?,?,surb={'id': '24d40768-7067-4d47-852a-bc74d9bd1930', 'route': ['p3', 'e1', 'i6', 'x5', 'p1', 'c4']}
1769763460.0836825,RECEIVED,8780b50e-e9df-4c65-8f83-0cf9d1deb439,0de01441-9980-4c06-a1b9-f19cb7bf6b18,c2,c4,27,p1,?,surb={'id': '470fb70c-2e93-493d-aa1f-df8893be5dbb', 'route': ['p1', 'e12', 'i8', 'x4', 'p2', 'c2']}
1769763460.1894407,RECEIVED,321ac32d-8dfd-4c19-8682-d04f80f637ee,5e8f4e2f-b0b4-4353-a3a1-010e3b3152b7,c3,c4,26,p1,?,surb={'id': 'f3791d17-4a4d-457b-804f-399d559fd84e', 'route': ['p1', 'e1', 'i4', 'x1', 'p3', 'c3']}
1769763460.2953105,RECEIVED,60420801-f113-4787-81c7-dd30ec125d3e,fffabe98-43a2-40dd-8d0e-b35dcd1d106e,c2,c4,27,p1,?,surb={'id': 'eacb23b7-0793-4d39-b122-a292e066e061', 'route': ['p1', 'e7', 'i5', 'x7', 'p2', 'c2']}
1769763460.4787495,RECEIVED,ceee04ca-d58f-4c3e-b161-7a8ddce532c1,c9eb8ea9-fd45-4893-9a5a-51a4a408f930,c3,c4,27,p1,?,surb={'id': '359ff1ae-7c5a-4cdf-a9f9-a1939793d5c5', 'route': ['p1', 'e10', 'i2', 'x9', 'p3', 'c3']}
1769763460.5606213,RECEIVED,018bfd49-0821-4e86-a19d-d0015c340e9d,20690d0b-9c69-4021-89ec-6e9a6311cd4b,c3,c4,26,p1,?,surb={'id': '41df6eb4-0565-45f9-a4f8-a2712634ecb5', 'route': ['p1', 'e10', 'i4', 'x11', 'p3', 'c3']}
1769763460.766469,RECEIVED,9421482b-f781-4288-965d-1c62c5f2d7ad,a4c099af-fb81-4808-b304-c087aebdb4e3,c2,c4,25,p1,?,surb={'id': 'a3d4ff0c-0c32-4ef1-b4bc-4c013bc2e945', 'route': ['p1', 'e3', 'i2', 'x4', 'p2', 'c2']}
1769763460.7762792,RECEIVED,0543905c-95aa-4bcd-9976-c16bf73d1a1f,cf43998a-d0f8-4f1a-9ec7-7613f5141ca4,c3,c4,26,p1,?,surb={'id': '16993593-3e5c-4a8c-ac18-2d7ab8d0d932', 'route': ['p1', 'e8', 'i6', 'x4', 'p3', 'c3']}
1769763460.8818784,RECEIVED,065cb07b-29c4-4e7e-8784-d38dac2690c2,5ce27ddf-c4c9-45a3-b82e-13f2aea28887,c2,c4,27,p1,?,surb={'id': 'a104035f-3174-4686-a7cc-4f3387e2b16f', 'route': ['p1', 'e12', 'i5', 'x5', 'p2', 'c2']}
1769763460.9145782,RECEIVED,3b9cd96e-5f67-4cd5-8557-2a6c59393c27,31cb6085-1c56-461d-ac1c-998b0172625b,c2,c4,27,p1,?,surb={'id': 'eb57f01c-31d1-4db0-a615-7b535a5d0945', 'route': ['p1', 'e6', 'i2', 'x10', 'p2', 'c2']}
1769763461.0488,RECEIVED,f35619ab-c484-4e64-ba6c-59e888d4a94c,bbaea2ad-543b-41d2-9116-53e2da8feb1c,c3,c4,27,p1,?,surb={'id': 'c0003f6a-0840-44e5-b39b-39d8210fc2bd', 'route': ['p1', 'e8', 'i1', 'x3', 'p3', 'c3']}
1769763461.0899544,SENT,d31a58ae-9645-4abf-9811-0c0ca9f66369,ded82a43-60c1-40ce-b249-5297afd1cbc6,c4,c3,3377,?,p1,
1769763461.0900254,CREATED,a78f4ab8-6699-4252-a904-a13a3dbdffb6,690d32c4-b821-4f38-b21c-a7e9ca7bb686,c4,c3,25,?,?,surb={'id': 'e1c952a6-f468-4326-943d-e1a3aaa7ce00', 'route': ['p3', 'e10', 'i2', 'x3', 'p1', 'c4']}
1769763461.1787062,RECEIVED,367f50b3-a1e9-44be-a419-c0d24bba7e02,25f71b73-63b6-46ba-adc6-459e27890fea,c2,c4,27,p1,?,surb={'id': '9c6c6cd3-2415-46d9-b9a9-1962f3161640', 'route': ['p1', 'e7', 'i12', 'x3', 'p2', 'c2']}
1769763461.256317,SENT,72e7b293-64cf-45f9-b7a4-94ec2350b2d8,9344a0ce-152a-4e97-b91e-f162f69020c9,c4,c3,3369,?,p1,
1769763461.256495,CREATED,ae22d29f-17c6-4558-a820-44052cee59a1,e74573c6-a09b-43e3-b758-93b9d2563b33,c4,c3,27,?,?,surb={'id': '25c3c0fb-9469-442a-b6bb-2216c5cdfee7', 'route': ['p3', 'e3', 'i2', 'x2', 'p1', 'c4']}
1769763461.4832563,RECEIVED,2a84823f-5274-4ef6-9685-e1e9cf9f83db,f111b7f0-ec23-4c2b-8052-06b22c1c2a60,c2,c4,27,p1,?,surb={'id': '078f38eb-dc5b-46b9-95e4-1c7d624cd08c', 'route': ['p1', 'e8', 'i8', 'x11', 'p2', 'c2']}
1769763461.5500343,SENT,bde62e80-5d39-4f28-aaeb-3651983c82f2,f3f22925-e13e-444c-ba2f-e7e7e0a06566,c4,c3,3376,?,p1,
1769763461.5501678,CREATED,bcb9e9f2-6830-44b7-869a-b998e11920fe,dd21a09a-9f37-4445-a49a-54b5cf0fa238,c4,c3,27,?,?,surb={'id': '92c5b924-5d52-461d-ba55-d80a59efe8ae', 'route': ['p3', 'e8', 'i1', 'x9', 'p1', 'c4']}
1769763461.5925043,RECEIVED,d44496c1-6dfa-4add-b935-d16a89adf8f6,933542ad-cd14-486a-93cf-3b322473a41b,c2,c4,27,p1,?,surb={'id': 'e7621507-7156-4cfb-8266-0b592511da80', 'route': ['p1', 'e11', 'i6', 'x1', 'p2', 'c2']}
1769763461.696018,RECEIVED,cd676fb0-1411-4e19-a050-363221a97e76,70bb0c21-f0cf-4720-978e-96849bddf2b9,c3,c4,25,p1,?,surb={'id': '31521004-8f0c-434c-b16b-b408b50fd5d3', 'route': ['p1', 'e5', 'i6', 'x2', 'p3', 'c3']}
1769763461.8187723,RECEIVED,8fb6d7d7-40bc-4dd7-b8e0-0ba4e5523ef6,5a5192b5-fde5-4a17-a621-3e9a309d9921,c3,c4,27,p1,?,surb={'id': '94935351-4e94-46cb-9f23-de1cec2555a2', 'route': ['p1', 'e3', 'i5', 'x12', 'p3', 'c3']}
1769763461.8254457,RECEIVED,d5353108-470a-4413-9c4c-25fdb4a290ca,7d4bcaa2-be26-42d5-9bd6-ed0da1b74b99,c3,c4,27,p1,?,surb={'id': '6d9cc6e6-c123-4f06-ae89-a58fb79d77a7', 'route': ['p1', 'e1', 'i4', 'x1', 'p3', 'c3']}
1769763461.9280703,RECEIVED,e762daf4-0f15-42fd-8e1a-8cf4cd7cebdf,9b5e2c66-925a-405e-9110-14945fa8ab17,c3,c4,27,p1,?,surb={'id': '5fc44359-836c-4eb0-bd86-23f8228b6a88', 'route': ['p1', 'e9', 'i7', 'x6', 'p3', 'c3']}
1769763462.0301597,RECEIVED,ea938196-8adc-4d23-a292-840dc1aa7bc5,1378e76e-68bc-4d6b-8bb9-124bfdb4efe3,c3,c4,27,p1,?,surb={'id': '2043ab9c-2eba-4429-8279-5ade3154e8af', 'route': ['p1', 'e9', 'i6', 'x10', 'p3', 'c3']}
1769763462.1228313,RECEIVED,c33695e0-231e-426e-b342-e326e919aaa6,e0f247f5-fc46-4bbe-b3c8-89221a9ba8bb,c2,c4,27,p1,?,surb={'id': 'ff47db6d-8abf-4ed8-be90-5e90beae9654', 'route': ['p1', 'e3', 'i9', 'x12', 'p2', 'c2']}
1769763462.3338847,RECEIVED,3c097285-a079-4855-a756-02835c7ba3e3,db151c6e-10e4-483c-8fbe-4901f2524bfd,c3,c4,27,p1,?,surb={'id': 'aff7c899-a68f-42b1-a44b-520eebe7a75c', 'route': ['p1', 'e7', 'i11', 'x11', 'p3', 'c3']}
1769763462.3583627,RECEIVED,f3d5d6eb-2cbc-42f1-b9e4-83e59c416e65,651fb2f1-e42e-48dc-9f22-57c1ed4e4589,c3,c4,27,p1,?,surb={'id': '501ac791-fd05-4e41-b0b0-bd150ab2f096', 'route': ['p1', 'e7', 'i11', 'x4', 'p3', 'c3']}
1769763462.6048608,RECEIVED,50ec69b2-0bae-4d90-8168-6b208c089949,b31b2761-b40a-4d4a-a748-d30afb45ed3f,c3,c4,27,p1,?,surb={'id': '48adf775-bbaf-4422-bf9d-0f0d91b1f568', 'route': ['p1', 'e1', 'i7', 'x3', 'p3', 'c3']}
1769763462.7556503,RECEIVED,a0a8800f-76ef-426b-abbc-7499eba18cee,42592211-bbd5-4ccb-bd26-f61d854c55af,c2,c4,27,p1,?,surb={'id': '6101d6e8-8f40-4041-8638-18dac7e60301', 'route': ['p1', 'e5', 'i2', 'x1', 'p2', 'c2']}
1769763462.7575865,RECEIVED,c6cd63da-4c13-4f1d-af09-05f7ca6eec1a,6b57d20d-f5b0-4717-be8a-5996c49222df,c2,c4,27,p1,?,surb={'id': '5fb406a3-0cf4-48b0-a30b-28dd01c26af3', 'route': ['p1', 'e5', 'i11', 'x12', 'p2', 'c2']}
1769763462.7805321,RECEIVED,64dbed6a-3429-40a0-8cda-0953ce172a8a,03ef1194-bef1-4584-bfa9-2b242386f1e5,c2,c4,26,p1,?,surb={'id': 'f85886f4-5e1b-4530-8f30-26066203a34b', 'route': ['p1', 'e10', 'i5', 'x3', 'p2', 'c2']}
1769763463.2236366,RECEIVED,3a4cae5f-8665-4d96-918c-7967106c2f09,2158c7f3-4a17-4c1f-9887-a5a222e2f2c5,c3,c4,27,p1,?,surb={'id': 'a03a1726-783c-4d40-860a-414a0484e2f2', 'route': ['p1', 'e1', 'i10', 'x5', 'p3', 'c3']}
1769763463.329105,RECEIVED,d3af39ee-41eb-4dde-a2fd-2dd0077f8e4b,5a672b62-f372-4c98-ade8-7491c907c4a1,c3,c4,26,p1,?,surb={'id': 'f8faa815-e292-4ce7-a0ce-302f47d56320', 'route': ['p1', 'e11', 'i4', 'x10', 'p3', 'c3']}
1769763463.3645115,SENT,d52dcc44-843e-4929-9ba3-0b6acd1853b4,b3ed71d2-79a9-4b4e-896b-ce1bc1b1b980,c4,c3,3359,?,p1,
1769763463.364698,CREATED,c34f6a71-7f7f-4f46-a90e-48f19bda8828,4d543773-674f-4f9c-b8ab-145c759980a2,c4,c3,27,?,?,surb={'id': 'ac3978d3-9d6e-4811-a90f-3b52561e1020', 'route': ['p3', 'e3', 'i8', 'x11', 'p1', 'c4']}
1769763463.3862743,RECEIVED,d3f1c35f-ee4a-48d6-b3c5-d76fea8ae620,496d2594-63b1-46e7-a1ae-ad55c342f39c,c3,c4,27,p1,?,surb={'id': '700eeb55-4eec-4750-8cf8-6ddb1ab2567c', 'route': ['p1', 'e6', 'i11', 'x11', 'p3', 'c3']}
1769763463.4214318,SENT,128dd72a-8364-4a7d-8bc2-2521c8874c89,6fc1e1ef-b7eb-47ad-912b-a10b669fa9bb,c4,c3,3359,?,p1,
1769763463.4215844,CREATED,98f1a5e1-79e8-449d-a523-d2d23f9c2acc,7ed20df6-9fc0-40e2-a8d6-a741d48ed186,c4,c3,27,?,?,surb={'id': '32764555-38ab-4493-af76-2c16a6caebab', 'route': ['p3', 'e9', 'i6', 'x7', 'p1', 'c4']}
1769763463.5037365,RECEIVED,df45a698-4726-4060-a748-2844853fae7f,2e91a5bc-3bc0-43ad-8772-c2dfd012039d,c3,c4,27,p1,?,surb={'id': '51b99e95-3591-4478-96c3-80faf55327ba', 'route': ['p1', 'e12', 'i11', 'x4', 'p3', 'c3']}
1769763463.5528922,SENT,abcd8993-bb7e-4b7b-9f0c-9fe8f9d1e47e,90b669a7-0631-4ad0-be11-05aa27f293e7,c4,c3,3376,?,p1,
1769763463.5529532,CREATED,0a156ede-723f-4bdc-977f-7f127448a7b3,8e0495bc-98d3-4e38-b173-7c45e426e5ad,c4,c3,27,?,?,surb={'id': 'ecc03a4c-394e-4631-8ca0-efedfda5bcb9', 'route': ['p3', 'e12', 'i2', 'x3', 'p1', 'c4']}
1769763463.6621397,SENT,3b0cead9-301b-4c3e-8374-45dc45ce858b,02b1641f-76c2-4e87-b7ec-c643e74c34a4,c4,c3,3383,?,p1,
1769763463.6622016,CREATED,9df7892e-adcd-4294-b983-e101c30b2815,1dec22a3-b6f4-493c-93ff-ed8300ce1201,c4,c3,26,?,?,surb={'id': '6a2c5226-98d8-41e0-8aeb-76b5a4073801', 'route': ['p3', 'e10', 'i7', 'x6', 'p1', 'c4']}
1769763463.7270756,RECEIVED,829f2d2e-4199-41bd-a532-1b8c40acbf5d,950be044-9581-42c9-aaef-dfb92766d3db,c2,c4,26,p1,?,surb={'id': '1abfdf63-5942-456a-84c1-879a93880ad4', 'route': ['p1', 'e9', 'i11', 'x7', 'p2', 'c2']}
1769763463.8294516,RECEIVED,fd9c6249-56b7-4439-aae9-4042a2f9a829,31b977ab-1050-423c-9e48-463b663adebf,c3,c4,26,p1,?,surb={'id': 'fd441d16-ddb0-4fa6-b491-94820ea93ff0', 'route': ['p1', 'e5', 'i2', 'x8', 'p3', 'c3']}
1769763463.9055798,RECEIVED,c257f9bd-6ed3-4054-8b0f-1bac59280b60,88eaeda3-bb6d-4e90-936a-dc77d1c61f8c,c3,c4,27,p1,?,surb={'id': '9c131d23-3c32-4cb6-8184-48d5aca3f8bc', 'route': ['p1', 'e12', 'i9', 'x2', 'p3', 'c3']}
1769763464.0396671,SENT,8b45f78d-cb61-4b2b-baa1-a4f7d786068d,a2ec578a-cb08-4b6c-9685-c323520fa148,c4,c3,3388,?,p1,
1769763464.0397258,CREATED,8f3314f5-8d6c-4b50-b07f-71375688826a,79d4e906-a3e5-4cc7-848c-61a881834832,c4,c3,26,?,?,surb={'id': '9dd9e580-75e4-4491-b595-09a8f097a658', 'route': ['p3', 'e4', 'i9', 'x4', 'p1', 'c4']}
1769763464.168341,RECEIVED,d322f181-0f74-4a0e-8092-60ab3e4f3692,b7c8b0ef-97f2-4820-8a21-d1437d1ecd04,c2,c4,27,p1,?,surb={'id': '9a8b9c10-0b01-4222-b9f5-cc9b29ba6592', 'route': ['p1', 'e1', 'i2', 'x6', 'p2', 'c2']}
1769763464.2800064,RECEIVED,8ac861cb-d3d4-46a8-a02b-2f3411ad4718,7cce0632-2f88-43a0-a06a-ece3ebe11bd8,c2,c4,27,p1,?,surb={'id': 'aa409232-07d2-4a60-8fab-8043eaca3e94', 'route': ['p1', 'e3', 'i6', 'x3', 'p2', 'c2']}
1769763465.0686803,RECEIVED,f3d9ab9a-7792-4e57-9076-7106d60d2e59,3c43bd4e-b359-4552-913e-abce7414dadf,c3,c4,26,p1,?,surb={'id': '7224c801-91a4-4214-b40f-cb3d981ba1ff', 'route': ['p1', 'e10', 'i8', 'x11', 'p3', 'c3']}
1769763465.1095898,RECEIVED,e79bcc6e-ffac-48f5-ab8f-c68367733ec1,470bd281-86a9-4d43-bd33-9a0ac329da1b,c3,c4,27,p1,?,surb={'id': 'b9c26ef6-8b39-4ec4-819d-119b6a78d3c0', 'route': ['p1', 'e9', 'i10', 'x12', 'p3', 'c3']}
1769763465.7605324,RECEIVED,fb0e34d9-b776-4505-b8fc-d31f1f5a280d,a4b74a38-a121-4d89-8e5a-b6ab67ca2714,c3,c4,25,p1,?,surb={'id': '4c21de05-1928-471f-9f76-544135327867', 'route': ['p1', 'e9', 'i6', 'x11', 'p3', 'c3']}
1769763465.80314,RECEIVED,e1891f5e-715b-48db-94ec-4718d5f4f455,f6ee6d6c-2f09-4c16-bbb1-ddbafa852651,c2,c4,27,p1,?,surb={'id': '6540c590-e672-40ae-9dee-6b43d2ea7ff0', 'route': ['p1', 'e12', 'i11', 'x3', 'p2', 'c2']}
1769763465.8119102,RECEIVED,264abc78-1800-4db8-a535-9aafb971af59,7905dbff-3390-4df2-9813-586807faa433,c3,c4,26,p1,?,surb={'id': 'b965b686-7c10-40c7-a849-085c73e80c01', 'route': ['p1', 'e2', 'i1', 'x10', 'p3', 'c3']}
1769763465.8424742,RECEIVED,5fdb34c4-5e85-4d59-a6b3-0c18da310d06,d1a03692-0046-49f8-ba43-5a236f1d052e,c2,c4,27,p1,?,surb={'id': '53d87a82-7180-48c3-a4b1-12cc31336d87', 'route': ['p1', 'e2', 'i1', 'x8', 'p2', 'c2']}
1769763465.882825,SENT,5ec90a76-d407-4a56-81d0-ab44ef1a1fe9,1ee23526-815a-444f-9e7c-61b067e6d920,c4,c3,3353,?,p1,
1769763465.8829565,CREATED,23a1b92f-4132-4034-a5d7-a2e6f18153a0,3c6237e0-6113-4b65-b399-a77fdde40603,c4,c3,25,?,?,surb={'id': '6ecf302b-f6d2-4249-892a-cf0152dd6bcb', 'route': ['p3', 'e10', 'i1', 'x4', 'p1', 'c4']}
1769763466.0430045,SENT,1ecc0937-30b5-4ffc-8e8d-d8cd064db60f,95ec1d7a-b98c-492b-8bb6-db4355db6896,c4,c3,3391,?,p1,
1769763466.0431745,CREATED,eff8434f-cbe7-45d1-ba59-71382bff3bd9,7b404f6f-51f8-4f07-8a35-6689603f520b,c4,c3,27,?,?,surb={'id': '13a8b762-c7a2-4c79-8255-5d3295a77792', 'route': ['p3', 'e3', 'i9', 'x11', 'p1', 'c4']}
1769763466.0523863,SENT,53dbb6dc-4ed2-4eed-b58d-e83981136873,52f98223-bccb-4d7a-abbe-ab0147583c29,c4,c3,3380,?,p1,
1769763466.052517,CREATED,6c1540be-3ccc-4f38-a54b-1b0046f0ee9e,7ef34ba0-8e02-4986-9910-fec8230b8575,c4,c3,26,?,?,surb={'id': '0f174397-2da2-4f1f-8ad2-279b90dc5997', 'route': ['p3', 'e10', 'i9', 'x4', 'p1', 'c4']}
1769763466.091003,RECEIVED,efc48483-f645-4560-bd7a-eb4a266953c2,4e13ac41-275c-4035-bf97-0691628aa761,c2,c4,27,p1,?,surb={'id': 'c7c729f1-aa5d-4b00-8a06-725b44655160', 'route': ['p1', 'e11', 'i12', 'x12', 'p2', 'c2']}
1769763466.1483967,SENT,4aa14e55-a6dc-4afb-b5aa-6fdf347b25fe,bdc393f7-6280-401b-a2f8-4ebf25d7c788,c4,c3,3376,?,p1,
1769763466.1485302,CREATED,4a96052c-da09-4ed0-b82d-b23971c3fa16,72b0766c-b411-46dc-85d7-477d9cff094a,c4,c3,27,?,?,surb={'id': 'c67d14c2-db7b-4ea7-a8a7-2878f21c9452', 'route': ['p3', 'e3', 'i5', 'x7', 'p1', 'c4']}
1769763466.2890198,RECEIVED,ea8cc848-4ef9-438f-b251-949b3a62a842,56ed7dfa-56a4-43d9-a2f7-52aa8e55aa58,c3,c4,27,p1,?,surb={'id': 'b85b6a4e-939c-4588-9366-ac6ec0b1b02c', 'route': ['p1', 'e5', 'i8', 'x11', 'p3', 'c3']}
1769763466.2986639,RECEIVED,d86f1784-69a5-47b9-afd2-e82939e1c10a,9905371f-9406-4de7-8100-fb8ca2fd81cf,c3,c4,27,p1,?,surb={'id': '8658217b-66cd-4abc-8a48-1de03ebc6fcf', 'route': ['p1', 'e3', 'i9', 'x12', 'p3', 'c3']}
1769763466.3592396,RECEIVED,025daff8-0d5b-4b60-8430-e202150496f9,e2893b09-10f4-4e0f-82e5-884a3d966782,c3,c4,27,p1,?,surb={'id': 'd67d5f21-22ba-4d3c-823f-3ddd3a1ce379', 'route': ['p1', 'e4', 'i1', 'x2', 'p3', 'c3']}
1769763466.4719505,RECEIVED,b3267704-853b-4ffb-a7d7-de3ef6389e4a,25a77d37-33f9-4b7f-9a3f-500ad8f9b3a9,c2,c4,27,p1,?,surb={'id': '324c5da4-4968-4868-bc63-610a8f4a7e2b', 'route': ['p1', 'e6', 'i7', 'x6', 'p2', 'c2']}
1769763466.4853833,RECEIVED,d517b9f1-9026-495f-a015-9f698757c7ca,2f12a023-c5fe-4da7-b09f-dd344097dd4e,c3,c4,27,p1,?,surb={'id': '534de41a-fe10-4981-be8c-61b919473042', 'route': ['p1', 'e1', 'i9', 'x2', 'p3', 'c3']}
1769763466.9747515,RECEIVED,4847ba2e-11f5-4045-848b-e48a58120a23,24ee8ca8-d7ed-4267-8045-46f141a68f1f,c3,c4,27,p1,?,surb={'id': '380045c1-eb16-4a00-8a18-41376e4e2109', 'route': ['p1', 'e1', 'i6', 'x4', 'p3', 'c3']}
1769763467.2332058,SENT,f2350c7a-ec88-48e4-a547-ddbc44cf9f30,f7fedb49-6431-4094-968a-5361db026223,c4,c3,3377,?,p1,
1769763467.2333584,CREATED,8c8ad6d3-ac42-4343-b50c-8ebd366d0ec9,41ec8928-be68-4ab7-bf7d-caad29435640,c4,c3,27,?,?,surb={'id': 'a3fd25ff-f0a9-4661-93e4-8ad130dd8cbc', 'route': ['p3', 'e1', 'i2', 'x12', 'p1', 'c4']}
1769763467.8454554,RECEIVED,b769f44a-8023-41e6-a5fe-e58b008ac132,5e9aeb27-cab0-45cb-8e66-4b3fc5529a80,c2,c4,27,p1,?,surb={'id': '94c2e209-7297-4af8-bde4-7bb46c96fcf8', 'route': ['p1', 'e5', 'i9', 'x8', 'p2', 'c2']}
1769763468.1572378,RECEIVED,9304babd-807c-470d-8db5-c7278cd27fb0,355631fe-b03f-4a30-9c73-ce78751dc9ab,c3,c4,27,p1,?,surb={'id': '23d07060-85f8-478f-8812-22ab5103471c', 'route': ['p1', 'e12', 'i4', 'x5', 'p3', 'c3']}
1769763468.1810563,RECEIVED,c4f9616a-fd57-4d89-b633-01c4586475fe,8599dc23-3638-49c5-96b8-c739d551e1b3,c2,c4,27,p1,?,surb={'id': '2b1ebb84-e836-4346-81c9-2d45ca136cb0', 'route': ['p1', 'e4', 'i10', 'x3', 'p2', 'c2']}
1769763468.21997,SENT,18875875-bf6e-4781-b962-68d69d54a57a,d9755b1a-a956-40d3-bc5b-1889abad25c2,c4,c3,3377,?,p1,
1769763468.2200818,CREATED,6529a635-22d1-44a1-a300-bb2d183c5617,30995108-3500-450f-82a5-2fbd72e8323f,c4,c3,27,?,?,surb={'id': '768f5175-1881-4d4d-993a-c63b280992a2', 'route': ['p3', 'e7', 'i7', 'x7', 'p1', 'c4']}
1769763468.4358916,RECEIVED,36f7e3a8-bafe-4eb8-9807-12801b8e26f5,ffaab173-22b5-453d-9004-a7d7ca1c5567,c2,c4,27,p1,?,surb={'id': '7c40b19d-dc39-40b6-a6aa-890615bb4048', 'route': ['p1', 'e8', 'i4', 'x6', 'p2', 'c2']}
1769763468.4462829,SENT,3f68e88e-72da-4fc4-bcfc-5d5ccf22768c,4a826b72-e897-4eec-b070-296f16da61d7,c4,c3,3383,?,p1,
1769763468.4464405,CREATED,9818b9cb-edf8-471a-96ab-f8aa855361f8,0317001b-5dfe-4c05-b785-23e99807395e,c4,c3,27,?,?,surb={'id': 'db995839-0f1f-4b7d-99d8-7da9e24dad13', 'route': ['p3', 'e2', 'i2', 'x3', 'p1', 'c4']}
1769763468.566291,RECEIVED,381b32e0-13ee-4498-ac67-586fc987d8a2,1e77d3b8-f68a-47eb-ad80-0f2b3fed9ac7,c3,c4,27,p1,?,surb={'id': '116c54b1-d2fb-46c2-b3dc-026664b87276', 'route': ['p1', 'e9', 'i11', 'x12', 'p3', 'c3']}
1769763468.80941,RECEIVED,91ba978e-8a2c-48d0-a41e-bb5be9b8a7cd,b66d9386-9114-46e2-a8d4-fa8003d43f31,c2,c4,27,p1,?,surb={'id': '21abcf55-a421-4e1a-9a18-baa6a736a2d2', 'route': ['p1', 'e2', 'i4', 'x4', 'p2', 'c2']}
1769763468.8548822,RECEIVED,36129c1f-87e8-461e-ab9b-54f6b55b937c,fa7b859b-603e-4bae-a965-2af835dcc76e,c3,c4,27,p1,?,surb={'id': '653cfd30-3508-47fc-91f4-8d7d5bae5bc8', 'route': ['p1', 'e2', 'i7', 'x3', 'p3', 'c3']}
1769763468.9404135,SENT,7d82fcb4-883c-4e01-8564-5ccc21cfcbba,b472d261-a03a-41c6-abe2-f49f8dc825b3,c4,c3,3405,?,p1,
1769763468.9405744,CREATED,33b5cfec-9ec2-4383-920a-c9f342bffd10,a05141e5-bef5-4ac1-8405-d9988e6d6579,c4,c3,27,?,?,surb={'id': '499b1667-0ade-4300-90d2-070c04d50f5b', 'route': ['p3', 'e11', 'i9', 'x12', 'p1', 'c4']}
1769763468.9411287,RECEIVED,adce6137-862a-4d01-8313-28666d70ba6c,935204f1-6724-4b3f-b666-51b22d628c5d,c2,c4,26,p1,?,surb={'id': '31f4d337-9cfa-47f8-b83e-aa868acdadd0', 'route': ['p1', 'e7', 'i3', 'x9', 'p2', 'c2']}
1769763468.9557662,RECEIVED,b1106e13-7142-44b4-b6ef-62904b42029c,b8c25fe2-6e07-454d-b852-1b870258d43f,c3,c4,27,p1,?,surb={'id': 'be5b847c-430c-4ff6-9572-3ca4d8f09e3d', 'route': ['p1', 'e7', 'i5', 'x11', 'p3', 'c3']}
1769763469.4561224,SENT,35967758-cd9a-43c6-b73c-e16ba5d9ba06,846ace4e-7468-4eae-95c7-b0d3c9365045,c4,c3,3392,?,p1,
1769763469.4562817,CREATED,108bd081-f939-43dd-b333-4842fe77ea17,f2b3566d-cc6a-4b05-9795-6cdc26623764,c4,c3,27,?,?,surb={'id': '708fc08c-7666-4708-a231-d491c721dbff', 'route': ['p3', 'e1', 'i12', 'x7', 'p1', 'c4']}
1769763469.466027,RECEIVED,9a836f16-2b4a-4a4a-b009-c49d55adf6f8,c68b2f01-7bab-4841-95ed-0add351a6672,c2,c4,27,p1,?,surb={'id': '2de17433-e0a2-4c5e-8f91-02a3f4075a8c', 'route': ['p1', 'e9', 'i11', 'x2', 'p2', 'c2']}
1769763469.47233,RECEIVED,260e9cd8-4503-4084-a779-f8b03444341d,4472ab73-e5fb-48c0-962a-9d04319d36dc,c3,c4,27,p1,?,surb={'id': '4142bce8-f46d-4506-8d20-5607f2220342', 'route': ['p1', 'e8', 'i11', 'x3', 'p3', 'c3']}
1769763469.566772,SENT,5f3a1900-8c2f-44ae-afa5-341b83591da6,b34f68ab-6956-4765-b3dd-3b6d43a6d8ce,c4,c3,3368,?,p1,
