timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769763340.2233064,RECEIVED,b5c5b33c-e7b5-4c9f-802a-74e0e6d7d5ca,2de7f47c-96e2-41bc-a3bd-12ac8996bf7e,c3,c4,27,p1,?,surb={'id': '92c50127-2116-48de-a9e9-53ea2ed2d4a1', 'route': ['p1', 'e3', 'i10', 'x3', 'p3', 'c3']}
1769763340.3276744,RECEIVED,a607667b-0883-47ac-a0e0-3fad7030308e,f5233e41-721f-47f0-883f-e0473a1aa1c6,c2,c4,27,p1,?,surb={'id': '78c09f14-ae86-4624-a57e-180e1c3796cb', 'route': ['p1', 'e8', 'i11', 'x4', 'p2', 'c2']}
1769763340.960593,SENT,01ee006d-149f-4bc9-900e-abc065664dcb,67eac399-9256-4a52-85df-2fd6c2f3697f,c4,c3,3375,?,p1,
1769763340.960727,CREATED,1c1f8812-cdc5-40e9-8add-14aa1dc5ab82,b5b1347b-257e-477d-8008-de8277d9ef7c,c4,c3,26,?,?,surb={'id': '9e87d84a-1d5d-495d-991e-32a002bc851a', 'route': ['p3', 'e7', 'i10', 'x3', 'p1', 'c4']}
1769763340.9904199,SENT,bd82ebc0-4221-438a-b341-c3399738ffa9,c5877bcc-a66d-4dc8-a6ea-15742bcb9228,c4,c3,3372,?,p1,
1769763340.9905581,CREATED,3014c2ef-a9f2-453a-a040-0282ea848177,f2ca2fca-c604-40e6-9bc9-72bbc7438c82,c4,c3,27,?,?,surb={'id': 'df585a30-4505-456c-aa0b-138c2ad4aa46', 'route': ['p3', 'e5', 'i8', 'x9', 'p1', 'c4']}
1769763341.0448847,RECEIVED,59ee6b66-82ad-4228-9aab-f73d2de3d9b9,f582f893-68dd-4a27-aa73-cc81b0f88e6b,c3,c4,27,p1,?,surb={'id': '3b57f14b-caf9-407c-8a78-6c871e04f9cc', 'route': ['p1', 'e1', 'i12', 'x3', 'p3', 'c3']}
1769763341.1086311,SENT,6aa31229-5f6e-4877-a3ff-49ccf7a979d6,109b88bd-49b0-4221-8c39-7108128b62df,c4,c3,3392,?,p1,
1769763341.1087673,CREATED,0861618c-0cd8-4ee0-9513-0db66fcc8b53,b91afc3f-f2c3-4e64-b856-b3bee0765ba4,c4,c3,27,?,?,surb={'id': '0953230d-e77e-4487-bf4a-852b1f7c1208', 'route': ['p3', 'e6', 'i12', 'x5', 'p1', 'c4']}
1769763341.2604117,SENT,4d509ac8-26ff-4d7a-a0bd-0eee43c11ade,3c3d5a68-26e5-4eee-a149-f5b70fea1c29,c4,c3,3365,?,p1,
1769763341.2605505,CREATED,ab2fc692-ef04-4888-b5a6-d16c2f6f1080,e77fe785-507f-4719-9c77-26db56c6b6d8,c4,c3,26,?,?,surb={'id': '21987f27-9eb1-4534-9846-922baf74f8b7', 'route': ['p3', 'e5', 'i2', 'x1', 'p1', 'c4']}
1769763341.3328974,SENT,138faffd-fc84-4ec3-a3ea-35470c2d43b9,965f9dd1-c6b4-49f7-bf84-d967828ba4f0,c4,c3,3398,?,p1,
1769763341.3331118,CREATED,ed82938a-59c9-4a1d-a771-85cec820deb6,581b7089-a273-4e6f-88f5-1a6ce63f38c6,c4,c3,27,?,?,surb={'id': 'b480a8da-beca-4ced-8c4a-5879fbd49b78', 'route': ['p3', 'e11', 'i11', 'x12', 'p1', 'c4']}
1769763341.594824,SENT,86ff0454-d5f4-4472-9833-b22eb9a4a358,facb0ce3-61bc-4bf9-ba85-871e12fb2955,c4,c3,3388,?,p1,
1769763341.5949614,CREATED,1fdff2e7-a3ea-4a3c-9c55-40cead82c02e,7aa3fc1d-cbd6-4372-9506-5bcf76aae339,c4,c3,27,?,?,surb={'id': 'd0ddeccc-1954-41df-8705-db5e9900ba07', 'route': ['p3', 'e12', 'i12', 'x9', 'p1', 'c4']}
1769763341.7506273,SENT,5213e161-d531-4ca2-976b-0cf226a04cee,87cce346-6ece-48a6-af0e-8badbbbabb7c,c4,c3,3400,?,p1,
1769763341.7507606,CREATED,e38fc128-7f9f-4901-8c9e-871c58aaa8c4,2751852f-1152-4258-bfb6-824cab21a854,c4,c3,27,?,?,surb={'id': 'ded53272-f272-4626-82e1-32b5ed8342fb', 'route': ['p3', 'e6', 'i11', 'x5', 'p1', 'c4']}
1769763341.8978798,RECEIVED,c5120b3a-c329-4452-9a2a-ca5f226aa8bc,2076f26b-1a98-4d9c-8569-b53128b10fae,c3,c4,27,p1,?,surb={'id': '268a5b5e-b841-4e61-bc74-22f1a579e58d', 'route': ['p1', 'e9', 'i6', 'x2', 'p3', 'c3']}
1769763341.911716,SENT,c3cbec32-e4e2-4818-abbc-59512174ab4c,7d070d7b-3f0c-461b-8f1a-00c5f850436f,c4,c3,3388,?,p1,
1769763341.9118488,CREATED,e7b7b040-43fc-4be3-8edf-26ed989b33da,8c9d7449-256a-41f7-909c-98a3b7bc6b56,c4,c3,27,?,?,surb={'id': '93201fd6-aee0-4bb9-b96e-246c7358c765', 'route': ['p3', 'e10', 'i8', 'x9', 'p1', 'c4']}
1769763341.9386263,RECEIVED,3849c6e7-cdf4-4995-8331-dd50736e70fb,df09ba45-213f-4835-8a58-77deafeea8ae,c2,c4,26,p1,?,surb={'id': '715d7916-41e3-443d-ae46-0bab239e0d4a', 'route': ['p1', 'e7', 'i2', 'x7', 'p2', 'c2']}
1769763342.0143197,RECEIVED,381d9ce9-b128-4429-9b87-752b4e3a70f8,5a6f12f1-4ee2-4eff-8b90-348523d7d3c7,c2,c4,27,p1,?,surb={'id': 'c13b84f0-86a6-44f0-a61e-0ed9a50d915f', 'route': ['p1', 'e12', 'i8', 'x10', 'p2', 'c2']}
1769763342.2505343,SENT,467bc78c-334a-4cc6-9435-9ea6ee105161,2076f306-b11e-4a68-b16e-a076ebfc36d9,c4,c3,3375,?,p1,
1769763342.2506669,CREATED,1bc76727-bcd8-4f4a-82f4-5d01eb0d1b5c,acdd4779-63f7-46e0-8f3b-c3abb16a2a57,c4,c3,27,?,?,surb={'id': '265c2a1e-a136-449f-999e-e7824ce5100a', 'route': ['p3', 'e9', 'i5', 'x5', 'p1', 'c4']}
1769763342.6276898,RECEIVED,ca783385-3e4c-4703-85fc-50b077044b5b,2a74d724-75a3-49d1-beea-772e85310998,c2,c4,27,p1,?,surb={'id': 'e47593a5-17f3-4403-b338-5c379a5a5dbe', 'route': ['p1', 'e7', 'i11', 'x8', 'p2', 'c2']}
1769763342.8747659,RECEIVED,7cd7a1b2-3404-49c5-b803-06ec1cfe321b,19b0eccf-8357-4d9d-9def-74b77b234fd8,c2,c4,27,p1,?,surb={'id': '267be92e-e0f3-4709-b4d6-5ff5b0ed49ef', 'route': ['p1', 'e6', 'i8', 'x10', 'p2', 'c2']}
1769763342.9089441,RECEIVED,1dbe7338-658e-4afc-bcc8-e832bd726db3,a1367816-797c-4387-928f-d01321e66460,c2,c4,27,p1,?,surb={'id': '65c922fc-3eeb-415e-84ae-26cd069a4641', 'route': ['p1', 'e6', 'i3', 'x3', 'p2', 'c2']}
