timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769763341.0956182,RECEIVED,d4975db1-2f67-40b5-9021-3ca6fff1e005,d1d20788-7429-48ff-a439-515ca523fba4,c4,c3,27,p3,?,surb={'id': '12041d9d-fee8-42a2-ae6b-8ccd7e4349f0', 'route': ['p3', 'e8', 'i10', 'x10', 'p1', 'c4']}
1769763341.1586013,RECEIVED,39477d36-03e8-443e-96a3-deed2b6a46ea,0c89157d-92fa-4d92-a24e-99bc8b41f21c,c1,c3,27,p3,?,surb={'id': '48cfc165-4766-4a03-88ce-299f5b3adaa9', 'route': ['p3', 'e1', 'i4', 'x12', 'p1', 'c1']}
1769763341.1715991,RECEIVED,6c032461-6813-478a-b080-3b7f249ffcc5,0c38c133-53ea-436c-a096-725e4a11170c,c4,c3,26,p3,?,surb={'id': '8839c459-8c8e-4915-ab27-f98d5cfab20b', 'route': ['p3', 'e9', 'i10', 'x1', 'p1', 'c4']}
1769763341.472857,RECEIVED,90f3db60-cea0-4986-825d-8fb813e4872c,e7cfd30d-b4be-45fc-8968-a783c77fe2c6,c1,c3,26,p3,?,surb={'id': 'db34816a-e5fa-4798-8bbb-68bb4fee275a', 'route': ['p3', 'e11', 'i6', 'x4', 'p1', 'c1']}
1769763341.5008686,SENT,77acc88a-33d5-467f-9164-cc758a4ad1f3,159d738b-aee3-4ec8-8a79-68a8f2262e3f,c3,c4,3371,?,p3,
1769763341.5010014,CREATED,09959b31-b340-4ff6-a640-d514d886c37c,c0cce588-6fec-459a-9368-f0c4104d2cdc,c3,c4,27,?,?,surb={'id': '06dc3da2-52b1-46bf-8483-d78523c8e5fc', 'route': ['p1', 'e1', 'i1', 'x11', 'p3', 'c3']}
1769763342.0371833,RECEIVED,38ddb286-d88a-4d97-8002-c4f838458432,6036fe5a-a6ee-447c-891a-9f4c9c0278d0,c1,c3,27,p3,?,surb={'id': 'd29e1060-719f-4117-bc2b-5896d13d0821', 'route': ['p3', 'e6', 'i12', 'x4', 'p1', 'c1']}
1769763342.0508518,RECEIVED,c458ef2d-662e-4e00-b164-772c34413e22,a9d1a7ba-34cf-4e07-86b0-9a781915b3d5,c1,c3,27,p3,?,surb={'id': '915dba4f-69eb-4ebf-8f02-6c93574fa2b2', 'route': ['p3', 'e1', 'i9', 'x11', 'p1', 'c1']}
1769763342.1214345,SENT,a0ee8e68-4c61-4405-b5b6-7812648feef1,a843d12c-a4de-4c73-9bf1-e73e2a816076,c3,c4,3373,?,p3,
1769763342.1215558,CREATED,0d237d86-b4d2-41b2-9c92-6f97da570824,af003283-53b2-4686-8b40-eb1dcfa79857,c3,c4,27,?,?,surb={'id': '9e3d878b-e72d-4324-9429-f1f4d2e12583', 'route': ['p1', 'e5', 'i3', 'x9', 'p3', 'c3']}
1769763342.190469,RECEIVED,b88ce7ad-e847-4e1b-a40c-b890710eb802,d0722cf6-7f13-42d7-989f-f8ceffd1cc92,c4,c3,27,p3,?,surb={'id': '5e40b771-0d32-40c4-80df-106887a1a930', 'route': ['p3', 'e1', 'i2', 'x3', 'p1', 'c4']}
1769763342.234144,SENT,832c68a8-ee81-4aa2-a057-50ead9d52d30,61b08e48-b0bd-490e-903c-8715758733cd,c3,c4,3392,?,p3,
1769763342.2342765,CREATED,ca9b930b-80c9-43ca-a82e-a1b02955f03b,7294e400-cc1b-4bf4-ba74-84e44c8624e5,c3,c4,27,?,?,surb={'id': '5e88f866-aa06-4eaa-bb9b-ce6dda2db0d4', 'route': ['p1', 'e9', 'i9', 'x5', 'p3', 'c3']}
1769763342.3557873,RECEIVED,4ad42899-557b-4e96-a642-d91662b0e749,4f0743a9-1165-410f-a5f2-21945cb54a44,c1,c3,27,p3,?,surb={'id': 'bc94c40f-52ce-403c-9164-ce2d2aef9d23', 'route': ['p3', 'e4', 'i8', 'x5', 'p1', 'c1']}
1769763342.3923287,RECEIVED,bd287991-de51-4c22-8150-081f1a0d8834,2339e04b-c6e4-4f16-8376-6aa85b00df6f,c1,c3,26,p3,?,surb={'id': 'db3da5ee-21fb-4440-a837-86e17d6dc46b', 'route': ['p3', 'e3', 'i11', 'x10', 'p1', 'c1']}
1769763342.3983903,SENT,42c4d483-19cc-4c9b-8193-9b6df4ce8991,838bb2cd-5851-4874-9eec-b0888cf3e4d3,c3,c4,3360,?,p3,
1769763342.3985186,CREATED,3838a608-ee5c-4f96-93b2-7e260f25ab58,b8db3ae7-a679-4093-86d1-230d4f58a688,c3,c4,27,?,?,surb={'id': 'edeb0c13-f76f-4229-932b-0bf72ea67d13', 'route': ['p1', 'e8', 'i5', 'x7', 'p3', 'c3']}
