timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769752851.396994,SENT,285e9d2e-4ef4-43ad-9d3f-e06f4f03e977,0cf0eb27-5217-4c18-af4b-9a1a89737f24,c3,DROP,2023,?,p3,
1769752851.3971546,CREATED,eb4ac239-4670-4130-956e-a273c3b92218,d3ae8eb3-e2c7-4bf0-9cbd-b1788ea7e5cd,c3,DROP,26,?,?,
1769752851.6658897,SENT,142fbdf4-8ee1-462b-b96c-5046f6cbefee,63fcada7-801a-49fe-a140-b875f0919f2d,c3,c4,3360,?,p3,
1769752851.6660209,CREATED,12b6f92d-f3fe-4627-87fe-fcd826e50d35,57cd5494-0f0f-4131-ad07-20a0405509e5,c3,c4,27,?,?,surb={'id': '373641ac-5987-437a-b2e7-6df222065d2f', 'route': ['p1', 'e6', 'i5', 'x8', 'p3', 'c3']}
1769752851.6864207,SENT,9f3e445a-4cad-4285-b8d7-84050186b660,342c396b-d71a-437e-94c4-7a7c09277087,c3,DROP,2023,?,p3,
1769752851.6865413,CREATED,22e56a0d-9678-429c-b476-6976777b10bf,bf322151-3cd3-4074-b2b3-7ae829eb82e0,c3,DROP,27,?,?,
1769752851.811868,SENT,a2a34076-6826-41f8-a867-762526d21f29,9f6060e2-1d5c-4a0f-9172-fe8e028fc1bc,c3,DROP,2040,?,p3,
1769752851.8119843,CREATED,15c6a8ef-02d2-4aa7-96aa-3712301ca2cd,ee44b3d4-1f37-4c34-9edd-982ca92d1f72,c3,DROP,27,?,?,
1769752852.2860851,SENT,0ea9c6eb-818f-4ee0-8499-633fd077fc35,a68c5d65-d05e-482e-a3b0-55099eb872b6,c3,c4,3371,?,p3,
1769752852.2862446,CREATED,8ed5d53e-58fe-4f3e-a2b3-d1e2ee4c4a97,e3e2d3d7-14b8-4d22-aca5-170775e4c816,c3,c4,27,?,?,surb={'id': 'd980301d-2702-46bc-871d-a173b3a52edc', 'route': ['p1', 'e4', 'i9', 'x11', 'p3', 'c3']}
1769752852.713822,SENT,a88ec5b7-5af5-43bb-85bf-950a4febc8bc,53c86025-254c-4bb2-b50f-a17ad92c7f7a,c3,c4,3389,?,p3,
1769752852.7142549,CREATED,0a041e31-be27-46b3-bc1c-6474497afba4,443ddf04-86fb-4611-bdf0-ec8585abe52e,c3,c4,27,?,?,surb={'id': 'f4ff7b73-65e0-426c-92f0-ef97fb1c4e08', 'route': ['p1', 'e9', 'i2', 'x12', 'p3', 'c3']}
1769752853.010747,SENT,0806bced-cfb5-45af-a843-63ac71811ffd,eb667ef6-2182-42e1-93fc-f4c5159fe6c5,c3,c4,3376,?,p3,
1769752853.0108833,CREATED,2eed42aa-3e08-4607-a91b-1140341df24d,64ca934b-aa79-4add-98c2-036651cdb666,c3,c4,27,?,?,surb={'id': '048ca4fd-c82f-4929-8848-a659c34132be', 'route': ['p1', 'e8', 'i9', 'x7', 'p3', 'c3']}
1769752853.2407162,SENT,7907780d-3475-4098-988b-b2f747b1770c,2c81f39e-e1d9-4af2-8ed4-4f8df7caacd0,c3,c4,3375,?,p3,
1769752853.2408516,CREATED,e4e9bbbb-d6ae-4b24-9576-fec77666b769,449a3f8d-ca14-4ac8-9b9c-1543ee131416,c3,c4,27,?,?,surb={'id': '0615f058-d928-498b-baea-7906a5fb66a2', 'route': ['p1', 'e12', 'i1', 'x9', 'p3', 'c3']}
1769752853.2644007,SENT,76b81db4-1bca-4c3e-9342-35911c6e137e,f24cf999-2369-4740-8b18-8a6791bc9545,c3,c4,3397,?,p3,
1769752853.2645328,CREATED,315a3d3f-4640-4044-adce-bd88d9d3fcc7,969711b2-3c82-4346-9e3d-ca3aca3eea4d,c3,c4,27,?,?,surb={'id': 'da677a4b-d9f2-4a09-b449-84797da9f32b', 'route': ['p1', 'e1', 'i3', 'x11', 'p3', 'c3']}
1769752853.4486544,RECEIVED,ca4e4e5b-4ed0-4ebe-96ec-2a6848d65455,aa8129c2-df0f-49dc-865f-0d3ef9225b0b,c1,c3,27,p3,?,surb={'id': '8a1de46c-949a-48e9-9d2f-60bbcf7edcb7', 'route': ['p3', 'e3', 'i1', 'x10', 'p1', 'c1']}
1769752853.6258295,RECEIVED,7a7b328a-4b50-44ff-aa79-40f1a0409ab3,96f5700b-5ebe-4dda-94de-7987f7201e9f,c1,c3,27,p3,?,surb={'id': '7da0088a-08d0-4ae0-b372-36f4207d2343', 'route': ['p3', 'e8', 'i9', 'x3', 'p1', 'c1']}
1769752854.2111526,SENT,9bab3697-023f-429d-b47a-b0e1834c5e80,495ee7ae-00d4-4bf4-ae76-58e1c03183fa,c3,c4,3384,?,p3,
1769752854.2112854,CREATED,b347060f-fe00-4faf-bbcd-0fa51c882a95,e41363b6-c047-4eb0-be22-f6acf8373c88,c3,c4,26,?,?,surb={'id': 'a9c2f5ec-909c-4645-8372-66acb1b39ad0', 'route': ['p1', 'e12', 'i9', 'x2', 'p3', 'c3']}
1769752854.251246,SENT,be492e85-2c45-4ff7-8eee-9c9694e51333,bed074ee-75bb-49c7-8739-f987fe1517d7,c3,c4,3375,?,p3,
1769752854.251377,CREATED,8fa256eb-e304-466f-9091-1d470442f370,1e371916-e939-4ffc-9ea9-2cc4f543c7df,c3,c4,26,?,?,surb={'id': '20ec9b37-aac9-46ab-a13d-3e282b55ffa3', 'route': ['p1', 'e12', 'i3', 'x4', 'p3', 'c3']}
1769752854.2755952,SENT,e3fbd994-f494-4ec8-9b1c-b4ccb7111645,4189fd06-0e67-4ab3-8806-a4af89770c78,c3,c4,3362,?,p3,
