timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769443880.9821973,CREATED,238a6a50-8e80-47a8-b0d0-ae2b9b29ae01,118464c1-dc4b-4981-b4a7-62de631db83c,c3,c5,27,?,?,surb={'id': '761dcd1a-1b98-4dc6-8818-57f9e443591c', 'route': ['p2', 'e3', 'i12', 'x9', 'p3', 'c3']}
1769443881.1076186,SENT,d15c84d3-6b85-49b9-af30-398221b4b876,58d628e2-075d-4e95-bd2f-72990ba453ab,c3,c5,3383,?,p3,
1769443881.1077642,CREATED,1c8a56bb-bfad-4bca-9a1f-3d771be4ccaf,7e4e34e6-ce69-413d-9495-fd985fe78dbe,c3,c5,27,?,?,surb={'id': '5e272174-f6f0-4184-b1bf-6bd366b515d7', 'route': ['p2', 'e12', 'i4', 'x7', 'p3', 'c3']}
1769443881.49552,SENT,7e9c1fbe-a0bc-40bf-a05b-03345cee6c11,69c674b2-247e-4032-b8b8-9103c4b6b194,c3,c5,3368,?,p3,
1769443881.4956696,CREATED,eee96532-fd58-4663-ac48-84bf42a39e1e,d98473ed-dd54-48fe-883a-3463825f21b8,c3,c5,26,?,?,surb={'id': 'a04128bf-0144-425b-b887-ee700e3adc7d', 'route': ['p2', 'e6', 'i5', 'x12', 'p3', 'c3']}
1769443881.5531635,SENT,7cd6a1cf-0f8a-4677-b4fa-f86b9f876300,70959158-a8bc-4750-b2d4-7dc65650c6b2,c3,c5,3376,?,p3,
1769443881.553319,CREATED,cf624d30-9291-4f7f-8821-06ccefd1292f,ec6deeaf-eeaf-4a84-ab43-0176f692d9c7,c3,c5,27,?,?,surb={'id': '57a6b28e-78c3-462f-af81-86dc8d881604', 'route': ['p2', 'e1', 'i11', 'x9', 'p3', 'c3']}
1769443881.8427508,SENT,8f997d20-273e-4622-bd06-00f070c10860,29d6a7c6-8f00-4ae2-b660-954546be5247,c3,c5,3365,?,p3,
1769443881.8428946,CREATED,c8fe4796-b023-4157-a1b8-6b068121004e,ef128fbf-d1b3-44b2-827e-5db7729d4493,c3,c5,27,?,?,surb={'id': 'bb3f3ff1-fdec-45e6-906c-0476fab7b611', 'route': ['p2', 'e3', 'i6', 'x1', 'p3', 'c3']}
1769443881.8749008,RECEIVED,9bc70500-abfd-4674-b04f-c41951aa9959,89831309-4047-49ca-b40e-28af47c61586,c1,c3,27,p3,?,surb={'id': '73add601-26c1-4796-84d5-cb1addc95f31', 'route': ['p3', 'e4', 'i5', 'x9', 'p1', 'c1']}
1769443881.953332,SENT,05caaa89-0fce-4957-9d88-a33f1963a289,53724430-67a6-4dc1-8d3b-e6063da1b31b,c3,c5,3375,?,p3,
1769443881.9534798,CREATED,8c5a11b4-dcf0-425b-9caa-77f071a35f28,9e78c4b2-acd7-4d76-a5e1-691dbb073bad,c3,c5,27,?,?,surb={'id': '0672ac3f-d545-4a3b-b3d2-922f2ac8491f', 'route': ['p2', 'e8', 'i4', 'x6', 'p3', 'c3']}
1769443882.5202415,SENT,7fec59d7-7c8f-4b58-ac61-a5fdc924a549,04cd139e-8343-47a8-9b46-8c667abb96b6,c3,c5,3372,?,p3,
1769443882.5203898,CREATED,b82c27a4-bb36-45ca-acbb-3b502c11d320,675746b1-130e-4ff4-90f9-b00e82672cf3,c3,c5,27,?,?,surb={'id': '9afae168-5a80-4e5e-8b60-e338095368ba', 'route': ['p2', 'e2', 'i3', 'x5', 'p3', 'c3']}
1769443882.6316261,SENT,fd911602-fe04-4359-aacf-ef9eaed096c7,af4e0b68-0f7a-4ded-a52d-c923416babb7,c3,DROP,2027,?,p3,
1769443882.6317558,CREATED,d9027835-e812-41de-b773-4eb7143f1f35,1f75bcc9-d135-4b40-8514-95b8fa753b96,c3,DROP,27,?,?,
1769443882.8547926,SENT,d0fe9525-c2f0-4938-98f0-eb8bcbb141a5,c811206c-c81f-4610-834e-37185d408605,c3,DROP,2020,?,p3,
1769443882.854918,CREATED,25810b29-1113-42af-be72-2b7e6b13bc73,22d4a51d-e5d4-46de-a04c-ed75020ddc71,c3,DROP,26,?,?,
