timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769443881.5628002,SENT,9ba6d4ac-0a85-4cb7-a503-c9659303bae7,523e0b38-ecb1-4aed-9258-e209b67c2c91,c4,c5,3361,?,p1,
1769443881.56295,CREATED,bd06c759-2693-4a45-9a20-2ec32bd5c8e4,9cb7c618-0c75-4266-90ac-fd532f273ff5,c4,c5,27,?,?,surb={'id': 'c79355d9-081e-43d3-b732-7e6bbf0b51fb', 'route': ['p2', 'e6', 'i9', 'x9', 'p1', 'c4']}
1769443881.7951007,SENT,1ff6718f-a8ad-41f4-bda6-2b0272813b1e,9eb36108-6da2-4be2-9abb-4100cb6aa6cb,c4,c5,3400,?,p1,
1769443881.795272,CREATED,10079471-e04e-4823-87f6-e51dc5024ad5,11862b84-28a3-45c3-9380-cfc6dd36ee1d,c4,c5,27,?,?,surb={'id': 'f65bc6c7-6773-4c01-9c44-aa6fd7daf8db', 'route': ['p2', 'e8', 'i11', 'x7', 'p1', 'c4']}
1769443882.0654476,RECEIVED,9d438787-f416-4d24-a5e5-e697be3a4289,f16383ab-99a5-4779-8d87-44a19ac6f80c,c5,c4,27,p1,?,surb={'id': '6ae4129b-62a0-423e-b495-0610d46d02e4', 'route': ['p1', 'e8', 'i4', 'x2', 'p2', 'c5']}
1769443882.225778,RECEIVED,32d63f4c-8205-4dc0-b2a1-d508e8a883c8,74315dfe-968a-406e-9380-3dec171428a5,c5,c4,27,p1,?,surb={'id': 'ac3d2adc-7b25-4307-aae7-a6796b6d0e97', 'route': ['p1', 'e11', 'i5', 'x5', 'p2', 'c5']}
1769443882.7605689,RECEIVED,d33a0716-266e-4528-af86-d01b0b0add77,2e3bad2f-a856-43c7-8fa7-a72ae73763da,c5,c4,27,p1,?,surb={'id': '9d3c6749-24fa-4428-b0e3-4c732658a559', 'route': ['p1', 'e6', 'i2', 'x12', 'p2', 'c5']}
1769443882.8490372,SENT,7f80ea2b-63fd-427c-9d8b-e5d1083d011e,451bff34-5440-4ed1-99a9-107d4fdd8a0f,c4,c5,3376,?,p1,
1769443882.8492448,CREATED,0a2694d8-2db1-4d6c-a48e-5ccdddb0f0d3,fe8aa370-ab09-4d8f-96da-ff2833b633b8,c4,c5,27,?,?,surb={'id': '29c5fd33-8962-4b0e-a84d-f3b76df2a180', 'route': ['p2', 'e8', 'i3', 'x8', 'p1', 'c4']}
1769443883.1549218,SENT,800c18c4-f475-4de0-ae50-f11dac0f3e7a,7e3693a1-7838-4e5e-b042-941d05099219,c4,c5,3387,?,p1,
1769443883.1552958,CREATED,b7c855b7-e410-45db-86d9-9dd322c4af80,98ccbcc9-1aca-41cb-b607-e55e17b79af9,c4,c5,27,?,?,surb={'id': 'd12f5db0-ab20-4a7e-b6d6-c8a9f4e80958', 'route': ['p2', 'e5', 'i2', 'x11', 'p1', 'c4']}
1769443883.158193,RECEIVED,cdc72e71-a013-4780-b3d2-9fea3f7ce792,1bff1be7-4a0d-4824-9e88-8094aec57c83,c5,c4,27,p1,?,surb={'id': '4d6235e2-a9f1-4875-aad5-9acf14840145', 'route': ['p1', 'e7', 'i5', 'x8', 'p2', 'c5']}
1769443883.222961,SENT,ce2e5723-997c-46c2-9c1d-0e454b8342ae,9dd94138-3872-46b8-ad55-73e597da3a79,c4,c5,3384,?,p1,
1769443883.2232327,CREATED,87bec8de-a084-405b-a4c0-f98b2f91a420,fe56fe47-79ae-41bc-9010-22db8302152d,c4,c5,26,?,?,surb={'id': 'e4ebf225-6bf8-4709-91f9-cfcf6be103c8', 'route': ['p2', 'e7', 'i6', 'x2', 'p1', 'c4']}
1769443883.228264,RECEIVED,4a51166a-25ea-47c9-bd14-698633709307,43af8bc0-a748-400b-af2e-b46cb2e6c3c0,c5,c4,27,p1,?,surb={'id': '66a82551-7b75-4351-935a-315f885dca57', 'route': ['p1', 'e8', 'i6', 'x4', 'p2', 'c5']}
1769443883.3315337,SENT,011facbd-5d21-4851-800d-0a8d034fd0cf,5f694ae1-202f-498b-b3c1-bf366e71a24b,c4,c5,3376,?,p1,
1769443883.3316798,CREATED,4ad64073-8209-4fbf-93c3-2d5ec8cb5937,5fc32742-0610-4722-b1f1-58ae21ee5c23,c4,c5,27,?,?,surb={'id': 'e5776c34-88c3-45a1-8552-7f0bbd41303e', 'route': ['p2', 'e1', 'i9', 'x4', 'p1', 'c4']}
1769443883.4437864,RECEIVED,c8dc7825-c0e5-4236-80ad-f73669ee8f68,a42160ca-fc91-414c-8a92-28d65bceaeb3,c5,c4,26,p1,?,surb={'id': '9250ae1a-9af7-4581-8d9d-56789ec59a8f', 'route': ['p1', 'e9', 'i11', 'x4', 'p2', 'c5']}
1769443883.568487,RECEIVED,88660af3-2104-4ada-9240-566b9e66d41b,0d2c01ee-2e69-4303-a6fb-a8beb8b64083,c5,c4,27,p1,?,surb={'id': '488dccf4-baf1-4bf2-9453-9a016c60372e', 'route': ['p1', 'e3', 'i12', 'x10', 'p2', 'c5']}
1769443883.6812794,SENT,0ffab34e-125b-4d93-b420-48c9da344f02,50e11087-8cf6-4058-9d0d-f520a230d964,c4,c5,3369,?,p1,
1769443883.681429,CREATED,19054c9b-739d-4431-a9e1-9467c8dc6b92,4ffe3d3d-22cd-4d85-9ded-234d06a901a8,c4,c5,26,?,?,surb={'id': '67662f88-7040-4df0-95d1-5ddf79cab929', 'route': ['p2', 'e11', 'i6', 'x8', 'p1', 'c4']}
1769443883.7874987,SENT,265ce0e6-2bf6-446d-99f1-be6feb84b8b6,f4885b81-e149-4132-aca7-58b07607491a,c4,c5,3394,?,p1,
1769443883.787649,CREATED,1a8c1277-73ac-4f8e-bcef-452e8f6bc80c,2cc20073-5957-4d8e-874f-609a12b986c9,c4,c5,27,?,?,surb={'id': 'c7010a3c-804b-480f-9359-6d2d2e4476f4', 'route': ['p2', 'e6', 'i10', 'x10', 'p1', 'c4']}
1769443883.8512385,RECEIVED,0c46123f-43b8-4453-b0ef-622b2f0c9235,44ffcdf9-cca7-4bc6-8716-eca94fb3e507,c5,c4,27,p1,?,surb={'id': '1dd93b97-fed9-4333-9f80-ba227e490d0e', 'route': ['p1', 'e8', 'i7', 'x10', 'p2', 'c5']}
1769443884.041765,RECEIVED,e60d24a3-94d6-4d85-85e6-e3ba21160659,a53f8a7c-e622-4ff9-8ce5-1b88c1728054,c5,c4,27,p1,?,surb={'id': 'ef33c5da-07fb-4087-b62e-851070eeb810', 'route': ['p1', 'e1', 'i1', 'x12', 'p2', 'c5']}
1769443885.1128776,RECEIVED,9b5c69ee-095d-403f-b43f-231fdbda5a6c,2e99dced-c6a6-49fa-b070-4420bc890f99,c5,c4,27,p1,?,surb={'id': '1d0557d1-24eb-4289-bcc8-8e81e3975180', 'route': ['p1', 'e10', 'i12', 'x12', 'p2', 'c5']}
1769443885.4058611,SENT,b728bc5c-b9cb-48c7-b459-b596151b4bcd,61712c9c-7072-4474-b99f-07bedb049656,c4,c5,3384,?,p1,
1769443885.4060223,CREATED,09c27de1-8598-4304-b327-057369341f11,537c0b8e-c876-4fdf-8c49-043f3e10eb83,c4,c5,27,?,?,surb={'id': '0100789f-9ea8-437f-82ca-c4d42150077f', 'route': ['p2', 'e10', 'i8', 'x10', 'p1', 'c4']}
1769443885.7947888,RECEIVED,ef0821fd-a778-4f4e-b84e-6be06bb0735c,d11039d8-9c1c-4e63-87fc-97a7f51cb855,c5,c4,27,p1,?,surb={'id': 'd530cac3-1011-4766-9595-3ff3cec2c2ec', 'route': ['p1', 'e10', 'i11', 'x6', 'p2', 'c5']}
1769443886.0728765,SENT,95c223b3-56fd-48f8-b556-138d10a6c771,2fdf1b38-11cb-474d-bf13-1cbb43e5f35f,c4,c5,3399,?,p1,
1769443886.073029,CREATED,ff59a128-8de0-417f-afc3-6c2b4b24285f,8de7422c-ec21-4cb8-8a9e-4f05d6d56f5b,c4,c5,27,?,?,surb={'id': '6973477c-97d2-4e02-acb6-a99ef00f4471', 'route': ['p2', 'e7', 'i8', 'x12', 'p1', 'c4']}
1769443886.128933,SENT,9fbfa1a7-a185-4f94-97f4-b2dca923a512,522b1c53-8134-4bd0-9941-56512ebe4560,c4,c5,3385,?,p1,
1769443886.1291072,CREATED,88d533bc-aa7d-4213-8f4d-f5c179788745,21a2f3f2-b837-460f-919f-715b9e824e6c,c4,c5,27,?,?,surb={'id': '15ac39e2-c503-4c12-a082-ca1b5d862b95', 'route': ['p2', 'e4', 'i6', 'x12', 'p1', 'c4']}
1769443886.2093248,SENT,3a0e73e3-20a7-4f57-8866-83b2dd7a84c4,a1850a22-cb73-4994-b543-257be7ffe68a,c4,c5,3359,?,p1,
1769443886.2094774,CREATED,765862ba-6441-42c9-9b03-b7a500caaac7,ce45e174-50ab-45af-803d-d097dada2b72,c4,c5,27,?,?,surb={'id': '03e6d2d5-4442-4a23-a35b-b27d4df76e58', 'route': ['p2', 'e10', 'i4', 'x7', 'p1', 'c4']}
1769443886.3201108,SENT,b6af5c6a-1219-411e-ac96-daa9c9da8067,03fcb092-60b1-440a-b6c8-a2ca8ae13640,c4,c5,3388,?,p1,
1769443886.3202627,CREATED,b8a52296-051e-48ec-9e00-0f2a77543680,c80babb8-45fe-4b74-be4e-b6183e236931,c4,c5,26,?,?,surb={'id': 'ecbce745-84b1-48c7-9d63-3e43a4be640d', 'route': ['p2', 'e10', 'i11', 'x6', 'p1', 'c4']}
1769443886.410952,SENT,14ab6dee-ecc1-42bd-9e95-b26689b999e5,cac81029-e2f3-4513-a7dd-ff0e0f2ac5ab,c4,c5,3375,?,p1,
1769443886.411221,CREATED,75dd8ab0-129f-4550-a62a-56defc12426e,423a1597-a657-4bb1-859d-b39f5d5c1407,c4,c5,27,?,?,surb={'id': '6ebbc2c8-106e-4872-a635-8d48c8bdf84f', 'route': ['p2', 'e1', 'i10', 'x6', 'p1', 'c4']}
1769443886.7152188,SENT,35264e7e-7d23-4071-a5fe-df49f12bb3be,2704d75e-21e3-4a14-bc85-71a4504b09f3,c4,c5,3387,?,p1,
1769443886.715379,CREATED,0fc9b463-2205-4d61-81fb-4b23c44172b4,de093358-72a8-4438-bee2-f76d2985410b,c4,c5,27,?,?,surb={'id': 'c2a581c9-d810-4c84-8c61-6a2468aa57a7', 'route': ['p2', 'e2', 'i9', 'x10', 'p1', 'c4']}
1769443887.0369647,RECEIVED,ac846cca-c15b-4c88-8560-0e60c919559e,16e6aca7-791c-467a-8b63-efb7db70db8d,c5,c4,27,p1,?,surb={'id': 'd2cb3ae6-a803-45ca-a6d0-596d743d9c5a', 'route': ['p1', 'e5', 'i11', 'x11', 'p2', 'c5']}
1769443887.0720882,SENT,f368e1e4-7d17-47a6-a026-3cfdd71fbe8e,bf55dd62-a92a-407d-a5cc-2336c9896196,c4,c5,3360,?,p1,
1769443887.0722444,CREATED,949f02c3-1a0c-446e-8df7-6708d7c94768,af7a4816-38db-4df7-a092-594c4eb0fbaa,c4,c5,27,?,?,surb={'id': '4116f7f0-4c2d-48d5-ae8c-9429ccd55f58', 'route': ['p2', 'e3', 'i6', 'x8', 'p1', 'c4']}
1769443887.1161475,RECEIVED,a2cc2157-60c9-4a2e-add0-2a5d133fb9b3,fc6a1c88-f958-41d0-bb74-bc5ce7f8631c,c5,c4,27,p1,?,surb={'id': '788b4f4b-0bf3-431f-bf5b-526b9339020e', 'route': ['p1', 'e3', 'i11', 'x1', 'p2', 'c5']}
1769443887.2533734,RECEIVED,7d97093a-ddc9-45d7-8068-156aeb43a895,98e5a0f4-7e5d-4ab6-b80d-4e4f1bd8179a,c5,c4,27,p1,?,surb={'id': 'c09db455-8f8d-49ca-bcba-b65e6b824e29', 'route': ['p1', 'e12', 'i6', 'x1', 'p2', 'c5']}
1769443887.957414,SENT,3c3fc3ff-76de-4852-b2ce-d72c26cf6001,f10b0874-c392-495c-bbdf-c9c6a716110d,c4,c5,3396,?,p1,
1769443887.957575,CREATED,2838ef79-94f1-4c4b-82ae-a37d33abe368,5205093f-9ee4-4dfe-850d-46c5a639e44d,c4,c5,26,?,?,surb={'id': '1d59a6bb-b446-440f-b9fe-7e99e3203d61', 'route': ['p2', 'e10', 'i5', 'x11', 'p1', 'c4']}
1769443888.1813214,RECEIVED,8a8eebd8-4779-45ca-8535-dc3c82649dae,ca85a184-d1b1-480d-9ecc-b4aaf1743ce6,c5,c4,26,p1,?,surb={'id': 'db6301a9-ad24-43bc-9aec-65cd6c75c309', 'route': ['p1', 'e9', 'i8', 'x9', 'p2', 'c5']}
1769443888.2199318,SENT,81d9555f-46a0-40be-867a-6c068bebd10b,6ae8d6af-6988-4efc-bbc2-175e953fa89e,c4,c5,3371,?,p1,
1769443888.2201335,CREATED,51918ae2-3291-4cad-bdad-37ab14c2eb08,faa2978e-53c5-4e00-a18f-469a4bde2eb5,c4,c5,26,?,?,surb={'id': '5a8d99a6-26ff-4ac8-ab5e-a3a23bc92729', 'route': ['p2', 'e6', 'i2', 'x9', 'p1', 'c4']}
