timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769443881.5777514,CREATED,e60d24a3-94d6-4d85-85e6-e3ba21160659,a53f8a7c-e622-4ff9-8ce5-1b88c1728054,c5,c4,27,?,?,surb={'id': 'ef33c5da-07fb-4087-b62e-851070eeb810', 'route': ['p1', 'e1', 'i1', 'x12', 'p2', 'c5']}
1769443881.6647325,RECEIVED,a6bd6bab-f048-4f2c-9c48-ae74ab9e33bf,deb016bb-ee0d-4f34-8889-4de1fed6136d,c3,c5,27,p2,?,surb={'id': 'dba30091-22ad-4ecc-bed7-13c41c73f537', 'route': ['p2', 'e9', 'i12', 'x6', 'p3', 'c3']}
1769443881.8286233,SENT,fd203381-9422-460b-be44-912c8ed9d0e2,b6a92db3-ebb9-4e56-bcd8-f3fb0a8dcad8,c5,DROP,2019,?,p2,
1769443881.8287566,CREATED,e116f333-fb07-464b-a552-8e982b50bc32,2af1aa09-3fd0-46de-97f8-f3b4969400ca,c5,DROP,27,?,?,
1769443881.8802977,SENT,51e20e5f-b7c5-4e9f-a72d-660abb00fdac,c7bd8fc4-fc4b-4ae7-8c9e-3cfb7507e383,c5,DROP,2032,?,p2,
1769443881.8804362,CREATED,d18beb88-95c0-4751-a9a4-bbc4432401e3,c0ca0584-9582-4c42-b931-4fc53b3322e7,c5,DROP,27,?,?,
1769443881.9179578,RECEIVED,6333547c-53b0-4295-b94e-5be93eee3b92,c400eed4-b04f-4c2b-9361-2a7782ddd01f,c3,c5,27,p2,?,surb={'id': '43aedfcb-3766-4beb-b248-81cfe919c1df', 'route': ['p2', 'e12', 'i4', 'x4', 'p3', 'c3']}
1769443882.2484405,RECEIVED,baf6406b-5567-4809-8aa9-9ab726c2ab32,a6fd4b64-7975-4bf2-9c64-a358a699a185,c3,c5,27,p2,?,surb={'id': '69dfbb41-3915-4150-93c7-99aa76dbe904', 'route': ['p2', 'e7', 'i11', 'x9', 'p3', 'c3']}
1769443882.3363497,SENT,4b5a1343-923b-4b33-ac17-46c112c4e56a,f595ff12-04a3-4a1d-ae56-6494ba28c487,c5,c4,3387,?,p2,
1769443882.3365145,CREATED,c8dc7825-c0e5-4236-80ad-f73669ee8f68,a42160ca-fc91-414c-8a92-28d65bceaeb3,c5,c4,26,?,?,surb={'id': '9250ae1a-9af7-4581-8d9d-56789ec59a8f', 'route': ['p1', 'e9', 'i11', 'x4', 'p2', 'c5']}
1769443882.5589187,RECEIVED,c22d1098-645f-40ed-abba-3711935f4a92,d7ba8276-ae31-4003-b344-898711b6a8fc,c4,c5,26,p2,?,surb={'id': 'e1899f9b-10bb-4334-af3b-9daf98b9f676', 'route': ['p2', 'e2', 'i9', 'x3', 'p1', 'c4']}
1769443882.5767705,SENT,51b16e28-0385-4e80-ba8c-d297e667c326,da4b403f-7e7f-4a85-bfca-ae3ff4f8a12d,c5,c4,3396,?,p2,
1769443882.5769172,CREATED,a2cc2157-60c9-4a2e-add0-2a5d133fb9b3,fc6a1c88-f958-41d0-bb74-bc5ce7f8631c,c5,c4,27,?,?,surb={'id': '788b4f4b-0bf3-431f-bf5b-526b9339020e', 'route': ['p1', 'e3', 'i11', 'x1', 'p2', 'c5']}
1769443882.59286,RECEIVED,32770668-a89b-4f76-a156-2e04e1b7d400,38f32aff-aeec-43ee-8628-86a7466253d6,c3,c5,27,p2,?,surb={'id': '82562353-14ff-43a4-a5f8-5276f71c896a', 'route': ['p2', 'e2', 'i9', 'x3', 'p3', 'c3']}
1769443882.6063995,RECEIVED,eee96532-fd58-4663-ac48-84bf42a39e1e,d98473ed-dd54-48fe-883a-3463825f21b8,c3,c5,26,p2,?,surb={'id': 'a04128bf-0144-425b-b887-ee700e3adc7d', 'route': ['p2', 'e6', 'i5', 'x12', 'p3', 'c3']}
1769443882.6687934,RECEIVED,54357030-c317-4a18-a663-433f53a6b367,e22b714b-c4e6-40c4-b57b-22db0547cfb9,c3,c5,27,p2,?,surb={'id': '02f5ebb1-2b48-4474-8a27-80aeb7a847a2', 'route': ['p2', 'e11', 'i6', 'x6', 'p3', 'c3']}
1769443882.7149594,RECEIVED,df83a512-6701-4e4e-9b9d-ef9758942c1a,f9a99df0-1071-4efc-8f74-e2131c548c7e,c3,c5,27,p2,?,surb={'id': '72500621-0cde-4da4-b119-67fbcd72e648', 'route': ['p2', 'e5', 'i5', 'x7', 'p3', 'c3']}
1769443882.7894254,RECEIVED,238a6a50-8e80-47a8-b0d0-ae2b9b29ae01,118464c1-dc4b-4981-b4a7-62de631db83c,c3,c5,27,p2,?,surb={'id': '761dcd1a-1b98-4dc6-8818-57f9e443591c', 'route': ['p2', 'e3', 'i12', 'x9', 'p3', 'c3']}
1769443882.793668,RECEIVED,38696c45-0c93-49c3-8907-fc680559886e,fe306f77-c719-4350-a7e2-924267ab76ce,c4,c5,27,p2,?,surb={'id': '5ee40e47-93d7-4744-8c67-d79f5d6bb361', 'route': ['p2', 'e9', 'i12', 'x9', 'p1', 'c4']}
1769443882.80715,RECEIVED,d54dfc71-d8ac-40fa-aeda-c97a0d1c1af1,d13db419-5c9a-4cb4-a1ba-979261751d9d,c4,c5,26,p2,?,surb={'id': '3633b1ca-b506-4e08-8cdf-88694b14657f', 'route': ['p2', 'e9', 'i10', 'x10', 'p1', 'c4']}
1769443882.8675103,RECEIVED,627eb383-abf6-4de0-be36-189da2490e5b,5243d1c4-2394-4f2c-97bd-a548f6ee33e8,c4,c5,26,p2,?,surb={'id': 'e18e03af-efd8-46ab-8ac8-e79255c555a5', 'route': ['p2', 'e6', 'i9', 'x4', 'p1', 'c4']}
1769443883.0634618,SENT,f1ac540a-63c1-4386-8cf9-2069c1ee30b2,1e40cccd-9ae0-43e9-83fe-63ce0d248b9d,c5,c4,3385,?,p2,
1769443883.0636172,CREATED,9b5c69ee-095d-403f-b43f-231fdbda5a6c,2e99dced-c6a6-49fa-b070-4420bc890f99,c5,c4,27,?,?,surb={'id': '1d0557d1-24eb-4289-bcc8-8e81e3975180', 'route': ['p1', 'e10', 'i12', 'x12', 'p2', 'c5']}
1769443883.1838923,SENT,f8eea9c1-7ec6-486b-8e5a-bdf3ec210dce,7ccabdb0-5f0e-4d65-94ac-caf6dce13afd,c5,c4,3379,?,p2,
1769443883.1846607,CREATED,ef0821fd-a778-4f4e-b84e-6be06bb0735c,d11039d8-9c1c-4e63-87fc-97a7f51cb855,c5,c4,27,?,?,surb={'id': 'd530cac3-1011-4766-9595-3ff3cec2c2ec', 'route': ['p1', 'e10', 'i11', 'x6', 'p2', 'c5']}
1769443883.2020082,RECEIVED,561ba4e7-e7e3-470d-9e60-71a21e92c891,6e4f40d6-123c-41e4-b196-ab92b1acbb23,c4,c5,27,p2,?,surb={'id': 'bb317d52-299c-46d3-a46d-716eea54e771', 'route': ['p2', 'e12', 'i9', 'x5', 'p1', 'c4']}
1769443883.358851,SENT,69f1b440-0c09-422c-b091-cfc3d1a82c5a,bbc83d1c-cdc3-4962-82e5-0f1dd34e68eb,c5,DROP,2015,?,p2,
1769443883.3589857,CREATED,1d0db7dd-c0ee-4448-8284-333cd82d7740,0ffcf7b9-14c4-421d-bd80-c06ec98bcbf9,c5,DROP,26,?,?,
1769443883.8032007,RECEIVED,10079471-e04e-4823-87f6-e51dc5024ad5,11862b84-28a3-45c3-9380-cfc6dd36ee1d,c4,c5,27,p2,?,surb={'id': 'f65bc6c7-6773-4c01-9c44-aa6fd7daf8db', 'route': ['p2', 'e8', 'i11', 'x7', 'p1', 'c4']}
1769443883.818162,RECEIVED,deb1ed6f-08a5-4e75-98d8-4146c2b94dfd,f0449885-7ecc-4093-baf2-d2cb315aab01,c3,c5,27,p2,?,surb={'id': 'c38a6628-945f-4953-b932-9676f196ba38', 'route': ['p2', 'e11', 'i12', 'x8', 'p3', 'c3']}
1769443884.2690911,RECEIVED,8c5a11b4-dcf0-425b-9caa-77f071a35f28,9e78c4b2-acd7-4d76-a5e1-691dbb073bad,c3,c5,27,p2,?,surb={'id': '0672ac3f-d545-4a3b-b3d2-922f2ac8491f', 'route': ['p2', 'e8', 'i4', 'x6', 'p3', 'c3']}
1769443884.2768936,SENT,1f1463a8-c33c-4c06-ba49-ef6f49622943,c15cd218-48b4-44dc-a639-c9facd25b805,c5,c4,3359,?,p2,
1769443884.2772498,CREATED,8a8eebd8-4779-45ca-8535-dc3c82649dae,ca85a184-d1b1-480d-9ecc-b4aaf1743ce6,c5,c4,26,?,?,surb={'id': 'db6301a9-ad24-43bc-9aec-65cd6c75c309', 'route': ['p1', 'e9', 'i8', 'x9', 'p2', 'c5']}
1769443884.2835126,RECEIVED,cf624d30-9291-4f7f-8821-06ccefd1292f,ec6deeaf-eeaf-4a84-ab43-0176f692d9c7,c3,c5,27,p2,?,surb={'id': '57a6b28e-78c3-462f-af81-86dc8d881604', 'route': ['p2', 'e1', 'i11', 'x9', 'p3', 'c3']}
1769443884.33101,RECEIVED,103e3897-4612-4889-a98e-d36fd4e52f49,44d2f0a2-e23c-4d41-be84-38937e31e7b0,c4,c5,27,p2,?,surb={'id': 'e899c950-0a9f-4a39-b426-75007b2f15d3', 'route': ['p2', 'e2', 'i8', 'x3', 'p1', 'c4']}
