timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769502490.4435344,SENT,37898077-26e2-482d-a5f0-cb5e3b0d197c,6b549db1-94a2-4884-b67b-e957a16986a4,c1,c2,3375,?,p1,
1769502490.443678,CREATED,5f893776-7426-48ab-bad6-14605d569322,3840acb8-7b91-4e6b-aba8-55bb5506f9da,c1,c2,27,?,?,surb={'id': '3ee2150c-6942-4c60-b401-f5e8d1738154', 'route': ['p2', 'e8', 'i3', 'x6', 'p1', 'c1']}
1769502490.5931795,RECEIVED,89a49a0f-1f88-41d0-88de-d4146c444eb5,6d70f6e0-79d8-4834-9771-d6bfdddcd03d,c2,c1,27,p1,?,surb={'id': '82b1c98b-5227-4c9f-ad71-534518a9aae0', 'route': ['p1', 'e9', 'i4', 'x9', 'p2', 'c2']}
1769502490.8730001,RECEIVED,030f6f5e-70b1-4c5c-afa9-4cc2becc1616,e077e886-d556-4005-b7ce-5a2dc32a261b,c4,c1,27,p1,?,surb={'id': '376c596c-7f7a-4d76-b8a3-cd11f5ed3db2', 'route': ['p1', 'e9', 'i1', 'x7', 'p1', 'c4']}
1769502491.0714226,SENT,5ad29eb2-f56e-4fc8-a6bd-0620f907a910,fa4f9c65-519c-454b-901e-608dbe90e212,c1,c2,3397,?,p1,
1769502491.071569,CREATED,2b71eaed-29bb-47a8-b4cf-5a818ec690cd,4571da0c-a076-4940-be31-5e67e4c39bc5,c1,c2,27,?,?,surb={'id': '882cd893-4355-49b9-997e-f62a09abb11a', 'route': ['p2', 'e11', 'i8', 'x1', 'p1', 'c1']}
1769502491.1587596,SENT,8537eeea-b904-40a2-b4dc-a2e383084162,dd938caa-2fe7-435e-907a-32a788fc164c,c1,c2,3359,?,p1,
1769502491.1589398,CREATED,58850ec7-b523-4c6b-aa64-194953eae0d9,f3b69fe9-c558-41a0-b1a6-a7c664db8d99,c1,c2,26,?,?,surb={'id': '1e1f0281-f521-4960-b3a0-d2cac9d871fa', 'route': ['p2', 'e2', 'i11', 'x4', 'p1', 'c1']}
1769502491.2773874,SENT,039cfc3f-6a0b-400b-920d-c0d80126be90,2594bd50-756e-4ba5-8ef9-ecac9b18f09b,c1,c2,3371,?,p1,
1769502491.2776897,CREATED,1c8ded70-6d91-43d4-8457-a29dc65b6223,ab465c6a-1523-4855-9d77-049ad1169cf4,c1,c2,27,?,?,surb={'id': 'aff2fb1c-2b13-47cf-ae44-c554bec6d540', 'route': ['p2', 'e3', 'i4', 'x6', 'p1', 'c1']}
1769502491.425874,SENT,9409bdbe-4fd8-4a6b-8db6-4fd98f9f3673,ec19e411-360b-47c2-96cd-891ac99f4da0,c1,c2,3399,?,p1,
1769502491.426021,CREATED,fbf756ca-31f2-4a05-9426-107173f8cbae,806c258c-ce1d-4672-928a-0e1093b1c84e,c1,c2,27,?,?,surb={'id': 'b6bae450-4249-4d22-84db-6f26ae990fe0', 'route': ['p2', 'e6', 'i5', 'x11', 'p1', 'c1']}
1769502491.5667741,RECEIVED,6afae51f-2a75-4cb2-b497-c71b988eefa5,f519df95-d9d0-4d98-b435-fddee72e4e2e,c2,c1,26,p1,?,surb={'id': '49f104a4-03a5-44fe-b104-1c1527b435f8', 'route': ['p1', 'e5', 'i5', 'x7', 'p2', 'c2']}
1769502491.6139634,RECEIVED,15934be0-3551-4a38-a496-c7e5aa28ebf5,d8f85a9e-3f52-4d79-a50f-a52825206fc2,c2,c1,26,p1,?,surb={'id': '4087ba88-f599-41f8-9884-9145c84abce5', 'route': ['p1', 'e7', 'i3', 'x9', 'p2', 'c2']}
1769502491.634768,SENT,dad8b4bd-5a5d-4978-bb25-6613fc1819ad,b4a0c9cb-0be3-4168-ac8f-d7d7b1d1e72c,c1,c2,3392,?,p1,
1769502491.63492,CREATED,cd25051d-2104-4538-9cc9-7fd049f0da40,0aa1ae9c-f19f-4d7c-8949-bfbe723c4a55,c1,c2,27,?,?,surb={'id': '89e810c7-2b2f-4589-a3c1-539f6a42d025', 'route': ['p2', 'e3', 'i10', 'x8', 'p1', 'c1']}
1769502491.6701279,RECEIVED,4a1927f7-067a-48c1-a863-4a6c2be6c906,1d7cebce-e546-4d29-9125-ca598c6d80b8,c4,c1,27,p1,?,surb={'id': '5d52b27a-6aaf-45c3-8923-88be6fb29156', 'route': ['p1', 'e8', 'i8', 'x7', 'p1', 'c4']}
1769502491.6967623,SENT,872a3369-ad8f-4d90-8662-9d5a9f1133cc,4a09431c-7b5b-4614-a320-5af65a543396,c1,c2,3391,?,p1,
1769502491.6969106,CREATED,9a247034-69b7-415f-88fe-dcbc686cdf9a,616468c9-6c8f-44dd-acb6-5bbe37703504,c1,c2,27,?,?,surb={'id': 'c1d79db9-6ebb-4725-9a7c-722ef4c06a6b', 'route': ['p2', 'e9', 'i9', 'x10', 'p1', 'c1']}
