timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769502483.0188181,SENT,20248ef9-b439-410b-acca-b4ec8334a0bc,01e9eace-e85a-470a-b302-fa7e68517d74,c4,c1,3376,?,p1,
1769502483.0189586,CREATED,a16f4dc4-9c37-4fe8-85f7-cf770bacacc3,f726e9c4-7cdd-47cb-8fd6-ea7d3a094f15,c4,c1,26,?,?,surb={'id': 'c8fd5d37-db4c-4920-a795-778279d8f42f', 'route': ['p1', 'e6', 'i1', 'x8', 'p1', 'c4']}
1769502483.6002777,SENT,21299c30-34d3-40b8-8540-f0f160c66f15,54aa0c03-8dbb-4eeb-b53f-0385a66c1560,c4,DROP,2029,?,p1,
1769502483.6004105,CREATED,5fa71cc7-a092-4115-81e6-c6a26acc46c0,d692fcf9-b9ac-400f-9f1c-5b59414ed667,c4,DROP,27,?,?,
1769502483.7545717,SENT,e7c96400-2a51-4b82-9f2c-7aa8318babc8,91a6f29e-d6b3-4d3d-a638-06f6b17a65e4,c4,DROP,2020,?,p1,
1769502483.754706,CREATED,5f5e1621-a86b-455b-a908-8d6d0083b151,43eb4ecb-2ab4-4457-99e6-d5b521b05160,c4,DROP,27,?,?,
1769502483.9055762,SENT,10caff91-782b-435b-8a15-ff2cf1520106,4237a351-35e5-4cf4-aecd-e002b6cb1e84,c4,DROP,2024,?,p1,
1769502483.9059849,CREATED,ca8711e9-3366-42c3-a37a-fd45bfd0b98d,20044232-0e60-4e31-b768-c49cf6a4cd10,c4,DROP,27,?,?,
1769502484.3012946,SENT,167d57aa-0fbd-454f-ac05-f827ae377acd,fd1fcea3-ed97-45d5-b2c0-1e533f7f7dcb,c4,DROP,2019,?,p1,
1769502484.301429,CREATED,e1d8881b-c267-4491-8175-0a2493b61cfa,5bd14ec6-a567-4980-acbb-8b61994ba4e9,c4,DROP,27,?,?,
1769502484.5129857,SENT,7d8a7406-0f7c-4f98-86b7-2b1607114b5a,877290b2-b6ca-4e1d-ac2c-f1628bd655ea,c4,c1,3393,?,p1,
1769502484.5131695,CREATED,7cb02cb3-5ea4-4ea6-be1d-fa27670f0fd7,aea8b89a-347b-4351-be40-88164d1db5ba,c4,c1,27,?,?,surb={'id': '97e8e080-877b-4f53-8683-5ebe77a21435', 'route': ['p1', 'e8', 'i9', 'x6', 'p1', 'c4']}
1769502484.5404036,SENT,718e6511-12a5-4055-b86f-4de8c2c8a4cf,6c38180f-fb0a-4b6f-982e-bcefb4d45977,c4,c1,3384,?,p1,
1769502484.5405533,CREATED,d9bacdc5-a77f-4424-9b0a-25a8fb4cd111,f12b526a-3f6f-43af-89f5-5b86c50c58ff,c4,c1,27,?,?,surb={'id': '59a71d11-be78-4d9e-a119-3ba029ec744a', 'route': ['p1', 'e9', 'i8', 'x5', 'p1', 'c4']}
1769502484.5893805,SENT,c357e70b-2104-406c-870c-0ac74c552fa5,8484faa4-3d42-49d8-9866-aa89d24b9933,c4,DROP,2031,?,p1,
1769502484.5894973,CREATED,ae07119f-9576-4bc8-840c-c7a61534567a,4f53beac-2b56-42ed-99cb-4519257c4511,c4,DROP,27,?,?,
1769502484.7732089,SENT,5b89ff3d-567f-4a57-8bef-3c3088b2d7da,bbe58560-c593-42aa-becb-72e2f1806ce5,c4,c1,3359,?,p1,
1769502484.7733552,CREATED,b97661a4-8f0f-4c48-84a2-87cc7d09d5e4,e90e2652-f0c2-4ccb-8532-9a06b884fa6e,c4,c1,27,?,?,surb={'id': '6ed6683f-c7de-48c1-adc2-baf4acafeff9', 'route': ['p1', 'e3', 'i12', 'x5', 'p1', 'c4']}
1769502485.1887722,SENT,16476b10-ea01-4853-92b9-1322df4a8d37,c5521409-0355-4f01-866d-e98fdbadf930,c4,c1,3397,?,p1,
1769502485.18892,CREATED,00b10588-d58f-4069-9baa-c8f4c21d778f,9eecf25c-a232-4e1f-b661-be36b893eb74,c4,c1,27,?,?,surb={'id': 'd01bd53c-471b-4997-ab7b-a498a9b99967', 'route': ['p1', 'e9', 'i8', 'x9', 'p1', 'c4']}
1769502485.4716232,SENT,d307878c-c219-4a88-9ce8-3dcf38096fa6,064d8504-5665-46bf-a26c-31528de30406,c4,c1,3363,?,p1,
1769502485.4717731,CREATED,7a2a44a4-d417-46e2-944d-4c2e03c407bd,f711d762-37c5-4a84-a955-c44d52635c2d,c4,c1,26,?,?,surb={'id': 'b171e369-c70f-404e-9db2-61585a6301a4', 'route': ['p1', 'e12', 'i11', 'x4', 'p1', 'c4']}
1769502485.5635805,RECEIVED,6ec604f2-7aad-4c5c-a8ab-144f36ddac3c,47780a7a-2ab0-4a4d-9d13-defd5faa38e8,c3,c4,26,p1,?,surb={'id': '84788175-9ec8-40ec-9ec0-1ae5ab538852', 'route': ['p1', 'e4', 'i3', 'x7', 'p3', 'c3']}
1769502485.5904062,SENT,3065cb68-1d1b-4235-b50d-c2d62ad8c915,352ff02c-531f-4510-a4d9-e93d539b7469,c4,c1,3387,?,p1,
1769502485.5905538,CREATED,41b79591-aabe-497c-95fe-2445e8691678,e5c6bb8b-9268-4c7a-b705-7a5a2b7faa24,c4,c1,27,?,?,surb={'id': '1bf7f8cf-d475-4bdd-91b0-1479305dabc3', 'route': ['p1', 'e9', 'i12', 'x11', 'p1', 'c4']}
1769502485.6536298,RECEIVED,aa2a0fe4-6dfd-44d5-ba09-11e94be45bfe,8cd9af6c-dde7-4948-8d41-e2714abd2809,c5,c4,26,p1,?,surb={'id': '6c2f3458-f90b-4595-bf09-863b3ce79b8e', 'route': ['p1', 'e12', 'i8', 'x11', 'p2', 'c5']}
1769502486.158744,SENT,d1481160-bbef-4043-b945-d9751b07f029,6cb3d18d-b75d-4543-8c16-370c83aa6147,c4,c1,3389,?,p1,
1769502486.1588917,CREATED,d9610ecb-5d3d-4c73-9466-d540f5ab5295,37666bdd-a39a-4907-879e-a4c9bf1becec,c4,c1,26,?,?,surb={'id': '9faf657e-b59f-43f9-be79-25dc46dbcef2', 'route': ['p1', 'e11', 'i9', 'x8', 'p1', 'c4']}
1769502486.2136872,SENT,48c31a19-60b3-4f9f-b34c-69c4e73caa15,a3fd6398-556c-4827-bac7-c389f4bd0276,c4,c1,3383,?,p1,
1769502486.2138364,CREATED,5700b679-0111-4d81-86c8-cf5c5a3b2f90,a5ab4360-9cde-4ae7-b698-fe393ca39e44,c4,c1,27,?,?,surb={'id': '3f7efd88-22b7-43e3-909a-96077ec93d80', 'route': ['p1', 'e5', 'i3', 'x7', 'p1', 'c4']}
1769502486.7068446,RECEIVED,185cd860-9b6f-4a27-8545-0ae7126c6497,bf8daa89-a7ba-4eef-9ee6-2eebecd7c98e,c5,c4,27,p1,?,surb={'id': '70860f12-2d37-431b-b993-df6194e38189', 'route': ['p1', 'e2', 'i7', 'x10', 'p2', 'c5']}
1769502487.0665562,SENT,e2dde66e-3135-4e4a-9784-d82ed9925523,12688e0d-c45f-4588-a927-9ad8e0c6b9a6,c4,c1,3393,?,p1,
1769502487.0666876,CREATED,b9b36ed3-e188-4bb0-b5ef-e00655f62655,87cfba99-459e-46ef-a990-ffa982849fef,c4,c1,27,?,?,surb={'id': 'a7f727bb-2002-4155-8f1f-d7f45f03e44b', 'route': ['p1', 'e3', 'i3', 'x8', 'p1', 'c4']}
1769502487.3778403,RECEIVED,20069ee2-a97c-41a2-b55a-577e3c50c49e,902d3353-b573-4d1f-b5ac-3c5aa09d676e,c3,c4,27,p1,?,surb={'id': '3d5c506d-7d68-4d0d-8374-b96b46f5cbe1', 'route': ['p1', 'e5', 'i2', 'x5', 'p3', 'c3']}
1769502487.3863235,RECEIVED,9c2b01c5-2e05-4036-bc3d-b4be449198fc,d876ca2e-04dd-45df-ba7e-3743c596d3a5,c3,c4,27,p1,?,surb={'id': '769dd62e-5088-4c9d-ab82-460b31a70469', 'route': ['p1', 'e7', 'i6', 'x7', 'p3', 'c3']}
1769502487.4510343,SENT,2bdc7aa7-767a-4db1-b9b6-49696f54c1a1,9f35d636-51b0-4456-a004-8187a24ee426,c4,c1,3401,?,p1,
1769502487.4512131,CREATED,fa816a41-8c6f-4d49-891e-51d4b1e30872,4e5b96eb-e06f-4234-af40-8987131825a6,c4,c1,27,?,?,surb={'id': 'd49bb06e-ff73-4e6f-b3fd-54cd645a5bfb', 'route': ['p1', 'e2', 'i7', 'x12', 'p1', 'c4']}
1769502487.4847147,RECEIVED,e2f1cdb3-7934-47d5-b5d6-e65ace180ccc,13b8b674-eb1d-42a0-b2f5-652cb2f1a2c7,c3,c4,27,p1,?,surb={'id': 'd644b197-8420-4ed2-9eb4-8e307078fa87', 'route': ['p1', 'e2', 'i11', 'x6', 'p3', 'c3']}
