timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769502486.7533388,RECEIVED,d9fdce56-11be-40f6-ae01-dfddb57ececa,a3bf1d2f-eb9f-4cf4-9c98-f207fa322ca3,c1,c2,27,p2,?,surb={'id': 'ba4a956a-f787-46d8-a9e3-35a9cd7bb560', 'route': ['p2', 'e7', 'i4', 'x9', 'p1', 'c1']}
1769502486.8924255,SENT,9ad2bf4a-589f-4cbe-8458-f2be43f66194,5793e242-d249-4f20-860a-c502abccec89,c2,c1,3383,?,p2,
1769502486.8925729,CREATED,202d205f-5420-4757-b116-aebee32517b4,4f6a579f-8438-4183-97bb-b0425f19e304,c2,c1,27,?,?,surb={'id': 'f91fa57e-dd5b-46e6-9e74-19bf5aec48bf', 'route': ['p1', 'e3', 'i4', 'x12', 'p2', 'c2']}
1769502487.6850228,RECEIVED,e2dd0118-894b-4b6e-89b0-391f786e2491,7fb59828-498b-41cf-bb59-94cde9f4576d,c1,c2,27,p2,?,surb={'id': '798e604d-f1ab-4bda-bb2b-90445628c085', 'route': ['p2', 'e2', 'i8', 'x8', 'p1', 'c1']}
1769502487.863844,SENT,4a4bb1d8-a209-4752-a5d6-3c0336afd4f3,81458a64-e050-437a-b3e3-d0de9cf252b5,c2,c1,3370,?,p2,
1769502487.8639915,CREATED,e4261785-5c04-41fd-b716-b8501f39a89f,50fd6d91-f7b3-40d5-86ec-d3ad730cf19b,c2,c1,27,?,?,surb={'id': 'e0b6995d-bf86-4aee-9373-8bdee0924889', 'route': ['p1', 'e6', 'i7', 'x4', 'p2', 'c2']}
1769502488.1562412,SENT,3d9ba1a7-a00a-4dc7-b8ac-0aae37945c26,5c3945fb-5b0c-4ea1-b973-e009c7fcd70a,c2,c1,3394,?,p2,
1769502488.1564076,CREATED,8d4c65c8-d05b-4265-a0af-b528908d69bd,77fd58e1-7356-446f-bd32-82f1e949db98,c2,c1,27,?,?,surb={'id': '62136ab4-78e9-4a2e-a821-0758db840f79', 'route': ['p1', 'e7', 'i1', 'x1', 'p2', 'c2']}
1769502488.1742134,SENT,303c7b42-cc6c-497c-917b-d858b574791a,a577a0d2-1dae-4846-9aed-dd1380a9c589,c2,c1,3376,?,p2,
1769502488.1743815,CREATED,c9aeb1a6-d790-4cec-b65c-d543ac873d2e,b8a24503-acc2-4271-9c45-a5068561f99d,c2,c1,27,?,?,surb={'id': '4d0b9836-bf60-4ff3-ad46-43391b86b9a8', 'route': ['p1', 'e7', 'i1', 'x8', 'p2', 'c2']}
1769502488.3431406,SENT,5522f989-e97d-40af-9fc2-6f7dc09128bf,3c28847e-9b4e-4407-a517-8f6aeb4714a7,c2,c1,3372,?,p2,
1769502488.3432982,CREATED,34f6374c-dff0-469e-9721-6a3ee158084f,8b7a8732-4169-4e1d-805f-bec1cae8916f,c2,c1,27,?,?,surb={'id': '62ffc67c-bcbf-42be-961f-17086ee9d2d8', 'route': ['p1', 'e4', 'i12', 'x12', 'p2', 'c2']}
1769502488.385165,RECEIVED,5e2d3a00-1e54-4638-bfb0-002ea1c38605,bf8ece0a-e52a-4b41-9c00-3060693b5713,c1,c2,26,p2,?,surb={'id': 'b88ec6b3-d571-4d58-9727-ad7aa4b56d2a', 'route': ['p2', 'e8', 'i9', 'x9', 'p1', 'c1']}
1769502488.508214,SENT,419a4a92-1a77-4015-82a1-1d0bc41546c5,0d5f09cd-3e56-40f4-8e44-2a649ec9fbfd,c2,c1,3379,?,p2,
1769502488.5083504,CREATED,862bd80c-557e-48f7-852c-f4b91236e006,8a34481c-6b4f-42cb-ae1d-e6a81757f5bb,c2,c1,27,?,?,surb={'id': '8f266227-1490-4fdd-b65d-f76177b26412', 'route': ['p1', 'e2', 'i6', 'x11', 'p2', 'c2']}
1769502488.5733411,SENT,185566bf-ad44-40ed-9060-f8ebe73a4f61,59b58abb-5d78-4446-8014-490bda5b05d3,c2,c1,3387,?,p2,
1769502488.5734882,CREATED,2bd7191e-1d50-4f97-8d85-cf63142dbd98,a987754d-335e-4469-a031-7a31935d560f,c2,c1,27,?,?,surb={'id': '8137001e-429f-4129-b156-ba04be5f523e', 'route': ['p1', 'e6', 'i11', 'x4', 'p2', 'c2']}
1769502488.7737842,SENT,a44b7c6e-3b12-45c2-9136-dd362075187b,5c855728-347c-4360-85fe-f130b9956d82,c2,c1,3388,?,p2,
1769502488.7739217,CREATED,42724047-8447-45cc-90f1-34a013f95166,bb87de51-c249-4aba-ac3f-96f6e8288d9c,c2,c1,27,?,?,surb={'id': 'e2f66cfe-bf9d-4116-9c87-a51af43a8345', 'route': ['p1', 'e5', 'i7', 'x7', 'p2', 'c2']}
1769502488.8588297,RECEIVED,7a8aca29-f29e-4df3-bce9-5f0050b8e9ee,fde1a6ed-50e1-4fa2-9959-600e0bf158aa,c1,c2,27,p2,?,surb={'id': '6a446793-65be-44cc-ad54-10e75cae8346', 'route': ['p2', 'e6', 'i8', 'x9', 'p1', 'c1']}
1769502489.0199535,SENT,68648c19-0a70-4bcb-92e0-1559dbf7ec0e,74a02cde-f246-4c93-a520-6d2cb58b65c8,c2,c1,3375,?,p2,
1769502489.0201921,CREATED,89a49a0f-1f88-41d0-88de-d4146c444eb5,6d70f6e0-79d8-4834-9771-d6bfdddcd03d,c2,c1,27,?,?,surb={'id': '82b1c98b-5227-4c9f-ad71-534518a9aae0', 'route': ['p1', 'e9', 'i4', 'x9', 'p2', 'c2']}
1769502489.557105,SENT,7a85981d-dbbd-4f70-aaf5-27688fd7444f,9dd5df3f-3d7f-44bf-9a01-8747f486c1a6,c2,c1,3377,?,p2,
1769502489.5572627,CREATED,15934be0-3551-4a38-a496-c7e5aa28ebf5,d8f85a9e-3f52-4d79-a50f-a52825206fc2,c2,c1,26,?,?,surb={'id': '4087ba88-f599-41f8-9884-9145c84abce5', 'route': ['p1', 'e7', 'i3', 'x9', 'p2', 'c2']}
1769502489.8330135,SENT,537387cd-3bf9-4cfe-b175-d87567a3dc85,d8ab7921-94e9-4ac0-9ce0-7c7546625205,c2,c1,3375,?,p2,
1769502489.8332047,CREATED,0d85bdc6-e766-4cd5-a14e-7435f21972b6,85a19a94-e2cf-4985-a951-b15f3dc9b3b7,c2,c1,27,?,?,surb={'id': 'b105493f-1713-4408-8188-36d7c3d918c8', 'route': ['p1', 'e2', 'i1', 'x12', 'p2', 'c2']}
1769502489.9991803,RECEIVED,d8d91c5b-2fe2-4a15-b61d-9daf18f91aaf,2d3c9fcb-87d9-44e7-ad13-d8607ff4a397,c1,c2,27,p2,?,surb={'id': '2e16608e-fd04-43d8-bef2-d6df1697449d', 'route': ['p2', 'e6', 'i8', 'x8', 'p1', 'c1']}
1769502490.1938255,SENT,10d2c0db-0359-479c-b87c-72bcea6ddc4e,971bedfc-c1cc-4fa1-be74-ba7ae669be36,c2,c1,3390,?,p2,
1769502490.193978,CREATED,6afae51f-2a75-4cb2-b497-c71b988eefa5,f519df95-d9d0-4d98-b435-fddee72e4e2e,c2,c1,26,?,?,surb={'id': '49f104a4-03a5-44fe-b104-1c1527b435f8', 'route': ['p1', 'e5', 'i5', 'x7', 'p2', 'c2']}
1769502490.266158,RECEIVED,29d4c96a-7415-4bee-a061-f1c26242c86a,50d7d6ab-8c14-4058-a675-0a9cac304f51,c1,c2,27,p2,?,surb={'id': '7147b5e6-7c1b-40e6-b318-e70dca8ed1f7', 'route': ['p2', 'e1', 'i2', 'x7', 'p1', 'c1']}
1769502490.2731333,SENT,2eb39f7a-df86-4b55-8a29-fa231c947f6d,00138b71-f928-4406-ac4c-0cb61ca0c8dd,c2,c1,3360,?,p2,
1769502490.273285,CREATED,ed2ce844-3a5e-4b36-82a7-31b9d4156af5,7ed7d6a5-d2c7-4771-b912-46db0cdbfb68,c2,c1,27,?,?,surb={'id': 'bdcd003b-edd5-430a-b073-7930b393a5c5', 'route': ['p1', 'e12', 'i3', 'x6', 'p2', 'c2']}
1769502490.4366279,SENT,222b2e0d-730b-4a81-bea2-4bff68228501,61289338-961d-473b-9601-486d852ae8c2,c2,c1,3380,?,p2,
1769502490.4367654,CREATED,9a727a61-b9ca-41e8-bfde-66f541511989,aafa5aac-e7d9-484d-a07f-b8f0f771f19b,c2,c1,27,?,?,surb={'id': '66aaa5fc-eebb-4f5f-8948-666e5187269f', 'route': ['p1', 'e9', 'i6', 'x4', 'p2', 'c2']}
1769502490.4874647,SENT,b9fd6f4c-1e29-41b9-bf2f-7e3d86f6c62f,0b0118bb-b800-419d-818d-d0bcb68f7259,c2,c1,3384,?,p2,
1769502490.487617,CREATED,eac93fae-00bd-4e0a-97bc-599a43bfbfbc,5b35aa3e-75a8-4e2a-8f51-fda7232fe861,c2,c1,27,?,?,surb={'id': '558b05db-ca6d-4ce9-af15-82dc83a91d9d', 'route': ['p1', 'e2', 'i3', 'x10', 'p2', 'c2']}
1769502491.1560924,SENT,ee6b58cb-cfa1-47a8-8852-f444eadd0af7,05f7f2d1-82bb-48f4-9029-456d52e861cb,c2,c1,3395,?,p2,
1769502491.1562617,CREATED,845b2506-926b-4d82-b172-c5a1e10b4b8c,9beff93e-37f7-4cd2-b69a-4a9f3b47d020,c2,c1,27,?,?,surb={'id': 'a47576c2-a684-4bd1-b658-d4e4dbc11563', 'route': ['p1', 'e2', 'i11', 'x5', 'p2', 'c2']}
1769502491.2082753,RECEIVED,58257142-087e-420f-84fa-5b16fbc77e29,5c35efc0-6694-4483-89d6-29ae176e5685,c1,c2,27,p2,?,surb={'id': '1fac2b69-45d5-436e-a129-baed55564eaf', 'route': ['p2', 'e1', 'i9', 'x1', 'p1', 'c1']}
1769502491.3067877,RECEIVED,9e947506-6bb9-4676-a7fd-53ef6ac591f1,8f8d765a-896b-4033-baa0-99e17775ab33,c1,c2,26,p2,?,surb={'id': '487de90a-2697-4840-9317-6c16ffaabef8', 'route': ['p2', 'e5', 'i7', 'x3', 'p1', 'c1']}
1769502491.388434,RECEIVED,f1dcaf53-8067-402a-b20c-e1967c088343,4aa17326-0325-452d-93f6-8325740ea9d6,c1,c2,26,p2,?,surb={'id': 'd5275979-8075-41bd-95ad-40b69434fd9d', 'route': ['p2', 'e11', 'i10', 'x3', 'p1', 'c1']}
1769502491.6366322,SENT,7a070cc8-0391-48c7-ad06-03619726892e,194b5a8e-b762-45e4-93aa-ca155d1d7394,c2,c1,3392,?,p2,
1769502491.6367776,CREATED,84578bee-1d87-4c9a-90ab-eabbe8c98874,f162a592-2d0e-4aeb-a403-0728dc38f822,c2,c1,27,?,?,surb={'id': 'a2a8a0bc-2bb8-4517-9136-0a93f93aa073', 'route': ['p1', 'e10', 'i5', 'x4', 'p2', 'c2']}
1769502491.65457,SENT,1e51f6c5-cd04-4b86-a94a-6c3ed4394704,2f7f80ab-c35f-451d-b479-ee57f85d15b2,c2,c1,3379,?,p2,
1769502491.6547244,CREATED,c88ae6f9-0551-4e8f-9261-454b8b50c888,518e4d34-1954-40d7-900a-be2632ce59fa,c2,c1,27,?,?,surb={'id': 'c077a379-d3cf-42ea-aa73-a1d8466fffb0', 'route': ['p1', 'e2', 'i8', 'x12', 'p2', 'c2']}
1769502491.7177913,SENT,7e41124f-30f7-483d-9de9-ac49e27f153a,088166f5-2486-426a-9ed6-1bcb078cb808,c2,c1,3381,?,p2,
1769502491.7179298,CREATED,59cc3448-5320-4bf1-b5e8-ca7c6713d01e,007c7d00-b880-4d01-b2e1-8a35ff848095,c2,c1,27,?,?,surb={'id': 'a5a02167-ea58-4245-ac31-402ff574444b', 'route': ['p1', 'e9', 'i8', 'x2', 'p2', 'c2']}
1769502492.1744144,SENT,e9694c45-5398-4bb4-8f9f-dbbbc02960b1,e02f8ce2-d892-4ef0-9711-da14080bae1f,c2,c1,3384,?,p2,
1769502492.1745632,CREATED,8c18e0cc-a394-4ac9-a47e-afd99bbff72d,a8b9703b-e046-4c0e-bb64-199d2ff42e11,c2,c1,26,?,?,surb={'id': '595cae26-4fe8-4319-b80a-13eb4661d685', 'route': ['p1', 'e9', 'i10', 'x1', 'p2', 'c2']}
1769502492.2391694,RECEIVED,38a9e77e-bf4f-4120-8dcb-b88a6e4999b7,5bf757d1-2fc2-4888-a686-577ae13537d9,c1,c2,27,p2,?,surb={'id': 'b7bea284-f4df-4932-9329-9f0a7659705f', 'route': ['p2', 'e9', 'i10', 'x4', 'p1', 'c1']}
1769502492.4048047,SENT,21055c0e-1454-48ea-8156-ed136e3aa1c8,30a4d1d0-2335-4ec9-8af8-59aec8e319c6,c2,c1,3383,?,p2,
1769502492.4048994,CREATED,87835205-fb85-46c6-bd7c-c767bf8e6f64,d8791f2f-b35a-46f0-9a56-a71dd339ce21,c2,c1,27,?,?,surb={'id': '97e1d3ff-8468-41c5-9088-c8655167e943', 'route': ['p1', 'e4', 'i5', 'x5', 'p2', 'c2']}
1769502492.6109104,SENT,96ef5afa-3754-490a-aed4-ec59d2d6c5db,3db5fede-8da6-401a-bfa4-4e4883798973,c2,c1,3377,?,p2,
1769502492.6110098,CREATED,06c7812f-ca3f-4d1f-bfd1-c2a59f3fb25d,6a3f7e7b-ee18-40ff-82fa-cca860eb571d,c2,c1,27,?,?,surb={'id': '400de02f-1a5b-4db0-9d82-62a725b2b94f', 'route': ['p1', 'e8', 'i9', 'x3', 'p2', 'c2']}
1769502492.6918228,SENT,a7a742af-b7f6-4400-86e8-3fac0addf6bb,9acd9b10-6f52-4812-966a-9ae1dac15c2a,c2,c1,3392,?,p2,
1769502492.6919532,CREATED,676f6aca-1359-45f2-a705-a1acbec21484,81c8293a-3f02-42e0-95e6-f77ef870f28a,c2,c1,26,?,?,surb={'id': '0cb001ef-7d10-427c-904f-869a0f726d2c', 'route': ['p1', 'e11', 'i4', 'x10', 'p2', 'c2']}
1769502492.75881,RECEIVED,c0d3ae73-2f1b-4526-bea8-04954e624576,d1e6fe4c-2829-4a39-b8b1-2cede3e8aa3f,c1,c2,27,p2,?,surb={'id': 'a01a2a64-9869-4662-a990-2e1cebf02249', 'route': ['p2', 'e1', 'i2', 'x3', 'p1', 'c1']}
1769502492.9004796,SENT,a1f6aec0-719a-4426-85ed-5329d39a1f15,e576de03-4fa2-4936-bfce-29f17e08074f,c2,c1,3396,?,p2,
1769502492.9006262,CREATED,40f2fd8f-6a82-4c76-a274-95e7a5cc51ef,2978ade0-956d-494a-920b-29bb13d83bec,c2,c1,25,?,?,surb={'id': 'fe75e6f9-1dd9-417c-8323-d3d59edeec2d', 'route': ['p1', 'e10', 'i3', 'x10', 'p2', 'c2']}
1769502493.161696,RECEIVED,cd25051d-2104-4538-9cc9-7fd049f0da40,0aa1ae9c-f19f-4d7c-8949-bfbe723c4a55,c1,c2,27,p2,?,surb={'id': '89e810c7-2b2f-4589-a3c1-539f6a42d025', 'route': ['p2', 'e3', 'i10', 'x8', 'p1', 'c1']}
1769502493.1797113,SENT,a0da017d-44a5-4d59-9917-8b8a9b466603,96c5a47e-96e2-472c-bb36-18b18267c456,c2,c1,3377,?,p2,
1769502493.1798568,CREATED,25cb50e7-bda8-452e-80f4-616e9eda0492,5ed507ad-1969-497c-927e-eddf6343856b,c2,c1,27,?,?,surb={'id': '90185761-8847-4b52-90bc-167d44bf23a1', 'route': ['p1', 'e1', 'i7', 'x11', 'p2', 'c2']}
1769502493.2523315,SENT,3d0218e5-7e9b-4d5a-9c3d-3f75c4f82241,4f4b4b19-83d5-40e6-b873-f0aa456fa978,c2,c1,3399,?,p2,
1769502493.2524273,CREATED,eb01ba84-db16-462b-a016-9adac349830a,48881bff-d411-44b3-bc10-a81d88b96bb9,c2,c1,27,?,?,surb={'id': '5dc63ca7-c877-43c6-a71c-fc8f7e36bbef', 'route': ['p1', 'e12', 'i11', 'x4', 'p2', 'c2']}
1769502493.344522,SENT,c03b2980-3e62-4810-866f-d8e1bc068644,dba6bc4c-14fc-4c81-8a14-ddaacc6b9162,c2,c1,3372,?,p2,
1769502493.3446202,CREATED,8c0f5344-766c-4b38-a7cd-51c3594740ee,3711fceb-4e8e-4374-aba9-bfe74060ee04,c2,c1,27,?,?,surb={'id': 'e26dd7d4-4e30-4bc1-b2d5-63056d1881e0', 'route': ['p1', 'e9', 'i3', 'x6', 'p2', 'c2']}
1769502493.3581269,RECEIVED,1c8ded70-6d91-43d4-8457-a29dc65b6223,ab465c6a-1523-4855-9d77-049ad1169cf4,c1,c2,27,p2,?,surb={'id': 'aff2fb1c-2b13-47cf-ae44-c554bec6d540', 'route': ['p2', 'e3', 'i4', 'x6', 'p1', 'c1']}
1769502493.4316432,RECEIVED,5207da72-d707-4cf5-aeaa-bb0b60fd536e,591c9007-49ed-4ebb-ac49-bdeaf098f2b7,c1,c2,27,p2,?,surb={'id': '71ab19e4-6bcd-4549-beea-d459a8c7a88a', 'route': ['p2', 'e3', 'i3', 'x12', 'p1', 'c1']}
1769502493.511274,RECEIVED,49193c48-196d-4cd1-bdc6-3520b3066af2,a29754d7-e190-4488-a0b0-441c4bed7906,c1,c2,27,p2,?,surb={'id': '86307cca-3299-4403-98a8-316b443b3b23', 'route': ['p2', 'e8', 'i12', 'x7', 'p1', 'c1']}
1769502493.5820231,RECEIVED,5f893776-7426-48ab-bad6-14605d569322,3840acb8-7b91-4e6b-aba8-55bb5506f9da,c1,c2,27,p2,?,surb={'id': '3ee2150c-6942-4c60-b401-f5e8d1738154', 'route': ['p2', 'e8', 'i3', 'x6', 'p1', 'c1']}
