timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769502609.0802956,RECEIVED,07e0f8f1-35d6-44ad-874c-caa848f49eb3,374cab6e-3d41-4ef3-a88c-5fe7e6483209,c1,c2,25,p2,?,surb={'id': 'ae278e01-a4d1-40a5-bde7-2132e2c9498d', 'route': ['p2', 'e6', 'i12', 'x4', 'p1', 'c1']}
1769502609.1147134,RECEIVED,05ca4e4d-e954-4d8a-b5c4-427ba28943a5,74392556-6f23-4645-a785-28a58176f058,c1,c2,26,p2,?,surb={'id': '8e1efba5-16eb-4bea-8e6b-ddaec22a8dff', 'route': ['p2', 'e6', 'i4', 'x1', 'p1', 'c1']}
1769502609.334375,SENT,c01ad80a-6bdf-456e-bb0e-6bf67b34ec04,5481489c-0767-47ef-9c1a-8e21eb050930,c2,c1,3384,?,p2,
1769502609.3345268,CREATED,558a9bd4-1d52-403d-8179-a05e93a80918,b97ef2bc-ce14-44b8-bd3f-4b3c21528a79,c2,c1,27,?,?,surb={'id': '1e8e0841-533d-425c-b347-b04993cb0b28', 'route': ['p1', 'e7', 'i3', 'x1', 'p2', 'c2']}
1769502609.5781693,SENT,32c9217d-437c-4e32-af93-e03626e5260a,9a4701ea-a37b-485f-a8ba-58f8b3078edc,c2,c1,3380,?,p2,
1769502609.5782473,CREATED,fc6f6ced-d76f-4a24-8408-db5e28e81c48,cf1da9fe-bb3f-4c9d-942c-a4f86b7f1d9c,c2,c1,27,?,?,surb={'id': '7b9fe543-82b0-4170-a9b8-ef5396430f97', 'route': ['p1', 'e12', 'i10', 'x5', 'p2', 'c2']}
1769502609.6935318,SENT,d80bea96-46b7-466a-8ce7-0a0ddace36ea,50980ffa-6e2f-4cac-9e68-07bcabedbba3,c2,c1,3395,?,p2,
1769502609.6936593,CREATED,370ec639-89c7-4643-a7a1-1504ff36e0f0,a4b66d49-ab42-434a-a23e-d7108b921254,c2,c1,27,?,?,surb={'id': 'e21f21ef-aae8-4b0c-85b9-02a23709e5c7', 'route': ['p1', 'e1', 'i3', 'x10', 'p2', 'c2']}
1769502609.7875974,RECEIVED,f32884ff-e10f-49f6-8de2-c8ea1d5e0eca,f224d293-cf54-45cf-873d-ae8bbe89c313,c1,c2,27,p2,?,surb={'id': '17e13f0a-1d64-453b-97af-b466a9e8a62d', 'route': ['p2', 'e7', 'i8', 'x10', 'p1', 'c1']}
1769502609.886308,RECEIVED,9a1ff51d-c173-4c0c-862a-e4ed08d35b54,e79b5b17-8787-4af4-8119-d1c06d7a128a,c1,c2,27,p2,?,surb={'id': '9ba4327b-94ce-449d-9a41-01922d6a6840', 'route': ['p2', 'e9', 'i7', 'x9', 'p1', 'c1']}
1769502609.9069397,SENT,95761381-1903-4099-8875-f6ca7ea45374,f160c57d-3a87-46d5-abfc-adcb4af8a2a4,c2,c1,3396,?,p2,
1769502609.9070077,CREATED,be5af168-98a1-4c56-9f78-fba311fc53fd,8f4a3c11-c4b8-4ed1-bfaa-03d72277a60c,c2,c1,27,?,?,surb={'id': '59d61988-813b-4a88-aa38-71e9dda2c49f', 'route': ['p1', 'e11', 'i3', 'x9', 'p2', 'c2']}
1769502610.0004628,RECEIVED,b0d6f6a8-60f9-477d-bac8-5d30d736a067,02fc9d8b-1194-4b2b-984f-36442ab9c1cd,c1,c2,27,p2,?,surb={'id': '389e1927-7eb1-42ab-9d4c-3c2226737b32', 'route': ['p2', 'e2', 'i12', 'x7', 'p1', 'c1']}
1769502610.1489625,SENT,f6bde660-cd19-4b6b-aee0-137cfe5c266b,39241d73-419d-4d9b-ae98-c63af3ad3550,c2,c1,3361,?,p2,
1769502610.1491349,CREATED,c7e3b35b-fba9-44d1-9fc8-9d41dea8b6a5,ae3eb7bf-e2d6-40fc-9e0d-4813889f8bc7,c2,c1,27,?,?,surb={'id': '73ea11c9-1d54-480f-a76f-057794db4061', 'route': ['p1', 'e2', 'i9', 'x2', 'p2', 'c2']}
1769502610.1788177,SENT,dfa33468-847b-42e5-80b2-ccf8d1e450c8,dcab358b-26f4-4056-97bf-012e557436c4,c2,c1,3372,?,p2,
1769502610.1789541,CREATED,e1f3110a-2b90-40b3-b9e4-7a275372c1a0,d99075b2-36d0-4a7b-9f9d-1381663147da,c2,c1,26,?,?,surb={'id': 'fb9860e2-e716-4da3-a4f7-4dbad3653ab1', 'route': ['p1', 'e8', 'i4', 'x12', 'p2', 'c2']}
1769502610.4738176,SENT,7596671c-384b-419d-ac5a-7358b62e01a9,91e2bf7a-b97f-448b-afdf-b581251e9ab7,c2,c1,3385,?,p2,
1769502610.4739118,CREATED,39fb3c9d-3d98-419a-b23e-cd2895bd3242,b3aa75e0-84eb-43ca-b723-5b2bcde1245f,c2,c1,26,?,?,surb={'id': 'f17354b9-cb8d-4465-91d8-1c577fd91175', 'route': ['p1', 'e3', 'i3', 'x11', 'p2', 'c2']}
1769502610.4853241,RECEIVED,4ad6b626-8d76-44b5-b083-b96f3b09402c,bf58a109-ef47-45e2-892c-460d99db82af,c1,c2,27,p2,?,surb={'id': '67020868-eb06-4b76-92f5-271d300d1121', 'route': ['p2', 'e2', 'i10', 'x11', 'p1', 'c1']}
1769502610.5543427,RECEIVED,da2769a6-c7f9-4431-8242-c5cdca130519,b5f260c9-c079-4302-b595-ada4346e14b0,c1,c2,27,p2,?,surb={'id': '1b722acc-756f-41c5-b499-a6bfab04adcb', 'route': ['p2', 'e2', 'i1', 'x4', 'p1', 'c1']}
1769502611.2196882,SENT,7d57d2a7-ed65-4588-a695-47fee5e3ecd7,1de590d7-37e3-47f5-88e3-4362d28edb09,c2,c1,3371,?,p2,
1769502611.2198198,CREATED,620e38e6-1c13-456b-9f70-e5261b4faade,9d33a8a9-dd59-42cd-ab4e-5cd547122157,c2,c1,27,?,?,surb={'id': 'b1a0fd38-bc0b-4053-b844-ce4d1f778e85', 'route': ['p1', 'e4', 'i9', 'x9', 'p2', 'c2']}
1769502611.237355,RECEIVED,b0d910cf-7bf3-49ca-9a4a-c0e49457c3c2,2acfe693-fe74-4d8c-af6b-fab4a857ac95,c1,c2,27,p2,?,surb={'id': '14700141-284b-4a79-abc1-e05e34769618', 'route': ['p2', 'e11', 'i8', 'x9', 'p1', 'c1']}
1769502611.6608555,SENT,2d001ee7-b5c4-427f-870d-3bc5f08950de,ed12ae9c-254e-4d05-b5c9-c47e0cb50b03,c2,c1,3360,?,p2,
1769502611.661006,CREATED,c5ab7733-0ca0-4bd2-9686-a36b9a56d4b7,5c65fab2-adc9-4f44-bd4f-eb09e8ecc4a2,c2,c1,27,?,?,surb={'id': 'eda117bb-46f7-4d8f-92b3-d8fbf25aa045', 'route': ['p1', 'e3', 'i6', 'x5', 'p2', 'c2']}
1769502611.8323033,SENT,0d090bc5-fef1-478b-80c9-08ee840b9e86,dbda8afa-10cc-4b63-b1a3-5a4a39d67eb7,c2,c1,3359,?,p2,
1769502611.8323767,CREATED,c8462657-bfa6-4f39-9edf-06544c932263,b5c060b0-e442-4267-84d4-43056122cc0b,c2,c1,27,?,?,surb={'id': '36d53648-8dd1-420e-a9ac-e7fd3eabbf7b', 'route': ['p1', 'e3', 'i10', 'x9', 'p2', 'c2']}
1769502611.8956375,SENT,ede55a33-fa0b-43f2-8113-25164f95cfd5,dedf2a6a-c18c-4fec-8ba8-65f1fe25de81,c2,c1,3371,?,p2,
1769502611.8957102,CREATED,bde197c0-11af-4e9f-a497-315f25a5e3a4,9d9e0010-85cb-4651-a53b-00dd395b6d39,c2,c1,26,?,?,surb={'id': 'adcd8268-ccd1-447d-bc75-cef1276a44a8', 'route': ['p1', 'e9', 'i3', 'x6', 'p2', 'c2']}
1769502611.989147,SENT,a1cfd47d-6d4e-4c5a-98cd-cc3af6f1c8ff,cd6748be-aada-4608-ac9b-e038085c224b,c2,c1,3384,?,p2,
1769502611.9892201,CREATED,e42bb73a-f5d2-44cc-bcd9-1974fbc958bb,5b4af6a3-ccf0-424b-b10a-ae2bd06d3173,c2,c1,27,?,?,surb={'id': '719e633f-4ed6-4491-a29a-810699a285cc', 'route': ['p1', 'e2', 'i9', 'x10', 'p2', 'c2']}
1769502612.0355518,RECEIVED,9191b7a0-c76e-4339-9d92-211d087177d6,e8cb9d66-5259-4157-967c-b26ed257303d,c1,c2,27,p2,?,surb={'id': 'b0a14701-b909-4733-8185-75a9f450c039', 'route': ['p2', 'e6', 'i11', 'x8', 'p1', 'c1']}
1769502612.2041845,RECEIVED,307d702e-0f35-404c-9b3b-38ea49d9ce9e,a69e0a29-e83e-426c-a53d-87c39d0dacec,c1,c2,25,p2,?,surb={'id': '6a98d453-9cff-47e0-9e8d-8cd533abecfd', 'route': ['p2', 'e10', 'i3', 'x12', 'p1', 'c1']}
1769502612.248668,RECEIVED,585ceb7b-768f-4cbe-9172-3f5ee2a93d28,5f8565ee-4e82-492b-809b-0793ae04e4ee,c1,c2,27,p2,?,surb={'id': '6e1481de-0fb2-40c8-940d-c09588649301', 'route': ['p2', 'e6', 'i11', 'x8', 'p1', 'c1']}
1769502612.2742922,RECEIVED,ac4ff3c6-9643-49ac-9879-e769bb45e7e6,9e16314a-9434-4261-b4d5-c1eef1d9cf4f,c1,c2,27,p2,?,surb={'id': '2d431160-6976-42fc-ad56-22d402919ea9', 'route': ['p2', 'e11', 'i6', 'x2', 'p1', 'c1']}
1769502612.3732846,RECEIVED,8c3e952f-cf0a-44ee-b1f0-94686daf2caa,8ef83511-5d12-4614-b13c-e1925a6dc2fa,c1,c2,27,p2,?,surb={'id': '02d7a247-1a11-4db9-b4fa-ff9ca3beb70d', 'route': ['p2', 'e4', 'i11', 'x6', 'p1', 'c1']}
1769502612.5028672,SENT,b4480041-639d-482b-bf38-dfc6b7299555,04f95211-ada8-4869-a760-2a88fcf506ff,c2,c1,3365,?,p2,
1769502612.502957,CREATED,70d92c1a-1f75-41d3-969f-6187522ef959,2abaf5e2-c1d0-48f7-94a0-76bca3769561,c2,c1,24,?,?,surb={'id': '2e4bbfb3-7a37-4056-ae80-8ba9db80efea', 'route': ['p1', 'e11', 'i12', 'x8', 'p2', 'c2']}
1769502612.7342572,RECEIVED,02980de7-a38f-426c-a203-7689ad77b0e9,0e543e4c-5c6b-48a9-bf02-9c270537d332,c1,c2,27,p2,?,surb={'id': '58f1e0f6-de59-4c1f-8213-e589888488f8', 'route': ['p2', 'e6', 'i10', 'x3', 'p1', 'c1']}
1769502613.0008986,SENT,c8cb3dac-7266-49e4-8d45-0bb57516ba70,7246867d-281f-495e-b92c-5af012cf33d8,c2,c1,3386,?,p2,
1769502613.0009997,CREATED,82b50aa0-0529-4039-8dbd-447f1c2163b6,f7316be7-5034-4b27-8f50-63d946228aed,c2,c1,26,?,?,surb={'id': '0b96e552-dd31-414d-ba80-97fd42f5dc36', 'route': ['p1', 'e5', 'i6', 'x6', 'p2', 'c2']}
1769502613.36833,RECEIVED,70c841e0-351f-4ae3-8cd4-cc4a36ed7874,e648ed39-afce-4da6-a4ac-2f1771cf0937,c1,c2,27,p2,?,surb={'id': '4abeb307-8fd2-473a-bf11-a361551055ba', 'route': ['p2', 'e2', 'i1', 'x8', 'p1', 'c1']}
1769502613.4640052,RECEIVED,e8f066f8-c12f-4cb6-a92c-273e91e4428b,3eb4f02a-0d9d-498a-b627-842666810ea9,c1,c2,26,p2,?,surb={'id': 'e86205ee-4214-4a44-a16e-0c96ff787493', 'route': ['p2', 'e4', 'i8', 'x1', 'p1', 'c1']}
1769502613.642728,RECEIVED,b4f75fb0-052f-45e3-9a5c-7f210a84dbc6,b20121f0-06d5-4da9-8ad8-3fd4dec789f0,c1,c2,27,p2,?,surb={'id': '1c1a7f58-be06-4c9a-bc3a-4218e65b1288', 'route': ['p2', 'e7', 'i12', 'x3', 'p1', 'c1']}
1769502613.8671834,SENT,b4a29b83-9888-4d2a-9e69-b0ccf7a06b37,54f7e041-c72e-47f6-bce9-40867d066786,c2,c1,3392,?,p2,
1769502613.8691885,CREATED,87bdc50d-3741-4fbc-b5fe-00b3a26300b7,4a102d27-2fed-4a18-80a3-ea1cf952e5c2,c2,c1,27,?,?,surb={'id': '3fd3e9c7-be5f-4ed1-a8c3-4d1a0c0fa8ce', 'route': ['p1', 'e10', 'i10', 'x5', 'p2', 'c2']}
1769502613.9035301,RECEIVED,b59c8eee-d3ec-4bb4-83ee-3bac416a1705,78beb150-336d-4118-a8fc-baa8aef12004,c1,c2,27,p2,?,surb={'id': '0f7de1a7-1fc8-4680-8f94-0bab6ef5461a', 'route': ['p2', 'e7', 'i12', 'x6', 'p1', 'c1']}
1769502614.057138,RECEIVED,87a6ac52-cbfa-4d91-ad91-8459bdeea06f,3e19799a-8e63-4554-8bf0-5a6ec12154d5,c1,c2,27,p2,?,surb={'id': '4bc6341b-963a-40c2-b519-d96429c44197', 'route': ['p2', 'e10', 'i3', 'x12', 'p1', 'c1']}
1769502614.0739121,SENT,79528fbb-93bf-469f-899b-0900285d975f,c4e5ad7e-03f9-40d0-9f17-9272efb19f02,c2,c1,3379,?,p2,
1769502614.0740037,CREATED,5dd1bb03-f830-4d08-976c-5b5d041f81cd,bdf429d6-2e2a-4de5-ad17-f9ca3021b7bf,c2,c1,25,?,?,surb={'id': 'e4fa9053-41f1-44b8-ac57-91e4d53bef49', 'route': ['p1', 'e8', 'i12', 'x4', 'p2', 'c2']}
1769502614.190999,RECEIVED,0e7d9943-95ed-437a-a71a-bc36df06c9a7,48aa03b4-a14a-483f-b7b3-212845711ef0,c1,c2,27,p2,?,surb={'id': '19ee698d-1ac7-4685-ad2d-5b0beb94c2a6', 'route': ['p2', 'e10', 'i5', 'x2', 'p1', 'c1']}
1769502614.3129876,SENT,1cd6b010-9c30-4b12-b0f2-80a09168705f,dda3eb9e-c474-4be1-80f9-f88b37a64083,c2,c1,3359,?,p2,
1769502614.313137,CREATED,11ab71c3-c3cc-4ad7-9417-c593b4855d0a,fcd3805a-28d3-4f98-987a-1ebab701c6ec,c2,c1,27,?,?,surb={'id': '2e648dfb-fa4e-48c9-8975-471aebe086b0', 'route': ['p1', 'e2', 'i6', 'x1', 'p2', 'c2']}
1769502614.4198098,RECEIVED,5ae309d0-f810-4696-bc61-821900531986,ec3de249-8dbd-4086-bb16-6064aec8665d,c1,c2,26,p2,?,surb={'id': '928f7465-4ce5-4a48-9ac6-b0f152863ac8', 'route': ['p2', 'e1', 'i12', 'x12', 'p1', 'c1']}
1769502614.458547,SENT,5ea8432a-03c6-4750-bded-9282421907d0,bdfe29fe-a9cd-4388-9384-c4aa9c684ae7,c2,c1,3372,?,p2,
1769502614.4586678,CREATED,34fcd728-0bf3-432e-a56b-1aaf82773e77,ffa7a67c-2206-4aa1-963a-7f615bc2416e,c2,c1,26,?,?,surb={'id': 'eb318f38-d52d-4b79-89ec-90e98eaf5657', 'route': ['p1', 'e9', 'i4', 'x10', 'p2', 'c2']}
1769502614.4930048,RECEIVED,27d82526-7462-4b8e-afc3-7f606238bdb1,5d408bf6-742a-4b3b-9d74-346a9493dae9,c1,c2,27,p2,?,surb={'id': '0931ac08-ebed-4fb9-bcdb-30b8d01f351d', 'route': ['p2', 'e11', 'i10', 'x1', 'p1', 'c1']}
1769502614.8013256,SENT,75be9015-6ada-4ce9-9fb0-af21a30c37e7,aff790e8-7441-4529-9b76-760dd43b5c04,c2,c1,3380,?,p2,
1769502614.8014011,CREATED,04a865de-5487-4c92-bacc-641d4e68537c,40359d6d-43f4-47f4-b78c-ca3d9a9f5419,c2,c1,26,?,?,surb={'id': '952e7c51-828a-4a5c-a1d2-5f9f90abc334', 'route': ['p1', 'e4', 'i3', 'x10', 'p2', 'c2']}
1769502615.2864947,SENT,9c71a087-5bfb-4718-bcd4-7e9b5a583725,497b4354-b2df-4c60-9a17-f8b3c971fdad,c2,c1,3396,?,p2,
1769502615.2866452,CREATED,46e97a89-4bdc-4e6f-8b4f-64dfd8a1c316,8df4176f-f05f-494a-afba-da1fe438cb8a,c2,c1,27,?,?,surb={'id': 'ee1cb785-3f0d-4c2a-a72d-ae29d7be5adc', 'route': ['p1', 'e6', 'i6', 'x9', 'p2', 'c2']}
1769502615.3587463,RECEIVED,1c817bee-3512-4f1e-9a91-5a70745e6c8a,05b00304-8224-450a-bcaa-cd9d55b32c0d,c1,c2,26,p2,?,surb={'id': '46de1d88-e9bb-45d6-82af-010f81ae76ef', 'route': ['p2', 'e3', 'i12', 'x1', 'p1', 'c1']}
1769502615.4946048,RECEIVED,16181def-ed59-493c-8b32-0a3d454060e6,ae975e5f-07c1-45b0-b17b-f5becbf4fdd4,c1,c2,27,p2,?,surb={'id': 'd358a678-5f63-44ea-841a-b7729667d980', 'route': ['p2', 'e11', 'i11', 'x6', 'p1', 'c1']}
1769502615.7052824,SENT,80b5d656-eb39-40e4-ae7d-4d94a787b001,a829d627-dab2-45ad-99d7-5d52593bae22,c2,c1,3368,?,p2,
1769502615.7053823,CREATED,77ba8c54-4ecc-43f3-8f79-216e97a040e5,4f00ba9a-13ec-4ef7-bc7f-20b2e3249475,c2,c1,27,?,?,surb={'id': '77996171-69b9-4c93-9468-a3e8e750a325', 'route': ['p1', 'e6', 'i9', 'x4', 'p2', 'c2']}
1769502615.845783,SENT,5012295d-6114-43d6-ba04-c4dba32afae2,7294e2b2-8147-4d1d-9fa1-3cea53cc1c31,c2,c1,3397,?,p2,
1769502615.845895,CREATED,ac6b9f39-03cf-41d5-90a4-fcd616d9aa78,c364c3fa-4737-48f3-853c-3c9d6eb27760,c2,c1,27,?,?,surb={'id': 'c4b9312f-8f58-4897-8d16-e86304274791', 'route': ['p1', 'e12', 'i9', 'x7', 'p2', 'c2']}
1769502615.871425,RECEIVED,94a97f05-9e6f-4be9-89cb-660ad9b34077,d5629122-759e-48fc-a1a6-359cabaf8783,c1,c2,27,p2,?,surb={'id': '28de1aa5-b61e-4117-a6dd-f1a0760a2378', 'route': ['p2', 'e10', 'i9', 'x4', 'p1', 'c1']}
1769502615.970635,SENT,532b0d4b-129a-4caf-8075-f7523c43de74,2ed9f47a-c00f-452e-8c88-9b3ad771d4db,c2,c1,3400,?,p2,
1769502615.9707456,CREATED,490d0c4c-c744-4519-ba54-efb3ffe569bf,de4553f6-063c-4f59-bbaa-f640e677992d,c2,c1,27,?,?,surb={'id': '5861348c-6f5c-4fa1-9063-fae03c540783', 'route': ['p1', 'e12', 'i4', 'x3', 'p2', 'c2']}
1769502616.3549426,RECEIVED,38aa99d1-bdfe-45a8-a571-e791e2756637,a6e3a4bc-c17b-4aec-9b7e-fe1c5607ab2e,c1,c2,27,p2,?,surb={'id': '9be96058-137f-44e7-bf18-db0cf01cc18b', 'route': ['p2', 'e5', 'i1', 'x1', 'p1', 'c1']}
1769502616.4514482,RECEIVED,629d433f-0df0-431d-8bc1-3529a6abd0ab,a22e6dfa-05a5-4f7b-a7be-ee7a748e4bbb,c1,c2,27,p2,?,surb={'id': '919eb8b2-106d-4ea0-a169-3fe7a21dbffd', 'route': ['p2', 'e10', 'i4', 'x8', 'p1', 'c1']}
1769502616.6798432,RECEIVED,497cec41-95ab-4a83-a305-3f22de7a041a,98216c70-71d1-448e-b71f-11b076de63c0,c1,c2,27,p2,?,surb={'id': 'f694d07a-205a-4e06-809e-5a4a3d4b0a9a', 'route': ['p2', 'e11', 'i8', 'x4', 'p1', 'c1']}
1769502616.754776,SENT,c9de9eb4-5f01-49c2-a89b-754a88e07632,0ad272dc-9b0e-4188-9d3b-d7776b9f2cb2,c2,c1,3376,?,p2,
1769502616.7548864,CREATED,2b3f9cd7-4c15-42b8-8219-c8a6fc0ff436,d13f294c-8ec7-472b-965c-38f335115644,c2,c1,27,?,?,surb={'id': '967f3ebe-d97f-4e1e-96e1-e49a6d1dbd78', 'route': ['p1', 'e11', 'i3', 'x2', 'p2', 'c2']}
1769502617.458366,SENT,f78fc03d-d012-4738-8120-ef01b325e05b,bd65d20e-226b-4559-9ffd-f3003446e0ae,c2,c1,3387,?,p2,
1769502617.4584413,CREATED,f821a28e-5420-44d5-b690-7f57aa2aa72f,ac0caab3-bb15-4a20-a343-13cda9c2e2b7,c2,c1,27,?,?,surb={'id': 'bd163d17-829b-4ebd-b71d-fe14742c537c', 'route': ['p1', 'e6', 'i2', 'x10', 'p2', 'c2']}
1769502617.5348058,SENT,2d10f0bf-b655-454c-a4a6-8d11dfd3cdfe,b085795e-2b6d-467b-b8ca-2aa9e56bac21,c2,c1,3384,?,p2,
1769502617.5355744,CREATED,c499844a-c1f7-4635-b53c-248e29b82299,4f4399ef-532a-41fb-b11d-e92c00d61e73,c2,c1,27,?,?,surb={'id': '4f46af35-c488-4a0a-8508-8f768919d59f', 'route': ['p1', 'e3', 'i5', 'x7', 'p2', 'c2']}
1769502617.546701,RECEIVED,05106834-e59e-4b3c-9e05-6b050e42701e,fd2c45e6-a5d5-482e-9567-d0b6d33d0de1,c1,c2,26,p2,?,surb={'id': '7a06108d-1892-4d26-b9f3-61f042fbea63', 'route': ['p2', 'e10', 'i5', 'x1', 'p1', 'c1']}
1769502617.586134,SENT,ab2102ea-d470-4d96-8808-b31ebcc464bd,43190ee3-1cc5-4667-9cce-4456e1875f72,c2,c1,3392,?,p2,
1769502617.586226,CREATED,294a85c0-93a1-44ea-94d6-4462eb758d57,c349f05b-d358-4669-8182-b5fe139fc205,c2,c1,26,?,?,surb={'id': 'ea4123ef-a825-405e-9408-591a92c4ef35', 'route': ['p1', 'e11', 'i8', 'x3', 'p2', 'c2']}
1769502617.586458,RECEIVED,7c9bf498-27c4-4860-b429-f86671cc8767,597824cd-7ef2-4f2b-a7b7-31a215851690,c1,c2,27,p2,?,surb={'id': '9b3727f1-b2ab-4a2a-bb8f-cbcca6080669', 'route': ['p2', 'e4', 'i7', 'x10', 'p1', 'c1']}
1769502617.722111,SENT,fbfa1049-5d2d-45fa-8b3c-da11e535e12d,43950478-3911-407f-852f-81fdd99ff729,c2,c1,3384,?,p2,
1769502617.7222044,CREATED,0594ea65-e254-496a-a256-3bd52dd9f1e4,eb0c7230-6589-4dfc-ba1c-e7aca9ea296b,c2,c1,25,?,?,surb={'id': '4f977113-4b3d-4506-8704-56ff33d67566', 'route': ['p1', 'e2', 'i10', 'x1', 'p2', 'c2']}
1769502617.7683132,SENT,205d2f60-84aa-4760-907b-d9295cafcd95,93b80a9c-d2cd-4160-8631-2c2391864172,c2,c1,3399,?,p2,
1769502617.768413,CREATED,9d0f9511-98ff-4f25-b14f-28b7a22b930a,a81371ee-a3b7-4ca8-9333-6e979f23345b,c2,c1,27,?,?,surb={'id': 'c7c54037-eaee-415b-bf3d-adb0d4ecab02', 'route': ['p1', 'e11', 'i8', 'x9', 'p2', 'c2']}
1769502618.3385925,SENT,38281f3c-60d1-4fbd-8e02-1c9dca98d21b,f9eec52d-c7a6-4a99-b251-bf8928b2dcb9,c2,c1,3360,?,p2,
1769502618.3387089,CREATED,cb1ec3cd-57e0-4e12-a9f5-4c3801efce3f,16ddee5f-e652-4d72-9895-4066e54afede,c2,c1,27,?,?,surb={'id': 'de67328f-2a23-4c3d-b710-89aa73132536', 'route': ['p1', 'e1', 'i1', 'x5', 'p2', 'c2']}
1769502618.3648856,SENT,0ac52352-8f05-420f-ad99-5b3ccd008331,c4621ef2-3718-45ee-b8e1-a5931b068e34,c2,c1,3391,?,p2,
1769502618.364986,CREATED,7c9a9837-1d87-44a1-9296-40860dbb7d0a,e4239dc9-1e3f-4a52-9a8d-a41485bf9df7,c2,c1,27,?,?,surb={'id': 'bef9e569-d214-4db1-b724-586b79fd10fe', 'route': ['p1', 'e9', 'i11', 'x5', 'p2', 'c2']}
1769502618.5660324,SENT,97f5e113-29dc-4b61-871d-b69be3c699e4,2c703162-d89a-40d4-9a91-756978e67ba6,c2,c1,3375,?,p2,
1769502618.566162,CREATED,124d6c00-022d-4084-ae0d-6f68c95e0d47,5156a620-ce78-4fae-afc0-18274a4b07a5,c2,c1,27,?,?,surb={'id': '406f8d5f-dc4f-49bf-84a2-c9b7cd5ca760', 'route': ['p1', 'e9', 'i2', 'x5', 'p2', 'c2']}
1769502619.0848057,SENT,c6542724-c323-4b19-b7c8-9449aa272932,f769208f-d56a-44cb-9647-8608bd5a9567,c2,c1,3379,?,p2,
1769502619.084953,CREATED,51ac4d3a-e7a2-4ecd-a053-3ed7fbf5ff90,944caf36-51fc-496f-be3f-f77218ba74ce,c2,c1,27,?,?,surb={'id': '4099622d-24b4-41a7-befa-03e1ea3fd0b9', 'route': ['p1', 'e5', 'i9', 'x6', 'p2', 'c2']}
1769502619.2554722,SENT,72013a15-8c93-45f1-91cb-f135b437bd5c,8d005ae0-6d29-4c6b-aee1-997a15dcfb7e,c2,c1,3355,?,p2,
1769502619.2556028,CREATED,3fe397cc-f6cd-46db-b0a9-8479f0f3e4ab,f1c35b80-a9f1-459e-8d87-aa26e199277d,c2,c1,26,?,?,surb={'id': '796680b6-e8e1-47d0-9887-9f38b3c2b515', 'route': ['p1', 'e6', 'i1', 'x4', 'p2', 'c2']}
1769502619.3804939,SENT,e9e6045d-4c3f-466f-bb1e-e4a8e48243a5,f9e446ee-7858-4de6-b486-f5c4de0834be,c2,c1,3396,?,p2,
1769502619.380625,CREATED,45c8d8a8-380c-4533-96ab-039a01895bf1,bf7d62c7-6e63-4540-9cfd-b9cd82687a2b,c2,c1,26,?,?,surb={'id': 'f8f2219b-e1a7-4e6d-b60b-7a50d84807b9', 'route': ['p1', 'e11', 'i5', 'x11', 'p2', 'c2']}
1769502619.5210865,SENT,ef259e85-133f-4b32-a69f-bef302ef0379,f46d2bba-aa8c-42e6-afea-60688682efdb,c2,c1,3397,?,p2,
1769502619.521249,CREATED,d88b4eca-e20e-4b87-a616-530b8881d708,50e050c2-8618-456a-8f19-391337df347a,c2,c1,27,?,?,surb={'id': 'c742a3b9-496b-459c-8dfb-15a6c8ea017c', 'route': ['p1', 'e9', 'i11', 'x9', 'p2', 'c2']}
1769502619.6103811,RECEIVED,ce7514e4-c51d-4450-afc7-e9dbec43d03e,7d3145a0-69ac-4dc7-af5d-6529b1a0aff8,c1,c2,26,p2,?,surb={'id': '04f4f8a1-8455-4179-910f-b9783f43803a', 'route': ['p2', 'e4', 'i12', 'x9', 'p1', 'c1']}
1769502619.6662161,RECEIVED,27d76773-edc8-4c4b-bad7-ec2b9f0cfd31,15590570-c160-41a4-a112-fb2a7e066117,c1,c2,27,p2,?,surb={'id': '8131ca3e-5531-4390-8c4c-df2b01200042', 'route': ['p2', 'e2', 'i1', 'x7', 'p1', 'c1']}
1769502619.9960291,SENT,0d2d9c0b-3945-4e2f-b734-ef1601211198,ee22ce32-d392-4d52-9a1a-8c502d1a16bf,c2,c1,3400,?,p2,
1769502619.9961267,CREATED,42bd9055-77db-4ddf-8810-e92666e111c6,53aa517a-c7e0-41f4-8a73-f836a32b400f,c2,c1,27,?,?,surb={'id': '428fb7fe-86cd-4276-83df-79ff71b9d80b', 'route': ['p1', 'e6', 'i5', 'x10', 'p2', 'c2']}
1769502620.0009015,RECEIVED,31059f0b-8262-453f-b98f-baa64529d070,4432ad43-94b6-4bb1-b0ab-e027fb1efbd0,c1,c2,26,p2,?,surb={'id': '4851bdaa-accc-4fdf-bf00-e9409a70e2dd', 'route': ['p2', 'e10', 'i6', 'x2', 'p1', 'c1']}
1769502620.19329,RECEIVED,3fa7e451-5596-436b-8483-5937312978f6,554a581e-b8c9-4d41-ad23-2e26db93e5de,c1,c2,27,p2,?,surb={'id': '853ab05b-fa66-4943-bfd3-24ea28ddddf6', 'route': ['p2', 'e3', 'i8', 'x7', 'p1', 'c1']}
1769502620.2763171,SENT,a05b2ed3-2486-4be6-bc91-197d55158f51,abd10e96-bc82-4ce7-baed-bd1f1388aef0,c2,c1,3355,?,p2,
