timestamp,event_type,packet_id,src,dst,size,prev_hop,next_hop,flags
1768488908.0202339,RECEIVED,62b5c421-fb9b-4242-bf24-4a45c373c540,c1,c5,1308,e5,?,
1768488908.1818054,RECEIVED,8a473d73-ed96-4d4f-90d6-aaa628d34195,c5,DROP,895,e7,?,
1768488908.2319572,RECEIVED,327292c8-13ee-44bb-a6e0-6a5484d1ba1c,c1,c5,1304,e5,?,
1768488908.2665596,SENT,62b5c421-fb9b-4242-bf24-4a45c373c540,c1,c5,907,?,x3,
1768488908.266673,FORWARDED,62b5c421-fb9b-4242-bf24-4a45c373c540,c1,c5,907,?,x3,
1768488908.3091226,SENT,327292c8-13ee-44bb-a6e0-6a5484d1ba1c,c1,c5,906,?,x3,
1768488908.309234,FORWARDED,327292c8-13ee-44bb-a6e0-6a5484d1ba1c,c1,c5,906,?,x3,
1768488908.6758108,RECEIVED,c34c97ed-8470-4e84-95ca-785f0c169e1a,c2,c4,1308,e12,?,
1768488908.7490847,SENT,8a473d73-ed96-4d4f-90d6-aaa628d34195,c5,DROP,600,?,x1,
1768488908.7492006,FORWARDED,8a473d73-ed96-4d4f-90d6-aaa628d34195,c5,DROP,600,?,x1,
1768488909.1128037,SENT,c34c97ed-8470-4e84-95ca-785f0c169e1a,c2,c4,909,?,x2,
1768488909.1129305,FORWARDED,c34c97ed-8470-4e84-95ca-785f0c169e1a,c2,c4,909,?,x2,
1768488909.1962032,RECEIVED,f3e888ff-2534-4d1a-a32f-7d509f2c4203,c3,DROP,907,e6,?,
1768488909.4654648,RECEIVED,eba521ba-49f0-4035-9154-89ac9a7cfc42,c5,c1,1303,e6,?,
1768488909.5455122,RECEIVED,bf939ab1-0b7d-4e73-913a-99d0d8f24aca,c4,c5,1309,e1,?,
1768488909.6097744,SENT,bf939ab1-0b7d-4e73-913a-99d0d8f24aca,c4,c5,908,?,x3,
1768488909.6111038,FORWARDED,bf939ab1-0b7d-4e73-913a-99d0d8f24aca,c4,c5,908,?,x3,
1768488909.6933773,RECEIVED,18a54c4a-c0a7-4ec5-9fb8-c0da2b7200dd,c4,c5,1307,e1,?,
1768488909.7193296,SENT,eba521ba-49f0-4035-9154-89ac9a7cfc42,c5,c1,904,?,x4,
1768488909.7193782,FORWARDED,eba521ba-49f0-4035-9154-89ac9a7cfc42,c5,c1,904,?,x4,
1768488909.7917478,RECEIVED,15f6374a-78a6-4092-8bdd-8704f3c99ca4,c2,c4,1307,e12,?,
1768488910.243679,SENT,18a54c4a-c0a7-4ec5-9fb8-c0da2b7200dd,c4,c5,907,?,x3,
1768488910.243731,FORWARDED,18a54c4a-c0a7-4ec5-9fb8-c0da2b7200dd,c4,c5,907,?,x3,
1768488910.2728493,SENT,f3e888ff-2534-4d1a-a32f-7d509f2c4203,c3,DROP,608,?,x4,
1768488910.2729044,FORWARDED,f3e888ff-2534-4d1a-a32f-7d509f2c4203,c3,DROP,608,?,x4,
1768488910.3434844,SENT,15f6374a-78a6-4092-8bdd-8704f3c99ca4,c2,c4,907,?,x2,
1768488910.3435981,FORWARDED,15f6374a-78a6-4092-8bdd-8704f3c99ca4,c2,c4,907,?,x2,
1768488910.3537946,RECEIVED,41561591-b8a0-416a-8d54-309eda41b206,c2,c3,1305,e1,?,
1768488910.4441504,RECEIVED,06014882-d34d-469c-9a2a-78c538e79882,c5,c1,1300,e6,?,
1768488910.5133336,SENT,06014882-d34d-469c-9a2a-78c538e79882,c5,c1,903,?,x4,
1768488910.5134177,FORWARDED,06014882-d34d-469c-9a2a-78c538e79882,c5,c1,903,?,x4,
1768488910.7441232,RECEIVED,4be15fe3-c2df-4874-8b77-40e60e17320f,c5,c3,1309,e9,?,
1768488910.7748692,SENT,41561591-b8a0-416a-8d54-309eda41b206,c2,c3,904,?,x10,
1768488910.7749743,FORWARDED,41561591-b8a0-416a-8d54-309eda41b206,c2,c3,904,?,x10,
