timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769733730.3824458,SENT,21b99d6a-d726-4c46-bd63-d6cc8e219232,308c70cc-b951-4442-a0b3-698207e61266,c5,DROP,2030,?,p2,
1769733730.3825727,CREATED,217d83d4-1f58-4c9c-805c-1d1313c2a0ca,370e030f-0f6a-4302-9ffa-c0d955390199,c5,DROP,27,?,?,
1769733730.520233,SENT,112bf3ee-42da-4668-b034-2749bd317566,e7ef2841-f4bb-4e13-afd2-b139594a711c,c5,DROP,2022,?,p2,
1769733730.520355,CREATED,3c234d5a-2c34-4a6d-aa90-bd49e57fb231,9919c117-e97e-4d82-acfc-479008b80b53,c5,DROP,26,?,?,
1769733730.6109223,SENT,ac7ac704-e460-4375-80b1-caeb0055dbb4,893922dc-c55c-46fa-97e3-730691eac8cb,c5,c4,3364,?,p2,
1769733730.6110966,CREATED,0b6c81de-33b1-4fc8-b8fd-85b45a076659,040424e4-66c0-428d-b06b-60e3084c611f,c5,c4,27,?,?,surb={'id': '2420b493-c45d-4aa6-a052-90eb1469f8f7', 'route': ['p1', 'e3', 'i8', 'x2', 'p2', 'c5']}
1769733730.826782,SENT,97489fbd-2e49-46f4-8d20-023a32446ce2,5c8ed15c-7c9e-4f5d-bbc0-71bf4413950b,c5,DROP,2027,?,p2,
1769733730.8269005,CREATED,d74fc6cf-5cbf-45bf-aadd-15a1df813e48,b2b4c3e9-5913-4c98-a14b-7a6b9ce8696f,c5,DROP,26,?,?,
1769733731.0901222,SENT,240731dc-1d4a-49e2-8ce9-355eb6295312,095a417f-4030-46d6-86e7-251739b4a626,c5,c4,3369,?,p2,
1769733731.090263,CREATED,3def6883-c331-4479-b182-347b3acfa6c0,233be0db-6d10-4980-920d-754a0f3a22ab,c5,c4,26,?,?,surb={'id': '050b3bd0-58a6-4d36-a9d9-7c103426b84d', 'route': ['p1', 'e4', 'i6', 'x9', 'p2', 'c5']}
1769733731.1722035,SENT,44a564fa-5d03-485e-979e-b53ed38f69ad,0fc48d47-2f36-4e7c-aa49-e9caa4918367,c5,DROP,2023,?,p2,
1769733731.1723228,CREATED,bfbf13dc-db8c-4108-b830-b464abb57727,044811dd-42e9-4902-bdb2-3f9133686878,c5,DROP,27,?,?,
1769733731.223561,SENT,443da235-be87-472e-908f-71721a251ffb,cf621cdf-edd0-4f4b-96f2-a5d5d0bf826d,c5,DROP,2019,?,p2,
1769733731.2236714,CREATED,101652ba-36c2-4147-8307-54628102a72f,618a6d26-5cfe-4cfe-9818-cb6d64044d23,c5,DROP,27,?,?,
1769733731.3690796,SENT,274eedc1-999f-4f3f-8b25-e017f6ccaf00,227239bd-b844-4885-b402-04de6bb59318,c5,c4,3383,?,p2,
1769733731.369231,CREATED,b93a734a-1152-493e-9632-1160d0c38613,f4de908c-2f91-47b6-bd3b-c0ece6141093,c5,c4,27,?,?,surb={'id': '69954deb-52a5-488e-9c46-c472da3b3ed8', 'route': ['p1', 'e11', 'i6', 'x5', 'p2', 'c5']}
1769733731.8636644,RECEIVED,fbf15633-a466-4528-983f-3b0853597916,30015f4a-f831-4350-9fa1-b24b91f48e17,c3,c5,27,p2,?,surb={'id': 'ca62df0b-68c7-48c8-8433-9e71184af5bb', 'route': ['p2', 'e7', 'i1', 'x5', 'p3', 'c3']}
1769733731.889699,SENT,02de65c5-ee78-405c-a441-e7e721433e49,8cd76797-3c22-4395-9893-184867c1555d,c5,c4,3364,?,p2,
