timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769733730.3271475,SENT,8352fa79-1d7a-4485-833e-a6ffca75d630,e967147d-cdbc-47d5-84be-2d789ca8e4f8,c4,c1,3361,?,p1,
1769733730.3273141,CREATED,cc70361f-3832-4ca8-8b2f-25cdbe0bf8e8,877006f3-c5a6-4d7d-8f58-5d7e0e21236e,c4,c1,26,?,?,surb={'id': 'fd6f8a17-0f75-41ef-a44e-f57f1c167d22', 'route': ['p1', 'e6', 'i4', 'x8', 'p1', 'c4']}
1769733730.4225185,SENT,3b88e54c-c9f9-437f-ac91-ddc24e179d27,304e35e3-32e6-4f8b-ba5a-e3c7bdc7fc8a,c4,c1,3396,?,p1,
1769733730.4226494,CREATED,26c48988-5c41-4f44-b0d3-c69ef961c8b4,e3e2ff39-3b51-46e3-948f-9e588f21bf2a,c4,c1,27,?,?,surb={'id': '57d67fab-3a52-42d4-87dd-1dc0863e58e2', 'route': ['p1', 'e8', 'i7', 'x12', 'p1', 'c4']}
1769733730.4276342,SENT,41da8714-7237-431d-a849-e84b28820cd3,cb35d88f-6ba9-42fa-bffa-78d15b66446c,c4,DROP,2038,?,p1,
1769733730.4277532,CREATED,3d89dd0f-6f52-441b-92bc-69709b86d65a,cb05169c-0b91-4bde-a6d4-e2a9adc1bb42,c4,DROP,27,?,?,
1769733730.5505872,SENT,c59b1391-8bc1-4b84-a091-6ba89b8d45a6,308f6c36-7a1c-420e-b343-a58fb68dab48,c4,DROP,2027,?,p1,
1769733730.5507085,CREATED,82392bc6-43ef-452b-9b48-0fd807f57d40,a3eae8e1-2ecc-4af5-a858-21a906d5a9c5,c4,DROP,26,?,?,
1769733730.6241114,SENT,13732cf6-4054-4423-a0e8-cfcd577d900d,1518022c-9ff2-400e-bab9-ba18380f0c5d,c4,DROP,2019,?,p1,
1769733730.624249,CREATED,9e9f8b92-dfa8-428f-b6e7-d011c14904ff,d2047e20-59ef-4ccc-bff9-d5aeed7073a9,c4,DROP,27,?,?,
1769733730.8315408,SENT,7486525a-1c47-4c6b-bbd4-08411d2a7e6c,3a00fc6d-ab91-4f21-a8ce-a4b7c8a5b633,c4,c1,3388,?,p1,
1769733730.8316677,CREATED,45214836-c6d2-4eac-bd0e-5554bc747bce,56d4b962-fc10-42f4-9b06-4b5f60a54840,c4,c1,27,?,?,surb={'id': '99f0d4fe-d4ab-4a6b-ab46-966102058d34', 'route': ['p1', 'e3', 'i2', 'x7', 'p1', 'c4']}
1769733730.9944806,SENT,be32b49a-f5d5-4cb4-9efb-4d64340d26ae,2c2e5d58-918a-410a-96cd-1d89cc26c04d,c4,c1,3383,?,p1,
1769733730.9946394,CREATED,99c08ffa-f472-40e9-9e28-1ad0087d23fb,7b6e903e-e6d1-4876-b390-96ea42ba5fe4,c4,c1,27,?,?,surb={'id': 'ba3ae4fa-1f75-46a0-9913-5693cc47fe60', 'route': ['p1', 'e1', 'i7', 'x5', 'p1', 'c4']}
1769733731.7037067,SENT,b1b3ad2b-006f-4153-9156-18c817259cca,f7a7ef4a-b2e4-4b37-8925-78651c034d97,c4,c1,3377,?,p1,
1769733731.7038376,CREATED,d47f7a15-9c03-4d39-85de-59c4de460961,9b5ec276-2306-40be-8086-a266dc1d3947,c4,c1,26,?,?,surb={'id': 'f7f3a17f-078c-4597-adeb-39e308274baa', 'route': ['p1', 'e5', 'i1', 'x1', 'p1', 'c4']}
1769733731.8372805,RECEIVED,6780f9b8-29d0-49b7-81e1-b1b1ca108b1e,5696454f-586e-4361-9207-6b55bcdb2d2a,c1,c4,26,p1,?,surb={'id': '6df8e2bd-e867-439c-895d-a2fb56d30a0d', 'route': ['p1', 'e1', 'i4', 'x9', 'p1', 'c1']}
1769733732.3419116,SENT,2120183b-acfc-4c1c-8504-fbe3ba66bfb6,e041e930-fe51-4b59-a82f-52ce64357161,c4,c1,3376,?,p1,
1769733732.3421094,CREATED,a4959351-57b4-4345-863b-c6380ae4cfb7,e83a821d-1985-4fd6-a210-0ed3aa49a0ec,c4,c1,27,?,?,surb={'id': 'b7318550-400d-4dfa-96f7-be1f730d6930', 'route': ['p1', 'e5', 'i8', 'x4', 'p1', 'c4']}
1769733732.533134,RECEIVED,3def6883-c331-4479-b182-347b3acfa6c0,233be0db-6d10-4980-920d-754a0f3a22ab,c5,c4,26,p1,?,surb={'id': '050b3bd0-58a6-4d36-a9d9-7c103426b84d', 'route': ['p1', 'e4', 'i6', 'x9', 'p2', 'c5']}
1769733732.6149309,SENT,9c559d24-159d-49ad-87bd-d86304399dc0,40df2e32-8435-4bbe-a561-9178de85f11b,c4,c1,3371,?,p1,
1769733732.6150944,CREATED,c3baa311-8a20-4418-8840-7c2da901f7e7,7d69f6be-c881-45b6-aa27-b1050464b138,c4,c1,27,?,?,surb={'id': '9a636fae-4f17-4fe0-bc01-af0d1e385520', 'route': ['p1', 'e6', 'i12', 'x9', 'p1', 'c4']}
1769733733.0626013,RECEIVED,0027fb44-a1f5-4a22-bac3-6595e7cbeede,3188b880-2d6f-4cfd-97da-73fb6fd6a5d7,c1,c4,26,p1,?,surb={'id': 'ad33546e-8b56-4a33-9071-9566590a616a', 'route': ['p1', 'e7', 'i8', 'x4', 'p1', 'c1']}
1769733733.361948,RECEIVED,6be08728-b096-49c5-a4e8-047c1ece3a6a,7260d908-55b6-4eee-95f7-3daeca0bb4ce,c1,c4,27,p1,?,surb={'id': '4d79e5bc-24cf-4b52-b219-b140c427f945', 'route': ['p1', 'e2', 'i4', 'x4', 'p1', 'c1']}
1769733733.7487078,RECEIVED,6ac935db-c402-44ef-a0e2-bf4565cf474c,ad327366-cf7f-431f-9e53-ceb5aab2e26f,c1,c4,27,p1,?,surb={'id': '77c40d2e-c068-42b4-8d64-6cc40acda947', 'route': ['p1', 'e2', 'i8', 'x2', 'p1', 'c1']}
1769733734.0926323,RECEIVED,0b6c81de-33b1-4fc8-b8fd-85b45a076659,040424e4-66c0-428d-b06b-60e3084c611f,c5,c4,27,p1,?,surb={'id': '2420b493-c45d-4aa6-a052-90eb1469f8f7', 'route': ['p1', 'e3', 'i8', 'x2', 'p2', 'c5']}
1769733734.177079,SENT,56cd446e-278e-4acf-a9c5-d5b85545bc80,e1c7ab69-e1cf-4c7f-97df-fa566b4c949d,c4,c1,3361,?,p1,
1769733734.1772223,CREATED,017c7bc6-10e0-40c3-bf34-0780af8edffc,664a9767-3bbd-474b-b986-e552487feb17,c4,c1,27,?,?,surb={'id': '432a6221-1e98-43db-b68a-cca0e87e918b', 'route': ['p1', 'e7', 'i5', 'x11', 'p1', 'c4']}
1769733734.228986,SENT,cf30ac40-5672-4f58-ad09-70c4c8ef6bf1,1b2d55ea-d484-43c9-9076-0dd89cbb48a6,c4,c1,3400,?,p1,
1769733734.2291548,CREATED,94ac8768-bf83-4436-8a72-a36089a5b62d,2cde58dc-e7ed-4018-b516-81f1a0d8ac4b,c4,c1,27,?,?,surb={'id': '35ade02e-7d9b-4012-8b6c-71183225da7f', 'route': ['p1', 'e6', 'i11', 'x11', 'p1', 'c4']}
1769733734.5195098,SENT,b30a72f8-025e-41d2-89e5-8a4a73d766ef,2e9155a7-32d4-4b1c-b93b-c25854327fe8,c4,c1,3387,?,p1,
1769733734.5196466,CREATED,5a483eb1-6eee-4876-95e0-ec2a81a6247d,1f491aee-1872-41d2-b8e0-a7e8515beaec,c4,c1,27,?,?,surb={'id': 'ec88836c-11d4-4551-ae8c-cf49c51a8ed0', 'route': ['p1', 'e11', 'i7', 'x7', 'p1', 'c4']}
