timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769734346.6860938,SENT,bc0f4028-9614-4653-b372-133bca244912,4f486087-fadc-4640-a65e-94fca95d6c86,c1,DROP,2032,?,p1,
1769734346.6862228,CREATED,c8bc7c45-f983-43ac-ae5f-c0519249c093,0fd28a1d-2653-4725-a354-651345222391,c1,DROP,26,?,?,
1769734346.7951744,SENT,30170060-64dd-4070-a15b-93797cfe636d,ff11ff4c-4a13-4753-bf3e-e4be39ee943d,c1,DROP,2044,?,p1,
1769734346.7952952,CREATED,f3862b6d-ebbe-46f0-9814-23611b42a07f,bdc7cb77-bad6-4d8b-aa52-72a875c4dd04,c1,DROP,27,?,?,
1769734346.9131236,SENT,178f5677-d9c0-464a-8001-f4e2be348539,c79ef702-e0a4-4a82-a6ea-b5b7fb2328a6,c1,DROP,2015,?,p1,
1769734346.9132574,CREATED,bbf0bc67-b936-49cd-857e-d4bf6766d139,24aaac64-710a-4674-b2a1-bb19fb25a454,c1,DROP,27,?,?,
1769734347.038849,SENT,6e9a9df1-91ce-4fba-9003-d62f8de7c930,4a126e4d-4a2b-4cd1-bb97-2c96d8d3c1a0,c1,DROP,2016,?,p1,
1769734347.0389693,CREATED,0b94320f-8ff8-4afe-ae83-95c12418b248,96a1e0ef-4537-4510-be40-70b44f13345e,c1,DROP,27,?,?,
1769734347.2738142,SENT,6fbe28f5-fac9-4403-9452-c1b74632bbbb,1f3a332c-2ed9-4d54-abe4-70b38465bc24,c1,DROP,2015,?,p1,
1769734347.273935,CREATED,92729d81-1700-46b3-a321-8a2823fe68c9,9e6218e0-956a-4e45-ae93-66857c069146,c1,DROP,27,?,?,
1769734347.431971,SENT,4602dd4d-c39c-4fb3-9265-06c6b229bf9b,d9a5eafc-0208-4cbe-8d2c-ed7c2816c5bd,c1,DROP,2020,?,p1,
1769734347.432135,CREATED,2796364c-2e2e-4ff3-a113-df4e7829ea33,849f5df4-5f72-4842-b154-1bba21528b2d,c1,DROP,27,?,?,
1769734347.6574123,SENT,0547e61c-8d51-4914-af38-c8168ea5cdf5,269af3a4-a816-4efa-b6f4-eed49db69dad,c1,c3,3368,?,p1,
1769734347.6575491,CREATED,e686050d-e3f5-4834-82e3-f89368cb083f,3fdfa3cb-e74c-4a76-b809-ba4cd3fc1e1d,c1,c3,26,?,?,surb={'id': '86f3c4e1-e374-42b6-9646-80bcd1e8f1f4', 'route': ['p3', 'e7', 'i4', 'x2', 'p1', 'c1']}
1769734347.7517595,SENT,9fd39799-cfec-4a8f-a214-7cddfe824f29,95328398-7c43-4df4-a71d-6a49ec75e9fa,c1,c3,3408,?,p1,
1769734347.751894,CREATED,82568fce-2de5-4275-ac22-3b703b503c34,35669aa3-06fa-49c9-8835-2b69787487c0,c1,c3,27,?,?,surb={'id': 'ab2c6ca4-bac8-4be7-ba1b-900e69df0c70', 'route': ['p3', 'e11', 'i6', 'x4', 'p1', 'c1']}
1769734347.7825282,SENT,a3c56302-04d6-4fc3-9b7d-9885588ed297,c725bef9-5537-495c-9250-8eec15f7c635,c1,c3,3399,?,p1,
1769734347.7826617,CREATED,630860a7-40d4-4d4f-8aa6-07f995493292,07e5a243-b6b7-4d47-9ddb-74e33c1a839f,c1,c3,27,?,?,surb={'id': '1f32f0b2-fa5f-4fa3-94c6-9b4f87fc2274', 'route': ['p3', 'e9', 'i5', 'x10', 'p1', 'c1']}
1769734347.900617,SENT,b62ef8c6-35c7-4cfd-824b-10cad1ebae69,589addf2-c05f-448e-903d-0a0e1889b574,c1,c3,3375,?,p1,
1769734347.900747,CREATED,ef2f9f95-f205-4b16-99f8-c16d63e58095,4e86fba1-94a2-4dc3-8e15-f33b21af6c8c,c1,c3,27,?,?,surb={'id': 'c4a89c22-f728-4d2e-a206-bd0b25d1c898', 'route': ['p3', 'e8', 'i4', 'x1', 'p1', 'c1']}
1769734348.0570939,SENT,dd41bbac-7b58-4d83-bf9f-d66ae728be0b,ebcc38d4-c61b-437a-bc6a-0d0508cee431,c1,c3,3389,?,p1,
1769734348.0572312,CREATED,fdb3c8fd-c02f-46e7-9c9f-4bc2206910f8,00e06f5d-99f8-4232-9be4-7f58ddc6d65e,c1,c3,27,?,?,surb={'id': '9e6715ea-3115-40a4-90c9-4e585c1b9724', 'route': ['p3', 'e4', 'i9', 'x2', 'p1', 'c1']}
1769734348.110948,SENT,901f4dbf-e5d4-45fd-9745-5067b758538d,97e95460-35ce-49b7-8a3f-bef18d1e08c5,c1,DROP,2035,?,p1,
1769734348.1110969,CREATED,cb5db672-bd93-450f-b57f-85557d25be81,239a666a-cf56-4c16-ba07-226b2d5a7104,c1,DROP,27,?,?,
1769734348.1913552,RECEIVED,b1a70e49-7ed0-4132-92c0-c9de92b185ca,42b0c8c4-99d1-440d-b3ee-936e0ae89516,c5,c1,27,p1,?,surb={'id': '32f77032-04ec-4964-bbd5-99559b9d772b', 'route': ['p1', 'e5', 'i7', 'x4', 'p2', 'c5']}
1769734348.249136,SENT,ae60c100-ce5f-44d4-93b7-2941f0313110,3cb14683-5a61-48ed-a2ff-d705b33db868,c1,c3,3376,?,p1,
