timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769734346.5945866,SENT,82c5416f-29ee-4ce0-bbaa-fdadcb4148ea,f2ee052e-abbf-4b5e-99c7-40d182ae9f9f,c3,DROP,2035,?,p3,
1769734346.5947156,CREATED,161f2062-1e05-4ee1-b795-5583fc81b169,eaac6080-3d02-4fc3-be49-d8a9e875d70b,c3,DROP,26,?,?,
1769734346.8796732,SENT,e2c8ee47-640f-4b3c-a1df-20c800e00abf,1ff98769-094a-49bb-8a7d-b2d50dafc5ad,c3,c5,3391,?,p3,
1769734346.8798275,CREATED,17d3ba28-1f55-46e7-a3a9-d532d116eb0b,cf4dc5d7-94be-408f-b798-5e698c404cfc,c3,c5,27,?,?,surb={'id': 'f3eaed1f-9f43-42d5-abf7-4596db26e03a', 'route': ['p2', 'e12', 'i6', 'x11', 'p3', 'c3']}
1769734347.6861045,SENT,ba39ec77-2d0e-4194-a5d3-46bfbcedcd3a,e45bf81a-990f-4bb1-a086-cdd70b2ca3c4,c3,c5,3392,?,p3,
1769734347.6862428,CREATED,40fda588-b1c8-46b7-9b04-0aaa77b0052c,baf86646-a841-4d6d-a0aa-aafc8e3d3243,c3,c5,27,?,?,surb={'id': 'b620ea73-2d35-45ad-8c80-ec6c72b6ff90', 'route': ['p2', 'e6', 'i9', 'x10', 'p3', 'c3']}
1769734347.7968578,SENT,550de89a-79f6-4822-a633-75929e834a17,8107b1b3-b92a-4aba-be8f-66c000511da3,c3,c5,3416,?,p3,
1769734347.797004,CREATED,82bc0d4b-34a6-42b7-8778-440efcacc15c,531738ea-8eb3-49d5-b832-463b7cfda37d,c3,c5,27,?,?,surb={'id': 'b0b27e2a-f2c9-4794-8931-0e43b3f2cd62', 'route': ['p2', 'e11', 'i11', 'x2', 'p3', 'c3']}
1769734348.0464425,SENT,9741ebea-fc85-4fa6-93cb-495758ae63f9,97d08453-0451-4338-8a41-a1dc2df9231e,c3,c5,3404,?,p3,
1769734348.046577,CREATED,f6f77e43-ef2e-4fb2-961c-2a3744fcc9ff,918e7b86-88c7-481c-a1de-e4d88eeac9ea,c3,c5,27,?,?,surb={'id': '998cc090-8ea7-4b8e-b067-b45f33e32bb6', 'route': ['p2', 'e1', 'i10', 'x7', 'p3', 'c3']}
1769734348.1994379,SENT,eff0c40c-ee78-486e-b9ce-502379f43190,ab205f53-ccb1-4981-aefa-00549c30e370,c3,DROP,2019,?,p3,
1769734348.1995583,CREATED,b2e9224f-14f3-45c9-807f-029c9c3ed460,561f77c5-1335-4cf2-abbc-51d5f0102841,c3,DROP,26,?,?,
1769734348.2767692,SENT,5011cf74-9726-4c7b-875f-46c7eaa47d46,8c204637-850c-4e07-9372-555839b5bd8e,c3,DROP,2033,?,p3,
1769734348.2768888,CREATED,aeb671e4-114b-4b15-a725-0edc252abb61,ba7bf9a2-f257-497c-bc6c-c0e9dd2e1f44,c3,DROP,27,?,?,
1769734348.397704,SENT,755ad039-ee66-47ab-8687-860ac21dbadd,906e24ec-39a1-43ec-ac8a-3e82bb3e48aa,c3,c5,3379,?,p3,
1769734348.3978324,CREATED,795ba216-e006-4e91-be8f-ee7c605f79a9,4d28429d-aca9-4f76-9c31-e991079592dd,c3,c5,27,?,?,surb={'id': '156b5897-89a6-4b62-987b-a3b546696586', 'route': ['p2', 'e7', 'i5', 'x5', 'p3', 'c3']}
1769734348.6078737,RECEIVED,23ed0363-2e26-4e2e-83a9-ee2a49508b22,fd7ac8f5-bb99-41ad-85bc-1320c7ba7e39,c4,c3,27,p3,?,surb={'id': 'a9a1fc48-61dd-4136-a028-1c5a65a55667', 'route': ['p3', 'e8', 'i7', 'x2', 'p1', 'c4']}
1769734348.970958,RECEIVED,0f1332ec-3409-4b7a-8061-b5a008cac108,0879774a-80c8-4c0f-b5e6-e8abb4594b2a,c4,c3,26,p3,?,surb={'id': 'cf8be080-d017-42ce-a91b-732b595e2daf', 'route': ['p3', 'e12', 'i3', 'x5', 'p1', 'c4']}
1769734349.1109664,RECEIVED,41475be3-61c8-4cc7-9d22-e20080ff6639,796739cc-a6ed-49fe-a49a-1823b8fadcf4,c4,c3,27,p3,?,surb={'id': '4962eb83-fbde-46b8-8395-0de65bc725bf', 'route': ['p3', 'e6', 'i8', 'x8', 'p1', 'c4']}
