timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769504954.5466769,RECEIVED,74756118-adfe-4724-b405-067b14e93ff6,29565381-e715-41bf-b424-5a12ebeb178b,c1,c4,27,p1,?,surb={'id': 'bc619031-457a-4e55-9da6-556fefdd7614', 'route': ['p1', 'e1', 'i1', 'x9', 'p1', 'c1']}
1769504954.585757,RECEIVED,4d3e2dcb-bf32-4f01-8300-27c6e02919ac,29565381-e715-41bf-b424-5a12ebeb178b,c1,c4,27,p1,?,surb={'id': 'bc619031-457a-4e55-9da6-556fefdd7614', 'route': ['p1', 'e1', 'i1', 'x9', 'p1', 'c1']}
1769504954.998033,SENT,9d2d38d4-710b-40c1-b492-69481a07cbe1,5f38c8aa-b029-413e-8bd7-54ef87d275c1,c4,c5,3399,?,p1,
1769504954.998261,CREATED,a36f5913-b99a-40e8-9b15-681a1ee2a761,0b9e5e7c-60ca-4277-aff0-8292bcd25e7e,c4,c5,27,?,?,surb={'id': 'c0d1ea7a-90bc-4254-80ab-f75da510a72f', 'route': ['p2', 'e6', 'i10', 'x1', 'p1', 'c4']}
1769504955.1061552,RECEIVED,1cd3e99f-a054-4900-9678-20497dd9a5cc,70958f01-023a-4553-9a60-1002a7a4a796,c1,c4,27,p1,?,surb={'id': '9bdb214b-fffe-4496-8568-aec003aeac0f', 'route': ['p1', 'e2', 'i3', 'x8', 'p1', 'c1']}
1769504955.7358365,SENT,f98fa415-fb48-4938-8846-c83cefb4b58c,1ac79b01-5095-4417-9ad2-b48bb3c60144,c4,c5,3376,?,p1,
1769504955.7359931,CREATED,f92ce4c2-4d6b-4aa0-a07c-7fd1570fa7f4,ff146492-f8b9-4747-91e4-2abb54d2d789,c4,c5,27,?,?,surb={'id': '464e23cc-004b-4978-8c77-0b3ff93efccd', 'route': ['p2', 'e2', 'i1', 'x2', 'p1', 'c4']}
1769504955.7889695,SENT,1fd6a4de-de11-431a-8605-f3f82237eeb6,5443d245-9346-44a7-ba17-7ef977e476bd,c4,c5,3374,?,p1,
1769504955.7891784,CREATED,42a62e69-9d7e-4caf-b643-fd392a9d6e30,ff146492-f8b9-4747-91e4-2abb54d2d789,c4,c5,27,?,?,surb={'id': '464e23cc-004b-4978-8c77-0b3ff93efccd', 'route': ['p2', 'e2', 'i1', 'x2', 'p1', 'c4']}
1769504955.941159,SENT,f9339a38-aebf-4779-a764-69e4966734fa,8e7bd9ba-1cb9-45b5-a470-446e3c6ab09d,c4,c5,3371,?,p1,
1769504955.9413111,CREATED,cd7bd77e-9e56-4189-96aa-0c1730048c80,4952fa67-2376-4877-ae1c-50cc39617a48,c4,c5,26,?,?,surb={'id': 'e9167896-511f-4d9f-a8f1-69b984edabae', 'route': ['p2', 'e6', 'i3', 'x6', 'p1', 'c4']}
1769504956.3619955,SENT,54f5ed4c-5979-4a4b-ae9f-f5e1a03e9266,9f17d883-f511-4c19-b200-ddabb8d539e1,c4,c5,3375,?,p1,
1769504956.362183,CREATED,0efa5000-af17-4d6c-8518-56b4a17b3321,4952fa67-2376-4877-ae1c-50cc39617a48,c4,c5,26,?,?,surb={'id': 'e9167896-511f-4d9f-a8f1-69b984edabae', 'route': ['p2', 'e6', 'i3', 'x6', 'p1', 'c4']}
1769504956.5285652,RECEIVED,a9db782f-d474-43ca-9d05-186446ba04be,70958f01-023a-4553-9a60-1002a7a4a796,c1,c4,27,p1,?,surb={'id': '9bdb214b-fffe-4496-8568-aec003aeac0f', 'route': ['p1', 'e2', 'i3', 'x8', 'p1', 'c1']}
1769504956.665701,SENT,72d6e044-e9ae-4fbe-a01c-dcf3dad49be3,5f3a8c18-4691-492b-89af-9e1c85a078fb,c4,c5,3372,?,p1,
1769504956.66585,CREATED,224da7d9-de5c-4d3f-bf57-6242cb2302b7,85baa40e-bfbf-4b00-9cf3-81ff00285495,c4,c5,26,?,?,surb={'id': '68aba558-45a4-4a37-b2b8-11e9d1d1c1f5', 'route': ['p2', 'e6', 'i10', 'x3', 'p1', 'c4']}
1769504956.7266653,RECEIVED,98c26213-e0df-4e5d-9d9a-dcb13ce02cdc,d14ed352-dfa8-4399-bcdb-1dfda796c703,c1,c4,27,p1,?,surb={'id': '38128a4e-1a75-41c7-9b58-7e8fad11690f', 'route': ['p1', 'e10', 'i12', 'x2', 'p1', 'c1']}
1769504956.7414412,RECEIVED,91d9f6d0-2aa1-4a0a-b031-86fdfa018be5,35014a04-c612-4af3-a36e-e85aadcace75,c1,c4,27,p1,?,surb={'id': '2e5fdc93-97c2-40cd-9eda-8f4cd84c9308', 'route': ['p1', 'e8', 'i9', 'x11', 'p1', 'c1']}
1769504957.4577355,SENT,cd17232b-3566-4d7d-a89d-2b702bc06576,7c18cacd-ff3f-4e09-be09-f9ff069bbdb0,c4,c5,3381,?,p1,
1769504957.4578905,CREATED,3725e536-509c-406f-a8c5-50bdae3d078d,85baa40e-bfbf-4b00-9cf3-81ff00285495,c4,c5,26,?,?,surb={'id': '68aba558-45a4-4a37-b2b8-11e9d1d1c1f5', 'route': ['p2', 'e6', 'i10', 'x3', 'p1', 'c4']}
1769504957.4908662,SENT,323519cc-c20b-4947-88fb-c179f2835a43,35d21d8b-6922-41d3-ae2e-aa575b25e0fa,c4,c5,3381,?,p1,
1769504957.4910038,CREATED,c337b45c-1020-4c91-9450-7b1c97b1cb52,b133c36d-62a7-4369-b5f9-7db2c574789c,c4,c5,27,?,?,surb={'id': 'c202b83e-c137-4e73-9f82-ad8ec393c04d', 'route': ['p2', 'e6', 'i4', 'x4', 'p1', 'c4']}
1769504957.6858902,SENT,52182485-2c76-4ab2-8c0f-f477d6e95202,9be46c86-71ca-4a8b-ba81-dcc0ad947ab6,c4,c5,3359,?,p1,
1769504957.686042,CREATED,df23e75d-6ad6-4513-8990-239628bdd6ec,b133c36d-62a7-4369-b5f9-7db2c574789c,c4,c5,27,?,?,surb={'id': 'c202b83e-c137-4e73-9f82-ad8ec393c04d', 'route': ['p2', 'e6', 'i4', 'x4', 'p1', 'c4']}
1769504957.6936245,RECEIVED,d0840d13-88ca-486b-a007-7a3a02a95e14,6c18d0bf-7b25-458b-8498-dee0923a3e5c,c1,c4,27,p1,?,surb={'id': 'a69cd383-f7d9-4612-9d16-df3828fd8e8b', 'route': ['p1', 'e7', 'i5', 'x9', 'p1', 'c1']}
1769504957.7078788,SENT,d9735249-a0e7-457e-8fac-927f8c536226,74cad462-f308-4ccd-bb52-99ae7e8c3085,c4,c5,3375,?,p1,
1769504957.7080748,CREATED,d6269f54-bc27-4c3d-ac8e-ff14c72eff10,9270e299-88b0-4aab-8191-59e49a6123b6,c4,c5,27,?,?,surb={'id': '6b70979e-7301-482e-837c-f93c5ebb59d0', 'route': ['p2', 'e2', 'i1', 'x6', 'p1', 'c4']}
1769504957.750604,SENT,6de0d51a-428b-4f54-8222-42e7c7b476af,92b7de7d-c20d-4060-be81-a1265cb3968b,c4,c5,3358,?,p1,
1769504957.7507706,CREATED,cc8e6b41-2f36-4717-a7a0-d34c2bef8cda,9270e299-88b0-4aab-8191-59e49a6123b6,c4,c5,27,?,?,surb={'id': '6b70979e-7301-482e-837c-f93c5ebb59d0', 'route': ['p2', 'e2', 'i1', 'x6', 'p1', 'c4']}
1769504957.7562654,RECEIVED,2f81509b-ea18-450a-b99a-2eab366a2dd3,a3511d0e-9335-40d8-aef5-f17a283b7cf8,c1,c4,27,p1,?,surb={'id': 'e7e5c9ed-3405-4dca-976e-fac3e20dae1b', 'route': ['p1', 'e1', 'i12', 'x7', 'p1', 'c1']}
1769504958.0459707,RECEIVED,fba7e7bb-04e1-4a02-b530-045cdd119309,35014a04-c612-4af3-a36e-e85aadcace75,c1,c4,27,p1,?,surb={'id': '2e5fdc93-97c2-40cd-9eda-8f4cd84c9308', 'route': ['p1', 'e8', 'i9', 'x11', 'p1', 'c1']}
1769504958.058764,RECEIVED,9357f2e9-9136-43ce-b621-bbc338e8176c,407fbc13-a259-46e2-9272-d3e3e799d0b9,c1,c4,27,p1,?,surb={'id': '9ec20844-d085-49ce-9fcf-55f3f52c3ce7', 'route': ['p1', 'e8', 'i3', 'x3', 'p1', 'c1']}
1769504958.107546,SENT,721e09dd-9e93-4153-8ebd-c9ec311ffe11,eb8b4250-5ee2-4fb9-a6a0-7a76868ea37f,c4,c5,3372,?,p1,
1769504958.1076713,CREATED,fb841d64-6f45-4169-afeb-e574b73a9367,8c235650-1a27-40e5-b0d6-6734a1b5cc2c,c4,c5,26,?,?,surb={'id': 'bf9fea4d-d2a2-4e0d-be7c-643e6dc3328c', 'route': ['p2', 'e4', 'i8', 'x9', 'p1', 'c4']}
1769504958.1738055,RECEIVED,61d814a5-0090-4562-aaa9-1a3d3b587312,707d80a4-f0b9-46e6-8dff-8ccada9a4069,c1,c4,26,p1,?,surb={'id': 'd2b752cc-1975-4371-a70d-dfa2522c0461', 'route': ['p1', 'e12', 'i4', 'x2', 'p1', 'c1']}
1769504958.487485,RECEIVED,8cadea33-2f48-45f2-b448-391538fedada,407fbc13-a259-46e2-9272-d3e3e799d0b9,c1,c4,27,p1,?,surb={'id': '9ec20844-d085-49ce-9fcf-55f3f52c3ce7', 'route': ['p1', 'e8', 'i3', 'x3', 'p1', 'c1']}
1769504958.5970209,SENT,2cae8390-937e-47e0-b90a-c87f4369af8a,66328e53-defb-4ca0-bd68-02a43b113eec,c4,c5,3360,?,p1,
1769504958.5972002,CREATED,3747d342-6d84-4d4f-94fe-f0f558d7f344,8c235650-1a27-40e5-b0d6-6734a1b5cc2c,c4,c5,26,?,?,surb={'id': 'bf9fea4d-d2a2-4e0d-be7c-643e6dc3328c', 'route': ['p2', 'e4', 'i8', 'x9', 'p1', 'c4']}
1769504958.709758,RECEIVED,cf6b29aa-5fc3-4776-858f-f8181fcf1731,d14ed352-dfa8-4399-bcdb-1dfda796c703,c1,c4,27,p1,?,surb={'id': '38128a4e-1a75-41c7-9b58-7e8fad11690f', 'route': ['p1', 'e10', 'i12', 'x2', 'p1', 'c1']}
1769504958.8652585,RECEIVED,0234183e-804f-4059-acd5-3d3914da8201,6c18d0bf-7b25-458b-8498-dee0923a3e5c,c1,c4,27,p1,?,surb={'id': 'a69cd383-f7d9-4612-9d16-df3828fd8e8b', 'route': ['p1', 'e7', 'i5', 'x9', 'p1', 'c1']}
1769504958.9222686,SENT,89a023e5-4ac9-48ab-9ba0-29c155688479,dc5b1626-94b7-4d1b-b2ec-baa453317570,c4,c5,3403,?,p1,
1769504958.92241,CREATED,89324c8f-3cfa-4425-a150-9cf496b4f199,21bf00ba-cbc5-4b60-9bfe-02190cc5576d,c4,c5,27,?,?,surb={'id': 'f0893dc2-f892-4bad-bfb6-544d0418d51a', 'route': ['p2', 'e11', 'i4', 'x10', 'p1', 'c4']}
1769504958.9502342,SENT,c12b7bbf-e7a4-4d07-b18c-bcb15ccca92e,bbef7fa1-f1c5-498f-a137-4bc938768221,c4,c5,3359,?,p1,
1769504958.9503744,CREATED,4ce44302-eda6-4272-86de-4dbb27e43f35,21bf00ba-cbc5-4b60-9bfe-02190cc5576d,c4,c5,27,?,?,surb={'id': 'f0893dc2-f892-4bad-bfb6-544d0418d51a', 'route': ['p2', 'e11', 'i4', 'x10', 'p1', 'c4']}
1769504959.1424892,SENT,ba9b59c4-c92d-4d20-b382-3df1e75802e1,0b99cac6-5a22-4a52-891f-676948692775,c4,c5,3372,?,p1,
1769504959.1426513,CREATED,09967d15-aef8-48e0-a656-bd647991b838,783efad0-6b17-473a-a294-0bbfe7c45671,c4,c5,26,?,?,surb={'id': 'd2d87cca-8274-43e7-8193-cd46881694f5', 'route': ['p2', 'e12', 'i7', 'x5', 'p1', 'c4']}
1769504959.1614165,SENT,89f392a2-0357-4374-9cad-8bce050b935a,9cfc539c-ab5a-4284-8617-d78dfa8c19ab,c4,c5,3389,?,p1,
1769504959.1617138,CREATED,f04819d4-db96-41cc-8993-208e89767b69,783efad0-6b17-473a-a294-0bbfe7c45671,c4,c5,26,?,?,surb={'id': 'd2d87cca-8274-43e7-8193-cd46881694f5', 'route': ['p2', 'e12', 'i7', 'x5', 'p1', 'c4']}
1769504959.2108424,SENT,760840bd-918a-4f89-8607-bbcda147b036,07beea38-fa0b-427c-9f38-c6566f2c55ee,c4,c5,3395,?,p1,
