timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769504954.0747688,RECEIVED,324b0699-5a5e-444b-8c63-415079c37987,64b62ade-6c6c-4c10-b472-e873f5360665,c4,c5,27,p2,?,surb={'id': '33d90e7b-ad3a-4164-bcc6-b4baf644afe5', 'route': ['p2', 'e12', 'i12', 'x1', 'p1', 'c4']}
1769504954.2294836,SENT,49ee6c7b-f146-4135-b7f6-f045c478ce8f,d7030f19-daaf-4177-837e-e47b4e6df48e,c5,c3,3375,?,p2,
1769504954.2296345,CREATED,faef3193-d211-444a-a75b-c6afabb0b1a4,f3a2eb20-6bcb-47ce-bdfb-b841abe1a7d0,c5,c3,27,?,?,surb={'id': '5895de80-18e9-4d23-aba2-ce56d531c096', 'route': ['p3', 'e6', 'i9', 'x10', 'p2', 'c5']}
1769504954.6515043,SENT,96eb9f93-fe38-493f-9202-3a9c3f8a9654,6b8a2b08-40d1-4278-9593-9f5bee5f4937,c5,c3,3384,?,p2,
1769504954.6516545,CREATED,9f12ecfe-1673-428b-8e40-12e39220a167,f3a2eb20-6bcb-47ce-bdfb-b841abe1a7d0,c5,c3,27,?,?,surb={'id': '5895de80-18e9-4d23-aba2-ce56d531c096', 'route': ['p3', 'e6', 'i9', 'x10', 'p2', 'c5']}
1769504954.6828613,RECEIVED,93c28439-cafb-49d1-a4f6-52e5190a1eb2,19da46dc-affc-475b-873c-fb762ef95f7b,c3,c5,27,p2,?,surb={'id': 'ac784c07-553b-470e-b9eb-b8593967d705', 'route': ['p2', 'e3', 'i4', 'x7', 'p3', 'c3']}
1769504954.8650336,RECEIVED,2cbf5577-b760-40ed-8d96-38c663e4e730,c1455c23-d8c9-4af3-9e39-1426d31686c8,c3,c5,27,p2,?,surb={'id': '5de56207-99fb-4ed8-956e-3aa15a6e5c86', 'route': ['p2', 'e11', 'i4', 'x7', 'p3', 'c3']}
1769504954.8977108,RECEIVED,abbe9ad9-49d8-435e-969e-3bd1f4a57069,fa421ad2-8129-442f-9ca0-629d1e137989,c4,c5,26,p2,?,surb={'id': '06aa686a-06d0-4f5b-a469-e898c305f8e6', 'route': ['p2', 'e6', 'i4', 'x12', 'p1', 'c4']}
1769504954.9234998,SENT,409461b2-6e9a-4fba-b7f3-4bd12167f377,cc7b00b4-c966-4812-8cba-11eccedf3e7c,c5,c3,3376,?,p2,
1769504954.923636,CREATED,6c15729b-ab1c-438b-ab59-d07e155a708d,6d7fbe56-9c74-457d-97a5-9454781baeb1,c5,c3,27,?,?,surb={'id': '16fb41f5-0f6c-44d1-a265-35c17c25165c', 'route': ['p3', 'e9', 'i3', 'x2', 'p2', 'c5']}
