timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769504950.5746334,SENT,a2f557cd-a154-47fa-a85b-ff334fab2054,8de3b0c5-a316-49a4-a2b8-0a6a08b28b85,c3,DROP,2027,?,p3,
1769504950.5747764,CREATED,b8d31e82-72c3-4246-913f-cdbafecd9909,6cded39b-33f1-453c-93a5-fce365a39b96,c3,DROP,27,?,?,
1769504951.2747078,SENT,cf5de670-0f74-41ff-a9ba-ac040cd0ce23,0268743e-8096-4411-8e17-d79da7f3c87a,c3,c5,3374,?,p3,
1769504951.2748594,CREATED,4b9c8f1c-eaa2-4b41-be35-9575a6b72ada,d05956b4-5e3b-447e-b249-7dee2bfb13f4,c3,c5,26,?,?,surb={'id': 'afaa02d4-d4f3-4dab-b3ab-648fa7a2ae41', 'route': ['p2', 'e11', 'i12', 'x7', 'p3', 'c3']}
1769504951.4450889,SENT,248d551d-e82a-4b69-876f-7128f1cbe770,278c9d6c-c0d2-4779-a640-73a445093bd3,c3,c5,3365,?,p3,
1769504951.4452405,CREATED,13067301-6ecd-4f04-93b8-438f028d978b,d05956b4-5e3b-447e-b249-7dee2bfb13f4,c3,c5,26,?,?,surb={'id': 'afaa02d4-d4f3-4dab-b3ab-648fa7a2ae41', 'route': ['p2', 'e11', 'i12', 'x7', 'p3', 'c3']}
1769504951.7184412,SENT,04526f1b-275d-4134-8f2e-20944e5dc94f,94652a4a-d9db-469a-ae36-529a777f5b88,c3,c5,3384,?,p3,
1769504951.7185872,CREATED,b7b2273a-4041-4732-a5e1-ffebb84a2505,c1455c23-d8c9-4af3-9e39-1426d31686c8,c3,c5,27,?,?,surb={'id': '5de56207-99fb-4ed8-956e-3aa15a6e5c86', 'route': ['p2', 'e11', 'i4', 'x7', 'p3', 'c3']}
1769504952.090238,SENT,ef9e8f26-49cc-459b-9dd8-724b6d4d7af5,a40b9c72-cbcf-4c05-b288-9114342df7bf,c3,c5,3383,?,p3,
1769504952.0903635,CREATED,2cbf5577-b760-40ed-8d96-38c663e4e730,c1455c23-d8c9-4af3-9e39-1426d31686c8,c3,c5,27,?,?,surb={'id': '5de56207-99fb-4ed8-956e-3aa15a6e5c86', 'route': ['p2', 'e11', 'i4', 'x7', 'p3', 'c3']}
1769504952.1282492,SENT,98f25fd6-f5b9-4ca2-8758-fc3b315547f5,e32ed59a-e859-4315-bac8-e9de96ffb814,c3,c5,3396,?,p3,
1769504952.128399,CREATED,0638b230-ee65-4a2c-a07e-78a5206887f7,4d64078c-2a9b-4c3d-a10d-29f7674a87b7,c3,c5,27,?,?,surb={'id': '593c6498-a626-4dd0-988d-b655b8a71b04', 'route': ['p2', 'e10', 'i12', 'x6', 'p3', 'c3']}
1769504952.1588807,SENT,c26e4448-7d54-464c-a297-b198d2c4bae5,0c345fa3-4851-42b2-b8fb-b2058e10ab6a,c3,c5,3359,?,p3,
1769504952.1590183,CREATED,0c0928a4-a3d2-48e5-a38e-80414a0aa3a5,4d64078c-2a9b-4c3d-a10d-29f7674a87b7,c3,c5,27,?,?,surb={'id': '593c6498-a626-4dd0-988d-b655b8a71b04', 'route': ['p2', 'e10', 'i12', 'x6', 'p3', 'c3']}
