timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769505567.5666556,SENT,4a263fcf-704c-41d1-be71-10451212be04,04ef17b3-9d86-4351-bba4-46e92e8d1b8c,c4,DROP,2040,?,p1,
1769505567.5667968,CREATED,d86fddc8-669f-48c7-8baa-f6ef24a0f7f9,364c31a1-50c4-44c9-bc73-2967cf93d899,c4,DROP,26,?,?,
1769505568.1229763,SENT,cac61d46-0f6d-42da-aed5-1c5972e29c33,93e69375-b7b4-4280-9c23-bc4c817226c4,c4,c1,3379,?,p1,
1769505568.1231885,CREATED,d1578281-b67a-471e-9ed2-757c48a0db5f,dd42ffd0-9079-42ac-8476-3b12f5081e6a,c4,c1,27,?,?,surb={'id': 'a95cc422-8c25-4bad-a58f-639aa43b17ac', 'route': ['p1', 'e11', 'i7', 'x6', 'p1', 'c4']}
1769505568.3960824,SENT,a62552e9-dae3-49bf-86a9-9ab579a5738d,f5bb0bb2-b9f6-4bb1-a6f6-77bc215ab37b,c4,c1,3359,?,p1,
1769505568.3962383,CREATED,92175c63-b5b1-4000-8933-b6baeda9913e,777b3c51-80c5-45f7-8079-f8fa35e4cb1f,c4,c1,26,?,?,surb={'id': '9b8f2d00-8a74-402a-ae7b-4f5afd93b4fb', 'route': ['p1', 'e3', 'i1', 'x10', 'p1', 'c4']}
1769505568.4403799,SENT,33784802-5ef5-4293-b0aa-de975b9839e0,b90bab64-b073-4f7d-9cd3-b70574c1e2f8,c4,c1,3395,?,p1,
1769505568.4405277,CREATED,8dbea2d1-0763-4e6d-b27a-6f8259464b08,22f66252-cbec-4be9-ab8b-fae83ac804a1,c4,c1,27,?,?,surb={'id': '171581cf-5297-420b-9e8d-0f1d5d3e31a4', 'route': ['p1', 'e10', 'i2', 'x7', 'p1', 'c4']}
1769505568.5624347,SENT,36e4f552-7996-42b3-812e-ca9418f2f4c7,c6d81fb9-100d-416e-bbe9-4ab9926f4fe0,c4,c1,3367,?,p1,
1769505568.5625992,CREATED,6f8567c4-b6f5-4878-8c03-a4f5be2b3693,cd016b08-6aca-4668-9f05-c4eef91a3d07,c4,c1,25,?,?,surb={'id': 'e3f94df9-f73b-461e-9222-eafcf6d1f8f5', 'route': ['p1', 'e3', 'i5', 'x10', 'p1', 'c4']}
1769505569.2994845,SENT,c5e9e815-d9a5-421f-8638-0b87f4324140,37659694-2c03-48cc-96d0-5457e57a2d06,c4,c1,3384,?,p1,
1769505569.299635,CREATED,417be451-a668-4400-b190-9c5eb1182112,9f5ad779-7760-46bb-9ae8-8abee7a12086,c4,c1,27,?,?,surb={'id': '37884524-7233-47be-9b0a-033a6dd0a7a0', 'route': ['p1', 'e6', 'i9', 'x8', 'p1', 'c4']}
1769505569.9648514,SENT,81002952-906b-4a9d-94d7-c53fc7c98c56,44faf023-81b4-445e-a7b3-ec335de4596a,c4,c1,3359,?,p1,
1769505569.965,CREATED,5c4b364c-0ba4-413b-84dc-bd1c1eb92d44,252161b7-4508-40e2-8f65-872e39a31392,c4,c1,27,?,?,surb={'id': 'bf7d630f-669f-41e8-88ea-221e84df5234', 'route': ['p1', 'e5', 'i9', 'x7', 'p1', 'c4']}
