timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769752233.9298446,SENT,cd9d0126-ac61-4170-93fd-46ba64456854,1dec0c38-b357-4f5f-9ba3-3c4d8911f157,c4,DROP,2015,?,p1,
1769752233.9299672,CREATED,6ec0289e-0ecb-43f2-86d6-da9be7a9dd9a,054890cd-e4b8-4bd4-8878-e298cf981f6e,c4,DROP,27,?,?,
1769752234.3358893,SENT,ca1cd2cc-0553-4c2c-9907-4b356c7593ae,2ccfceed-15f3-4bfc-8f7c-669837593307,c4,DROP,2014,?,p1,
1769752234.3360205,CREATED,46dc9ae6-7b94-4f3e-9d5f-737f8c59935e,58616ecf-0b70-4f1f-8c30-8471f6228a45,c4,DROP,27,?,?,
1769752234.5078065,SENT,24217e87-3d17-42ee-b0a9-66f4d24d1f18,96b69a33-c777-463c-9c3e-e4df2cf71b34,c4,c2,3402,?,p1,
1769752234.50794,CREATED,d18a6363-1289-456c-8254-5847d29734a7,084bbaf0-05c7-402e-80b1-67ed2f49b772,c4,c2,27,?,?,surb={'id': 'd6de9f71-add8-4ddb-a195-4d1c0e8d9346', 'route': ['p2', 'e10', 'i12', 'x1', 'p1', 'c4']}
1769752234.6125288,SENT,f5bbe2c9-0089-484f-aca3-33ebbef911cb,0ec7fd87-2d7a-4da2-a525-30f9bc7d3b18,c4,DROP,2015,?,p1,
1769752234.6126451,CREATED,cfbdcff7-3a7f-4cae-84b5-f1a80c10305e,e6a49a17-34fa-423b-8b70-0260b57ab4e7,c4,DROP,27,?,?,
1769752234.94385,SENT,25898699-4586-4f45-bd5c-0efd2d164a96,a033f215-626d-4b36-8625-1112374cfe80,c4,c2,3376,?,p1,
1769752234.944004,CREATED,582bedd4-288b-47df-8c9c-a091a10a8a2b,2003558c-a352-40f6-ac6e-0252152d9b9a,c4,c2,27,?,?,surb={'id': '2ce9a6cc-754e-431f-a158-d14df1048b97', 'route': ['p2', 'e7', 'i4', 'x3', 'p1', 'c4']}
1769752234.9796388,SENT,1a4b5499-7320-461f-9980-887db2fb1fd1,a9c2fef3-6d9e-4d89-bd53-df1b010a5540,c4,DROP,2020,?,p1,
1769752234.9797719,CREATED,b05bfe41-5193-4484-80b9-2d078b3f94e0,4c7f7a2c-2c50-4c83-a75f-574a05b303d6,c4,DROP,27,?,?,
1769752235.375173,SENT,2ac7db20-9da0-43d4-b876-18ac42b0700d,08eb106b-e65d-45f7-9280-dc1951eb346f,c4,c2,3393,?,p1,
1769752235.3753095,CREATED,e773682f-feba-4ae0-9930-df8963649038,19b5add0-620b-4f05-a200-a7edda110f24,c4,c2,27,?,?,surb={'id': '6296898a-e8ba-4e2a-9701-96e02bc1ab2f', 'route': ['p2', 'e3', 'i12', 'x1', 'p1', 'c4']}
1769752235.4095478,SENT,1d9caeb3-7b25-4de2-82dc-f2aef1f17332,93cc3081-d4db-480c-b2e8-559b783804be,c4,c2,3379,?,p1,
1769752235.409723,CREATED,ff24897f-69b5-4f25-a638-7185097a3821,9f40d14a-1187-4441-8b28-f1183ac22b57,c4,c2,27,?,?,surb={'id': '3b84fcd3-6ce7-492c-a053-b0806b291c4d', 'route': ['p2', 'e5', 'i1', 'x9', 'p1', 'c4']}
1769752235.4828937,SENT,f69a1eea-42b5-4c93-9dfa-4c3d14b523b7,2f405cd8-04db-4ce1-91a0-dc3a7ae9bca8,c4,DROP,2017,?,p1,
1769752235.4830236,CREATED,94c153cb-f84e-4ae2-a485-697e511db0a9,f9d67056-91f4-4422-a150-1ea4f28299ed,c4,DROP,26,?,?,
1769752235.8071835,RECEIVED,7625eb36-a2c6-4640-ba8b-6360abb35e4c,f51b3ce5-6756-46a6-a33b-b1cc68dc22e2,c2,c4,27,p1,?,surb={'id': 'f34138a3-1ae3-41fc-aac2-da4643dbc970', 'route': ['p1', 'e9', 'i2', 'x3', 'p2', 'c2']}
1769752235.996032,SENT,40c81ab7-da82-420a-902e-36151d5f6f5a,4113729e-16f6-4c91-b1ed-288c1058db5c,c4,c2,3401,?,p1,
1769752235.9961946,CREATED,4f5abc9b-4abf-40f7-b7bb-ddc53c9df9e5,5e010ba5-d8a1-49ff-b258-3f0a705b7422,c4,c2,27,?,?,surb={'id': '0ff63161-96e1-49c7-a2e9-ea098ebeedcd', 'route': ['p2', 'e10', 'i4', 'x10', 'p1', 'c4']}
1769752236.4449508,RECEIVED,34f03e18-6aac-4fbc-b309-e5e41ad59e8e,49523cd7-ed9e-42d7-aa25-bf778f5f5bb4,c5,c4,27,p1,?,surb={'id': '5d7887a3-257f-4268-b15a-44a50fd8afc9', 'route': ['p1', 'e5', 'i1', 'x12', 'p2', 'c5']}
