timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769752234.414156,SENT,230caa68-73c7-4c99-bd67-24b37b12c3ab,580ee412-a382-4bd8-86a0-b5475c5be4a8,c2,c4,3376,?,p2,
1769752234.4142992,CREATED,63b3576e-eff0-4f17-aa8e-1166d6081b63,8cb13697-7706-446d-a11c-1cc794cbcda7,c2,c4,27,?,?,surb={'id': '4578ab80-5b64-4691-b464-91cd67483f88', 'route': ['p1', 'e1', 'i3', 'x8', 'p2', 'c2']}
1769752234.6731253,SENT,0573aebf-431a-4fe2-a878-14482b296c36,00166e66-4d27-4235-b469-687d41fb1f55,c2,c4,3388,?,p2,
1769752234.6732764,CREATED,7625eb36-a2c6-4640-ba8b-6360abb35e4c,f51b3ce5-6756-46a6-a33b-b1cc68dc22e2,c2,c4,27,?,?,surb={'id': 'f34138a3-1ae3-41fc-aac2-da4643dbc970', 'route': ['p1', 'e9', 'i2', 'x3', 'p2', 'c2']}
1769752234.700708,SENT,ce5870e8-2f15-46dd-93ed-8e0347afb54f,d419a75a-16ed-4726-8acf-edb70d244840,c2,c4,3359,?,p2,
1769752234.7008398,CREATED,1e3f8774-a336-4c75-b40c-2df295efe214,6f2f6bed-d86f-405f-bd84-7228b4cc7946,c2,c4,26,?,?,surb={'id': '68985f22-270b-4d37-bd44-0890a486084a', 'route': ['p1', 'e3', 'i6', 'x2', 'p2', 'c2']}
1769752234.9417043,SENT,c1ab7006-9f9a-4b33-a3f2-732e19908259,823125c1-d700-4ec6-91c3-781f87c46454,c2,c4,3384,?,p2,
1769752234.9418514,CREATED,cee810be-73ee-4538-83dd-8c6345cd0e41,3b8892c3-173d-4e5b-86bb-dda4e2acd509,c2,c4,27,?,?,surb={'id': 'a3260dd5-9915-4474-957f-dfd8c679e114', 'route': ['p1', 'e6', 'i1', 'x3', 'p2', 'c2']}
1769752234.9559598,SENT,5c18bc18-979a-4d84-b05e-b66645ecafb0,df2f04e6-c01c-4634-b19b-f02643fa4a0a,c2,c4,3382,?,p2,
1769752234.9561486,CREATED,7c4cd008-04d5-40d6-82d3-8491b9c97833,3d1e4bb9-720b-4769-99ba-5f071e15fb14,c2,c4,27,?,?,surb={'id': '1366e5f1-2e8b-44be-82a6-a0f54aeecf01', 'route': ['p1', 'e2', 'i6', 'x1', 'p2', 'c2']}
1769752235.2115111,SENT,7d6ac37a-7f1e-41ea-9277-8efe162e0dbc,336764b8-d4c2-43bf-910b-6bd6f3d73c20,c2,c4,3363,?,p2,
1769752235.2116344,CREATED,8df5478a-6225-4a1e-8b1b-d460430624a7,a7ce4751-68ae-4f40-afbf-93c45ea86b19,c2,c4,26,?,?,surb={'id': 'f83168ac-3873-4fe4-95f1-7649784f65d9', 'route': ['p1', 'e6', 'i6', 'x10', 'p2', 'c2']}
1769752235.6555667,SENT,c0acbb3e-3f18-449f-a481-b726baa23d73,7e16f94e-44df-4e5b-9114-561881dda183,c2,c4,3384,?,p2,
1769752235.6556962,CREATED,d854c965-638e-4f40-b9d1-874a7c07f81a,f55d132b-b66e-48eb-8e0b-c56dfeec80c8,c2,c4,27,?,?,surb={'id': '53b408cc-521f-47bf-ae56-5ce7557fd46a', 'route': ['p1', 'e9', 'i12', 'x6', 'p2', 'c2']}
1769752236.0991797,SENT,7dfb2bf1-bc90-4c09-91bf-a7cd56eff898,bc1b1c3c-83de-4904-ad9a-71a15ddbecc3,c2,c4,3392,?,p2,
1769752236.0994585,CREATED,6667d9ad-e48c-4622-8d65-11c3984caf9b,758633b7-622c-40e8-bd55-39bc7ea3d87b,c2,c4,27,?,?,surb={'id': '384a7898-7250-4355-80dd-ef1e4c6c68ef', 'route': ['p1', 'e8', 'i8', 'x10', 'p2', 'c2']}
1769752236.5010343,RECEIVED,d18a6363-1289-456c-8254-5847d29734a7,084bbaf0-05c7-402e-80b1-67ed2f49b772,c4,c2,27,p2,?,surb={'id': 'd6de9f71-add8-4ddb-a195-4d1c0e8d9346', 'route': ['p2', 'e10', 'i12', 'x1', 'p1', 'c4']}
1769752237.075089,SENT,f51ed51c-db78-4d8e-9e12-0f09dd0d7a36,b99ae3dd-5f5b-4aa2-b7bf-eb58628d7cdc,c2,c4,3360,?,p2,
1769752237.0752485,CREATED,f265c56d-f56a-40a3-9a92-c1213d54cae3,1d605347-a17f-49a6-ba78-98d0a2f71af8,c2,c4,27,?,?,surb={'id': 'b3d86036-f477-46b4-8605-28f85c370163', 'route': ['p1', 'e3', 'i11', 'x7', 'p2', 'c2']}
