timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769466088.9942658,RECEIVED,fe387a24-cd57-41ae-a8d7-212ea98e101b,7b3ad487-9b5e-44fd-b247-eb96aa690410,c4,c5,26,p2,?,surb={'id': '1c9c2433-4429-4669-97b2-ae832d784b05', 'route': ['p2', 'e9', 'i3', 'x6', 'p1', 'c4']}
1769466089.0296295,SENT,48edbdbf-9f6f-4959-a251-fdd7e1d81c3a,9d9ea64f-dab7-4f88-b006-1e39046b6d7e,c5,c4,3387,?,p2,
1769466089.029789,CREATED,ece0935c-beea-4fe4-bce8-cefb9e8639b5,7b2de194-e1fc-416f-a972-4779f71d8576,c5,c4,27,?,?,surb={'id': 'f24c2f5c-348d-4ead-a488-b67d5bc97ffc', 'route': ['p1', 'e8', 'i6', 'x9', 'p2', 'c5']}
1769466089.1741133,RECEIVED,ca899586-e36c-4a2b-8cde-7c97d9f9bda2,98cc1b25-6cd8-497f-8fe9-64aeb59f9678,c4,c5,26,p2,?,surb={'id': '88dd9320-0c0c-4be2-8499-3d81ce6cb35c', 'route': ['p2', 'e3', 'i12', 'x6', 'p1', 'c4']}
1769466089.1977577,SENT,875483d8-f94a-4edd-9e38-4a2078c59cc2,22e0ae9c-2115-45b3-9292-4c7bada115a3,c5,c4,3384,?,p2,
1769466089.1978943,CREATED,a8c541e4-e2d1-4b3e-b225-5805de8c2d09,2bdccb56-4823-453d-a47a-aefe93474f01,c5,c4,27,?,?,surb={'id': '2f44e484-3527-4225-ae6f-75267a319aac', 'route': ['p1', 'e2', 'i11', 'x9', 'p2', 'c5']}
1769466089.3121126,RECEIVED,ee86f433-153c-4b41-9e24-10b4e48c80fe,1be8783a-4240-492e-b83d-ff3542ae0c6b,c4,c5,27,p2,?,surb={'id': '908c7fff-5219-4a0f-a891-d7ee68cc2c97', 'route': ['p2', 'e5', 'i4', 'x11', 'p1', 'c4']}
1769466089.422231,RECEIVED,e1470b05-8fdd-4887-9b95-c9ca0e91dc39,604a613b-627f-424f-b0bf-7530f0990511,c4,c5,27,p2,?,surb={'id': 'b14bd9c9-ac6e-4b3b-980a-bc2f3ef8afd7', 'route': ['p2', 'e10', 'i5', 'x10', 'p1', 'c4']}
1769466089.719488,RECEIVED,f2f50ec9-8965-41cf-b9a7-4e12a85b0e74,b6389cad-f8da-4f68-991a-0db712fcecb1,c2,c5,26,p2,?,surb={'id': '09e9c1b9-e4c6-47e4-ba9f-ba69a131f0e1', 'route': ['p2', 'e10', 'i5', 'x5', 'p2', 'c2']}
1769466090.0569553,SENT,94aa3d85-ec1b-475a-96cf-c293abe68479,ef574992-5942-4688-8e67-3f67a3bd42d6,c5,c4,3383,?,p2,
1769466090.0571322,CREATED,9eff16ab-4a96-4cf4-9697-d8218330b62b,c1de1e69-e2e7-4216-b201-426cf287e7f8,c5,c4,27,?,?,surb={'id': '31976d02-704d-452b-9c7f-6b35b55caf2c', 'route': ['p1', 'e10', 'i5', 'x10', 'p2', 'c5']}
1769466090.1577148,RECEIVED,7f21d361-21a6-47c6-927f-2e9e1aab9381,3f6499a5-a8dc-44b8-9238-6cafc9b2fbc9,c4,c5,27,p2,?,surb={'id': '898eaa39-21c8-4dbe-b0e3-13e635121755', 'route': ['p2', 'e11', 'i2', 'x11', 'p1', 'c4']}
1769466090.2673714,SENT,f595739c-8fc8-437f-8cea-ede3556643a0,b5a143de-f7ba-4a51-ae0f-49c6fe1934ac,c5,c4,3371,?,p2,
1769466090.267517,CREATED,b4df2631-2d63-44d0-915b-29ec8443f270,ba57ee81-7fe9-46ce-ae57-8ef29ab32d83,c5,c4,27,?,?,surb={'id': 'b55eea3d-401b-4ce5-bb5d-05fcd894d2f1', 'route': ['p1', 'e4', 'i12', 'x10', 'p2', 'c5']}
1769466090.5523138,SENT,ed35a6ba-606b-4601-bd64-e42fcd7b2a93,8c7f74af-813f-4770-981d-4d73926650c1,c5,c4,3363,?,p2,
1769466090.5524616,CREATED,a02059e2-65a7-4a54-9d24-a59bfe3cf5ef,22ee8580-bf05-46b5-8dcf-0b47d8597b5a,c5,c4,27,?,?,surb={'id': 'c3445ddd-0857-4d4d-ac16-5a29aa2860fb', 'route': ['p1', 'e8', 'i5', 'x12', 'p2', 'c5']}
1769466090.694097,RECEIVED,2646425d-9b58-4c0b-aa04-a7040f873dc4,7cc8482a-a567-4ec7-aacf-a10019794f25,c2,c5,27,p2,?,surb={'id': '8b3e5d70-27a9-4360-aa22-07d10aa163c1', 'route': ['p2', 'e2', 'i2', 'x11', 'p2', 'c2']}
1769466090.7651472,RECEIVED,27104d52-dc50-4c7d-a982-3485221b9c79,2930a351-38ae-4806-9afe-7889c7c04681,c2,c5,27,p2,?,surb={'id': '3bbc7f5a-4b42-474a-beb6-6029109473e5', 'route': ['p2', 'e1', 'i4', 'x10', 'p2', 'c2']}
1769466091.1751325,RECEIVED,710b3f7d-32da-4d0c-a18b-1d3b7af95035,d14b9b46-23bf-4674-bf2a-494a0f781ae5,c4,c5,26,p2,?,surb={'id': '9e6a60b2-81e0-48ef-9897-db7550bcf6a1', 'route': ['p2', 'e12', 'i11', 'x2', 'p1', 'c4']}
1769466091.2763753,RECEIVED,00a1e2f5-9b25-48ed-8168-ccd9d0ea2fb7,cb3d95e9-22ac-4ef5-bb42-db38aad24b25,c4,c5,26,p2,?,surb={'id': 'f77eb12a-1b54-433a-8369-b4c31d0f746f', 'route': ['p2', 'e8', 'i8', 'x12', 'p1', 'c4']}
1769466091.3793807,SENT,29b8025f-3a80-437b-ae8a-40cd9d35ec71,09b4321d-5f6c-46b9-ba79-32131245bd0a,c5,c4,3380,?,p2,
1769466091.3796227,CREATED,4f188287-3958-4747-90b0-edcf3bd977fc,28b68887-ce4d-4fe4-91ed-63ead8515072,c5,c4,26,?,?,surb={'id': 'dad6eae5-7969-471d-8395-fc008a65ef91', 'route': ['p1', 'e12', 'i3', 'x4', 'p2', 'c5']}
1769466091.3811984,RECEIVED,3eb37a05-a003-4013-929a-a51d11268b99,fa58f49d-a35a-4b74-9328-49432cdc9168,c4,c5,27,p2,?,surb={'id': 'febe1378-fd30-4e48-bcb6-91b50b9dc6d9', 'route': ['p2', 'e12', 'i7', 'x9', 'p1', 'c4']}
1769466091.6870794,RECEIVED,62436189-7401-40dc-9169-7a792c480e0f,ab7824f5-bbcc-40f0-8b44-8b26bece524b,c4,c5,27,p2,?,surb={'id': 'c66367c3-5509-44b4-9f9a-1bce632e773a', 'route': ['p2', 'e5', 'i6', 'x6', 'p1', 'c4']}
1769466091.8818293,SENT,9cd12d50-2825-40e9-aba3-4da39f2d4690,239e65aa-2d84-4ac2-8aa0-76b4e02ca566,c5,c4,3393,?,p2,
1769466091.881975,CREATED,255e8dc1-b308-4bfe-8c18-471de201ee07,c7a0f7f9-dbdb-49ee-a738-5220cd7eaaf6,c5,c4,27,?,?,surb={'id': '21769c34-a0f8-4e24-86b2-0a90e3bc4f20', 'route': ['p1', 'e5', 'i2', 'x6', 'p2', 'c5']}
1769466091.9513414,RECEIVED,b6f9f8ec-71fc-46f4-931e-4ea0f9bd77f5,d611d2cf-32ea-41a4-9a31-a03e255af17d,c4,c5,27,p2,?,surb={'id': '25f7762f-a051-40e5-aac5-62b0d75f15e5', 'route': ['p2', 'e8', 'i1', 'x11', 'p1', 'c4']}
1769466091.9901288,SENT,35edc3a0-5e7e-4fa6-a779-b175667c847b,5cc81766-dea6-491a-8302-e1e2cb795357,c5,DROP,2039,?,p2,
1769466091.9902632,CREATED,f641ae08-c6c1-4f21-a8b3-b614c9ed06d6,44358da3-eacf-41e3-949e-f0b375078eb9,c5,DROP,27,?,?,
1769466092.08154,RECEIVED,a84f75ef-d0b9-4165-8f76-dc85bb4b8163,91a5b153-5657-48d0-b78f-1e6b35d94b08,c2,c5,26,p2,?,surb={'id': '3bd948c0-fe16-4eaf-9a0d-25b165c0d9e7', 'route': ['p2', 'e8', 'i7', 'x2', 'p2', 'c2']}
1769466092.1438038,SENT,996158ad-b5f5-4276-a75b-4adb10043c3d,1d13ba15-9454-4063-a151-03d8986b0ad1,c5,c4,3401,?,p2,
1769466092.1439722,CREATED,62d1ed49-00a9-4e49-b400-a078b94955ac,2c0c019b-ed25-4313-b58d-60d64c9f0c34,c5,c4,27,?,?,surb={'id': '8202268a-15e3-4123-81d6-5dd81ad535cc', 'route': ['p1', 'e11', 'i4', 'x6', 'p2', 'c5']}
1769466092.1616228,RECEIVED,e1c60730-cec4-49a9-9ada-03aba5f4f889,0f1d66b1-681b-482f-9053-90a8ae4b2ab5,c2,c5,26,p2,?,surb={'id': 'c4954a58-b696-4704-a63a-549db2ff3c06', 'route': ['p2', 'e12', 'i3', 'x7', 'p2', 'c2']}
1769466092.2331538,RECEIVED,ce35e9e6-5240-4675-ac26-68a59dc52c34,728ee25e-2ec1-4013-9ad3-95f04cd03612,c2,c5,26,p2,?,surb={'id': '9ee0a357-06ca-49d8-a471-0a6f93ac3056', 'route': ['p2', 'e10', 'i1', 'x2', 'p2', 'c2']}
1769466092.2745953,SENT,62456046-d100-4fb3-90fc-3ec334c0ae80,28a77020-5acb-4380-a818-b765c25f09bf,c5,DROP,2033,?,p2,
1769466092.2747416,CREATED,81d023c2-b12e-43c8-97c7-19a229e8415a,7837bda2-b79b-46f1-9af9-335b167b6ec7,c5,DROP,27,?,?,
1769466092.3655133,RECEIVED,2624346a-0e20-4094-bb92-096b50dfbf28,cd0f3b4b-d9d1-4a3f-9e01-7e811792eb37,c4,c5,27,p2,?,surb={'id': 'f810bc04-1733-4297-99a1-a70e5a5c3330', 'route': ['p2', 'e10', 'i2', 'x12', 'p1', 'c4']}
1769466092.5918028,RECEIVED,3ab43561-4e61-49f9-9429-3d65d9886bd4,284a06fa-8a39-417d-a60b-60234ba00576,c4,c5,27,p2,?,surb={'id': '71bc48a5-0355-42c2-b72c-b92dddf737b6', 'route': ['p2', 'e11', 'i4', 'x11', 'p1', 'c4']}
1769466092.6194484,RECEIVED,bca636f6-aba6-4c80-afa3-3923ff484e2f,877798e7-6ac4-447f-bfb1-0fa194e5dde9,c4,c5,27,p2,?,surb={'id': '3bd26919-d207-48c0-840a-1ab16caa9271', 'route': ['p2', 'e12', 'i2', 'x7', 'p1', 'c4']}
1769466092.7924762,RECEIVED,a8d6393e-35df-4d00-96be-c7c6bb3d59b1,73e39320-6417-4e9d-b60f-ad7c29815124,c2,c5,27,p2,?,surb={'id': 'a3c86f14-7932-40de-a698-0ea0d492db80', 'route': ['p2', 'e8', 'i12', 'x12', 'p2', 'c2']}
1769466092.9155173,RECEIVED,da4b1475-c095-43bc-8c0c-7a078dfb1d59,14183603-fc6e-4f4c-9400-b25306af0bbe,c2,c5,27,p2,?,surb={'id': 'cd8ebd35-afeb-4e1f-ad6f-5668c046a9fb', 'route': ['p2', 'e6', 'i6', 'x1', 'p2', 'c2']}
1769466093.232551,SENT,acf59096-863d-4681-9f34-53c655133ced,f7df0781-1039-4381-83b8-97b6601b0470,c5,c4,3379,?,p2,
1769466093.2326987,CREATED,695d1230-8c0a-4b69-ab67-fd289f3c7250,a58527a1-92fa-4264-a0f8-b1647ec8e72f,c5,c4,26,?,?,surb={'id': '715cdabc-4712-4514-8049-2d20eb2357c1', 'route': ['p1', 'e1', 'i7', 'x10', 'p2', 'c5']}
1769466093.7628062,RECEIVED,df90a3e3-8167-475a-99b2-125b86642a43,d635e084-b137-4b86-ab7b-8877945b938f,c2,c5,27,p2,?,surb={'id': '22dbd2a2-5639-4bba-acec-6297dbbc3dea', 'route': ['p2', 'e9', 'i6', 'x12', 'p2', 'c2']}
1769466093.7676866,RECEIVED,f615d82d-5a6a-4d3f-9c31-154b7bd33b1b,3aacc7e5-e634-402b-b363-395cf9259e02,c4,c5,27,p2,?,surb={'id': '09917956-83b6-45d2-99ab-205349276770', 'route': ['p2', 'e5', 'i10', 'x10', 'p1', 'c4']}
1769466093.973949,RECEIVED,4571b11a-765c-4368-a75b-140936f936f5,53973b02-f75f-4ef9-b310-c2cacde09b72,c2,c5,27,p2,?,surb={'id': '4c2dae8f-0e74-479c-b078-9d39f8aa8732', 'route': ['p2', 'e9', 'i8', 'x6', 'p2', 'c2']}
1769466094.1002445,RECEIVED,1495822d-b07b-4510-b40a-e455bc6e9040,54880afe-09ce-4dbf-aaf5-50a78e069fa4,c4,c5,27,p2,?,surb={'id': 'd049df1c-176a-433a-88a7-aff70114e6ac', 'route': ['p2', 'e5', 'i12', 'x11', 'p1', 'c4']}
1769466094.2981696,RECEIVED,d363f0a0-deae-4d6c-ace4-6c705a721be4,a553e3ab-0715-4e73-beba-8dc49089caf6,c4,c5,27,p2,?,surb={'id': 'fc7021c1-ad61-43e7-b906-b4040087c09c', 'route': ['p2', 'e11', 'i10', 'x3', 'p1', 'c4']}
1769466094.3968744,SENT,cd149fba-4a08-420e-88aa-e724392ab4fb,2efbde59-c56c-49e2-8d10-f32f281c9864,c5,c4,3377,?,p2,
1769466094.3971865,CREATED,e4ece244-3cae-4cd4-89c8-93e70d1c0abc,b0542d59-fba6-43cc-b3ce-b7f0f839f83d,c5,c4,27,?,?,surb={'id': '2a999dfb-b8b1-48e6-b799-6e4e94db2b8b', 'route': ['p1', 'e7', 'i5', 'x7', 'p2', 'c5']}
1769466094.6385725,RECEIVED,8765274e-ca9a-43f0-ad83-0c1939752da5,5fb46068-3d14-42b4-96e2-4b825737a263,c2,c5,27,p2,?,surb={'id': '4ca1c319-732a-4262-affb-bb46ce15b027', 'route': ['p2', 'e12', 'i7', 'x10', 'p2', 'c2']}
1769466094.7602348,RECEIVED,9ba212b6-e745-4d1e-a76c-63a4a7422907,e0e0b730-1550-495f-a31f-e68379c07aee,c2,c5,27,p2,?,surb={'id': '074f0fba-e42a-4852-a2be-b8c9c618f4b7', 'route': ['p2', 'e2', 'i4', 'x2', 'p2', 'c2']}
1769466094.915041,RECEIVED,b4b32657-031c-4285-a940-229085f64b5e,69d0dfb4-a499-4eeb-b0f4-5999d6a720b7,c4,c5,27,p2,?,surb={'id': '98d44cd7-eb56-481e-81d1-cef21804e366', 'route': ['p2', 'e2', 'i8', 'x8', 'p1', 'c4']}
1769466095.326907,SENT,9f7f9f90-f0de-45be-9a47-a1b8aed96812,27b8ca88-3586-4917-938b-5279451e3b32,c5,c4,3380,?,p2,
1769466095.3278317,CREATED,3f5dd4d1-e22e-4b8b-9cea-8c75d3d43941,333b5376-74a0-4cf9-9b8a-69a7deacce24,c5,c4,27,?,?,surb={'id': '1bbbec15-8bc1-43d3-834b-a68c058e332a', 'route': ['p1', 'e3', 'i9', 'x7', 'p2', 'c5']}
