timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769466086.8157518,SENT,4e5b3346-8d55-467f-b944-a80af386bc6c,8cd698ba-8f80-46e6-b58a-9b899d92f4d6,c1,c3,3393,?,p1,
1769466086.8159127,CREATED,9db6b847-7b3f-43be-970e-381f03d60a23,b5c81a64-d607-4ac6-8bef-0656c3b5cdb4,c1,c3,27,?,?,surb={'id': '2d5cc190-d979-4d80-ab2c-b3310ecc64a7', 'route': ['p3', 'e7', 'i2', 'x11', 'p1', 'c1']}
1769466087.0337481,SENT,7f876f1f-1d45-4899-849d-1277fd674eb3,37e8d969-2422-4169-9df5-2c2e65d081f9,c1,DROP,2016,?,p1,
1769466087.033883,CREATED,fc749945-bffd-48eb-86f7-56efbf72098d,54540842-d9d6-48f9-97dc-8e1f34fe459f,c1,DROP,26,?,?,
1769466087.351936,SENT,063fd3dc-926c-41be-ba1f-18ac97e6d4a4,bccd0dc3-0a14-456f-ab18-d2e1f916ef69,c1,DROP,2027,?,p1,
1769466087.3520994,CREATED,6bbc3adc-f552-43a9-98de-e8cde421f585,93c3cc3d-a5cf-4cb2-9627-d3131207667b,c1,DROP,27,?,?,
1769466087.6068304,SENT,598a311d-6636-438f-96b2-345ae9493abd,047e77b7-ab20-4964-bc92-a9927c99abfc,c1,DROP,2044,?,p1,
1769466087.606945,CREATED,b69bfed8-6c73-4bfc-b3e3-12ca82d6d086,450232a3-3902-4186-bc0e-f4514d1416ad,c1,DROP,27,?,?,
1769466088.4961853,SENT,5379dc0c-0bff-41d3-aac1-917d70706ac0,a34c1ef5-047f-4279-bfab-579d6a74a145,c1,c3,3362,?,p1,
1769466088.496346,CREATED,7dc70807-9c6b-429c-9f15-2c6104b4460d,b9aafeba-c66b-4ca5-9de1-dab078eea4ae,c1,c3,26,?,?,surb={'id': 'ea557ea3-f1c2-4227-85e4-b203a4526c95', 'route': ['p3', 'e6', 'i5', 'x2', 'p1', 'c1']}
1769466088.5498614,RECEIVED,5d1558d5-0e9c-411e-9821-b20164284a4e,f742f300-e406-464f-8400-de8d03af0fdb,c3,c1,27,p1,?,surb={'id': 'de27db92-2235-4f78-b0c7-8a86e119c947', 'route': ['p1', 'e4', 'i10', 'x4', 'p3', 'c3']}
1769466088.9528728,RECEIVED,c3493ebb-b516-4016-911e-db708c165ae5,174bb0a8-7791-4de1-b32e-7b976b9a96b6,c3,c1,27,p1,?,surb={'id': 'c3873518-5277-4d0e-90f9-6949ade6a2e4', 'route': ['p1', 'e1', 'i1', 'x3', 'p3', 'c3']}
1769466089.2968938,SENT,28d45739-d2a5-4a09-8e09-dddfa00602e8,24a83e2f-9c28-417e-a379-3f70f65fe8a8,c1,c3,3391,?,p1,
1769466089.297044,CREATED,771e99d3-b883-447d-b89f-2fd3b360982c,63a3c3c5-796b-41f3-96b1-2a1513194f96,c1,c3,27,?,?,surb={'id': '0997a01b-0b3b-4049-8caf-4194de795841', 'route': ['p3', 'e1', 'i6', 'x10', 'p1', 'c1']}
1769466089.407962,SENT,e30a7c2f-9313-4961-ae73-ad93506c036b,25dbdea1-6831-4f71-bb18-83d63b611cad,c1,c3,3361,?,p1,
1769466089.4081402,CREATED,03f26be8-0d82-4202-843b-6977fa87d0ef,4df746a8-9509-497b-9b43-ba1aecc83518,c1,c3,27,?,?,surb={'id': '029a9665-ff75-4c0c-9159-da8ca5285601', 'route': ['p3', 'e12', 'i12', 'x3', 'p1', 'c1']}
1769466089.4298,SENT,ad88a5ae-a636-4357-a819-88e390ef811c,c979cbad-6542-4b96-b4e7-8ecd53c053e3,c1,c3,3383,?,p1,
1769466089.4299486,CREATED,aeb8916a-b609-4793-b8ca-01e8e918ea15,e3932738-31c7-49fc-962d-c6540f4841b2,c1,c3,26,?,?,surb={'id': 'fa12dee9-ce0a-43f4-8123-4171ea944a38', 'route': ['p3', 'e6', 'i1', 'x2', 'p1', 'c1']}
