timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769466086.5251553,SENT,db523a2f-c554-4409-9445-370b7f1c5dfa,d746dadf-3589-4716-ae0d-da8fc4653d86,c3,DROP,2020,?,p3,
1769466086.5252938,CREATED,ee4d3420-c8cc-4839-b10a-fdd87060efbf,19ae406c-fea6-4c94-bb46-537fa9bc1038,c3,DROP,27,?,?,
1769466086.602702,SENT,32fa515b-b50f-4b8d-9c8d-5f5603e25882,efdf32b2-c087-4f92-a8d5-2cdf87e6eb20,c3,DROP,2019,?,p3,
1769466086.6028337,CREATED,f780cadc-994d-4457-ab2c-6b4a685318ac,5d6d8025-2639-48df-843d-6d5711d99616,c3,DROP,27,?,?,
1769466086.887977,SENT,35108390-55d9-4ca6-ac61-e134ecb42686,2998b6e7-ea38-490e-b731-37516b1508bc,c3,c1,3359,?,p3,
1769466086.8881595,CREATED,e97d4980-2902-4226-a256-97d73338c1d5,4ed214a0-6c32-4e67-9532-05a6253640c1,c3,c1,27,?,?,surb={'id': '4b16ec6f-4696-4442-abff-836973489395', 'route': ['p1', 'e5', 'i1', 'x10', 'p3', 'c3']}
1769466087.1994948,SENT,d71cad0c-b7e4-4465-b278-af48084cb50d,6d29fd5d-0309-47d6-9362-b573342d090e,c3,c1,3375,?,p3,
1769466087.1996436,CREATED,c3493ebb-b516-4016-911e-db708c165ae5,174bb0a8-7791-4de1-b32e-7b976b9a96b6,c3,c1,27,?,?,surb={'id': 'c3873518-5277-4d0e-90f9-6949ade6a2e4', 'route': ['p1', 'e1', 'i1', 'x3', 'p3', 'c3']}
1769466087.3991203,SENT,a426d3c1-895e-4f86-be34-49d5d2d07172,80a4a67f-d8a0-4ff0-80e6-014a05a0e0d8,c3,c1,3396,?,p3,
1769466087.399271,CREATED,5d1558d5-0e9c-411e-9821-b20164284a4e,f742f300-e406-464f-8400-de8d03af0fdb,c3,c1,27,?,?,surb={'id': 'de27db92-2235-4f78-b0c7-8a86e119c947', 'route': ['p1', 'e4', 'i10', 'x4', 'p3', 'c3']}
1769466087.5922089,SENT,7a84bd5b-40a9-4ca5-8053-9e2f28255910,b0e472ef-b0f8-42fa-94d1-a1ed468f4f4f,c3,c1,3392,?,p3,
1769466087.5923572,CREATED,19f4cc4c-21e6-4049-b6f8-9730f339248d,fae9ee24-2dff-4a3b-ae40-f04a5236943e,c3,c1,27,?,?,surb={'id': '73e2d07c-4c32-429f-bfb7-b76264838e4e', 'route': ['p1', 'e11', 'i6', 'x8', 'p3', 'c3']}
1769466087.9816005,SENT,e1450ab7-0ad2-401f-9139-6f70c2cbfc2f,84a414e3-17fe-4e05-97cd-6c9df7f5e8fe,c3,c1,3375,?,p3,
1769466087.981744,CREATED,284ae23a-a452-43e9-8177-93c46231b42d,8be02160-5651-4610-9a51-8111cac85bfa,c3,c1,27,?,?,surb={'id': '4eeb781c-714d-4ed4-9f94-f226af2b3e67', 'route': ['p1', 'e7', 'i2', 'x3', 'p3', 'c3']}
1769466088.1596036,SENT,103c41c8-0caa-41dd-80e8-01aabf3613b4,e5ee8bd6-14f9-4cf9-8646-de1dc2711600,c3,DROP,2018,?,p3,
1769466088.1597261,CREATED,8763ece5-4101-4660-8297-96d2cd70a977,3346d988-a1e1-4f23-802b-54bb0bbb6e6a,c3,DROP,26,?,?,
