timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769744219.9832797,SENT,3415aaa9-d07c-4e55-8e55-dff898c15f35,106d1ddb-cb15-404d-a4d9-cf408a33c698,c3,c1,3379,?,p3,
1769744219.9834135,CREATED,96d0e064-c962-4765-a9a6-6bc9e21ceca9,051ea540-809e-46a4-99f3-234ab1450da4,c3,c1,27,?,?,surb={'id': '18afa036-c9aa-4852-99eb-4dc44f58263b', 'route': ['p1', 'e7', 'i9', 'x1', 'p3', 'c3']}
1769744220.3569756,SENT,c0612e52-b9a3-46f6-9953-a203bad3f1df,62f9307b-a277-4e25-b0e4-10526e8f58cc,c3,c1,3387,?,p3,
1769744220.3571343,CREATED,5dce57ac-756c-41b1-a680-5e1d316f2532,051ea540-809e-46a4-99f3-234ab1450da4,c3,c1,27,?,?,surb={'id': '18afa036-c9aa-4852-99eb-4dc44f58263b', 'route': ['p1', 'e7', 'i9', 'x1', 'p3', 'c3']}
1769744220.4571803,SENT,7c49edef-a68d-490c-857b-28a2bdee84fd,f56e0cd3-e68b-42c5-b31d-ee640c2b2b1c,c3,c1,3376,?,p3,
1769744220.457321,CREATED,755c5c69-211f-4d3d-a5dc-3dc72025ce11,563d5696-0d68-4467-8678-063ff9dbf72f,c3,c1,27,?,?,surb={'id': 'bd388979-dc92-4416-b079-87cc45f6823f', 'route': ['p1', 'e1', 'i5', 'x2', 'p3', 'c3']}
1769744220.8635352,RECEIVED,d54dce1c-71c4-482a-8a68-ceab0c8ae38e,12b8daaf-a89d-4eed-b180-095c94c245f5,c1,c3,27,p3,?,surb={'id': 'b598992a-3ff5-46eb-a808-bdc52b31addf', 'route': ['p3', 'e3', 'i7', 'x2', 'p1', 'c1']}
1769744221.0517008,SENT,abca068a-6cd3-4b44-afc3-a9423c5a6109,5093b463-c8ca-42cf-81a5-ce3fb0e77d62,c3,c1,3385,?,p3,
1769744221.0518222,CREATED,392473b2-a5b1-4562-98d9-936cb7471572,563d5696-0d68-4467-8678-063ff9dbf72f,c3,c1,27,?,?,surb={'id': 'bd388979-dc92-4416-b079-87cc45f6823f', 'route': ['p1', 'e1', 'i5', 'x2', 'p3', 'c3']}
1769744221.3291209,SENT,d0ddf440-ffc6-4927-b770-887776ab1866,457571a8-957f-4fa3-a2c3-000d58354f84,c3,c1,3379,?,p3,
1769744221.329255,CREATED,dd893756-84a5-4790-b740-005a341374e2,14657bb0-0a70-48b4-b200-432d9b813871,c3,c1,26,?,?,surb={'id': '01cb8ae1-1d61-4088-ba1b-c3a782650f75', 'route': ['p1', 'e9', 'i1', 'x12', 'p3', 'c3']}
1769744221.3648336,SENT,92b3fce7-1feb-436e-8479-9d9c9181ba12,105d2b54-9584-4b8f-bb2d-27381b9ce9b9,c3,c1,3371,?,p3,
1769744221.3649654,CREATED,a6bbbcfe-bc2f-4576-ac21-bfdc0663f288,14657bb0-0a70-48b4-b200-432d9b813871,c3,c1,26,?,?,surb={'id': '01cb8ae1-1d61-4088-ba1b-c3a782650f75', 'route': ['p1', 'e9', 'i1', 'x12', 'p3', 'c3']}
1769744221.4662485,SENT,5997e797-27c1-487c-a4e3-f875434d8ddf,92bd4b24-761f-4ff7-ab1d-5a2d12739629,c3,c1,3375,?,p3,
1769744221.4663785,CREATED,f43e149d-15cc-4dec-b274-b1408fd3879b,16f776b3-f6ad-468c-9483-265dd0f56adc,c3,c1,27,?,?,surb={'id': 'cf1ca2c8-92a3-4d79-80b2-c3b81d087f03', 'route': ['p1', 'e1', 'i4', 'x8', 'p3', 'c3']}
1769744221.5423093,SENT,14d4a80b-011e-414c-ab4c-6d43ae9bef78,704aaf73-38e3-41ca-870e-185c314d6820,c3,c1,3387,?,p3,
1769744221.5424407,CREATED,4765eb9b-8355-4fc3-a74f-c2e27bffa6c9,16f776b3-f6ad-468c-9483-265dd0f56adc,c3,c1,27,?,?,surb={'id': 'cf1ca2c8-92a3-4d79-80b2-c3b81d087f03', 'route': ['p1', 'e1', 'i4', 'x8', 'p3', 'c3']}
1769744221.5565145,RECEIVED,19685671-7865-4dff-8218-2bd2d9f31ca6,fb918471-045d-4d2c-859a-adafb7160fa8,c1,c3,26,p3,?,surb={'id': 'df6a2147-30f2-422c-be68-cd424050d268', 'route': ['p3', 'e7', 'i4', 'x12', 'p1', 'c1']}
1769744221.5671484,RECEIVED,340737df-54e2-4095-8dc2-861591afc848,12b8daaf-a89d-4eed-b180-095c94c245f5,c1,c3,27,p3,?,surb={'id': 'b598992a-3ff5-46eb-a808-bdc52b31addf', 'route': ['p3', 'e3', 'i7', 'x2', 'p1', 'c1']}
