timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769744226.363713,RECEIVED,f5258050-ffff-47a7-93ff-51597735e93b,aa6d739c-ecb1-4e90-8087-ad3a2719a69e,c4,c5,27,p2,?,surb={'id': '3b58473f-95ed-4be3-a8df-dbfef5a249d1', 'route': ['p2', 'e3', 'i10', 'x2', 'p1', 'c4']}
1769744226.4086723,SENT,913539c4-5aa0-4900-8646-0c47d82b1bee,eba34bf4-1561-41b9-910a-e5f5292e9641,c5,c1,3375,?,p2,
1769744226.4088025,CREATED,612495d4-eaa1-42ee-acdf-525f2017a14c,3df7a0f2-9a29-424a-b4f0-d9fae678ebfd,c5,c1,27,?,?,surb={'id': '80b0c385-6bd3-46df-ab85-3e2121d36eab', 'route': ['p1', 'e9', 'i2', 'x10', 'p2', 'c5']}
1769744226.4516652,RECEIVED,459b047e-7ab4-4134-8151-5f2776d81a70,df98ad11-738f-42cd-8cb0-c9457b581450,c4,c5,27,p2,?,surb={'id': 'af18786e-7827-496e-b757-c558c029a878', 'route': ['p2', 'e5', 'i5', 'x7', 'p1', 'c4']}
1769744226.5574427,RECEIVED,6bcaed67-6711-4eec-a4c6-45636ebea98f,67a92e87-2e22-4ec5-a63b-510d5069cc8b,c4,c5,27,p2,?,surb={'id': '184c5ff0-a239-4ba5-88ef-e961a1ef0e40', 'route': ['p2', 'e12', 'i8', 'x2', 'p1', 'c4']}
1769744227.376509,SENT,f8b0362a-0e68-4095-bae6-8bc97bbb4687,1a9b54cf-da1a-47d5-8068-f878c1b46b7e,c5,c1,3397,?,p2,
1769744227.3766398,CREATED,7714629e-6454-4525-a8b8-76e391c3876c,3df7a0f2-9a29-424a-b4f0-d9fae678ebfd,c5,c1,27,?,?,surb={'id': '80b0c385-6bd3-46df-ab85-3e2121d36eab', 'route': ['p1', 'e9', 'i2', 'x10', 'p2', 'c5']}
1769744227.558621,SENT,84c9997e-b36e-4075-807f-bf6d408b0028,9ce54056-7beb-461e-b117-dbf4bb4330c4,c5,c1,3388,?,p2,
1769744227.5588906,CREATED,4750391a-ee1d-4c9b-a269-7d698a9eabbc,735e429a-4a26-4c4f-af17-64ac4b400a96,c5,c1,26,?,?,surb={'id': 'c7855365-0678-4356-a9e9-49fb0bd46c63', 'route': ['p1', 'e6', 'i6', 'x9', 'p2', 'c5']}
1769744227.9853947,RECEIVED,6eb0ecbd-76e8-4c27-9301-67858d226e58,df98ad11-738f-42cd-8cb0-c9457b581450,c4,c5,27,p2,?,surb={'id': 'af18786e-7827-496e-b757-c558c029a878', 'route': ['p2', 'e5', 'i5', 'x7', 'p1', 'c4']}
1769744228.0142274,RECEIVED,0598ab59-ea40-49e6-828b-3b4e1e70603c,578f6162-6534-4593-9503-58500288d8d6,c4,c5,27,p2,?,surb={'id': 'f6a7beda-5bf1-4e8c-ae80-4fed7221e638', 'route': ['p2', 'e9', 'i6', 'x7', 'p1', 'c4']}
1769744228.11895,SENT,fc5c6a86-0ed4-45c3-bbc7-d5609d6ade05,81d6d35e-cdff-4d29-a68f-0d11b5af2ce7,c5,c1,3355,?,p2,
1769744228.119116,CREATED,ca298e64-103d-4a7b-9fbb-291dd655ece8,735e429a-4a26-4c4f-af17-64ac4b400a96,c5,c1,26,?,?,surb={'id': 'c7855365-0678-4356-a9e9-49fb0bd46c63', 'route': ['p1', 'e6', 'i6', 'x9', 'p2', 'c5']}
1769744228.428579,SENT,c192ac1d-b59d-4820-826b-67cf954c41ff,8d13307c-3933-42c1-9c58-06fd3965d7b3,c5,c1,3363,?,p2,
1769744228.428712,CREATED,fdb1b7a4-70cd-4fc1-827b-7c7ce240f63e,086950e6-dbab-41d1-ac29-11f19f425c8c,c5,c1,27,?,?,surb={'id': '9c339f86-e43c-453f-994d-d2dd244cb246', 'route': ['p1', 'e7', 'i7', 'x2', 'p2', 'c5']}
1769744228.4926689,SENT,3a37836b-52a7-4030-9f27-fffd520be9e9,015958d1-417b-49d4-b028-441b55e12e67,c5,c1,3383,?,p2,
