timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769757171.9032788,RECEIVED,d1e37afd-03fb-4b26-a729-19fcb8cfa480,2ddf4760-9fed-41d9-b11b-71ac6e196971,c4,c1,27,p1,?,surb={'id': '5747ba15-76d1-4eba-ba96-427bf5d80908', 'route': ['p1', 'e4', 'i10', 'x11', 'p1', 'c4']}
1769757171.977159,RECEIVED,3c3822c4-4178-4824-a419-00dba20dea20,c9002573-cd8e-4c76-a49e-243d5966e26a,c3,c1,26,p1,?,surb={'id': '4c2c02ff-f814-4961-812a-b7890d2b7ef2', 'route': ['p1', 'e8', 'i4', 'x10', 'p3', 'c3']}
1769757171.9912074,RECEIVED,aaa1ec61-2e6a-45ea-b562-6d0908c82ee1,0664fca6-d082-4a97-94ce-536da62b3ca3,c4,c1,27,p1,?,surb={'id': '9c8f07c0-5e04-4fb7-9c3d-d9f61ffc20d3', 'route': ['p1', 'e2', 'i1', 'x2', 'p1', 'c4']}
1769757172.2959328,SENT,8d9908d5-0c80-4ab0-9126-e612addaa95a,cefba868-9b88-4c6c-971a-e3eef9f36894,c1,c2,3371,?,p1,
1769757172.296105,CREATED,60caada3-4c69-461e-8bc5-abcc050ef827,fcbbe602-f01a-4071-8fc0-288b373251c4,c1,c2,27,?,?,surb={'id': '5b1ebd4f-03b7-4f7c-bfbf-afc9c4df2b39', 'route': ['p2', 'e9', 'i6', 'x11', 'p1', 'c1']}
1769757172.7177722,RECEIVED,8e77a901-2ed1-46f3-877a-57dbed700c5b,5ce98e38-7395-41f6-9fac-6f195305060b,c3,c1,27,p1,?,surb={'id': 'e41a6e72-99b9-4a3d-a4d2-037bf04f3af4', 'route': ['p1', 'e10', 'i10', 'x11', 'p3', 'c3']}
1769757172.7256193,SENT,e4a4ee80-5602-4517-ae9c-2a9be67dc34d,8a45d44c-c9ab-43aa-8fad-029eb659602f,c1,c2,3391,?,p1,
1769757172.7257557,CREATED,2dbadb1d-db46-4269-ac3a-db682922f3dd,3dd6b71c-049a-49d4-b155-c9251c178800,c1,c2,26,?,?,surb={'id': 'f6853c54-a346-4fd7-839f-1d5b3163b521', 'route': ['p2', 'e10', 'i5', 'x4', 'p1', 'c1']}
1769757172.8296988,RECEIVED,b9dd0e70-874e-4387-863a-67afe52112c3,c049a199-cd97-48eb-ba08-6eaf13b63457,c4,c1,26,p1,?,surb={'id': '36d8f258-9dc4-44ac-b604-b940eb7bf84a', 'route': ['p1', 'e5', 'i10', 'x3', 'p1', 'c4']}
1769757172.8432093,SENT,e0c7553d-fe19-4750-85eb-b44052eb826f,57cc4b4e-5c02-49c9-991b-0bd72ef87e21,c1,DROP,2030,?,p1,
1769757172.8434453,CREATED,5114a50a-0650-499a-bc29-677847ba25a3,43d044ad-ec5c-4d3e-a50e-176b009ae044,c1,DROP,27,?,?,
1769757172.914655,SENT,6a95a70d-37cb-410d-9431-28784a326a7a,2557ff4d-76f4-4972-aaf1-b1dc935574f9,c1,DROP,2015,?,p1,
1769757172.9147716,CREATED,f75369dd-74af-475b-ba4f-233543c38430,2e8eb555-30e9-458f-8602-57258fcc2a06,c1,DROP,27,?,?,
1769757172.996143,RECEIVED,af423322-cd1a-4635-9056-8854fb0b5661,c346a9b6-f98f-4fb5-b04f-d87bee928892,c4,c1,27,p1,?,surb={'id': 'de043e52-5234-4afb-8c85-7c99fd90b514', 'route': ['p1', 'e8', 'i8', 'x2', 'p1', 'c4']}
1769757173.065779,RECEIVED,255bd5a6-28ba-4796-818b-bc88bc835270,14210acc-c48b-41fb-8dc8-ca4f8a1d45bf,c3,c1,27,p1,?,surb={'id': 'bb88f27f-cfa1-4aa4-84ae-565c69fd6d32', 'route': ['p1', 'e3', 'i7', 'x9', 'p3', 'c3']}
1769757173.2277248,RECEIVED,01313df0-d2de-4c20-9743-75a815369673,e66e9251-8641-442c-a30e-805d0a4b4813,c3,c1,27,p1,?,surb={'id': '3062d019-7e7f-4cd0-9fb2-4f6724064234', 'route': ['p1', 'e10', 'i8', 'x12', 'p3', 'c3']}
1769757173.2413452,RECEIVED,70ea9f6a-cf4c-4243-b2c1-4566eb2d5b3c,bbf84413-8a74-4cea-9eac-f093b0f5c030,c3,c1,26,p1,?,surb={'id': 'd055ecca-8a26-4092-b70d-e0f5b6e60a72', 'route': ['p1', 'e10', 'i3', 'x1', 'p3', 'c3']}
1769757173.5494778,RECEIVED,80987e72-487d-492d-a5eb-7fca850efa6d,06f6403f-0699-4a3e-b4eb-8ef286a6c500,c3,c1,27,p1,?,surb={'id': '1ecd3459-a462-4a9d-a4c2-2eca93a5ddac', 'route': ['p1', 'e1', 'i5', 'x11', 'p3', 'c3']}
1769757173.9820812,SENT,2ee229f6-ac77-43c5-bec8-5ab2cd1fe731,2a639bf9-649d-4c8c-8bcb-d66a816cbbd2,c1,c2,3360,?,p1,
1769757173.9822183,CREATED,d2b349c4-d47d-400b-a9b8-84918d904b2c,c65a9d85-2d1a-4c88-9f65-65a719a44918,c1,c2,27,?,?,surb={'id': '7b061681-448e-4a89-99b3-34d5f673c248', 'route': ['p2', 'e9', 'i12', 'x5', 'p1', 'c1']}
1769757174.027005,SENT,495af4a5-4209-4297-8517-9c93064ce6c0,6b362ebe-362f-4b46-8220-5294ea0dcd76,c1,c2,3360,?,p1,
1769757174.027236,CREATED,e539f09b-3fbd-4d7e-a499-04a38a775ef4,30bfee4f-fe45-46be-b0d5-53ea28ee5d52,c1,c2,27,?,?,surb={'id': 'c33ee64e-c61b-42ec-8519-033027824e37', 'route': ['p2', 'e5', 'i11', 'x5', 'p1', 'c1']}
1769757174.0590098,RECEIVED,513dfcfb-10d6-4e53-aee3-cc21a827bc3a,fecd8ce4-3fd9-474d-a518-26f079c21a3c,c3,c1,27,p1,?,surb={'id': 'c74414d8-450f-4c35-8f92-55ec26e7d0b7', 'route': ['p1', 'e5', 'i5', 'x8', 'p3', 'c3']}
1769757174.0938303,SENT,98fb0f99-3ed9-450f-b363-1a910b074a07,9015cfe3-df05-4669-b8d5-d7018f326bb2,c1,c2,3375,?,p1,
1769757174.0939615,CREATED,a35a1854-4d77-4f9c-9e35-219b217736c3,656e4abe-90c1-461a-8951-7a6d1e192b40,c1,c2,27,?,?,surb={'id': '849d8ccd-b9e2-4676-a406-cfdaac524961', 'route': ['p2', 'e1', 'i5', 'x6', 'p1', 'c1']}
1769757174.1427016,RECEIVED,098daec0-cab7-4af5-8742-94180a52e266,76ca20f0-c694-486e-b85f-d33e5a425e67,c3,c1,27,p1,?,surb={'id': 'aa78a185-f49b-4ae3-9d34-7d338dc25297', 'route': ['p1', 'e3', 'i5', 'x10', 'p3', 'c3']}
1769757174.202887,RECEIVED,b92bf8e3-54e2-434a-9716-47810e274109,67d03ec0-e142-4841-bb6b-9f503ed558b7,c3,c1,27,p1,?,surb={'id': '86393e6d-32f8-419c-9007-a2856e49f442', 'route': ['p1', 'e5', 'i10', 'x5', 'p3', 'c3']}
1769757174.5165014,RECEIVED,db56b5eb-327d-442f-b447-48ec92bb7c34,210f7a03-0814-4e8a-b8fd-48b914d09232,c3,c1,27,p1,?,surb={'id': '38d0f521-3d5e-4284-9ded-88fa949ee0b5', 'route': ['p1', 'e2', 'i1', 'x8', 'p3', 'c3']}
1769757174.5286093,SENT,4d875e58-54ae-4129-9ea7-50d5852b77a5,81a07b56-f368-43ec-9859-b0a1d4f7a0b7,c1,c2,3391,?,p1,
1769757174.5288162,CREATED,c7220df0-0128-42ad-9be8-ec6ad3a52ce7,c2c911f6-8008-45c9-aad8-c4fb15d72360,c1,c2,27,?,?,surb={'id': '0335bd89-0254-4850-bc17-3fe3c93c62da', 'route': ['p2', 'e11', 'i9', 'x10', 'p1', 'c1']}
1769757175.132891,RECEIVED,dc08d646-8daf-4ba3-9539-67a214c6bc06,94321e69-0459-4dd2-ac48-75cc77bba707,c4,c1,27,p1,?,surb={'id': '48d527be-c897-4f64-91b7-864ba904bceb', 'route': ['p1', 'e5', 'i9', 'x7', 'p1', 'c4']}
1769757175.3268783,RECEIVED,b0e7eca6-ef6e-4a30-ad00-c965fa439713,21c1cad9-99ba-4592-9d57-c6603c6a5bc1,c3,c1,26,p1,?,surb={'id': 'e3635fab-f259-44f9-afdd-c7cbd2c9bffe', 'route': ['p1', 'e2', 'i10', 'x8', 'p3', 'c3']}
1769757175.357276,RECEIVED,3ab59e8f-1240-420a-a80a-dfc2ee5934a7,889a208a-922a-4fad-9203-8127f2531623,c3,c1,27,p1,?,surb={'id': '6ed886cd-4108-47d0-8808-19eced178266', 'route': ['p1', 'e6', 'i7', 'x11', 'p3', 'c3']}
1769757175.3669457,RECEIVED,b370cc46-7749-4427-8322-6806117eb888,c344223f-9842-40c9-9e95-467bf8f34fb0,c4,c1,27,p1,?,surb={'id': 'b2d020be-23b8-441f-a26e-1e4a9751a635', 'route': ['p1', 'e1', 'i10', 'x11', 'p1', 'c4']}
1769757175.3943453,SENT,512e0007-ce3e-449b-ba72-727e41f30951,867c7972-aa65-4e38-ad79-4635600885e5,c1,c2,3395,?,p1,
1769757175.3944752,CREATED,d11f587a-50d1-43ef-9361-54e864dc4b64,6d791025-099d-4598-b88c-a9853f57f0a1,c1,c2,27,?,?,surb={'id': '9752a8f1-1507-4b5d-b13e-9d6eb8733655', 'route': ['p2', 'e12', 'i12', 'x8', 'p1', 'c1']}
1769757175.4540873,SENT,3a018397-264b-43bd-a671-db615e35ff3f,b80618dc-1a12-416f-a288-ec39e5652574,c1,c2,3368,?,p1,
1769757175.4542181,CREATED,36783418-20e2-4309-b878-1ab5c7969212,bdebff4b-ba35-40e5-862f-860e2515765d,c1,c2,26,?,?,surb={'id': '26b0b17b-3234-4696-9086-dedc12bec55a', 'route': ['p2', 'e12', 'i6', 'x6', 'p1', 'c1']}
1769757175.464356,SENT,402037b4-0963-42b3-bf78-adfbd675569a,c617ac12-0059-4b2e-9117-9789d093c2cb,c1,c2,3393,?,p1,
1769757175.46451,CREATED,5ae0c0c6-93fa-4836-a8ea-16f51a424af4,a9d0a777-734e-478e-b0c8-070df2c6ec5a,c1,c2,27,?,?,surb={'id': '129ec4dc-9cfc-4b66-be23-a8f077cd5cde', 'route': ['p2', 'e2', 'i11', 'x9', 'p1', 'c1']}
1769757175.6112964,SENT,97ffeda7-a3c1-47d9-a1d4-f80924a047ee,f013382e-c96c-4fda-8eb4-edf9c7d4dc80,c1,DROP,2028,?,p1,
1769757175.611411,CREATED,ddcf5423-2eaa-4fe5-8e1a-0d5df89ca902,1cabae70-db31-4e1f-a0d8-457add8bb450,c1,DROP,27,?,?,
1769757175.9341388,RECEIVED,8666bd9f-a840-489e-a101-397d6f547523,b5ad589e-54c5-4a82-8003-e9c37a520eee,c3,c1,27,p1,?,surb={'id': '1f28d313-8a2a-428f-850f-8be3b4809cce', 'route': ['p1', 'e7', 'i6', 'x4', 'p3', 'c3']}
1769757175.9927523,SENT,b3244ced-6d4f-4c66-8312-357fc353472a,84df23a4-8134-4d9d-9b05-c0384c0f6ae6,c1,c2,3399,?,p1,
1769757175.9928942,CREATED,f24c2c9e-9800-43e6-afb9-2493eeebafe4,44b3d178-5bb0-49ff-a148-f862eeb9e185,c1,c2,27,?,?,surb={'id': '1665aa00-8d9a-46b1-aa18-3e5373e0e5c7', 'route': ['p2', 'e5', 'i1', 'x7', 'p1', 'c1']}
1769757176.0040927,RECEIVED,bfa6f2a2-2593-41d1-92d1-995796082274,cd700dda-e1a7-4c96-b8a1-11f9112be480,c4,c1,27,p1,?,surb={'id': 'ccaf4c61-8578-4324-9193-8f6894e9c976', 'route': ['p1', 'e8', 'i7', 'x11', 'p1', 'c4']}
1769757176.1972482,SENT,d03d96ce-be74-46a2-b62e-2bffc2953b9e,997b2ea6-1abe-407d-88bc-173b5f3a489a,c1,c2,3376,?,p1,
1769757176.197395,CREATED,b2e70aaa-e775-448d-9f14-30162cc4ef9a,894e8033-685f-435d-97cf-c74fb6788354,c1,c2,27,?,?,surb={'id': '53ee5fe3-e961-419a-883b-a062b3389605', 'route': ['p2', 'e8', 'i6', 'x7', 'p1', 'c1']}
1769757176.2759314,SENT,bb2b0080-8991-4a6d-abbc-e343fdbf6191,e9d260ff-9b21-46bd-a3fe-c2940bf7f7bb,c1,DROP,2016,?,p1,
1769757176.2760897,CREATED,bef72ea0-1b93-4662-995b-62d566ce09a8,713680b7-a683-4679-83fb-0e9e576b863a,c1,DROP,26,?,?,
1769757176.319931,SENT,1c61cf8b-5f73-4dee-9a6a-315e5f536584,d794a46a-2610-43bb-884d-485fdd0c9756,c1,DROP,2044,?,p1,
1769757176.320075,CREATED,b76db609-b657-42ad-9ca9-e508ce40980b,0bf8e0aa-2a31-4a1c-b81d-b0d84999a951,c1,DROP,27,?,?,
1769757176.8148592,RECEIVED,173619d6-009b-41b5-b417-5abcf180bd88,4940eeae-1706-43c9-8809-bf8ee6ee34e5,c3,c1,26,p1,?,surb={'id': '87699357-cc41-4a80-829f-4b1a4e71f998', 'route': ['p1', 'e11', 'i7', 'x5', 'p3', 'c3']}
1769757177.017856,RECEIVED,e522d264-0c99-48ef-a053-dfcfceb65baa,1c4ddfb8-0e72-4e24-916b-69750585e649,c4,c1,27,p1,?,surb={'id': '5d092315-1280-4741-b388-4f7d7329cf4c', 'route': ['p1', 'e10', 'i9', 'x6', 'p1', 'c4']}
1769757177.1129391,SENT,f187b770-cb8d-45ff-a4e0-adb5c6201216,45fb1010-0cf5-40cf-9c54-59e9bcdeaa5a,c1,c2,3367,?,p1,
1769757177.1131046,CREATED,12109070-b10f-464f-9ee7-63c6d05a9899,78674f4c-68e8-47b9-875e-28791400ba80,c1,c2,27,?,?,surb={'id': '889a56c9-c59f-46ea-9369-dac044e7bcdd', 'route': ['p2', 'e7', 'i11', 'x1', 'p1', 'c1']}
1769757177.178401,SENT,365b3989-1d8b-458e-a0b8-19f3181f2a84,d592d876-6c01-4148-9800-c2170bf45d9f,c1,c2,3362,?,p1,
1769757177.1785388,CREATED,f8916e31-d4e4-4451-8f5c-acb898c802ac,86cfdef4-4390-4c27-8435-02c0f1c199e7,c1,c2,26,?,?,surb={'id': 'f2c3882c-3df4-4e23-844e-048e7291c145', 'route': ['p2', 'e9', 'i12', 'x8', 'p1', 'c1']}
1769757177.1874712,RECEIVED,2c2bf7ef-3225-4519-8a6c-df9a2cdf21c1,173623d1-f159-4e9d-9ee7-e028f6ec30f3,c4,c1,27,p1,?,surb={'id': 'af8741ac-9954-486b-a5df-a589bd27524e', 'route': ['p1', 'e9', 'i8', 'x11', 'p1', 'c4']}
1769757177.2174482,SENT,91f86c46-6b57-496c-9519-5f52afeb1b6a,3962acdc-603f-4673-b9ae-553dd26d2012,c1,DROP,2030,?,p1,
1769757177.2175596,CREATED,50f8ac07-7812-422c-8c55-74b5e1e9d354,c6c64afe-38cb-4054-80b6-fc757e308e83,c1,DROP,27,?,?,
1769757177.2975836,RECEIVED,959e9ead-fe9d-4b9d-8585-a020c2f89fb1,94ae5f76-016b-4932-819a-26e0e36b3543,c3,c1,26,p1,?,surb={'id': '4770a9c8-a016-4302-8b9f-ca4256d3b28f', 'route': ['p1', 'e3', 'i7', 'x8', 'p3', 'c3']}
1769757177.2987175,SENT,7f4483aa-1b8b-4191-a14d-8cec39fd43ad,e5e6c388-34ca-4230-936e-13a4c296d078,c1,c2,3376,?,p1,
1769757177.2988565,CREATED,e3f9c46e-4c35-45db-a11f-4c2424496be2,dc9e6b27-5117-433d-a90a-7ac1559074ad,c1,c2,27,?,?,surb={'id': '973091a2-fc54-46ba-8a0c-ff1ec4bb0716', 'route': ['p2', 'e10', 'i3', 'x1', 'p1', 'c1']}
1769757177.4237435,RECEIVED,088bc539-ece1-43f3-92c8-ebaa5661577a,bfb0ef8f-8e85-41c8-9e60-684574094723,c3,c1,27,p1,?,surb={'id': 'f3930344-25ed-4579-b80b-c45a6a088e08', 'route': ['p1', 'e12', 'i10', 'x2', 'p3', 'c3']}
1769757177.6320288,RECEIVED,c05040e8-f6f6-41e7-a4a8-221c17aa1ced,4d189cd5-a508-4016-8ef3-559e21fe87ea,c4,c1,27,p1,?,surb={'id': '866ebda5-5268-4e2c-9976-2b1a5376cf8d', 'route': ['p1', 'e11', 'i7', 'x5', 'p1', 'c4']}
1769757177.6375213,SENT,b7253e64-c628-48c4-b8fb-a6e1fcabf1f1,ba2eb977-1a0f-46dd-b993-cb62d34402a1,c1,DROP,2032,?,p1,
1769757177.6376524,CREATED,77747285-e09e-446a-b15b-9fde5348d07b,9596158d-0e9b-4216-828d-473c0a49f95d,c1,DROP,27,?,?,
1769757177.6537707,RECEIVED,619f75d2-e6c1-4483-9daf-09609588410a,d500ef2f-8229-4520-89e7-a5f4d7bc0855,c3,c1,27,p1,?,surb={'id': '13c4401d-f02e-4bcd-a2f2-dcc0bcb956ce', 'route': ['p1', 'e6', 'i9', 'x4', 'p3', 'c3']}
1769757177.6593297,RECEIVED,867a4c5e-5e0c-4c4b-b1cd-0217d2c5ea91,ae317b36-1e84-409f-a92b-c9d5173c9749,c3,c1,26,p1,?,surb={'id': 'a2a93609-6cb4-4505-945f-3b4d0ea1e19b', 'route': ['p1', 'e10', 'i1', 'x9', 'p3', 'c3']}
1769757178.0399284,RECEIVED,ebbf8f40-50a5-41a3-bbf3-3db04868b6bd,f1be178c-5836-4998-9a01-3f2364f20712,c3,c1,26,p1,?,surb={'id': '1c306b7c-33c0-4279-ab1d-f15d1f5b7f89', 'route': ['p1', 'e7', 'i11', 'x12', 'p3', 'c3']}
1769757178.1254656,SENT,c77c311a-6bb0-48f0-9d92-769acac1726b,120978f1-c687-4a9c-b858-b49ce4f305c8,c1,DROP,2040,?,p1,
1769757178.1255977,CREATED,8dc9123b-cd5f-4cf7-a18a-fb596921e4a4,c29da6ed-7a33-4957-a7d9-45b81785167b,c1,DROP,27,?,?,
1769757178.1405277,RECEIVED,0401be7c-1d46-4f62-b78e-00ef6135dce0,13a7fa1f-e688-49d8-b537-d2907ed10bcd,c4,c1,27,p1,?,surb={'id': 'd9ea8280-dbe0-44b6-b112-adc64934a137', 'route': ['p1', 'e8', 'i2', 'x8', 'p1', 'c4']}
1769757178.2433445,RECEIVED,b7fa318e-19ef-4f13-a7b6-5a57ca61fafa,837c4d82-439d-4db2-86ca-a052b6724868,c3,c1,27,p1,?,surb={'id': '0d5902e3-3bea-4915-85f1-79258054e6a9', 'route': ['p1', 'e4', 'i2', 'x12', 'p3', 'c3']}
1769757178.4556582,RECEIVED,737e32f2-a267-4999-b28d-ea550e050ab4,f9d71afe-1bfa-4917-a012-3a844ce88b28,c3,c1,26,p1,?,surb={'id': '84f38aa0-fc84-4acb-b1bb-6ae81b702c52', 'route': ['p1', 'e9', 'i8', 'x3', 'p3', 'c3']}
1769757178.77753,RECEIVED,1930713f-001b-48c3-8013-038bd77328b1,4c63ac83-e642-4e60-91a3-ff3e59d57c7c,c3,c1,27,p1,?,surb={'id': '4a8f063f-eccd-484d-a490-034e448d887b', 'route': ['p1', 'e5', 'i6', 'x2', 'p3', 'c3']}
1769757178.8166595,SENT,25f70980-bcb6-4792-8605-aa32e5293805,54da29fa-06b2-4a93-9cbf-ca1e0d9e647e,c1,c2,3387,?,p1,
1769757178.8167915,CREATED,0ce17d6d-95da-41e6-b38f-bf390d9cc97d,0ed5090b-2397-4842-9a45-62877a0dd515,c1,c2,27,?,?,surb={'id': '2d721786-1a12-4824-99da-711cb9684e1e', 'route': ['p2', 'e9', 'i12', 'x10', 'p1', 'c1']}
1769757179.2025247,SENT,c792f7d0-e31a-4517-82fd-1fe5178e7464,4a697908-f032-4e0e-b473-5c6baae8e698,c1,c2,3359,?,p1,
1769757179.2026556,CREATED,51b71b4a-cc9b-45eb-b78b-c574684d9061,6e347bea-e491-48ee-8f80-17b507a96e49,c1,c2,27,?,?,surb={'id': 'c5cd3aaa-9871-46ed-a257-d6cfb0a4f30e', 'route': ['p2', 'e5', 'i6', 'x8', 'p1', 'c1']}
1769757179.3671687,RECEIVED,fde93d22-9ae4-4337-8e0d-65bb342e980c,4de42fd3-56b0-4554-b913-6b2ea36aa5c5,c4,c1,27,p1,?,surb={'id': '80aa2e3f-1441-4a1f-82b7-b01cdf93395e', 'route': ['p1', 'e6', 'i10', 'x6', 'p1', 'c4']}
1769757179.5563374,SENT,e681a5e5-1b3f-4c78-a4b9-645e5682c035,6704db26-af1b-4796-a587-f8b73bf8e011,c1,c2,3403,?,p1,
1769757179.5564353,CREATED,9501bc97-feab-4de7-97eb-ff68a3cab427,7f2413f6-ff87-4a36-a2c3-7aec0aed0b5e,c1,c2,27,?,?,surb={'id': 'be8976f7-451f-4024-a65f-4beab724b3ec', 'route': ['p2', 'e2', 'i9', 'x7', 'p1', 'c1']}
1769757179.8256605,SENT,fa9f6f6f-1031-472f-9718-2110be93053e,b60acaa2-f562-416c-9097-8106495c8003,c1,c2,3372,?,p1,
1769757179.825794,CREATED,a3b67478-d1c6-43b2-88af-6ea6b971080b,9e6af99d-d2a0-4197-916b-156fdeee91c0,c1,c2,27,?,?,surb={'id': '827639ae-ff99-4f8a-9661-2c48bd2e430f', 'route': ['p2', 'e4', 'i7', 'x10', 'p1', 'c1']}
