timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769757168.799364,SENT,d3a4a9f7-4ebf-4d4d-ae56-a163de1e1e99,12d2ac24-9381-46f7-bfec-681c755748f3,c2,c3,3376,?,p2,
1769757168.7995229,CREATED,d6c7c3d3-389c-4645-886a-dc62c3c365a8,945a02fb-029f-446a-a967-06e2faec9fc4,c2,c3,27,?,?,surb={'id': '4a22f9b2-bd84-49c9-baca-2f59afc030df', 'route': ['p3', 'e10', 'i2', 'x2', 'p2', 'c2']}
1769757168.8176732,SENT,41c1ead1-5f94-41b6-9683-ac6e584c9b18,04863782-9498-4966-b8b3-5f1b4e0c264c,c2,DROP,2017,?,p2,
1769757168.8178358,CREATED,5dcbc2af-2f49-4309-8e2d-c26c4f95a03a,db5ff7df-1e06-4095-b29b-001ca143eb94,c2,DROP,27,?,?,
1769757169.1373756,SENT,fd46a34b-abf2-404e-b7de-507b1634ff53,c2b00055-bc66-42dd-8b41-091c7107345d,c2,DROP,2023,?,p2,
1769757169.1375306,CREATED,19625be4-1dd1-4ab3-be04-a7f9604c69a3,5721f9a6-bc1b-4518-beb8-e121869fe350,c2,DROP,27,?,?,
1769757169.1647758,SENT,f0405e6d-8996-47d0-ac32-528626a2b810,afef9b2d-7f1b-4be1-acf7-d397fc683f14,c2,DROP,2034,?,p2,
1769757169.1648932,CREATED,3e5ba746-3ad5-46a2-b78f-ee7df8f6720b,4290539a-dded-45b9-bbbc-5ddcf40b5875,c2,DROP,26,?,?,
1769757169.1847203,SENT,fd8d18e0-0a3e-40b0-890d-3cdf8ea0cef1,cd29dc62-ad80-4449-9e2c-99a7e367310a,c2,DROP,2027,?,p2,
1769757169.1848395,CREATED,a8f49b76-5eed-4591-b792-c291211d904d,623e2829-2a0c-4d0c-a670-161eaeaba3f9,c2,DROP,27,?,?,
1769757169.7462528,SENT,fb4ea8aa-e43f-47cd-975c-8102dd1b937d,68dfe793-fde6-4708-9127-082b05f6695c,c2,c3,3371,?,p2,
1769757169.7464108,CREATED,0d5105a3-44ee-417e-a0cd-bde9bedec7d2,2b5070f0-ea36-4deb-8fa0-6c2872bae614,c2,c3,26,?,?,surb={'id': '359b94f0-dc60-4bf3-9269-60a8ff7ea874', 'route': ['p3', 'e8', 'i8', 'x5', 'p2', 'c2']}
1769757170.6358247,SENT,3cd052f3-96d9-4b3a-9a1d-b16440d59992,7070aebf-4c21-4562-a0b5-de58b52d6c26,c2,c3,3388,?,p2,
1769757170.635958,CREATED,fbdef7b6-83a2-4222-b109-c902481b2f92,48ead4c7-002d-4be7-8088-f2a8b61312a6,c2,c3,26,?,?,surb={'id': 'dc5c9cba-7526-4f22-ad75-7ea6dfbdb99b', 'route': ['p3', 'e12', 'i8', 'x10', 'p2', 'c2']}
1769757170.7021868,SENT,c60681ec-9cda-4475-9064-aab0cbfb5f78,4ed95cfc-bea9-44d0-b01a-bd422c7407ea,c2,c3,3376,?,p2,
1769757170.7023618,CREATED,71e5599a-2641-4763-b8b9-a0559be43ee8,48be922c-50dc-4b34-92c2-3a6b07da3089,c2,c3,26,?,?,surb={'id': 'b7287f6e-d0c2-4def-9e20-5bc23369edd5', 'route': ['p3', 'e9', 'i7', 'x9', 'p2', 'c2']}
1769757170.7516475,SENT,2f4e2f58-422a-40f1-890e-321dd7f7fca3,9812464c-75f2-4914-a94f-f4d7dd773477,c2,c3,3383,?,p2,
1769757170.7517805,CREATED,077ced4c-7000-4c59-967a-de02a41eddbb,829ff2a4-4cf2-459d-a05f-570855219cf9,c2,c3,27,?,?,surb={'id': 'e76bac6a-9237-4593-ae4b-7c6170f2e81c', 'route': ['p3', 'e3', 'i1', 'x4', 'p2', 'c2']}
