timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769467937.1179838,SENT,d4d2eede-a2e1-4a43-9a0a-a2f3c372be3d,deebeafd-8e98-4cd3-9a5a-cbe073da0885,c4,c3,3395,?,p1,
1769467937.1182382,CREATED,d6a0d472-1568-47af-bdcc-69213c4bb3b7,49cef9f8-422b-461e-bafb-d1f2c4895bf5,c4,c3,27,?,?,surb={'id': '5a26a1c0-b7d9-41dd-8b67-8b95c5cda22b', 'route': ['p3', 'e10', 'i12', 'x9', 'p1', 'c4']}
1769467937.1827838,SENT,132959e5-6964-402d-84f8-a7492b850f8a,65d00f9d-1608-425a-9094-9d76698495bd,c4,c3,3391,?,p1,
1769467937.182918,CREATED,19306b6d-cd78-46f7-a63b-864011b65737,49cef9f8-422b-461e-bafb-d1f2c4895bf5,c4,c3,27,?,?,surb={'id': '5a26a1c0-b7d9-41dd-8b67-8b95c5cda22b', 'route': ['p3', 'e10', 'i12', 'x9', 'p1', 'c4']}
1769467937.7585464,SENT,c79b5123-391f-4b37-b589-eaee5dd85eb4,7892f18f-f717-468a-98b7-341ca21c5d44,c4,c3,3371,?,p1,
1769467937.7586987,CREATED,734e9b7b-4d78-4956-83e5-2aaaff86fe9a,935dce0a-8d18-4092-89ae-cde30e026add,c4,c3,26,?,?,surb={'id': 'a79c9978-b026-43d5-ad87-4c0e89bc5e2c', 'route': ['p3', 'e4', 'i2', 'x2', 'p1', 'c4']}
1769467938.043523,SENT,70546719-c6b5-4a88-bc68-6e07e856f785,fb4639e0-19ff-4791-9bf0-f1847ddd7a88,c4,c3,3363,?,p1,
1769467938.0436993,CREATED,2dc72b8c-c629-4a5c-8c4f-988c2a34ccdb,935dce0a-8d18-4092-89ae-cde30e026add,c4,c3,26,?,?,surb={'id': 'a79c9978-b026-43d5-ad87-4c0e89bc5e2c', 'route': ['p3', 'e4', 'i2', 'x2', 'p1', 'c4']}
1769467938.2103472,SENT,b07c9dbf-c68d-47ca-ba0d-ce55abe7c00d,f4229bad-9ff8-4ff4-b93a-c4810ab11ab0,c4,c3,3375,?,p1,
1769467938.2104793,CREATED,e645c18c-70e8-45d9-abf1-69d87a801fba,d11170ad-eb26-4cf2-b2ab-353dcb887824,c4,c3,27,?,?,surb={'id': 'cb7cecaf-739e-4f03-84d1-15d804399b01', 'route': ['p3', 'e12', 'i5', 'x4', 'p1', 'c4']}
1769467938.424102,SENT,390a8fcc-7268-47c3-9809-fe33e5271bb3,84ddce81-6547-4ee6-8b77-5d9f5da1f2e6,c4,c3,3400,?,p1,
1769467938.424255,CREATED,d8dfe98f-6238-475b-a438-5204d22d6049,d11170ad-eb26-4cf2-b2ab-353dcb887824,c4,c3,27,?,?,surb={'id': 'cb7cecaf-739e-4f03-84d1-15d804399b01', 'route': ['p3', 'e12', 'i5', 'x4', 'p1', 'c4']}
1769467938.7428882,SENT,1a03360c-0f8d-41d3-9584-8848ed5a6697,b4f2b2fa-ceaf-4545-bdc7-17e9fef05ee7,c4,c3,3371,?,p1,
1769467938.7430398,CREATED,09a057bf-153c-4c2e-849a-b311b05a593b,e4fa7be4-04b8-4191-8036-32ee8fb5dc6a,c4,c3,26,?,?,surb={'id': '0be463e2-c54c-4ec3-ae0d-123cb1f6d545', 'route': ['p3', 'e8', 'i3', 'x5', 'p1', 'c4']}
