timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769467937.4106207,SENT,09559b6b-32ac-47cb-9252-bfe5ebb96c71,4420d907-f034-49bf-9375-0ebd5a9ee412,c1,c2,3396,?,p1,
1769467937.41081,CREATED,5ee8f046-e49c-4fdf-90b4-12e18eb66437,44e8a973-b5eb-49a8-a1f2-e44c03c52d34,c1,c2,27,?,?,surb={'id': '625ccfc2-d2d3-475e-a17a-46475dac0c92', 'route': ['p2', 'e3', 'i9', 'x5', 'p1', 'c1']}
1769467937.601939,SENT,cf1ee371-9d3c-41ac-b3f6-3404ec44e73c,488a11ee-f56a-4676-af5c-866cda8c498a,c1,c2,3362,?,p1,
1769467937.6021147,CREATED,79da665b-185b-4456-8497-5723dd8cbbbf,44e8a973-b5eb-49a8-a1f2-e44c03c52d34,c1,c2,27,?,?,surb={'id': '625ccfc2-d2d3-475e-a17a-46475dac0c92', 'route': ['p2', 'e3', 'i9', 'x5', 'p1', 'c1']}
1769467937.918541,SENT,978dd2dc-44b9-4fbe-9b3b-616960ba83a8,c8927651-ebd6-4177-bfcd-d1e10fd147c5,c1,c2,3387,?,p1,
1769467937.9186904,CREATED,f7df5400-020d-4d0b-b2e3-6b6a9de69d23,c8698a40-2fc8-4212-8b7b-1a7d5a6cd25d,c1,c2,27,?,?,surb={'id': 'be8a302c-160f-4efd-994e-d88a45348e96', 'route': ['p2', 'e3', 'i7', 'x3', 'p1', 'c1']}
1769467937.9644957,SENT,c7e6c212-79a2-4a46-a6a8-19cfa3e537c2,a5a5d081-787f-4d08-a2b0-7c87ce188d82,c1,c2,3379,?,p1,
1769467937.9646456,CREATED,fb3a3533-7195-483f-8adc-959a98f2444c,c8698a40-2fc8-4212-8b7b-1a7d5a6cd25d,c1,c2,27,?,?,surb={'id': 'be8a302c-160f-4efd-994e-d88a45348e96', 'route': ['p2', 'e3', 'i7', 'x3', 'p1', 'c1']}
1769467938.2168162,SENT,76e41df8-f490-4db6-8d35-c82e4a0cca0d,96d90a98-2111-4c03-b3b2-4c72fd40a90a,c1,c2,3373,?,p1,
1769467938.2169719,CREATED,d8a3f0cb-37b1-4f13-b43f-17b91af1c36a,9ae5b00f-349b-4751-a642-ed5dbcb8fb40,c1,c2,27,?,?,surb={'id': 'cdd19fab-e395-4b8e-b2cd-afd3f406dd18', 'route': ['p2', 'e7', 'i3', 'x4', 'p1', 'c1']}
1769467939.1692939,SENT,17f37142-bbb7-48e3-a339-98b024d2180e,87c1a4a7-04f1-489c-805f-5188aad83ae8,c1,c2,3359,?,p1,
1769467939.1694615,CREATED,4cfcd595-c6c8-4454-9e7d-91e3e78401fa,9ae5b00f-349b-4751-a642-ed5dbcb8fb40,c1,c2,27,?,?,surb={'id': 'cdd19fab-e395-4b8e-b2cd-afd3f406dd18', 'route': ['p2', 'e7', 'i3', 'x4', 'p1', 'c1']}
