timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769467940.4714212,RECEIVED,d8a3f0cb-37b1-4f13-b43f-17b91af1c36a,9ae5b00f-349b-4751-a642-ed5dbcb8fb40,c1,c2,27,p2,?,surb={'id': 'cdd19fab-e395-4b8e-b2cd-afd3f406dd18', 'route': ['p2', 'e7', 'i3', 'x4', 'p1', 'c1']}
1769467940.4771917,SENT,992dd49c-970f-46b1-a3c5-71b3e183f204,5f689448-647b-4177-8001-e22a043ec5a9,c2,c4,3335,?,p2,
1769467940.4773242,CREATED,93d90541-9a8f-405b-8b68-1423557c636a,4f89d722-72d4-445b-9e2f-7239b8080974,c2,c4,26,?,?,surb={'id': 'a6f6491b-09f7-42c1-b071-e6ba67f8b12c', 'route': ['p1', 'e3', 'i6', 'x9', 'p2', 'c2']}
1769467940.6037667,RECEIVED,3f71e102-928f-4806-b6e5-dd18485723ae,67114422-3cf1-4426-b9e3-32eed4a44a38,c5,c2,27,p2,?,surb={'id': 'a4a280e4-370a-4e93-a918-58af31f2aff2', 'route': ['p2', 'e4', 'i5', 'x11', 'p2', 'c5']}
1769467940.656917,SENT,026066a2-20a5-42b1-a4ae-b6fc6ac9ba77,af9d822a-06a1-4fc6-9c2f-09ce0644c1c3,c2,c4,3372,?,p2,
1769467940.6570823,CREATED,934820aa-97ce-466b-902c-5accb781b5e1,4f89d722-72d4-445b-9e2f-7239b8080974,c2,c4,26,?,?,surb={'id': 'a6f6491b-09f7-42c1-b071-e6ba67f8b12c', 'route': ['p1', 'e3', 'i6', 'x9', 'p2', 'c2']}
1769467940.7486324,RECEIVED,9e827497-7198-4104-8373-518d2ac020bc,ee8e61ee-f918-42cf-a1df-72ad77c8fe68,c5,c2,27,p2,?,surb={'id': 'b5d94c44-a5e3-43d6-8c36-c04951f70b88', 'route': ['p2', 'e2', 'i2', 'x12', 'p2', 'c5']}
1769467941.0710294,RECEIVED,baddbc41-1b8e-4320-aff2-9a8f244081d1,5298fb1c-19fe-4945-bdf9-ba0b3e86cac9,c1,c2,27,p2,?,surb={'id': '0a3cefcf-df29-4668-86b9-699173a29752', 'route': ['p2', 'e10', 'i2', 'x11', 'p1', 'c1']}
1769467941.120418,RECEIVED,763ad47a-bd27-4dbd-b82e-cc19d8f942f5,44836daa-5544-4909-862f-90f1096a31a7,c5,c2,26,p2,?,surb={'id': '839c7217-123f-4b44-993a-62eb73d55aec', 'route': ['p2', 'e4', 'i5', 'x10', 'p2', 'c5']}
1769467941.1478186,SENT,d07df2bf-bff9-404e-8653-4454599ff4be,34ea60a2-d352-4f8a-bfc3-9b14e0014137,c2,c4,3384,?,p2,
1769467941.1479642,CREATED,aa0f7008-44e1-4cee-b681-be566f80bf43,a441cc84-f3b8-4372-b122-5f733127976e,c2,c4,27,?,?,surb={'id': 'e4cc0d62-b07c-4596-a7a8-725e0d894df2', 'route': ['p1', 'e1', 'i10', 'x7', 'p2', 'c2']}
1769467941.3261278,RECEIVED,67c2c4e2-ce36-4389-9385-9f868385ed5e,67114422-3cf1-4426-b9e3-32eed4a44a38,c5,c2,27,p2,?,surb={'id': 'a4a280e4-370a-4e93-a918-58af31f2aff2', 'route': ['p2', 'e4', 'i5', 'x11', 'p2', 'c5']}
1769467941.6057801,SENT,c1a2ced2-17d0-4c33-b80a-07d554023610,c656b5b6-89b0-46a2-9a3a-85547332d3a9,c2,c4,3396,?,p2,
1769467941.6059272,CREATED,236c7e45-4973-475f-b93b-b2a628be3d91,a441cc84-f3b8-4372-b122-5f733127976e,c2,c4,27,?,?,surb={'id': 'e4cc0d62-b07c-4596-a7a8-725e0d894df2', 'route': ['p1', 'e1', 'i10', 'x7', 'p2', 'c2']}
1769467941.6199312,RECEIVED,af9e29e3-e684-468d-acf5-a6da95a41a78,5298fb1c-19fe-4945-bdf9-ba0b3e86cac9,c1,c2,27,p2,?,surb={'id': '0a3cefcf-df29-4668-86b9-699173a29752', 'route': ['p2', 'e10', 'i2', 'x11', 'p1', 'c1']}
1769467941.6471524,RECEIVED,8405d382-ca2a-4ec6-b69e-803ce8e630ed,e0e00155-4e96-4776-903c-f9dacb1d200f,c5,c2,27,p2,?,surb={'id': 'c4530847-63a6-4feb-8ca0-a0b07134599c', 'route': ['p2', 'e1', 'i10', 'x7', 'p2', 'c5']}
1769467941.6703825,RECEIVED,4e00697d-9aee-4070-ab15-a560c8ec60c8,9ff76dcb-cf74-4da3-a83b-e22f8d40be81,c5,c2,27,p2,?,surb={'id': '5495cf24-d3da-4d16-9fcc-14bfcbcda64c', 'route': ['p2', 'e6', 'i4', 'x5', 'p2', 'c5']}
1769467941.6813717,RECEIVED,e4b531b4-8b5c-4fef-b1bf-fcdb20b1cb33,e8d45ca3-1328-4c15-b520-58fa98e4411d,c5,c2,27,p2,?,surb={'id': 'ab8c2fb4-5816-45ac-b532-fdecddc521ca', 'route': ['p2', 'e10', 'i3', 'x4', 'p2', 'c5']}
1769467941.882561,RECEIVED,a16cd314-26fe-4b0e-8116-62d2f5ba224d,44836daa-5544-4909-862f-90f1096a31a7,c5,c2,26,p2,?,surb={'id': '839c7217-123f-4b44-993a-62eb73d55aec', 'route': ['p2', 'e4', 'i5', 'x10', 'p2', 'c5']}
1769467941.8901622,RECEIVED,4e3499f7-1207-476d-aff2-d9cd6e1e93e6,2cbf6900-c7d9-4b94-8dd7-c98223907bbb,c5,c2,27,p2,?,surb={'id': '2d7cf8eb-26bb-4301-bde1-e3f5be35a63c', 'route': ['p2', 'e1', 'i12', 'x12', 'p2', 'c5']}
1769467942.2656653,SENT,4dae6a1c-ff66-42b0-9ee4-999c98106e9b,a5bc4a16-4927-4a5b-a078-cd44baf77a71,c2,c4,3365,?,p2,
1769467942.2658143,CREATED,0d69e037-fe94-483f-b816-32a3f9c84f86,96a850c5-41de-4bbc-842e-8cf0946a46b0,c2,c4,27,?,?,surb={'id': '5e61d94c-bc8b-4eec-aac8-06ce64376db8', 'route': ['p1', 'e7', 'i5', 'x7', 'p2', 'c2']}
1769467942.535959,RECEIVED,26288b12-9219-4274-aef3-554455cb25c6,0a793882-f702-45e8-942a-c0c5c6d335d4,c1,c2,27,p2,?,surb={'id': 'b06dddd2-c834-44f1-8de1-3ac227498e1d', 'route': ['p2', 'e12', 'i3', 'x1', 'p1', 'c1']}
1769467942.5653632,RECEIVED,79da665b-185b-4456-8497-5723dd8cbbbf,44e8a973-b5eb-49a8-a1f2-e44c03c52d34,c1,c2,27,p2,?,surb={'id': '625ccfc2-d2d3-475e-a17a-46475dac0c92', 'route': ['p2', 'e3', 'i9', 'x5', 'p1', 'c1']}
1769467943.0137296,RECEIVED,932c4c4c-3120-4d19-9a58-d169324a7a52,e89f29b9-08e7-4ab7-9860-583c9b8b3ca6,c1,c2,27,p2,?,surb={'id': '3c8b2d11-c791-4ef5-92dc-2a7d623380cd', 'route': ['p2', 'e3', 'i11', 'x11', 'p1', 'c1']}
1769467943.3314753,SENT,f7590c27-81b4-4cdc-b3f6-b58b2438e042,1bacd408-7a19-48f1-baa4-47336f1feaf3,c2,c4,3380,?,p2,
1769467943.3316255,CREATED,f9ecb3f8-299c-4a3f-84a5-80eddc160ca1,96a850c5-41de-4bbc-842e-8cf0946a46b0,c2,c4,27,?,?,surb={'id': '5e61d94c-bc8b-4eec-aac8-06ce64376db8', 'route': ['p1', 'e7', 'i5', 'x7', 'p2', 'c2']}
1769467943.6090975,RECEIVED,b368f642-5a3e-4f20-a085-87d675a5073f,e8d45ca3-1328-4c15-b520-58fa98e4411d,c5,c2,27,p2,?,surb={'id': 'ab8c2fb4-5816-45ac-b532-fdecddc521ca', 'route': ['p2', 'e10', 'i3', 'x4', 'p2', 'c5']}
1769467943.6395326,SENT,53019759-e6e1-411c-a32f-2f9b3476323e,5b03e9fb-0fa0-46ed-bcd2-6948294f3e57,c2,c4,3388,?,p2,
1769467943.6396923,CREATED,e4efc5dd-c0c9-4ee0-9e32-4d3f45e9abaa,8af1113d-54ed-4c5b-8243-c52d77d10fcd,c2,c4,26,?,?,surb={'id': '4e55911d-1d10-42ea-a652-d05b02da95a0', 'route': ['p1', 'e12', 'i11', 'x9', 'p2', 'c2']}
1769467943.6459498,RECEIVED,22cf3e0f-3f0b-493d-9b2a-6df3839f7f4d,6ebe892d-d9c4-4d29-91eb-23af57e91eb1,c1,c2,27,p2,?,surb={'id': 'acb6865e-9289-4a9f-ad6a-0f972ff8c9b3', 'route': ['p2', 'e8', 'i3', 'x10', 'p1', 'c1']}
1769467943.928745,SENT,72715359-2f98-4e60-b7d1-48decf21c89b,c754a824-44ee-43d6-82d8-a9c1eacc4e5c,c2,c4,3375,?,p2,
