timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769467943.891643,SENT,24ba919a-a57d-4286-a384-c4a7c2c217b4,37160469-f6d2-4a5c-a24d-65ce6ef6410c,c3,c1,3359,?,p3,
1769467943.891735,CREATED,a6916009-e3d3-4d1e-bf50-5423341a86e9,09a1a8cd-c400-48a7-a6c9-0a62b750026d,c3,c1,27,?,?,surb={'id': '91f26f32-87a0-4cbf-bc53-fd54c640d3e9', 'route': ['p1', 'e1', 'i9', 'x6', 'p3', 'c3']}
1769467943.930339,SENT,86901af4-b5d8-48d7-bc7a-809ced14bfde,581c2290-60a7-4dbe-8160-c0e31ef52877,c3,c1,3376,?,p3,
1769467943.9304333,CREATED,8bc4f13a-1792-4f40-a1f5-95d3188a6729,09a1a8cd-c400-48a7-a6c9-0a62b750026d,c3,c1,27,?,?,surb={'id': '91f26f32-87a0-4cbf-bc53-fd54c640d3e9', 'route': ['p1', 'e1', 'i9', 'x6', 'p3', 'c3']}
1769467944.009483,SENT,c1b1d374-f081-48be-bbd7-b7f31e89a284,7b07ed17-c231-4285-8cea-570f51e7d18d,c3,c1,3385,?,p3,
1769467944.0096314,CREATED,2c8e319a-b2db-446e-b7a6-475bab4b3df0,2e37db2e-57ed-4191-b0df-e3bf0a9716d9,c3,c1,27,?,?,surb={'id': '17faa8f6-0fe5-444c-aeb1-7b7c48a56d8c', 'route': ['p1', 'e8', 'i2', 'x9', 'p3', 'c3']}
1769467944.115442,SENT,05de84c4-3a88-4c84-a87f-17f97bd7f122,bbee8077-1127-4ccb-9151-1c41ac29d089,c3,c1,3396,?,p3,
1769467944.1155896,CREATED,4ecfc7c3-b01f-43a2-939d-a7cd330a0602,2e37db2e-57ed-4191-b0df-e3bf0a9716d9,c3,c1,27,?,?,surb={'id': '17faa8f6-0fe5-444c-aeb1-7b7c48a56d8c', 'route': ['p1', 'e8', 'i2', 'x9', 'p3', 'c3']}
1769467944.1364055,SENT,30316334-e9fe-4f4b-ae1e-19356f1844ea,45d1afca-9021-4c8d-b70b-df0d87767bb4,c3,c1,3376,?,p3,
1769467944.1365564,CREATED,d131a88d-d629-4430-873d-600e90c6016b,b04566c1-940f-4547-855b-a7ee2cdd4a1f,c3,c1,27,?,?,surb={'id': '262e201e-6cf0-437f-b13a-a4a0cf04e0f2', 'route': ['p1', 'e4', 'i9', 'x11', 'p3', 'c3']}
1769467944.162215,SENT,27e3b831-f098-428a-bc59-c373c98b7145,6aaf695c-e026-492d-9464-62e4476fd3f2,c3,c1,3393,?,p3,
1769467944.162363,CREATED,501cd58e-367d-40c0-ad5d-319b51b62924,b04566c1-940f-4547-855b-a7ee2cdd4a1f,c3,c1,27,?,?,surb={'id': '262e201e-6cf0-437f-b13a-a4a0cf04e0f2', 'route': ['p1', 'e4', 'i9', 'x11', 'p3', 'c3']}
1769467944.5153718,RECEIVED,faf0cb82-32da-4683-98c6-ef90154e660a,7064e95b-5d42-4df8-8359-d350f743379d,c4,c3,27,p3,?,surb={'id': 'f1a110e6-48f4-42e2-bb0b-e035eb1f1bb6', 'route': ['p3', 'e7', 'i8', 'x10', 'p1', 'c4']}
1769467944.529662,SENT,933cc078-6ce8-4736-8871-7146c996b557,1c42f4fc-b44d-4826-8d1a-3f16c4feb240,c3,c1,3385,?,p3,
1769467944.5304258,CREATED,d67e90cc-37ec-49db-af4f-c0ef5b797a0b,6a3dd542-d84a-45de-925d-37d346b52321,c3,c1,27,?,?,surb={'id': 'b44e80db-c460-4e02-9095-27f72bcf709e', 'route': ['p1', 'e8', 'i5', 'x5', 'p3', 'c3']}
