timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769450664.9379861,SENT,087729b9-b10a-430a-b327-091c90111dac,60cdcd92-3ed7-4ada-8acc-1485bc72d98e,c3,DROP,2015,?,p3,
1769450664.9381654,CREATED,c9bbf9b6-19b2-4df2-8019-be5bee931756,c7185022-3fa2-4fd9-b4ac-84badb637c40,c3,DROP,27,?,?,
1769450665.6498256,SENT,cb56f947-efc6-4409-a1af-cc7f583f2204,a2d136c9-fa0a-4dce-9e1f-863f3efbdcac,c3,c1,3365,?,p3,
1769450665.6499984,CREATED,549d2fda-6003-46a6-8f7e-d01507ed2510,ae4327f1-d01f-4b20-b8f1-45b030604ce3,c3,c1,27,?,?,surb={'id': '69381063-9771-430f-9cf6-de87f3d7c6f9', 'route': ['p1', 'e7', 'i5', 'x7', 'p3', 'c3']}
1769450666.2852516,SENT,407bc181-49fd-4c3c-b745-9d70c9159679,f7e874ef-3acb-4a20-91d9-95bfd1c22f3c,c3,c1,3379,?,p3,
1769450666.2854044,CREATED,4c6bbf9a-1d98-420f-b40e-befc419e90a1,e888975a-95f3-4024-9658-48cd293f689e,c3,c1,26,?,?,surb={'id': '1390f2a9-e341-48a6-ae4c-3dbe4b7461bd', 'route': ['p1', 'e10', 'i12', 'x4', 'p3', 'c3']}
1769450667.2167752,SENT,6c7919e4-d7b5-432b-ad0d-8bb7d868858a,36b7a638-faee-4f4b-b43b-14be6667e69d,c3,c1,3375,?,p3,
1769450667.2169075,CREATED,95501483-6bec-47ff-ad29-d1df28b9ce44,6c2fd847-283c-4153-9952-cd41b3944c81,c3,c1,27,?,?,surb={'id': '6f3ad33a-d3b4-4d6a-ae25-b37689afbf23', 'route': ['p1', 'e3', 'i3', 'x8', 'p3', 'c3']}
1769450667.2872217,SENT,a389c925-444e-4ead-973c-e543e573c3eb,978ee655-1b6b-4f72-a285-e27b306a8b66,c3,c1,3387,?,p3,
1769450667.2873704,CREATED,f2f205e9-c6dc-4234-aff8-6dcde4355642,43c4901d-6881-40a2-b5fe-2a9e798f3d17,c3,c1,27,?,?,surb={'id': 'e663a468-8a65-4efa-a71e-2ea5e04cdf6f', 'route': ['p1', 'e10', 'i6', 'x8', 'p3', 'c3']}
1769450667.3006532,SENT,836ad31f-f491-43f0-8d1b-61c87a689dd9,d7e8e13e-8a85-4ba0-82d3-93ad04a474c1,c3,c1,3375,?,p3,
1769450667.3007843,CREATED,47ff7863-a01d-4bae-bbce-edb69d514629,c80eaa17-640b-4236-b7de-38e675f94841,c3,c1,27,?,?,surb={'id': '136c21fe-92d9-4c17-8f5f-db635a14c71b', 'route': ['p1', 'e8', 'i8', 'x5', 'p3', 'c3']}
1769450667.501981,SENT,6841fdcc-904a-437d-bc02-3da60c13048f,0653e190-7c35-48d4-8db2-7523d6e3fe6c,c3,c1,3400,?,p3,
1769450667.5021372,CREATED,b4d223dc-e18e-4e21-bc67-d834ea957e50,9eacde78-628e-41b1-ab97-f07fcbcfd199,c3,c1,27,?,?,surb={'id': '5f7adba9-7639-4a6e-9df1-c01539f06090', 'route': ['p1', 'e11', 'i12', 'x12', 'p3', 'c3']}
