timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769450664.886111,SENT,a6ead392-9401-4112-b8bf-be2ff09a193d,24d9e606-198a-4a97-8484-169460dc6468,c2,c1,3359,?,p2,
1769450664.886268,CREATED,89eab611-e1f4-48d9-b33a-8b39fae202ec,36c2c419-6880-4567-a5fa-f20489fab9f6,c2,c1,26,?,?,surb={'id': '6960fe05-f260-4884-a5bf-ddcabd8e03fc', 'route': ['p1', 'e12', 'i1', 'x11', 'p2', 'c2']}
1769450665.0902665,SENT,8205cd51-ac86-4995-a186-704dfa4140f6,163f73c7-246a-4ec4-b1d9-9dbde919f6e8,c2,DROP,2024,?,p2,
1769450665.0903897,CREATED,e9da7011-905b-42a0-8ead-368e15ed227e,c06025f6-dc41-4f9c-bf66-7e4c5c879f0f,c2,DROP,27,?,?,
1769450665.4510903,SENT,a6390893-dce4-47f9-8d53-1e46ad1fe4ac,4cb128a7-2f9c-41af-a40c-42dcb2ea9787,c2,c1,3396,?,p2,
1769450665.451244,CREATED,2ce59c04-1024-4114-add9-0fb48156b1c2,72fc4baf-781e-49b3-bf13-e419bf8a9a72,c2,c1,26,?,?,surb={'id': '791925c1-f503-4aa6-aadb-7f7687869b92', 'route': ['p1', 'e11', 'i6', 'x11', 'p2', 'c2']}
1769450665.8427773,SENT,924ce732-2952-4135-86c8-5fa322baa7fe,f9a2fd54-fb4f-4247-8b3f-d94d44bb989d,c2,DROP,2031,?,p2,
1769450665.8428833,CREATED,e65862d6-8497-4a5d-a148-76233096c014,92f76502-4e0e-4e9f-8be1-158509857ccb,c2,DROP,27,?,?,
1769450665.8793476,SENT,6d77c77c-4ffc-412f-bf80-7ba2f4c9282b,c5eab6c4-711b-4a67-ac02-73f148762d1c,c2,DROP,2023,?,p2,
1769450665.8794658,CREATED,de43e5f4-0cff-4d78-933e-5ba022a7a3db,1c49d12a-582a-44a3-84f2-35e9e8ead026,c2,DROP,27,?,?,
1769450665.9073532,SENT,815c06b2-c547-4453-9955-57204b7274fe,32d7ca4a-dd3d-4044-adfb-e07e4b7af9de,c2,DROP,2017,?,p2,
1769450665.9074717,CREATED,61171fbc-9c1b-4c61-a6fa-2a0c046e07a7,672b95b3-4bf7-4ee9-b21e-9aa49759aa7e,c2,DROP,27,?,?,
1769450666.495589,SENT,83e38215-3dc6-41c8-a4a3-8613f927f21b,5b5629a8-b0c5-466c-adf7-7881a004f8e1,c2,c1,3400,?,p2,
1769450666.4957411,CREATED,e92ce000-36a9-4334-81f3-b409bb8d0b52,979df636-ff66-40ab-b75d-50456fc0bae1,c2,c1,27,?,?,surb={'id': '4872b3c2-0522-450b-9139-2d46c1aee109', 'route': ['p1', 'e3', 'i8', 'x5', 'p2', 'c2']}
1769450666.8954768,SENT,d3777a82-f081-4daa-b753-f0278e53e502,1f4a63bc-3fa1-49fa-baaa-f084a9b51112,c2,c1,3391,?,p2,
1769450666.895627,CREATED,2750ec2b-7fb0-4e4b-a6bb-2ae7a2d95108,949ee9a6-7845-4142-92fb-843d60960426,c2,c1,27,?,?,surb={'id': '8a867067-9dd3-439e-a619-ccf0d0b3cf95', 'route': ['p1', 'e2', 'i12', 'x12', 'p2', 'c2']}
1769450666.9562066,RECEIVED,3caf6033-ac90-4f9e-8b6a-cf6983b4535a,946187fa-91b9-4126-bf57-a1d5121181f9,c1,c2,26,p2,?,surb={'id': '2b3855fc-eb33-40b2-9b43-cf30074dfb85', 'route': ['p2', 'e5', 'i12', 'x6', 'p1', 'c1']}
1769450667.013337,SENT,375cc7e3-747b-4dcd-8c7a-9145190953ce,da019d9f-3710-4182-9e0c-aa0d12d1ddec,c2,c1,3368,?,p2,
1769450667.0134683,CREATED,1f2f2367-c539-4e0c-a8b6-ba0ae299e95b,146d5486-0965-4f93-8bd6-cae51b5bd8a6,c2,c1,26,?,?,surb={'id': '1f4344cf-7262-46dd-aa34-b16de654e0aa', 'route': ['p1', 'e8', 'i7', 'x4', 'p2', 'c2']}
1769450667.1371331,RECEIVED,4bd8e9b0-a810-4eab-9ce9-89081bc3413a,1ca53249-e1cd-4d27-85df-f7fa4d1c698a,c1,c2,27,p2,?,surb={'id': 'd7cbc584-d071-4409-82e5-244de0292d7e', 'route': ['p2', 'e7', 'i5', 'x10', 'p1', 'c1']}
1769450667.7713268,RECEIVED,f0223f11-6bbe-422c-b4c6-d483244b8668,d4d55344-e3c6-4342-a8d5-88fe8f78c5aa,c4,c2,27,p2,?,surb={'id': 'fc582a34-ac19-4da7-bb84-0ded6ce191ce', 'route': ['p2', 'e6', 'i6', 'x11', 'p1', 'c4']}
1769450668.0676303,SENT,ec211b75-8efb-4471-b457-689f0363dd62,cc0a21ab-4af5-4cab-8ce6-49cf72d7d389,c2,c1,3364,?,p2,
1769450668.0678067,CREATED,f88191f1-2df9-4e36-96c4-39ecfa26b8af,21036428-5d71-4e54-b1d6-0a9d3a1bb3d5,c2,c1,27,?,?,surb={'id': 'd5e6e5a9-4c2e-4d0d-8f92-13e6bfad470a', 'route': ['p1', 'e3', 'i9', 'x8', 'p2', 'c2']}
1769450668.3448594,SENT,44836b8a-5094-4b74-bb54-ae5dc42f03db,177efb79-c9ce-4af3-b8d1-328375c2772e,c2,c1,3370,?,p2,
1769450668.3449924,CREATED,fd70e90b-ae0f-4128-8af5-d37510365943,d6a3ea98-f15d-4371-a4b7-e9b089756879,c2,c1,27,?,?,surb={'id': 'e9cd8234-0973-4eb5-8867-ee0864d8818e', 'route': ['p1', 'e7', 'i2', 'x2', 'p2', 'c2']}
1769450668.7347305,RECEIVED,7cff2154-b200-4c22-913f-e02807c25af4,2d001026-ed3f-404e-835a-9d7884cf5fbb,c4,c2,26,p2,?,surb={'id': 'd1c6b4a6-d557-4d28-a6a5-9200ed642432', 'route': ['p2', 'e2', 'i5', 'x12', 'p1', 'c4']}
1769450668.796189,RECEIVED,a249673e-b4c7-4c24-8f5f-226b6115ad0b,a0315f75-b60f-4e5e-a3af-d994dc6ce448,c4,c2,27,p2,?,surb={'id': 'edc3cbb6-82e0-4d69-89cb-9a7d12faecdc', 'route': ['p2', 'e4', 'i3', 'x8', 'p1', 'c4']}
1769450668.8662333,SENT,d2f31579-b6a2-4d86-92f9-b00088bc2d44,ed2bae06-c6cf-44df-8010-8000b34b3cc3,c2,c1,3379,?,p2,
1769450668.8663847,CREATED,13ddaf39-3803-42f1-9d5d-00fc75975f6a,8e04b477-33a0-4eb1-b3e7-c770aa6fc18a,c2,c1,27,?,?,surb={'id': '66589a41-c4c6-4639-9be3-8c8c90c56173', 'route': ['p1', 'e9', 'i6', 'x8', 'p2', 'c2']}
1769450668.8967407,RECEIVED,cbd8e896-354d-440c-b1d4-dcccfec3dcb5,2f0b6df7-1513-4dfc-b304-aaf2885a3348,c4,c2,27,p2,?,surb={'id': '12b9ad23-6a11-41ed-baac-2d61f364ae99', 'route': ['p2', 'e5', 'i6', 'x5', 'p1', 'c4']}
1769450668.9255478,RECEIVED,0b26db4c-3718-4d89-9b36-27f2f8829001,3c7279e8-70b8-48f5-bb39-6c05312faa3d,c4,c2,26,p2,?,surb={'id': '20c869b2-4a87-46b1-b2d3-5a0b55faa9e3', 'route': ['p2', 'e4', 'i11', 'x9', 'p1', 'c4']}
1769450669.021829,SENT,e7ce1376-1939-4770-b729-9305d0afc3d5,ad6ac45e-0c7a-41ab-a80b-9bb5b8a5e840,c2,c1,3395,?,p2,
1769450669.02197,CREATED,331b9fd6-c150-43fb-a869-0a0863d341f5,18c49687-d55c-43c1-b53c-595a53df8b02,c2,c1,27,?,?,surb={'id': '07d8eb64-76cb-405e-934c-d781b8dfbd03', 'route': ['p1', 'e8', 'i10', 'x8', 'p2', 'c2']}
1769450669.0406148,RECEIVED,ea8889f2-87b2-4b4d-a2f0-d5aaf043cf5b,d6f52ade-4d0c-4fcf-b299-e79a3c514e33,c4,c2,27,p2,?,surb={'id': '9cc4cfdb-aff9-4824-be55-f677e53801f1', 'route': ['p2', 'e9', 'i8', 'x7', 'p1', 'c4']}
1769450669.0639124,SENT,3d651da2-237b-41a0-bf16-d762d7a41b31,13cded40-2d14-48e5-874b-f2ba4310e90b,c2,c1,3384,?,p2,
1769450669.064085,CREATED,f2533c9d-d100-43b5-8131-1c43908857e3,b7ddc168-ca19-4021-9080-b5652c76a64f,c2,c1,27,?,?,surb={'id': '552a383a-77e2-4c63-bbc4-a94c8929fc44', 'route': ['p1', 'e12', 'i11', 'x4', 'p2', 'c2']}
1769450669.2147899,SENT,798d5b93-5976-4101-b22e-f6e0fe7493fd,d875b9c0-ad73-403f-a9fa-46bfdf57a1e8,c2,c1,3359,?,p2,
1769450669.2149224,CREATED,6e5c4d45-42fb-4817-872c-1dbce137f1c1,f5e492b8-29ee-40a7-9014-16258fc8693a,c2,c1,27,?,?,surb={'id': '04e4e3c3-8787-47bb-af0c-c38ae17c1d35', 'route': ['p1', 'e9', 'i8', 'x2', 'p2', 'c2']}
1769450669.3085024,SENT,eeec8146-0fdc-493f-adaf-2f2e28ad91e9,71f88c2d-24ba-44ec-a2a0-1ec0278f96be,c2,c1,3368,?,p2,
1769450669.3091824,CREATED,002f372e-4383-42d2-8340-71891dc1708b,d1f2e6b9-41a6-4be2-b1cb-c77bacbe712e,c2,c1,27,?,?,surb={'id': '86168c0e-d5aa-4ecc-b940-7504ba23e9d0', 'route': ['p1', 'e3', 'i1', 'x5', 'p2', 'c2']}
1769450669.5999966,RECEIVED,f36460e2-18e4-4617-9b57-582fe638c755,8c60614e-1f32-4af4-90fc-1b7abfd13da2,c4,c2,27,p2,?,surb={'id': '53ce3ee1-1cb3-4945-b327-921547530fcc', 'route': ['p2', 'e5', 'i10', 'x11', 'p1', 'c4']}
