timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769450664.712946,SENT,fe648760-4af5-40c8-b358-efcb014a4d68,ad6c28b1-dca2-403f-80e0-ae337edbe173,c1,DROP,2015,?,p1,
1769450664.7130966,CREATED,1b34dc7f-fb68-496c-afe3-28710c4ca833,886ebabd-9335-4a32-9008-825f8cf4c7c2,c1,DROP,27,?,?,
1769450665.0657053,SENT,1b5d104b-2e99-4244-b5b0-72c8054b62d3,ac967048-4209-4c25-b7ac-e39cc0e8132d,c1,c2,3371,?,p1,
1769450665.065859,CREATED,3caf6033-ac90-4f9e-8b6a-cf6983b4535a,946187fa-91b9-4126-bf57-a1d5121181f9,c1,c2,26,?,?,surb={'id': '2b3855fc-eb33-40b2-9b43-cf30074dfb85', 'route': ['p2', 'e5', 'i12', 'x6', 'p1', 'c1']}
1769450665.1248581,SENT,fc3b316d-d4bd-4f48-abe0-69798f42038b,a83df829-7468-4ca9-a9f5-8cfe93acc7fd,c1,c2,3363,?,p1,
1769450665.125007,CREATED,4bd8e9b0-a810-4eab-9ce9-89081bc3413a,1ca53249-e1cd-4d27-85df-f7fa4d1c698a,c1,c2,27,?,?,surb={'id': 'd7cbc584-d071-4409-82e5-244de0292d7e', 'route': ['p2', 'e7', 'i5', 'x10', 'p1', 'c1']}
1769450665.5312,SENT,fca2bf3f-b5c5-47fd-a808-8750d921db65,5ad8f9bb-5c52-4f20-9ce7-c61d97964fac,c1,DROP,2016,?,p1,
1769450665.5313358,CREATED,2baa19f1-92ed-4fd0-8b6f-7b30cd7b5ad0,fcd0a47b-25fb-4930-91ab-3ed6a2d40584,c1,DROP,27,?,?,
1769450665.819132,SENT,def5dbc8-67c0-4123-a4b4-a447eb0cdc9f,090d92b7-5c15-4b7d-b9e1-9d41e6b9f972,c1,c2,3364,?,p1,
1769450665.8192692,CREATED,cc822458-c15b-4c49-bbf1-f56bf931aa8a,d8836f13-8fd1-4a54-a614-74bdd8ba9c00,c1,c2,27,?,?,surb={'id': '747ae5bd-bbba-4bd2-b337-5735b986bf28', 'route': ['p2', 'e11', 'i6', 'x2', 'p1', 'c1']}
1769450665.9008276,SENT,16f8d43b-452a-4270-b2f0-db0fdfb831f9,a1661f23-7b34-4890-a767-024eb035186f,c1,DROP,2000,?,p1,
1769450665.9009438,CREATED,1219b885-aa84-472b-b3e3-7dca193418a7,b21b0624-f733-469f-bb7b-97db674db6b3,c1,DROP,26,?,?,
1769450666.0670817,SENT,73d570b7-5229-4998-91d1-864959ec9848,7773adcb-83bb-49af-ad59-ef59986dae33,c1,DROP,2027,?,p1,
1769450666.0674407,CREATED,d60ea497-23e0-4cdd-be8e-dbec879657b7,78b9f324-8b81-4979-8f2e-8c11530886f0,c1,DROP,27,?,?,
