timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769458684.3448381,SENT,084cce8c-6ba6-4cfe-9c02-985470ea96ee,f1bb61ef-0fe9-4172-984f-1cfb79462aae,c3,DROP,2031,?,p3,
1769458684.3449793,CREATED,d66f9f5c-2cf6-4b9e-9fa3-f7f6633da562,9b752ac5-0223-46d6-9d04-77966577c0f8,c3,DROP,27,?,?,
1769458684.4777694,SENT,ffb21eb9-373a-459a-a4c3-1b8ff9b2c593,bc7c2d3e-594d-4215-b96f-f51ba835d392,c3,DROP,2020,?,p3,
1769458684.4779046,CREATED,902f872e-5eea-4d63-8e7e-2568ca7e176f,6bfd6d88-21be-452a-b173-13ea7a5798ae,c3,DROP,27,?,?,
1769458684.527869,SENT,f506f5c5-35bc-4ad7-9658-5385e067afea,48a183f0-8eba-4e8d-bdcb-aa6b7968c99a,c3,DROP,2024,?,p3,
1769458684.5279982,CREATED,42d3f8bf-85be-47b0-86d5-b821f46ec6f7,86c4d0c3-3416-47f7-b338-1f58cf65cb98,c3,DROP,26,?,?,
1769458684.5902748,SENT,ec1be81e-f27a-418a-8661-c54b92d5bdf8,19da42d8-46cc-4a1f-b1ed-2ee1e2b8b3e1,c3,DROP,2014,?,p3,
1769458684.5904076,CREATED,0532b80e-68de-493f-bad2-8fd5055370b7,5cf6e3b5-e23f-45ef-9ff3-345b74053966,c3,DROP,26,?,?,
1769458684.6389794,SENT,7f8848d5-2493-4c1f-b126-8721d267637d,e6ea31a7-c3cb-4ee2-90bb-cf82490f1623,c3,DROP,2015,?,p3,
1769458684.6391416,CREATED,3e437a60-4c96-4712-9e48-9e17ee78df48,6f55dea0-276a-4839-a97b-51de6d8e293c,c3,DROP,27,?,?,
1769458685.06574,SENT,dffc50fa-e862-4878-a0a6-c3a68aa782fd,0892329c-ce8e-4962-8431-1e0fe0fc2b7b,c3,c4,3380,?,p3,
1769458685.065891,CREATED,76e5d1ba-a01a-4fd5-8d44-409bde508d2b,6ddbdfb9-69ee-409c-9e7c-7c483db2e4bc,c3,c4,27,?,?,surb={'id': 'da189a77-300a-4bac-a4bc-18862ea547c5', 'route': ['p1', 'e4', 'i1', 'x4', 'p3', 'c3']}
1769458685.4715552,SENT,82af99fc-9a01-447c-8ec9-7654e2841ceb,7fecf2bb-4b76-45cd-90ab-f90b8b15d961,c3,c4,3388,?,p3,
1769458685.471707,CREATED,12c111f5-e8c4-41b8-84d2-ef15f4c0b6e6,3c987ff7-c99c-483d-b6f5-8bd170208fca,c3,c4,27,?,?,surb={'id': '84087e60-6ea4-4cef-9199-1477f92fd92c', 'route': ['p1', 'e1', 'i12', 'x6', 'p3', 'c3']}
1769458685.8024597,SENT,73745f5c-5c2e-4b75-85a4-a2f8d935fe0b,51b8090a-a938-4ea3-bb25-6a1936e9454a,c3,c4,3392,?,p3,
1769458685.8026092,CREATED,777a836e-8d05-41bd-a5e5-77c4076ff2e4,fd9cabd8-f3d1-45fa-b100-0e293a1ea0e6,c3,c4,27,?,?,surb={'id': '754ec447-b90d-45ed-bbef-5afeba9b67c2', 'route': ['p1', 'e1', 'i3', 'x6', 'p3', 'c3']}
1769458685.8176074,SENT,5bc93eaf-8a30-4c63-a6ff-f75efb9d244e,b22c34da-1e73-4873-a0f8-7dd8c7fafe70,c3,DROP,2023,?,p3,
1769458685.8177383,CREATED,3a75c54f-0534-4282-90d1-05383b9289f8,99a16900-8e6c-4b9a-b490-5a4d3fe4266b,c3,DROP,27,?,?,
1769458685.9682093,SENT,3336c897-30db-4368-bf65-41ded3d972bb,f32966a0-34bb-4e9c-9fb8-92fa34e016b2,c3,DROP,2015,?,p3,
1769458685.968344,CREATED,06ec14e5-dc0c-4e85-b042-2099a1dcfb35,c84556e0-0592-4fa5-89da-5cb35b8a7c82,c3,DROP,27,?,?,
1769458686.8096354,RECEIVED,c8a9917a-3a2c-4c8f-8b4f-df21e7ebaf5b,e410cad6-afbd-4d0a-99b7-29f9008a49a4,c4,c3,27,p3,?,surb={'id': '4dbc228f-41e9-40e2-972c-8a0c8e855811', 'route': ['p3', 'e1', 'i6', 'x4', 'p1', 'c4']}
1769458686.839978,RECEIVED,716273ab-bf2d-4be0-a706-0d251a7d565b,149fcaa4-5f39-4961-a35d-e4e7810cb39c,c4,c3,26,p3,?,surb={'id': 'ec97a21d-216c-4874-b1be-b6898722c438', 'route': ['p3', 'e11', 'i3', 'x12', 'p1', 'c4']}
1769458686.8521338,RECEIVED,7b18a8b0-9a9f-44a7-9099-d5b51a822827,e189be99-2d25-494a-b6f9-0f79a88c602c,c4,c3,27,p3,?,surb={'id': '47c6e214-2cf5-48c9-a03c-8f7c28a4d229', 'route': ['p3', 'e2', 'i7', 'x11', 'p1', 'c4']}
1769458686.8789785,RECEIVED,f32b8cd8-1023-4ca3-8c10-032201637138,6ebc9ed3-4a1b-4cbb-aa81-f59a206a7afd,c4,c3,27,p3,?,surb={'id': '675d7b56-9b48-4b2b-8e17-1a3f532fc34f', 'route': ['p3', 'e8', 'i11', 'x6', 'p1', 'c4']}
1769458686.8861485,SENT,4de9c5bc-c7e4-4424-b2dd-ff55f2841314,4462c5df-83b0-4fed-9fbb-9ff2100cf692,c3,c4,3380,?,p3,
1769458686.8863,CREATED,95aeb495-cde7-492a-943e-3ac5471d2ac8,3c852516-503b-44dd-b4d2-fd46e54f9e69,c3,c4,27,?,?,surb={'id': 'e07cc25e-cb7e-4620-86f7-bdd553b01078', 'route': ['p1', 'e2', 'i2', 'x11', 'p3', 'c3']}
1769458686.976113,RECEIVED,ae75b946-a69f-4ec8-9757-038535da451b,1f9a88fc-6a61-4457-9c50-cfe383da2beb,c4,c3,27,p3,?,surb={'id': '9d7388b7-16d9-4a20-95c5-95594be17d7b', 'route': ['p3', 'e8', 'i2', 'x7', 'p1', 'c4']}
1769458687.0007806,SENT,86c5a272-0fba-47b1-a02f-1a33aba7e041,9c1bcd4a-cd53-47f6-968a-5951d19b2567,c3,c4,3380,?,p3,
1769458687.00093,CREATED,59fac20e-e4b2-4ca0-989a-5eb17b1ad6f1,0fa4a880-1cc7-4b81-b28a-e67d314ca8bc,c3,c4,27,?,?,surb={'id': 'edcf3d71-cc34-49c1-8959-6d791f507ff6', 'route': ['p1', 'e5', 'i4', 'x11', 'p3', 'c3']}
1769458687.0108654,SENT,c0b7f6ea-0820-4d81-8387-fc2296118c45,3411d1bf-d25c-4393-bd8b-7ef008aa85b2,c3,DROP,2016,?,p3,
1769458687.0109978,CREATED,2f81439f-4e07-45c9-83bc-47784125583b,e361a615-2354-4e84-bb4c-7ae5adc8edcb,c3,DROP,27,?,?,
1769458687.3121424,SENT,ba367c2c-a1b0-4b3e-b04e-43cbaf1e9fd8,4f103e35-8a36-4939-af23-98f53af6aede,c3,c4,3388,?,p3,
1769458687.312296,CREATED,fd48547a-f40c-4d42-8cbd-ec41cd52072b,5b9d1919-754d-49b7-b1d0-85f4efdac4fa,c3,c4,27,?,?,surb={'id': '77baffd4-74bf-45ee-a98f-bb16dd5d0cbf', 'route': ['p1', 'e5', 'i1', 'x9', 'p3', 'c3']}
1769458687.3679335,SENT,9309ff90-be42-4504-8de4-09359f8e8d70,6c4148bb-c0c0-4560-aebb-1fc6034ea7bb,c3,c4,3385,?,p3,
1769458687.36811,CREATED,1b7bafae-e1dc-4237-a753-38c8082ccc88,5996dd75-bf0f-4167-b502-978a5f127947,c3,c4,27,?,?,surb={'id': '46afd31f-c02a-45f4-912d-38b9290f6a95', 'route': ['p1', 'e4', 'i11', 'x12', 'p3', 'c3']}
1769458687.7978644,SENT,f8162e4b-dae1-4dd0-a95b-b9eaebda9424,8fd8e2e1-b73c-4e12-ac93-64070feb7eae,c3,c4,3359,?,p3,
1769458687.7981315,CREATED,04c19102-ff95-4070-b594-fa5f3d96d85f,03853e13-136d-4165-8be7-4d7cb1713e8c,c3,c4,27,?,?,surb={'id': '56fb8258-3c17-4dc0-aef7-dfe97da8760c', 'route': ['p1', 'e4', 'i11', 'x9', 'p3', 'c3']}
1769458687.8865964,SENT,c2a4323a-b54f-4066-bd0a-7defecfe06f2,39580904-efae-4d2a-9fe6-23bf6228f136,c3,c4,3400,?,p3,
1769458687.886735,CREATED,8affb1a7-2091-45f1-8be7-6c944dc4c68d,0fa72cfd-db3b-4480-9fb2-bb06a39e4b96,c3,c4,27,?,?,surb={'id': '5b06a53c-7127-44b8-b665-d480289fb92d', 'route': ['p1', 'e11', 'i8', 'x2', 'p3', 'c3']}
1769458688.084158,SENT,31699c5a-7b47-41ba-8190-43aa6d9afef5,10655432-1c4e-4a91-8f11-2da5124ae6d4,c3,c4,3396,?,p3,
1769458688.0843096,CREATED,f8a25645-7f1d-4147-90cb-d7a3a19f8169,8f879061-1284-4108-b92c-35566fcefabc,c3,c4,27,?,?,surb={'id': '51befea6-ac23-45d0-97cc-c92b8da09443', 'route': ['p1', 'e2', 'i11', 'x2', 'p3', 'c3']}
1769458688.1030092,RECEIVED,baf64cf0-a8e0-4ada-94eb-87f0c44c1857,31a3877a-35f4-4801-8256-350dc1cafc99,c4,c3,27,p3,?,surb={'id': '711d899c-5a7e-43ff-85f8-6eaaab65fbac', 'route': ['p3', 'e10', 'i12', 'x12', 'p1', 'c4']}
1769458688.1054366,SENT,418e0398-e8b6-4efa-9adb-2d844b538edd,05a908dc-1e36-404b-8a36-9817439f30ad,c3,DROP,2024,?,p3,
1769458688.1057086,CREATED,f3928ed6-d454-4046-a796-d6dd6947be46,64db152e-2884-4460-ab50-e41198a0f577,c3,DROP,27,?,?,
1769458688.5173464,RECEIVED,a7945476-f3a2-4e77-ac15-ebac99a15326,558a031b-c4fd-4a3d-a096-ecf0bb15b1b9,c4,c3,27,p3,?,surb={'id': '43faf52b-0dc2-467c-9570-8d02b43ed3b4', 'route': ['p3', 'e7', 'i5', 'x10', 'p1', 'c4']}
1769458689.0228078,RECEIVED,320fe6b0-9f48-4d52-bcdd-a9ff83e60aa3,64b7a55c-1902-43d5-93b0-c249032ff193,c4,c3,27,p3,?,surb={'id': 'e2232715-18ad-465b-ba34-e47bb43e3f35', 'route': ['p3', 'e2', 'i3', 'x11', 'p1', 'c4']}
1769458689.1666722,RECEIVED,d1a16632-43ed-4a46-8367-5a12727faf6b,4b3579e5-a213-4422-9db9-b72ac0813a83,c4,c3,27,p3,?,surb={'id': 'a2308433-5f30-48ec-aa26-d7be37f698a8', 'route': ['p3', 'e3', 'i8', 'x2', 'p1', 'c4']}
1769458689.6915236,RECEIVED,2b1c05fc-2707-483c-9b9e-a92b00a59277,93c21051-2243-4f7a-bfb0-7d9a33b25f34,c4,c3,27,p3,?,surb={'id': 'abbafbf7-5af1-4978-8269-a4b744d3243e', 'route': ['p3', 'e7', 'i8', 'x5', 'p1', 'c4']}
1769458690.0724342,RECEIVED,09f48dde-60b0-4bdb-ab2a-106642cdbd7c,76802bda-cfa5-4506-9a77-249b851728cc,c4,c3,27,p3,?,surb={'id': 'ccc3e88e-ac62-4f3b-934c-27a981f17774', 'route': ['p3', 'e8', 'i5', 'x7', 'p1', 'c4']}
1769458690.25639,SENT,c1804eed-63ef-470d-bb3f-24d50d9c31ba,c049d641-af82-4d0a-a472-2a064d941420,c3,c4,3384,?,p3,
1769458690.2565365,CREATED,bc65b59d-f965-4abd-9846-ee6862779fa8,8b86c2bb-e63c-4283-95ba-ab1576d545b4,c3,c4,27,?,?,surb={'id': 'a07ecc29-8668-423b-9e5f-db016c3dbf82', 'route': ['p1', 'e7', 'i6', 'x4', 'p3', 'c3']}
1769458690.3420136,SENT,d722c5e7-e1ab-43c0-8966-2fd1b2413598,2f811785-064b-437a-9d76-9688c3e9a61d,c3,c4,3380,?,p3,
1769458690.3422048,CREATED,11e747a5-2c76-4644-a304-9014018102ae,e4f89bf3-50b3-48f9-83e0-d428a4c3a3e0,c3,c4,26,?,?,surb={'id': 'd2bab697-404c-45eb-a598-4e26f3810568', 'route': ['p1', 'e8', 'i5', 'x3', 'p3', 'c3']}
1769458690.5813944,RECEIVED,f7144790-b32c-4964-9d51-ef2b6f3ca1ce,465e5287-1084-4e7f-8ccc-b3b48f44e974,c4,c3,27,p3,?,surb={'id': '802cd334-a836-4ac6-972c-e8a5ca37cf38', 'route': ['p3', 'e2', 'i11', 'x8', 'p1', 'c4']}
1769458690.618754,SENT,e640a7d2-cddd-4b0f-88ad-f9ce1dfd1a0e,110471d2-256d-4c37-824f-46dff54cf276,c3,c4,3403,?,p3,
1769458690.6189013,CREATED,be21511b-e1a0-4d0e-bbfb-429085e7559a,de5b7bfa-b688-4ca7-85f7-fbfd1525837d,c3,c4,27,?,?,surb={'id': '0f8233c2-3c47-45f8-b29e-22a37ee94536', 'route': ['p1', 'e7', 'i4', 'x2', 'p3', 'c3']}
1769458690.674739,SENT,61fff459-fa6b-42fd-ab51-a5541a464a32,119822bb-0732-4af6-bcf9-0f73d82dfc4c,c3,c4,3370,?,p3,
1769458690.6748893,CREATED,920249c5-00dd-4d88-adda-38cccff13e09,76fe039d-dba8-45ac-a08f-a9e79b586fd9,c3,c4,26,?,?,surb={'id': 'cbff486e-0ac8-405e-bb98-bded81d76e30', 'route': ['p1', 'e3', 'i3', 'x2', 'p3', 'c3']}
1769458690.8409982,SENT,f67e037d-30f7-41fa-861d-44b3f0af8f99,3805496e-0714-4f60-8efd-6f662bb992f6,c3,c4,3386,?,p3,
1769458690.8411696,CREATED,dce7b238-8e26-4ff1-a241-e18c5e73f6a7,ffa9b59f-c640-46ba-94b0-2aa9d05d1d30,c3,c4,27,?,?,surb={'id': '4985f4d3-7521-4689-97fc-6762cb70c519', 'route': ['p1', 'e8', 'i10', 'x7', 'p3', 'c3']}
1769458690.9894772,SENT,4fc62040-6b23-49c3-ad5b-8e244212a1d5,bfa288ec-d58f-4d53-a89c-199930c164fa,c3,c4,3380,?,p3,
1769458690.989628,CREATED,7f2ae3c4-5e09-4432-a046-493746b6214a,0766022e-c032-46b7-9820-8d11474efdc8,c3,c4,26,?,?,surb={'id': '31da0585-4207-40b0-a243-bfa575657591', 'route': ['p1', 'e1', 'i3', 'x3', 'p3', 'c3']}
1769458691.4924836,RECEIVED,8b589f15-d8dc-4d8c-918d-7f89a774123e,4ffda512-e4db-4b52-bdba-149eba17ff7b,c4,c3,27,p3,?,surb={'id': 'bee37ee2-7f90-4f82-be38-1479027ff69e', 'route': ['p3', 'e10', 'i1', 'x1', 'p1', 'c4']}
1769458691.5437307,RECEIVED,9a8497a1-ae44-4558-b31e-4993519ccf9a,a35e7401-51ae-4c8d-977c-4b22c37852b6,c4,c3,27,p3,?,surb={'id': 'cf5fa177-04b3-4f85-9f2e-e97e49743905', 'route': ['p3', 'e4', 'i10', 'x1', 'p1', 'c4']}
1769458692.0224497,SENT,f0b15bee-70fe-4c73-89d8-c9d61668e78a,490fbc58-1c83-4f43-bef8-3e7f0d357bff,c3,c4,3400,?,p3,
1769458692.0226004,CREATED,bb1f76da-1046-4d1a-85a2-eeb5a1c72856,ad856872-3c0f-4a68-8afc-71472dfc91ae,c3,c4,27,?,?,surb={'id': '3b4a7b2a-541d-4c30-bf91-ac46017b61a4', 'route': ['p1', 'e7', 'i9', 'x1', 'p3', 'c3']}
1769458692.1772711,SENT,27873ee8-19b7-4faa-a501-c55c1fcf1560,cd50c3ba-9e04-46d7-bb6c-11a5c346d967,c3,c4,3393,?,p3,
1769458692.1774504,CREATED,5386210e-fddc-40ed-b5a8-8a2a9913d1cc,be5b58f2-2055-496a-9e86-80a197977946,c3,c4,27,?,?,surb={'id': 'e9aee83e-be0a-4ccc-8f14-741053ce573e', 'route': ['p1', 'e11', 'i9', 'x6', 'p3', 'c3']}
1769458692.909233,SENT,17716006-2fe5-451b-b630-87c7cf9280cb,79ffb685-3332-44df-be15-95d8b5e9336e,c3,c4,3400,?,p3,
1769458692.909388,CREATED,6be3c0da-d1b1-46d3-aa60-81d5e93ab212,b1d9c5d4-d7d0-47c2-9c1f-b9e8f30cd0d6,c3,c4,27,?,?,surb={'id': '98a07496-a868-497e-a45e-289f0165ce70', 'route': ['p1', 'e4', 'i10', 'x6', 'p3', 'c3']}
1769458693.0803487,SENT,334eeec1-bb2e-48bc-8fda-e0234303fed5,7fce7663-3147-490a-b5d6-9275756a424e,c3,c4,3382,?,p3,
1769458693.0811734,CREATED,b6d9e538-9e2a-4e94-9dab-68fa8c40b14d,de162bfb-d3c4-4e71-9ad5-a43b498595f0,c3,c4,26,?,?,surb={'id': '659508f9-f583-4932-8eb1-d9d36da7461f', 'route': ['p1', 'e1', 'i6', 'x10', 'p3', 'c3']}
1769458693.146485,RECEIVED,7d73e330-f7a5-4295-afe6-eebd21061e9c,cb9695ed-6627-4c6a-93d0-1c13caed587f,c4,c3,26,p3,?,surb={'id': '5a752521-ee2a-4e1e-a624-4ba5e748621c', 'route': ['p3', 'e9', 'i3', 'x12', 'p1', 'c4']}
1769458693.1524258,SENT,743e0c00-6534-4658-bfae-acde6ef00b60,28993a1f-a8fc-4fdc-8cf1-41dac9a0613b,c3,c4,3396,?,p3,
1769458693.1525755,CREATED,ea8304e7-8adb-463f-bf39-09cf764461c5,9092d0a8-53d2-4781-8398-d6f649bbe6b7,c3,c4,27,?,?,surb={'id': 'b7209d21-0acd-4190-8684-2abbd591aab7', 'route': ['p1', 'e12', 'i2', 'x6', 'p3', 'c3']}
1769458693.1895728,RECEIVED,c6b797db-582e-4f19-8002-9f9bee9a638f,58f006ad-2419-4a69-9706-afb9c96b2575,c4,c3,27,p3,?,surb={'id': '54267d02-3224-45f0-bcce-eb038f821900', 'route': ['p3', 'e4', 'i1', 'x2', 'p1', 'c4']}
1769458693.322735,RECEIVED,af5013e0-bb4c-412e-96cb-74e4c6b79244,ef89229f-df2b-4a38-ae6e-555117d573f4,c4,c3,27,p3,?,surb={'id': '862f75cc-6eb4-469b-8fed-a19e7c5ad09a', 'route': ['p3', 'e8', 'i11', 'x7', 'p1', 'c4']}
1769458693.586686,SENT,383b74d6-1e3e-4498-9a1a-c173c35b47fd,8a0bbe52-61f2-47fe-a839-e60322e7b880,c3,c4,3379,?,p3,
1769458693.5868351,CREATED,3cae4504-f7ae-4afb-a6ee-22e3c9a22448,4e6c6546-8f62-4cdf-ac89-8fcf21abb5b1,c3,c4,27,?,?,surb={'id': '82726f9d-f56b-4a58-8bec-74bc2696583b', 'route': ['p1', 'e4', 'i11', 'x5', 'p3', 'c3']}
1769458693.9594784,RECEIVED,3c3e4cfc-f516-403e-8979-72de1c0212a6,80ea167a-01c0-472a-a1cd-b79990bbc905,c4,c3,27,p3,?,surb={'id': '1c7f220c-f7c6-4a89-aacd-b31594486df6', 'route': ['p3', 'e12', 'i12', 'x9', 'p1', 'c4']}
1769458694.1072128,SENT,d8f14a29-8098-4100-91a6-5bd977792cd1,f41052d8-b4fc-41f4-ac2a-67a2e641a45a,c3,c4,3399,?,p3,
1769458694.1073623,CREATED,541bfc3b-7205-4863-9dc0-43d2d39f5a66,5282938a-1ba4-4036-8718-28584f7d1a5a,c3,c4,26,?,?,surb={'id': 'a8c66ce4-e4d6-445e-b52c-2ed7fc4f6955', 'route': ['p1', 'e7', 'i10', 'x4', 'p3', 'c3']}
1769458694.163871,RECEIVED,15cd4509-61e5-4201-a8d5-6dde86f90d48,d17ade69-747b-44a6-83ca-15a74543d74c,c4,c3,26,p3,?,surb={'id': '871b91ca-031a-4321-b85d-5b950422a5e1', 'route': ['p3', 'e7', 'i10', 'x2', 'p1', 'c4']}
1769458694.573334,RECEIVED,69257ef9-4cb4-4d92-b166-8d83e69a3a94,b25844f2-5324-4a5f-9194-c65ebd2d5a09,c4,c3,27,p3,?,surb={'id': '5b65612b-4716-48d6-9070-e2e9e2b29f44', 'route': ['p3', 'e3', 'i10', 'x9', 'p1', 'c4']}
1769458695.1136453,SENT,694f449f-7b10-461a-a43f-d6c9a9661e2e,abe2fbfa-f9c5-4c62-a17c-03732e637edf,c3,c4,3379,?,p3,
1769458695.1137915,CREATED,3add35e1-d3d3-4fee-93a5-1010cd126ab1,667d6b07-fb9d-475a-a429-679e247d54a7,c3,c4,26,?,?,surb={'id': 'dfb7c808-d771-4f72-9a79-f68356289f9b', 'route': ['p1', 'e10', 'i5', 'x3', 'p3', 'c3']}
1769458695.1713893,RECEIVED,463466e4-7b59-4123-9655-bf61d1cafe17,4fff5a70-f519-46c6-9aaf-564e795fdc81,c4,c3,27,p3,?,surb={'id': '87393eee-2833-4e25-aced-6e7a83863d30', 'route': ['p3', 'e10', 'i3', 'x7', 'p1', 'c4']}
1769458695.1885526,RECEIVED,3531e48f-eae5-4dc3-816b-27d7a402c850,abc83466-0157-4712-87e2-df9cea1a9d18,c4,c3,27,p3,?,surb={'id': '01a48328-9bd1-43dc-a87c-f8c48d9c9c66', 'route': ['p3', 'e11', 'i5', 'x5', 'p1', 'c4']}
1769458695.2003038,RECEIVED,2e6d7047-de8a-4384-94fc-98bf3c2aa773,1de66434-01fc-4a46-83d6-2b8020833539,c4,c3,26,p3,?,surb={'id': '9030d00d-6de0-4a87-a073-726ca1320bfd', 'route': ['p3', 'e8', 'i11', 'x9', 'p1', 'c4']}
1769458695.8669267,SENT,4658ea2a-dfdd-40fc-b203-309490d1a9c8,62e317b8-81cc-4de0-81b5-805b38dfbd7f,c3,c4,3376,?,p3,
1769458695.8670273,CREATED,3ad14079-6d23-4d61-934a-5afc4ef645be,d2d58935-6dd0-4650-bfe1-7b30cf8f23b4,c3,c4,25,?,?,surb={'id': 'f0540bf4-2162-4586-a9e8-b8f8fe2f532f', 'route': ['p1', 'e5', 'i9', 'x8', 'p3', 'c3']}
1769458695.9367151,SENT,f5e6d293-3a39-463f-ae25-07b50a592f07,37e1f573-c5f3-4c01-b162-4d0637a64162,c3,c4,3388,?,p3,
1769458695.9367738,CREATED,934ae7dc-d843-4dab-8876-62b9d8251afc,fec22841-71aa-4faf-9f4d-4b05e9d96d67,c3,c4,27,?,?,surb={'id': '2f19a8f1-386f-4f91-9a0e-1e6d7418a065', 'route': ['p1', 'e11', 'i7', 'x10', 'p3', 'c3']}
1769458696.4121318,RECEIVED,0db88260-f1cf-43a3-af17-1ff755730c46,d1002e26-67ab-4fbd-b71a-cda1f67c10d5,c4,c3,27,p3,?,surb={'id': 'c9ac9f13-5b27-4467-a9da-803efed58494', 'route': ['p3', 'e11', 'i11', 'x9', 'p1', 'c4']}
1769458696.4825034,RECEIVED,cb8b3ed6-c2f4-4e1c-ac87-f9e66f0abd20,2147fa8e-5a7a-4fbe-a522-d53c91187ab2,c4,c3,27,p3,?,surb={'id': 'c18d79a6-49d0-4f2b-9236-5c289f9dbf27', 'route': ['p3', 'e6', 'i9', 'x6', 'p1', 'c4']}
1769458696.6112595,RECEIVED,672c7c31-f755-4be7-90c1-c20519221795,22617dce-3f12-47e5-9e8c-77cdd1bb5431,c4,c3,27,p3,?,surb={'id': '633e868c-3269-49ff-97e5-1379e670dab4', 'route': ['p3', 'e2', 'i12', 'x2', 'p1', 'c4']}
1769458696.6576703,RECEIVED,7b42723e-8cbf-4551-90e1-13c34c7f7b33,49f363cd-6e0e-4a51-bcc8-14d32787b9b7,c4,c3,27,p3,?,surb={'id': '16ce224e-fd9f-46d6-90bb-eb659d871bf0', 'route': ['p3', 'e5', 'i9', 'x8', 'p1', 'c4']}
1769458696.7334514,RECEIVED,34494991-b72a-4f11-bf61-df42523f4f86,ccf5cc46-b838-49c4-9f67-1c18f4420cba,c4,c3,27,p3,?,surb={'id': 'db5681ec-c22d-454b-a7f7-673960cee66c', 'route': ['p3', 'e6', 'i3', 'x12', 'p1', 'c4']}
1769458696.8743784,RECEIVED,05011331-3c9f-416d-afe4-c671cfa0804e,851e6ee3-0ed6-4086-8308-d375aa611d70,c4,c3,27,p3,?,surb={'id': '5e4af6fa-52c9-41ce-aa63-6d836c0136f1', 'route': ['p3', 'e2', 'i1', 'x12', 'p1', 'c4']}
1769458696.909989,SENT,6f0896bf-2495-4cda-a6ef-44e3a4be7a05,d9fcaa1d-132a-4a65-8593-9fffb86788d9,c3,c4,3359,?,p3,
1769458696.910214,CREATED,56c19155-4750-42fa-92cc-1050c06ca1aa,2c837b9e-7322-4240-b741-36e7763da734,c3,c4,26,?,?,surb={'id': '498aa25c-e426-46d2-a637-10f08f5cf816', 'route': ['p1', 'e8', 'i12', 'x8', 'p3', 'c3']}
1769458697.0624945,SENT,046bd223-8304-40d9-a967-d7aacf1888f8,de4377ce-c36e-4d02-845b-97ad44be8cad,c3,c4,3392,?,p3,
1769458697.0626557,CREATED,3e9b4726-45d8-44f3-abe0-5d852648f810,6c579cc5-68ce-4758-a3f1-763114daad44,c3,c4,27,?,?,surb={'id': 'bd85d8b6-f156-4702-b167-5a7acc9339a4', 'route': ['p1', 'e8', 'i11', 'x9', 'p3', 'c3']}
1769458697.1208282,SENT,a86688cb-9f15-419b-9ec2-888d25438337,4e91848a-dedc-4f59-9382-173bc8794c2d,c3,c4,3398,?,p3,
1769458697.1209764,CREATED,b2f150f8-1473-4714-90be-86dc2dd47d25,720f2ab2-c9c7-4414-a756-0017a562a7b4,c3,c4,27,?,?,surb={'id': '42c401c5-4e16-4b04-bcb7-06d894a5c607', 'route': ['p1', 'e12', 'i1', 'x11', 'p3', 'c3']}
1769458697.1558356,RECEIVED,54dcaa83-536b-469c-aa49-98592e5531ed,69210979-4f53-4ab5-bbb0-f13e8c1066c6,c4,c3,27,p3,?,surb={'id': '4cc7701a-40db-4c43-a2a6-f26c0d6c98c0', 'route': ['p3', 'e1', 'i10', 'x11', 'p1', 'c4']}
