timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769458684.659564,SENT,854e457b-8349-4f85-920a-e9f6a6e68887,8a9b9b26-41b2-45a7-b7c6-68c91fba3036,c4,c3,3400,?,p1,
1769458684.6597404,CREATED,7b18a8b0-9a9f-44a7-9099-d5b51a822827,e189be99-2d25-494a-b6f9-0f79a88c602c,c4,c3,27,?,?,surb={'id': '47c6e214-2cf5-48c9-a03c-8f7c28a4d229', 'route': ['p3', 'e2', 'i7', 'x11', 'p1', 'c4']}
1769458684.804479,SENT,17ea3a13-e5ba-4590-8238-546c2ef8fe4f,068287fb-ae23-48e8-8cb4-e90b14405e38,c4,c3,3372,?,p1,
1769458684.8046591,CREATED,c8a9917a-3a2c-4c8f-8b4f-df21e7ebaf5b,e410cad6-afbd-4d0a-99b7-29f9008a49a4,c4,c3,27,?,?,surb={'id': '4dbc228f-41e9-40e2-972c-8a0c8e855811', 'route': ['p3', 'e1', 'i6', 'x4', 'p1', 'c4']}
1769458684.879142,SENT,75a64eec-2423-4ca0-8fdc-4fe96174d1d0,9727883b-a83c-4b8c-babd-e01b3c16394b,c4,c3,3399,?,p1,
1769458684.879292,CREATED,f32b8cd8-1023-4ca3-8c10-032201637138,6ebc9ed3-4a1b-4cbb-aa81-f59a206a7afd,c4,c3,27,?,?,surb={'id': '675d7b56-9b48-4b2b-8e17-1a3f532fc34f', 'route': ['p3', 'e8', 'i11', 'x6', 'p1', 'c4']}
1769458684.997392,SENT,1e9897d5-2677-40e1-8052-0bed721ffc8b,91c05fa4-1ba2-4cda-82e8-f71a307c5fea,c4,c3,3378,?,p1,
1769458684.9975412,CREATED,ae75b946-a69f-4ec8-9757-038535da451b,1f9a88fc-6a61-4457-9c50-cfe383da2beb,c4,c3,27,?,?,surb={'id': '9d7388b7-16d9-4a20-95c5-95594be17d7b', 'route': ['p3', 'e8', 'i2', 'x7', 'p1', 'c4']}
1769458685.0450792,SENT,ec7778f1-dcc3-4826-8a1c-464e10934bc9,69f18db0-088b-464d-8269-a95ac5934610,c4,c3,3400,?,p1,
1769458685.0452597,CREATED,716273ab-bf2d-4be0-a706-0d251a7d565b,149fcaa4-5f39-4961-a35d-e4e7810cb39c,c4,c3,26,?,?,surb={'id': 'ec97a21d-216c-4874-b1be-b6898722c438', 'route': ['p3', 'e11', 'i3', 'x12', 'p1', 'c4']}
1769458685.6626852,SENT,e85b3525-e945-4238-89f8-f22e80cc49c4,a8ce8709-73c9-449e-a5b1-e6a8e0fb9a7f,c4,c3,3384,?,p1,
1769458685.663132,CREATED,d1a16632-43ed-4a46-8367-5a12727faf6b,4b3579e5-a213-4422-9db9-b72ac0813a83,c4,c3,27,?,?,surb={'id': 'a2308433-5f30-48ec-aa26-d7be37f698a8', 'route': ['p3', 'e3', 'i8', 'x2', 'p1', 'c4']}
