timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769731263.1170928,SENT,ad7b6fa7-1ea8-4096-ac3d-ad278fa75d54,43dcf3b9-532d-4933-93c3-4e15847af5e9,c1,c2,3376,?,p1,
1769731263.1172574,CREATED,d766a0c4-7a36-4b32-9df7-df7f820a54d1,fd39b281-f7bf-42a7-92ce-37ef4fc87f7e,c1,c2,27,?,?,surb={'id': '99118f2e-e225-4510-bd6b-032d226b2bac', 'route': ['p2', 'e4', 'i9', 'x5', 'p1', 'c1']}
1769731263.5796502,SENT,7fd263c2-392c-4a9e-8ebb-ed75552d9ac9,68378c1c-d803-48c1-8c90-6f72101d07f1,c1,c2,3384,?,p1,
1769731263.5798075,CREATED,c302f91a-08ed-4d47-a8f9-11f521795bdf,3efbb4e6-67b8-415d-aabb-2c0efec993e0,c1,c2,27,?,?,surb={'id': '1bcffec4-828d-4d98-952c-3882f159a94e', 'route': ['p2', 'e3', 'i12', 'x3', 'p1', 'c1']}
1769731263.7032719,SENT,50d86eac-2b0f-40e5-9662-2a5083b35298,7626a075-a2e8-461a-9cb1-01320234e083,c1,c2,3375,?,p1,
1769731263.7035708,CREATED,019d31d5-2b25-48b8-8898-8f48c2cee942,81d60472-0f0e-4c4f-a0c2-6fb9df925d27,c1,c2,27,?,?,surb={'id': 'b63e84da-9a3f-48d2-9216-b0654191e0e8', 'route': ['p2', 'e12', 'i1', 'x2', 'p1', 'c1']}
1769731263.8764322,SENT,3c4099cc-2404-4acc-a657-0eebd90d2c2a,1ea866b9-0589-40d9-9d6c-d863596b4872,c1,DROP,2016,?,p1,
1769731263.8765502,CREATED,eddcca67-ed1d-419e-9eae-da99a3a5b150,3910f2a7-40fa-45a9-9745-fc41f965d485,c1,DROP,27,?,?,
1769731264.2066905,SENT,bb3556f6-886b-4f32-a57b-d3ece438b9e6,32bd9494-d158-4c43-b6fa-9e168984f2bc,c1,DROP,2016,?,p1,
1769731264.2068255,CREATED,4926dbbc-ab79-4c36-8f33-19ce260ed213,c798ab7f-0140-4bb2-aef5-39284a5144b4,c1,DROP,27,?,?,
1769731264.8263056,SENT,b8106cc6-8f11-478e-95c7-2045b853fcc8,66cd909c-12c6-42fa-8a56-442ffa8eabe9,c1,c2,3364,?,p1,
1769731264.826454,CREATED,a300997c-948c-42c2-a014-88ec195eee3f,7300b803-e0a1-4281-b79f-661c3b9713eb,c1,c2,27,?,?,surb={'id': 'dcc32e4f-2125-4b6a-8ef3-000ac8377130', 'route': ['p2', 'e2', 'i1', 'x9', 'p1', 'c1']}
1769731265.2612512,SENT,89cf8b53-dba5-4d03-9873-1dfd8d820572,bd9fbfbb-6aee-4425-9404-8bb4f98a6898,c1,c2,3360,?,p1,
