timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769731266.4402547,SENT,4eb0c0fe-1e01-48d6-9d53-344de403bbe6,f6a4331e-2209-4326-b1af-869b98f02041,c2,c1,3359,?,p2,
1769731266.4404066,CREATED,1612091a-d480-4dae-9b94-acce51a22ef6,6ee2c3cc-07c7-46d4-917b-9d6f22a4029d,c2,c1,27,?,?,surb={'id': 'f69c7fdc-3d86-4185-82c6-7f135fc45f82', 'route': ['p1', 'e7', 'i3', 'x6', 'p2', 'c2']}
1769731266.5720935,RECEIVED,bf0d56c3-3e2f-4169-bd4a-513d2638f2b0,ce3235ff-25f7-4312-b3d9-ea4553f21ee8,c4,c2,25,p2,?,surb={'id': '6e082cf1-004d-47f6-a2ca-627b65765c4a', 'route': ['p2', 'e2', 'i2', 'x4', 'p1', 'c4']}
1769731266.6327722,RECEIVED,2a460825-a687-44fd-a0ba-2a3e9fc88629,8f74479d-20f3-4ced-b9a1-2395ea038220,c1,c2,26,p2,?,surb={'id': '9b90d6b9-1377-4163-8b9c-c835dca9a9e9', 'route': ['p2', 'e9', 'i1', 'x1', 'p1', 'c1']}
1769731266.7759972,SENT,e8ace02f-8eba-498f-9851-48bbfab3ec66,4b58a92e-7af3-45f0-9efb-1f4a9ebc61f8,c2,c1,3391,?,p2,
1769731266.7762773,CREATED,02487b9f-a915-44a2-83e8-a7d6d80d49e1,aa420c08-ebcf-428f-8af8-4807bd67c82d,c2,c1,27,?,?,surb={'id': 'ed00d55e-c2d1-4688-8041-c37f9d836bd5', 'route': ['p1', 'e8', 'i11', 'x11', 'p2', 'c2']}
1769731266.788615,RECEIVED,e009bdac-1649-4050-9952-60a7ebd103e9,276db3ff-e6e9-4da3-b705-e09a87ba7499,c4,c2,27,p2,?,surb={'id': '22b7d5db-5e33-4ecc-b7dd-814f4b15ee6a', 'route': ['p2', 'e8', 'i2', 'x2', 'p1', 'c4']}
1769731267.06124,RECEIVED,67487649-8d01-4852-bc01-28cf5899862f,77c661eb-a46c-495f-b027-c391d9378e32,c4,c2,27,p2,?,surb={'id': '5a4787e2-98c1-439b-bb7c-00b541158454', 'route': ['p2', 'e4', 'i5', 'x9', 'p1', 'c4']}
1769731267.339852,SENT,a938eb82-8193-451c-91c0-523e0bdc9677,5bc2987a-ef9d-4f5d-9bc3-a5170b5f00b1,c2,c1,3392,?,p2,
1769731267.3399982,CREATED,74a10140-9283-4b3f-adad-13248160b11b,6df7475a-5a61-447a-89d0-21b457367f92,c2,c1,27,?,?,surb={'id': '435dc4b3-0e64-4184-bf8e-82219b0dc2c2', 'route': ['p1', 'e11', 'i3', 'x6', 'p2', 'c2']}
1769731267.4439585,RECEIVED,342e17f4-0a33-43bd-9ccf-17772102c7c6,244072aa-2a09-466d-ae32-03c9351ebd32,c4,c2,27,p2,?,surb={'id': 'a31754ba-3d38-4e21-b0da-7d084ece3b5d', 'route': ['p2', 'e4', 'i1', 'x8', 'p1', 'c4']}
1769731267.5485845,RECEIVED,41e7b084-a7b8-40a6-9772-57deb637c430,9bba345c-8f7c-4df5-a467-8a6403356397,c1,c2,27,p2,?,surb={'id': 'f007e2da-56cd-4ccc-b630-08653c9b1c59', 'route': ['p2', 'e6', 'i2', 'x8', 'p1', 'c1']}
1769731267.6266847,RECEIVED,a300997c-948c-42c2-a014-88ec195eee3f,7300b803-e0a1-4281-b79f-661c3b9713eb,c1,c2,27,p2,?,surb={'id': 'dcc32e4f-2125-4b6a-8ef3-000ac8377130', 'route': ['p2', 'e2', 'i1', 'x9', 'p1', 'c1']}
1769731267.6340976,SENT,fafedb1f-1b3a-4053-b494-516ea9ec2045,65102390-5fc8-4563-9861-8aeebeb9285b,c2,c1,3388,?,p2,
1769731267.6342347,CREATED,30137a91-dcf0-46b3-8f2a-67ffca619899,4dc09096-4c7e-4a11-9680-088e6b86cd5f,c2,c1,27,?,?,surb={'id': '915f9133-8012-427b-bddd-70b13ac9a361', 'route': ['p1', 'e4', 'i2', 'x10', 'p2', 'c2']}
