timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769738667.7635834,SENT,96d30fd8-df06-4496-980d-aed1c703dfd2,0ce20001-2a9e-4a7f-acac-0f6855518612,c5,c4,3368,?,p2,
1769738667.7637582,CREATED,8aaa4253-d142-4740-a64e-6175e6662461,7fbde8ac-fc2e-4b77-84a9-bbaf329e2cd6,c5,c4,27,?,?,surb={'id': 'a9bcbd29-a3ea-40cf-af5b-b07caf0ce91a', 'route': ['p1', 'e1', 'i3', 'x3', 'p2', 'c5']}
1769738668.1831295,RECEIVED,c302a235-6898-4b85-a301-3f048e5a2449,d4038236-a65c-4b60-ba18-a500cf63c6b3,c2,c5,27,p2,?,surb={'id': '3f48fad4-53f9-443c-bebe-09fe93fa82cf', 'route': ['p2', 'e7', 'i1', 'x6', 'p2', 'c2']}
1769738668.5102236,SENT,2538c5cb-109a-4c66-aa9b-d98c84480f15,6bb85321-f718-4828-9379-850d62ad42ea,c5,c4,3376,?,p2,
1769738668.5103567,CREATED,2ee3f6b6-d6a9-4e58-94b6-2b80da3094cc,d1e2cc93-4f8b-4e09-ac24-b55385e49eeb,c5,c4,27,?,?,surb={'id': '6fcfafc7-b1b0-499c-ac95-ed29466c1f5d', 'route': ['p1', 'e9', 'i2', 'x2', 'p2', 'c5']}
1769738668.5811696,RECEIVED,d5c90c56-7b03-4796-bcb4-807db37bf23f,d64fb852-2be3-4fc0-8d71-e0a6dcbbc16a,c2,c5,27,p2,?,surb={'id': 'b7a2a972-dcaa-41b1-ba26-93f40b9ffd14', 'route': ['p2', 'e6', 'i2', 'x5', 'p2', 'c2']}
1769738668.5867627,SENT,0d6e897f-6631-488c-ac43-da9121116919,f0905b7e-9942-4b77-8ede-55e43af5675d,c5,c4,3387,?,p2,
1769738668.586898,CREATED,28b428f5-d10a-4059-9611-0a2d7331243e,09c4d4ab-c73c-4df1-a8d4-71141125d770,c5,c4,27,?,?,surb={'id': '4e9e8b13-fcec-4c1d-88f4-59cd5179a3f3', 'route': ['p1', 'e1', 'i7', 'x8', 'p2', 'c5']}
1769738668.7073095,RECEIVED,eb66ccb0-b4bc-4592-ab12-3c7bca9fd7bf,a03fdf70-b259-4aba-804e-2c7e34021b8e,c2,c5,27,p2,?,surb={'id': 'b9fc03b9-1235-4546-b652-4dc98244b068', 'route': ['p2', 'e6', 'i10', 'x6', 'p2', 'c2']}
1769738668.7656164,RECEIVED,944303d9-7ec1-4c43-a901-68637564f154,bb6faf80-12a1-4e2b-bdd3-5d3efccaf788,c2,c5,27,p2,?,surb={'id': '56032973-be3c-4951-b42b-684bc9a945d1', 'route': ['p2', 'e6', 'i7', 'x11', 'p2', 'c2']}
1769738668.8802657,SENT,66368d87-9c86-403a-854d-a415cf6b63d4,68371d80-e7c4-4877-b0a7-09d89caaab64,c5,c4,3376,?,p2,
1769738668.88047,CREATED,5f603203-3c3f-44c4-bdef-d020db4aa9d0,cccee3fd-a306-45b7-9f46-9ba792aa8180,c5,c4,27,?,?,surb={'id': '4932baa4-e44e-469c-857e-8e2c7ee4ffc4', 'route': ['p1', 'e1', 'i3', 'x10', 'p2', 'c5']}
1769738668.9757342,SENT,5afbed41-5331-4741-b1ac-107f2008ebd4,c215bec4-2082-469c-9492-b31d7c5c2f4b,c5,c4,3364,?,p2,
1769738668.975872,CREATED,ca8da6e3-c658-4e28-b60b-8ba2c757fa4e,81e95c60-1e40-44eb-8e8a-5766313cf2ee,c5,c4,27,?,?,surb={'id': '5cdbded8-d662-475a-97bb-f25eee4cfd16', 'route': ['p1', 'e5', 'i2', 'x12', 'p2', 'c5']}
1769738669.1369996,SENT,191e53a5-d078-4bc4-a038-314ffd78fc24,09dfb8e4-355a-4185-8ccd-a4e57594c749,c5,c4,3377,?,p2,
1769738669.137161,CREATED,1dfbd0d3-8800-47b2-ba31-29192f954b28,b9c4a09a-559c-4fe0-912a-d265acfbb0a8,c5,c4,25,?,?,surb={'id': 'c24bf947-6795-4224-a513-bfe7096eadd4', 'route': ['p1', 'e11', 'i3', 'x1', 'p2', 'c5']}
1769738669.2857058,RECEIVED,72ebacd7-72e8-44e6-886e-a4f6560c48bb,93ea2069-3346-46eb-9c84-91aa6dc07c6f,c2,c5,26,p2,?,surb={'id': 'ee3897c7-096b-4f13-b6d2-d50ddad01d1b', 'route': ['p2', 'e9', 'i9', 'x1', 'p2', 'c2']}
1769738669.4191134,SENT,b806af10-72db-4fd8-87a6-891a34fd3935,b9069377-d038-4a45-bd90-69635e12ab64,c5,c4,3383,?,p2,
1769738669.4192486,CREATED,e5d9624b-6484-47da-93c0-cfe6ebf6d170,3ad3971f-4f8e-458c-8b18-e8e729ea278e,c5,c4,26,?,?,surb={'id': '17a06342-90a3-4b36-b06e-64f4cdd637d1', 'route': ['p1', 'e11', 'i2', 'x11', 'p2', 'c5']}
1769738669.5578206,RECEIVED,e55783c2-0d7e-421a-8845-9913f43c3a5d,5d9a4f3d-0053-4f02-944e-df88a6285f59,c2,c5,27,p2,?,surb={'id': '590c1f09-5461-42dd-8f47-ae13c21c667f', 'route': ['p2', 'e5', 'i3', 'x1', 'p2', 'c2']}
1769738669.563996,SENT,3ceab621-e5d9-4023-ae8c-b84c5297dfcf,2dcf395a-43f2-4fcc-b00d-05a995e136dc,c5,c4,3360,?,p2,
1769738669.564165,CREATED,175febcd-8a0b-4c53-8bb9-eb6a06e7a3c8,eab6f3b8-992f-4686-be4b-eb64969cbc74,c5,c4,27,?,?,surb={'id': '3ca29395-c872-4bce-87d1-57b41d0fb167', 'route': ['p1', 'e4', 'i4', 'x5', 'p2', 'c5']}
1769738669.7082505,RECEIVED,fb89b548-bc7d-463c-a1b7-374555a4fb99,9423362c-34db-4759-a3ad-6d6c85672cbc,c2,c5,27,p2,?,surb={'id': '4e3d1dc0-6a2c-4ea5-a4e2-fe431e0bc4ea', 'route': ['p2', 'e2', 'i5', 'x12', 'p2', 'c2']}
1769738669.713321,SENT,cb2fabda-ca9e-4777-b7fc-5c561a100366,5300d2c0-6116-48a1-8232-6c96b23206a6,c5,c4,3380,?,p2,
1769738669.713471,CREATED,e4d5d565-7e31-4e01-a465-2bf52b8e1600,0a6c16f3-ce2f-4115-897a-a2a2af4b7e76,c5,c4,27,?,?,surb={'id': '36166eb2-5be2-4cf5-82c6-c62988f1eb83', 'route': ['p1', 'e9', 'i3', 'x8', 'p2', 'c5']}
1769738669.7873578,RECEIVED,3a793125-a5d5-4458-8b3d-27bd04c72096,d851d3c9-0d73-414a-9f67-90656bdcac56,c3,c5,27,p2,?,surb={'id': 'c6f78919-301c-4182-bede-dd0123964b65', 'route': ['p2', 'e2', 'i9', 'x4', 'p3', 'c3']}
1769738670.1067848,RECEIVED,54eecf22-31b3-4244-befc-d620658267cf,eaa793d5-c216-4449-bc16-3a7c86ff233a,c2,c5,26,p2,?,surb={'id': '5eb6d574-400d-4ab6-808d-ee517d6d0d75', 'route': ['p2', 'e12', 'i2', 'x4', 'p2', 'c2']}
1769738670.151351,RECEIVED,ec213dda-b33a-4dba-985f-56ed66a30fa6,12e66a84-8540-4fba-becb-9a36ef7c18fb,c3,c5,27,p2,?,surb={'id': 'd433a614-4b28-460d-b790-b7283a729b44', 'route': ['p2', 'e5', 'i1', 'x10', 'p3', 'c3']}
1769738670.2048059,SENT,49663a01-e483-4cd7-9e43-5d7a1dabf6ab,818d8a57-ebda-4ba7-8fc7-16504063286a,c5,c4,3388,?,p2,
