timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769738664.8837435,SENT,767a5ee4-623b-4d73-b907-04bf3cb9726b,35c55a75-c74b-4259-b962-e445094be75f,c3,DROP,2027,?,p3,
1769738664.8838725,CREATED,9f444ace-253f-4ca5-bdb3-9b88bcdba277,367f8a6b-66a2-4c0e-af67-e915b0d7bc4b,c3,DROP,27,?,?,
1769738665.3675451,SENT,5ba25b30-e266-4ac2-ab43-b9545139dcdc,2bbd4a76-f445-42b6-8915-a2c90592ecb2,c3,c5,3400,?,p3,
1769738665.3681316,CREATED,40efb148-5b70-4547-94b9-862b48e0c822,f52ff93a-53a7-48ce-910b-207dd7c8aeee,c3,c5,27,?,?,surb={'id': '2d3837a7-aa68-4dcd-b9ed-6a38c31d19e7', 'route': ['p2', 'e2', 'i11', 'x10', 'p3', 'c3']}
1769738665.7526004,SENT,2a0bcf57-80a8-4772-98a1-fdbba2c24659,17de4700-b5ad-43e9-bc29-ab0a47e00f10,c3,DROP,2030,?,p3,
1769738665.7527163,CREATED,90d91322-b662-4472-a57d-832c5f2b8a4a,81e42dfa-4b4f-43ad-b3b6-78e1e9350d31,c3,DROP,26,?,?,
1769738666.0794547,RECEIVED,d21365e6-32eb-40d1-b7b3-357719d4fd27,a210bb24-61ec-4d42-bc68-753be2051fd9,c4,c3,27,p3,?,surb={'id': '1c6c16c2-9b38-4040-a81e-25c4a309bec5', 'route': ['p3', 'e9', 'i4', 'x12', 'p1', 'c4']}
1769738666.3122525,SENT,d2da1115-5e57-4a43-a236-cc3034b6888c,eb6c9eaa-381a-4325-af5b-62f397b70641,c3,DROP,2025,?,p3,
1769738666.3123832,CREATED,6ae5ff45-fe43-4fda-b47a-c23d384727a6,7a89540c-22b7-4775-a4db-7af29d321dcf,c3,DROP,27,?,?,
1769738666.8466144,SENT,bd11c4ce-5d5b-4e0e-94f7-1aefb10cade5,929852a5-af49-4a91-99bd-57a0be09df76,c3,c5,3359,?,p3,
1769738666.8467464,CREATED,df000974-5eca-44e5-b9ac-6581c99d3973,ec5070e1-936d-4186-8c02-2111a4065dea,c3,c5,27,?,?,surb={'id': '75d2eae8-7ec5-4143-bfe5-044f8a258b07', 'route': ['p2', 'e9', 'i11', 'x5', 'p3', 'c3']}
1769738667.1241364,RECEIVED,ba261266-2bc0-4936-97f8-210b369986e5,73429095-a7c2-4d3a-a81e-a5b2c0b4911c,c4,c3,27,p3,?,surb={'id': 'df5308f2-7905-4211-b955-f6ec54a3368b', 'route': ['p3', 'e8', 'i9', 'x8', 'p1', 'c4']}
1769738667.4845068,SENT,bab53952-36af-472a-91b5-8dfe27166dce,073d45da-c43c-4b8e-876d-edb9ca00c448,c3,c5,3399,?,p3,
1769738667.4846447,CREATED,ec213dda-b33a-4dba-985f-56ed66a30fa6,12e66a84-8540-4fba-becb-9a36ef7c18fb,c3,c5,27,?,?,surb={'id': 'd433a614-4b28-460d-b790-b7283a729b44', 'route': ['p2', 'e5', 'i1', 'x10', 'p3', 'c3']}
