timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769465469.540901,SENT,a7963166-1c34-42e4-a254-12fd3e7e06b0,a0e4cc0c-8bfa-48c5-859f-1503c2df2666,c3,DROP,2031,?,p3,
1769465469.5410445,CREATED,43eb691c-74fa-45cd-a981-3e8386be5044,6cb1f17d-4f0b-4c8c-9769-0f0c79f0b73e,c3,DROP,27,?,?,
1769465470.6810331,SENT,90c49874-4a92-4d7b-af71-d7659bbcd18f,e6da4015-4b74-4a6e-9a46-a3f98376341d,c3,c2,3375,?,p3,
1769465470.6812327,CREATED,74373802-778f-4394-a903-553d116bef56,87daeac7-b0e2-44bc-ac39-7fb0a9ae5c68,c3,c2,27,?,?,surb={'id': '25d1f7f5-d0f3-480b-9888-b595e79922f4', 'route': ['p2', 'e12', 'i11', 'x6', 'p3', 'c3']}
1769465470.880689,SENT,0a7f95d0-63f7-4f31-be3f-b1f67db91b5a,73e8caf6-0ca6-487e-b984-dab534519289,c3,c2,3383,?,p3,
1769465470.880878,CREATED,0a5fba39-1e16-464b-b893-b30ce615f54b,82130a90-42b7-4e61-9b3a-b8f5b564423b,c3,c2,27,?,?,surb={'id': '22f5dfe5-31c5-4236-916e-2f80b684c35c', 'route': ['p2', 'e5', 'i3', 'x1', 'p3', 'c3']}
1769465470.9043376,SENT,85dac8e8-c957-48d8-8929-1532e0a5c794,d72c8892-5f00-46e5-977a-e60b2b46f0b0,c3,c2,3371,?,p3,
1769465470.9048407,CREATED,81a4a39b-f1de-47b6-8200-2bc3722e1402,78a70b31-359a-44e3-a8ce-802deeede09b,c3,c2,27,?,?,surb={'id': 'fd6a599e-4863-42fc-a450-957c19a5eb12', 'route': ['p2', 'e1', 'i4', 'x11', 'p3', 'c3']}
1769465471.1020122,SENT,868af469-e806-4d6b-bd9b-3211d8442ee8,e299524d-6c20-40d4-8aa6-bc1b98e0d5ff,c3,c2,3389,?,p3,
1769465471.1022243,CREATED,b24451d5-1fee-49cb-bd2b-7c8df2247479,ee625584-7978-48bc-95df-41c5bd9e990a,c3,c2,27,?,?,surb={'id': 'b41cb927-8a53-4688-a84e-91bed00cc46d', 'route': ['p2', 'e6', 'i3', 'x6', 'p3', 'c3']}
1769465471.4155822,SENT,4f5e3006-3ba4-4229-ac0c-79dc42d9f8bd,fe46c3bf-e17b-4649-9b9c-093cca460828,c3,c2,3364,?,p3,
1769465471.415716,CREATED,1de6aab6-0ea2-40bb-be13-df99d448f33a,578793eb-8e82-455e-afd3-5a85ffa073ed,c3,c2,27,?,?,surb={'id': 'fe60a94b-e715-413b-bebe-ec189fd6d3cf', 'route': ['p2', 'e5', 'i7', 'x5', 'p3', 'c3']}
1769465471.6883333,SENT,599fa4cf-1761-462c-a2d0-e633155565dd,81258df2-51a0-4e4b-9808-31f0663e0915,c3,c2,3403,?,p3,
1769465471.6885169,CREATED,91444a62-6503-49eb-b9af-152c827a28bd,40ccb975-120d-4376-8e53-e4c7eedbd281,c3,c2,27,?,?,surb={'id': '7d662c43-f287-4734-bfd6-7123eb0bb95a', 'route': ['p2', 'e11', 'i12', 'x4', 'p3', 'c3']}
