timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769465473.2116923,RECEIVED,1de6aab6-0ea2-40bb-be13-df99d448f33a,578793eb-8e82-455e-afd3-5a85ffa073ed,c3,c2,27,p2,?,surb={'id': 'fe60a94b-e715-413b-bebe-ec189fd6d3cf', 'route': ['p2', 'e5', 'i7', 'x5', 'p3', 'c3']}
1769465473.5688658,RECEIVED,8bac58b7-917d-4216-a1c8-a9bd2cf0a315,3adaad5c-67ba-4a33-8ec4-1c6d89dc3f0c,c4,c2,26,p2,?,surb={'id': '2d97b122-ff54-40f9-8667-9a47887e3af7', 'route': ['p2', 'e7', 'i2', 'x7', 'p1', 'c4']}
1769465473.5732667,RECEIVED,b2236bc4-29fb-4a69-af12-dbd04d9d61ce,1fbdce23-f072-495c-957b-9444545cae1b,c3,c2,26,p2,?,surb={'id': 'd533edac-295f-4ec8-8913-f1e93c0f10ed', 'route': ['p2', 'e12', 'i12', 'x12', 'p3', 'c3']}
1769465474.1093645,RECEIVED,5a2d6e97-ddce-406b-90dc-ddbe855d4c8f,45a59ce6-aa5a-4bb1-880f-bbf3132a47b2,c1,c2,27,p2,?,surb={'id': '602165ab-fdbd-4348-b07a-99c174819dcd', 'route': ['p2', 'e11', 'i3', 'x9', 'p1', 'c1']}
1769465474.2025833,SENT,08fb73dd-fe13-4f86-8702-32000392f5fe,9a4279b0-d32c-4268-bf66-58810844e95e,c2,c3,3379,?,p2,
1769465474.202727,CREATED,35faa106-e572-49db-b264-2b4b3833df7d,9fad40ba-c0f2-407f-9a6c-6907432a5f15,c2,c3,27,?,?,surb={'id': '469a3a5f-6da7-4061-b8db-c18de19801d8', 'route': ['p3', 'e5', 'i7', 'x8', 'p2', 'c2']}
1769465474.301836,RECEIVED,4de23968-c0bb-4c6c-8101-1406c8a9d7d7,ca0dfdf0-209c-45a4-ad3d-c8b15c0716ce,c1,c2,27,p2,?,surb={'id': '676c7885-6392-4edf-9328-ceaaf05debcf', 'route': ['p2', 'e6', 'i12', 'x8', 'p1', 'c1']}
1769465474.380094,RECEIVED,a5374fd9-bb00-4557-aa80-303f342cdfe6,00aeb0e7-19b6-4de5-b851-0b4f24ba67be,c3,c2,26,p2,?,surb={'id': '81de2cc6-17b8-4b20-b7cc-cd57e13c85f0', 'route': ['p2', 'e2', 'i3', 'x9', 'p3', 'c3']}
1769465474.3952656,RECEIVED,8e82bef2-2cfe-420e-b6d2-ff11f42f76c5,b9d1163c-949a-448d-a3b0-660ff558bc3f,c1,c2,26,p2,?,surb={'id': '33752bd6-76a2-40a9-b3a2-dc40d4d06100', 'route': ['p2', 'e11', 'i10', 'x5', 'p1', 'c1']}
1769465474.4210913,RECEIVED,533fb25e-08f6-4a85-b59e-4d5f81ba06d4,d4d7af54-483c-4e98-83fd-72add7cd4158,c1,c2,27,p2,?,surb={'id': '33853250-ae98-44e1-acfe-8067f6c6f9e4', 'route': ['p2', 'e2', 'i8', 'x10', 'p1', 'c1']}
1769465474.5670137,RECEIVED,7ea3e5d6-cafa-4640-999f-09b7c07cc5e7,b2ee3099-a9d0-4fc8-b8e0-3069061aaceb,c3,c2,27,p2,?,surb={'id': '4e3eb755-26e3-4834-9905-0f1303d81cd8', 'route': ['p2', 'e12', 'i2', 'x9', 'p3', 'c3']}
1769465474.5753531,RECEIVED,1d099ad3-4547-4e3c-a5ee-b86a3f5780f2,521f9aa0-d23b-484f-8fc1-32008f3b5609,c1,c2,27,p2,?,surb={'id': '0cf42f24-32e1-4d18-ab2c-959580865663', 'route': ['p2', 'e4', 'i6', 'x2', 'p1', 'c1']}
1769465474.7858098,RECEIVED,815c67ee-f3fe-47cb-9c9a-9b422719eb65,6958597a-7b89-4370-ad4a-d024761b0409,c3,c2,27,p2,?,surb={'id': '48285030-59cc-409e-849f-14231c54ec44', 'route': ['p2', 'e3', 'i1', 'x6', 'p3', 'c3']}
1769465474.9242811,RECEIVED,9ab1737a-7fe1-4dad-9a01-13a7ca556bc5,866ef094-1821-4517-9aeb-3ec224e76bae,c3,c2,27,p2,?,surb={'id': '58532d15-7231-44b3-84d5-24126062da57', 'route': ['p2', 'e7', 'i7', 'x1', 'p3', 'c3']}
