timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769749774.0715966,CREATED,e38e3a79-a122-45a3-96f1-b6a21c598470,bd47475e-cc56-4ca0-a3ff-f8f033f0bd95,c4,c5,27,?,?,surb={'id': 'd36fc542-0293-49df-9004-58491ef9b8a6', 'route': ['p2', 'e10', 'i7', 'x10', 'p1', 'c4']}
1769749774.2326987,SENT,8aaea00d-d03f-4e25-80c3-3d9aae9c9466,537d0a70-d923-4856-9459-792064ff2f71,c4,c5,3406,?,p1,
1769749774.2328362,CREATED,4f20a018-2f21-4dd3-9977-f26a032a23b3,2ed859ed-b7ed-4333-beea-48af5428eee2,c4,c5,27,?,?,surb={'id': '40fc0076-ff4f-4663-94aa-2be2ebfdc56e', 'route': ['p2', 'e6', 'i12', 'x8', 'p1', 'c4']}
1769749774.2697592,SENT,1a2c4f01-65d8-4bf9-985f-d7430def4edb,d8d67ebf-ffce-4c17-bb30-968d1b7e53b9,c4,c5,3371,?,p1,
1769749774.2698877,CREATED,6de58246-6c73-46e2-a0e2-c51d5c984570,cb8262e8-8f24-42af-9530-5e3530576df4,c4,c5,26,?,?,surb={'id': '1151b8f3-88b3-48cb-af4c-76ce9a268739', 'route': ['p2', 'e2', 'i11', 'x6', 'p1', 'c4']}
1769749774.396402,SENT,bc91df1d-1fbf-4d60-a728-2eca4c116d94,f31a95ab-7f1a-40f1-9497-e1b34db75732,c4,c5,3359,?,p1,
1769749774.396552,CREATED,8e85fc2a-0775-4f5d-825b-c0a62d2ce94e,f26c0ef8-6ae2-42d0-8dfe-6b927133792e,c4,c5,27,?,?,surb={'id': '5e9938e5-2c1f-4aba-91d1-1c8d29b5e191', 'route': ['p2', 'e5', 'i10', 'x5', 'p1', 'c4']}
1769749774.4168417,SENT,3a8aa0df-570b-4dcb-8dbf-8a15c5774834,e582a4af-7efc-4364-b961-b4609c105632,c4,c5,3377,?,p1,
1769749774.4169753,CREATED,f503fe75-7fde-45ed-b1d3-e58e9d8c97c8,7469d96c-da5b-4b57-a018-87e724b65363,c4,c5,27,?,?,surb={'id': '66544200-b047-4bc0-b79b-c99656c06409', 'route': ['p2', 'e9', 'i6', 'x1', 'p1', 'c4']}
1769749774.7633774,RECEIVED,f275d854-f9c7-4451-800d-d0597704190a,77aaccff-e620-43a2-bd71-5bc1db6af89f,c2,c4,27,p1,?,surb={'id': '0b351223-e20e-4816-91c5-7858a323d4e0', 'route': ['p1', 'e7', 'i12', 'x10', 'p2', 'c2']}
1769749774.9997945,SENT,a30a2718-7363-45e4-9476-a91e6467c27f,b81463f9-00c5-4b8a-b7b0-9a3a00367e0b,c4,c5,3374,?,p1,
1769749774.9999502,CREATED,7c06511e-8d6d-4646-8c6c-93740b9caa86,524d96d2-928b-4499-827e-1e5765000476,c4,c5,27,?,?,surb={'id': 'a9666786-984e-43d0-847b-ecddd4ae978b', 'route': ['p2', 'e3', 'i2', 'x4', 'p1', 'c4']}
1769749775.037859,SENT,11d1943e-04ab-4208-b1c0-fd9dcaf83d86,c6bc1070-bb71-4dd1-adba-c7a9f4f4c3aa,c4,c5,3384,?,p1,
1769749775.0379887,CREATED,b8bbe8ae-84c6-487e-8ffb-02d81555b6ed,2f6ded5d-2423-4e81-a5dd-e8211fc0f113,c4,c5,27,?,?,surb={'id': 'd3fdaa92-a2ae-447a-9991-c9f877c5f12b', 'route': ['p2', 'e5', 'i11', 'x6', 'p1', 'c4']}
1769749775.0574896,RECEIVED,2c7a4d27-2d82-4cd2-b324-1ce0cbe63a1d,7bcd0574-dea5-478c-a4a2-2ebe51a5c867,c2,c4,27,p1,?,surb={'id': '603597be-4075-4ab7-8f63-f8c49d78f7de', 'route': ['p1', 'e2', 'i3', 'x7', 'p2', 'c2']}
1769749776.2430136,RECEIVED,7dffc775-4a87-4a57-8986-af36bfcbdfa9,83344b3d-b25e-42cd-95b1-8c6c0f50ac38,c2,c4,27,p1,?,surb={'id': '975613e1-4e52-4087-87ea-247b5a71a094', 'route': ['p1', 'e6', 'i2', 'x6', 'p2', 'c2']}
1769749776.4206126,RECEIVED,066104a4-84b2-4e7d-b839-715cd72df4fb,7312556d-f5cb-4625-a2ce-866b7ff01463,c2,c4,27,p1,?,surb={'id': 'a88d6472-842d-4255-a4eb-0fc043058ac8', 'route': ['p1', 'e8', 'i9', 'x12', 'p2', 'c2']}
