timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769749770.4687932,SENT,89af6764-4293-4488-bc6e-f03b1c147f20,e8ed2e73-590a-40c1-98dc-34248a26164f,c5,c2,3376,?,p2,
1769749770.468925,CREATED,4cccc474-a3c3-47b7-a6a0-b18eaa67c7fa,1bb7f2ce-5ab8-4b37-a382-d2cd6e4f762a,c5,c2,26,?,?,surb={'id': '746a47ad-9fc8-441a-b96e-af94f4b188ef', 'route': ['p2', 'e5', 'i11', 'x3', 'p2', 'c5']}
1769749770.6054618,RECEIVED,964b80a8-9f95-48d0-8f8c-36ff73211437,1a7deac7-7557-466a-9766-43a18a3e7fd3,c1,c5,26,p2,?,surb={'id': '7b20d1a2-19bc-4877-bd2d-1417ccf22c47', 'route': ['p2', 'e2', 'i5', 'x2', 'p1', 'c1']}
1769749770.6164148,SENT,2b364c5b-820a-4c8b-a21b-d0fe4de8c57c,d6ae9b99-fada-4361-bf7e-807ccdcdac29,c5,c2,3376,?,p2,
1769749770.616555,CREATED,999c624a-9c0d-4e0d-9eac-a9f7e0fc7875,15d6429c-d43c-4b2f-a951-e16cf0db30a7,c5,c2,27,?,?,surb={'id': '0da6c34b-e077-4334-889d-861fd33a1bdc', 'route': ['p2', 'e6', 'i1', 'x11', 'p2', 'c5']}
1769749770.6638055,SENT,201f4f4b-c09e-496f-9112-808af1824c1a,4304589b-76e5-4706-b7e1-dfe2c7cf1b08,c5,c2,3396,?,p2,
1769749770.6639383,CREATED,41cd22d9-0f55-4b19-a92b-583adb4d003e,63619257-d2c3-4bec-9110-90c4d0b2469d,c5,c2,27,?,?,surb={'id': '9d500f5d-4dab-41f3-886b-3485edfe1789', 'route': ['p2', 'e1', 'i5', 'x11', 'p2', 'c5']}
1769749770.724149,SENT,504aaae2-89d9-4469-83eb-e71dff9b685e,ac19a1b7-00c8-47de-9cd2-932a1f337840,c5,c2,3385,?,p2,
1769749770.7243176,CREATED,78c1974f-5c3d-4cf5-af92-f9d28d9a1aef,53d61f76-f070-40c3-8d4b-698c7b8ca8b8,c5,c2,26,?,?,surb={'id': '74ce254e-ef75-4cf3-b249-44f091543817', 'route': ['p2', 'e3', 'i7', 'x12', 'p2', 'c5']}
1769749770.8624225,SENT,5b9efd58-d842-41a0-b723-f785d535d985,75d6cf9c-4df1-4f7e-a928-8709b1ff81ea,c5,c2,3380,?,p2,
1769749770.862557,CREATED,5cab9387-803b-4134-990b-0fc9d12ea05a,3360eb06-af4d-4480-bbde-886e57d8934e,c5,c2,26,?,?,surb={'id': '24469e3c-352c-455a-b3a7-59d57177eb4d', 'route': ['p2', 'e10', 'i4', 'x3', 'p2', 'c5']}
1769749770.8879855,SENT,b5cbb6ed-9b70-4125-956c-dcb99e1b4bd5,1087907d-de26-427c-9e87-bf0fae1f1f07,c5,DROP,2017,?,p2,
1769749770.8881462,CREATED,067e946d-d94b-4d3f-b978-5284e7e4193b,f530b26b-9e03-4f77-b55b-550893cdc132,c5,DROP,26,?,?,
1769749771.0755954,RECEIVED,1a9f0342-7975-4e4e-8a76-057fbb0aea2c,fa5ebb56-74d3-4a7d-afc4-a69b2380f08e,c1,c5,27,p2,?,surb={'id': '6d9b6f03-a987-4c82-89f5-32425175117c', 'route': ['p2', 'e6', 'i9', 'x5', 'p1', 'c1']}
1769749771.4027436,SENT,f83ca9a7-d855-49c9-b1aa-62ade0e0dd72,1dffba42-a3c3-4ff5-ac7b-6ced66014c6b,c5,c2,3371,?,p2,
1769749771.4028792,CREATED,d17693f2-398d-4cfc-9665-598250f9cb41,f8c8e2dc-4bcb-48c9-b462-3faafaa65b45,c5,c2,26,?,?,surb={'id': 'bcc3688a-acad-4fd2-80ba-860d78555bef', 'route': ['p2', 'e2', 'i12', 'x1', 'p2', 'c5']}
1769749771.4901984,RECEIVED,7671a1fb-efeb-47f6-b99f-7fee9fcc6015,aa72db7b-edfc-416f-81a3-9a28b44d70ef,c1,c5,27,p2,?,surb={'id': 'a790d5b9-9e4f-4561-bb53-73bdff84d2f0', 'route': ['p2', 'e6', 'i8', 'x5', 'p1', 'c1']}
1769749771.661674,RECEIVED,37a91b93-a362-463c-a151-e3fd5d8b2821,7c4b26ad-070b-463c-a693-5d6c517a32ba,c1,c5,27,p2,?,surb={'id': '795b82da-fdba-4e7a-b3f2-f0213f72e96a', 'route': ['p2', 'e2', 'i11', 'x6', 'p1', 'c1']}
1769749771.7494538,RECEIVED,2aaae707-7548-48a3-92d2-c8cb2384a050,d24c83bb-3daf-4a73-b73a-e00fb661508b,c1,c5,27,p2,?,surb={'id': '261e9775-e260-4be3-bb47-f151b991b7fd', 'route': ['p2', 'e6', 'i10', 'x10', 'p1', 'c1']}
1769749771.98184,SENT,d7d9901f-2db7-42fc-b2d8-051c3cfc8d68,3f79bd28-d29b-443a-b09d-71323ec5b630,c5,c2,3371,?,p2,
1769749771.9819796,CREATED,2a8db8d8-a7e5-4ac7-82d8-2b73a0508286,886d2cd8-532b-448e-a7f2-f538341427db,c5,c2,26,?,?,surb={'id': '8bb31826-58d5-461e-a052-41ace83a60a7', 'route': ['p2', 'e1', 'i7', 'x3', 'p2', 'c5']}
1769749772.0958447,RECEIVED,8679760f-3b55-415d-bdd9-e804cd16495d,4f48cbee-e7ac-43a5-b94a-7c4a1b15c7d8,c4,c5,27,p2,?,surb={'id': '7d6b2997-48de-4f79-a547-587a7a62fe06', 'route': ['p2', 'e10', 'i1', 'x1', 'p1', 'c4']}
1769749772.3981905,RECEIVED,3def8b42-8fd4-41d0-9da7-477a12df299d,7d910f71-0107-436d-b5b5-252d2cbfdd71,c1,c5,27,p2,?,surb={'id': '03828170-7c95-47ad-8b99-7eef7997854f', 'route': ['p2', 'e2', 'i5', 'x3', 'p1', 'c1']}
1769749772.585824,RECEIVED,cea3520a-e5fd-41c7-8b12-93166ddd534a,8ecba5ff-f66a-44bd-a371-049c5d92faab,c4,c5,27,p2,?,surb={'id': '5e280867-47a6-49e4-9738-e95bd72b62b3', 'route': ['p2', 'e4', 'i10', 'x2', 'p1', 'c4']}
1769749772.6392052,RECEIVED,4153416c-5382-43ed-8c66-da227921ed7e,5be5492c-114d-4333-9941-d51cd83a0112,c4,c5,27,p2,?,surb={'id': '75454d04-e877-4be7-a65f-5cca47322ae4', 'route': ['p2', 'e10', 'i12', 'x2', 'p1', 'c4']}
1769749772.7469783,SENT,8b68ce1c-6fa2-4ce7-b999-594146c0b239,ffdc7065-03c3-4458-8655-68e17e662b16,c5,c2,3397,?,p2,
1769749772.7471414,CREATED,e8c2badd-da6b-4e5a-9461-41deb4a9f6d9,33ad6605-0771-41f1-b5de-2d5aa9b03111,c5,c2,27,?,?,surb={'id': '0e620f47-80d2-4d69-874f-73822cc6c31d', 'route': ['p2', 'e6', 'i9', 'x12', 'p2', 'c5']}
1769749772.782621,RECEIVED,7dda3db2-3171-4ed5-aa7d-f1e2b7694c47,4811b3c2-c629-42fd-8505-502c294d3fb6,c1,c5,27,p2,?,surb={'id': '6ee7cfe8-c10e-4981-807b-63f9b5b65992', 'route': ['p2', 'e8', 'i5', 'x7', 'p1', 'c1']}
1769749772.8513587,RECEIVED,d4d059c7-7736-4225-92ad-b0acd9cc3954,b0627a77-5682-446e-b757-d42e471f82ad,c4,c5,27,p2,?,surb={'id': '0763d4a6-4e99-4eb4-8eb6-28be639859fe', 'route': ['p2', 'e7', 'i5', 'x1', 'p1', 'c4']}
1769749773.0205376,RECEIVED,a009a143-d96a-4d69-b612-14f7f209b001,cad8cb4d-1804-4333-b3f8-a02d2354c4e8,c4,c5,27,p2,?,surb={'id': 'ac170370-6a56-40fd-8b2f-9debf267ae0b', 'route': ['p2', 'e7', 'i9', 'x6', 'p1', 'c4']}
1769749773.0353417,SENT,f91c3224-6588-4957-9c1e-b23dccec6f5d,bd881fb4-6aa3-4732-b11b-b980135ed6d8,c5,c2,3387,?,p2,
1769749773.0357826,CREATED,1d79199e-53d7-42d9-8d56-1f1aa9e78a82,31705382-dca5-42f2-8cf2-242d89b6e5fb,c5,c2,27,?,?,surb={'id': 'b8ec345f-820b-4f73-ad50-6b1fba736352', 'route': ['p2', 'e12', 'i1', 'x10', 'p2', 'c5']}
1769749773.146286,RECEIVED,7bbe4b48-9d3f-419a-ab50-e987a8563858,b35189cf-2a91-4e4f-a487-f7f0bd3289b7,c4,c5,27,p2,?,surb={'id': 'e326b78b-7666-4f5f-ba0d-bd25a0acb007', 'route': ['p2', 'e4', 'i12', 'x5', 'p1', 'c4']}
1769749773.2450783,RECEIVED,c7297ae4-ea15-4800-9496-26cb5e3d7e24,fff35f76-acdf-4fcd-8117-d469efc2fff3,c1,c5,27,p2,?,surb={'id': '143c0cf0-96da-471c-afcd-b697458ba9c0', 'route': ['p2', 'e11', 'i9', 'x12', 'p1', 'c1']}
1769749773.4237027,RECEIVED,54977fae-f0c0-4ce0-a9e5-4640bd810010,ec720780-7464-43f4-9a10-980399dfd9f7,c4,c5,27,p2,?,surb={'id': '38d83a90-dff7-48ac-9a4d-1d1fb2a1f8aa', 'route': ['p2', 'e10', 'i5', 'x7', 'p1', 'c4']}
1769749773.430842,SENT,d0f81e71-b274-4739-a71b-15579120d89b,3601d092-5c97-4955-b49a-3d2acc7abd32,c5,c2,3381,?,p2,
1769749773.430995,CREATED,a809b8f2-4b9b-43f4-9d61-3f070115725a,032ef652-47de-48ee-aff9-efa613e40570,c5,c2,25,?,?,surb={'id': 'e5a427ce-ce42-490b-9284-eec2b4e7eca9', 'route': ['p2', 'e6', 'i9', 'x7', 'p2', 'c5']}
1769749773.664877,RECEIVED,2e3fc91f-f1c1-4a9f-934e-290572d261f3,cab83b57-1212-43dc-9f21-07dd36d39d80,c4,c5,27,p2,?,surb={'id': '131f4c70-727b-4749-aa47-0e4c31bf0baa', 'route': ['p2', 'e11', 'i11', 'x6', 'p1', 'c4']}
1769749773.7236311,RECEIVED,9c00707c-dcdc-4a2f-bd37-5204f28211be,c15c0996-3f58-41ad-a69e-6a48ebca9a47,c1,c5,27,p2,?,surb={'id': '489aa8bd-18b3-424b-8520-db6588dc43a5', 'route': ['p2', 'e6', 'i4', 'x7', 'p1', 'c1']}
