Run,Mechanism,Noise,Entropy,Max_LLR,Latency,Overhead_Ratio,Total_Packets
Testrun_20260119_213554_01_baseline_no_errors_long,baseline_no_errors,normal,6.264715042305538,80.24566407116697,1.517503836151062,20.762462747222976,306537
Testrun_20260119_214612_02_baseline_errors_long,baseline_errors,normal,6.005423674727023,42.50685706349958,1.5133601162505161,22.47332909985712,283119
Testrun_20260119_215629_03_retransmission_long,retransmission,normal,6.295313277249648,77.97532537082257,1.523907046577599,20.523882765102964,480382
Testrun_20260119_220647_04_path_reestablishment_long,path_reestablishment,normal,6.3126936725936,42.27046255053089,1.505948750997369,20.494751216181616,480274
Testrun_20260119_221705_05_parallel_paths_long,parallel_paths,normal,6.300631752706175,93.45017226709012,1.5217107537306689,20.42188006482982,504012
Testrun_20260119_222724_06_backup_mixes_long,backup_mixes,normal,6.147728270012152,33.13300731552151,1.5167152186248196,21.003170962083388,311309
Testrun_20260120_101526_01_baseline_no_errors_no_noise,baseline_no_errors,no_noise,1.5492274594410984,25.663100187546057,1.5183130246078131,18.0,264978
Testrun_20260120_102543_02_baseline_errors_no_noise,baseline_errors,no_noise,1.4444557681596943,34.279679316532466,1.5208129292608705,19.19524345171139,238904
Testrun_20260120_103600_03_retransmission_no_noise,retransmission,no_noise,2.249286348784301,45.71476988921302,1.508179538192432,19.18864932058811,447652
Testrun_20260120_104617_04_path_reestablishment_no_noise,path_reestablishment,no_noise,2.251377966790175,76.70126268518086,1.5207388214853577,19.420103314679295,451129
Testrun_20260120_105635_05_parallel_paths_no_noise,parallel_paths,no_noise,2.3238957567376612,70.54787135227268,1.517332273897601,19.169082513551494,477406
Testrun_20260120_110652_06_backup_mixes_no_noise,backup_mixes,no_noise,1.625108369622412,46.871209359180334,1.5154302584326358,18.15794474988122,267521
Testrun_20260122_143312_01_baseline_no_errors_high_noise,baseline_no_errors,high_noise,8.374074883980807,12.892015062214009,1.5160612937727511,31.60162656271004,470169
Testrun_20260122_144329_02_baseline_errors_high_noise,baseline_errors,high_noise,8.077076862571438,32.57080616487439,1.5076802589340408,33.62444043037776,428140
Testrun_20260122_145347_03_retransmission_high_noise,retransmission,high_noise,8.168608737269684,27.83017324662194,1.5232970140149873,27.528856825749166,644891
Testrun_20260122_150404_04_path_reestablishment_high_noise,path_reestablishment,high_noise,7.437184957536303,59.98703223954867,1.5301769310841455,33.58850178662583,526399
Testrun_20260122_151421_05_parallel_paths_high_noise,parallel_paths,high_noise,8.353509688614547,78.3076255671229,1.5294366177687995,26.338661954467,640925
Testrun_20260122_152438_06_backup_mixes_high_noise,backup_mixes,high_noise,7.911399082231348,61.95360512303088,1.5082313993777416,40.22819849217959,357508
