Mechanism,Noise,Target,Max_LLR,Entropy,Diaz_Anonymity,TTC,Is_Compromised,Run
retransmission,no_noise,c3,29.888967566546835,0.0074986502960693955,2.648608879014128e-25,541,True,Testrun_20260120_103600_03_retransmission_no_noise
retransmission,no_noise,c4,95.98507950253449,7.354642911743007e-24,1.0605627141216292e-56,139,True,Testrun_20260120_103600_03_retransmission_no_noise
retransmission,no_noise,c5,38.86948338998873,0.0007340834217388203,3.035313120945652e-11,78,True,Testrun_20260120_103600_03_retransmission_no_noise
path_reestablishment,no_noise,c1,76.70126268518086,5.060520955829236e-19,1.1658560010368464e-170,303,True,Testrun_20260120_104617_04_path_reestablishment_no_noise
path_reestablishment,no_noise,c2,84.10443341128425,8.893240708365086e-27,6.859741599307259e-23,142,True,Testrun_20260120_104617_04_path_reestablishment_no_noise
path_reestablishment,no_noise,c3,31.097904528248513,0.055382538564306166,8.584232176126929e-38,605,True,Testrun_20260120_104617_04_path_reestablishment_no_noise
path_reestablishment,no_noise,c4,89.59887472901893,1.4427301603184475e-31,1.9900470227424556e-19,162,True,Testrun_20260120_104617_04_path_reestablishment_no_noise
path_reestablishment,no_noise,c5,67.60492494906272,2.157802082243704e-23,2.7936465882316074e-123,743,True,Testrun_20260120_104617_04_path_reestablishment_no_noise
parallel_paths,no_noise,c1,70.54787135227268,2.4005850894556485e-24,1.270168685221615e-37,713,True,Testrun_20260120_105635_05_parallel_paths_no_noise
parallel_paths,no_noise,c2,114.56781722995201,1.5573925361062122e-38,2.533637878213256e-79,518,True,Testrun_20260120_105635_05_parallel_paths_no_noise
parallel_paths,no_noise,c3,78.86200357718744,2.6333419742091083e-24,6.870357084411916e-62,334,True,Testrun_20260120_105635_05_parallel_paths_no_noise
parallel_paths,no_noise,c4,67.90808593160973,1.7518281874459842e-19,6.228394080741842e-59,202,True,Testrun_20260120_105635_05_parallel_paths_no_noise
parallel_paths,no_noise,c5,79.53140591891325,2.2897083935772732e-26,3.80746179095941e-58,4178,True,Testrun_20260120_105635_05_parallel_paths_no_noise
backup_mixes,no_noise,c1,46.871209359180334,1.355855206333309e-12,1.2952343403121895e-28,1135,True,Testrun_20260120_110652_06_backup_mixes_no_noise
backup_mixes,no_noise,c2,32.25200086872154,1.3453973928625843e-07,1.2842551397298169e-15,926,True,Testrun_20260120_110652_06_backup_mixes_no_noise
backup_mixes,no_noise,c3,47.80477893850408,3.3679074926210633e-15,6.833022172375031e-22,1025,True,Testrun_20260120_110652_06_backup_mixes_no_noise
backup_mixes,no_noise,c4,61.67774312752399,1.4331155243551057e-20,1.679668218967672e-33,147,True,Testrun_20260120_110652_06_backup_mixes_no_noise
backup_mixes,no_noise,c5,35.617633136579926,7.4116541530603725e-09,1.7168674056769718e-25,276,True,Testrun_20260120_110652_06_backup_mixes_no_noise
baseline_no_errors,high_noise,c1,12.892015062214009,0.48427818017490637,1.0848448397040257e-11,453,True,Testrun_20260122_143312_01_baseline_no_errors_high_noise
baseline_no_errors,high_noise,c2,6.09689814009814,2.6127896345169646,1.1552908581715742e-08,404,False,Testrun_20260122_143312_01_baseline_no_errors_high_noise
baseline_no_errors,high_noise,c3,11.74683710998343,0.9079608426539426,0.0603836533871541,310,True,Testrun_20260122_143312_01_baseline_no_errors_high_noise
baseline_no_errors,high_noise,c4,38.58024248271101,2.211079180894037e-12,1.607004082868185e-50,345,True,Testrun_20260122_143312_01_baseline_no_errors_high_noise
baseline_no_errors,high_noise,c5,11.545799859497514,0.539402428842352,9.69577613233114e-18,824,True,Testrun_20260122_143312_01_baseline_no_errors_high_noise
baseline_errors,high_noise,c1,32.57080616487439,1.4236259996070592e-09,1.8067131553877803e-40,201,True,Testrun_20260122_144329_02_baseline_errors_high_noise
baseline_errors,high_noise,c2,16.75339491664964,0.13904348628327678,1.3711205771472697e-13,79,True,Testrun_20260122_144329_02_baseline_errors_high_noise
baseline_errors,high_noise,c3,14.88647003919806,0.03082207991399052,4.681397771714034e-15,504,True,Testrun_20260122_144329_02_baseline_errors_high_noise
baseline_errors,high_noise,c4,31.278348580947107,1.1271369442133779e-08,9.382065422135845e-22,125,True,Testrun_20260122_144329_02_baseline_errors_high_noise
baseline_errors,high_noise,c5,19.62276674000821,0.0007685302221916255,2.0577458072323598e-12,315,True,Testrun_20260122_144329_02_baseline_errors_high_noise
retransmission,high_noise,c1,27.83017324662194,0.002452221519402065,1.0619248546794588e-98,6483,True,Testrun_20260122_145347_03_retransmission_high_noise
retransmission,high_noise,c2,44.51113069656141,1.928605718419356e-09,-0.0,630,True,Testrun_20260122_145347_03_retransmission_high_noise
retransmission,high_noise,c3,28.18759364935042,0.0010214278199235278,2.1447343844303377e-127,8279,True,Testrun_20260122_145347_03_retransmission_high_noise
retransmission,high_noise,c4,50.4341679420513,0.00037010817192474475,-0.0,264,True,Testrun_20260122_145347_03_retransmission_high_noise
retransmission,high_noise,c5,48.52703781886393,0.002022624873653021,-0.0,615,True,Testrun_20260122_145347_03_retransmission_high_noise
path_reestablishment,high_noise,c1,59.98703223954867,2.537534954428118e-06,6.842956726873314e-06,85,True,Testrun_20260122_150404_04_path_reestablishment_high_noise
path_reestablishment,high_noise,c2,56.30810114224111,4.62162236586874e-11,1.064028620580185e-12,84,True,Testrun_20260122_150404_04_path_reestablishment_high_noise
path_reestablishment,high_noise,c3,65.66949781942654,3.299943899900185e-05,5.636629295856186e-11,112,True,Testrun_20260122_150404_04_path_reestablishment_high_noise
path_reestablishment,high_noise,c4,63.35027777276374,0.5702449840145889,8.742841285414404e-05,152,True,Testrun_20260122_150404_04_path_reestablishment_high_noise
path_reestablishment,high_noise,c5,71.97726441270656,0.010253123312980898,0.1511663831293234,77,True,Testrun_20260122_150404_04_path_reestablishment_high_noise
parallel_paths,high_noise,c1,78.3076255671229,1.0515879128330183e-25,7.645608663341238e-64,235,True,Testrun_20260122_151421_05_parallel_paths_high_noise
parallel_paths,high_noise,c2,94.84287411146389,3.84024884579704e-32,2.995021155634597e-54,162,True,Testrun_20260122_151421_05_parallel_paths_high_noise
parallel_paths,high_noise,c3,80.70317210096385,1.705690377653786e-26,1.8071582590920646e-30,531,True,Testrun_20260122_151421_05_parallel_paths_high_noise
parallel_paths,high_noise,c4,71.04411824229602,6.548789490390488e-23,4.741054194441882e-49,374,True,Testrun_20260122_151421_05_parallel_paths_high_noise
parallel_paths,high_noise,c5,84.84152536315105,3.798853072871742e-28,3.4697820986116783e-41,104,True,Testrun_20260122_151421_05_parallel_paths_high_noise
backup_mixes,high_noise,c1,61.95360512303088,1.574501352771275e-14,2.0109356124489215e-10,107,True,Testrun_20260122_152438_06_backup_mixes_high_noise
backup_mixes,high_noise,c2,37.11142910308308,6.169485664300713e-06,0.5972991305233752,95,True,Testrun_20260122_152438_06_backup_mixes_high_noise
backup_mixes,high_noise,c3,18.902247529263175,1.3227127359197113,8.822875983725444e-07,33,True,Testrun_20260122_152438_06_backup_mixes_high_noise
backup_mixes,high_noise,c4,22.756879004607008,1.1481045710550841,0.0055501949341166,32,True,Testrun_20260122_152438_06_backup_mixes_high_noise
backup_mixes,high_noise,c5,30.59960792683173,0.0003113047842352804,2.1744872839808023e-30,64,True,Testrun_20260122_152438_06_backup_mixes_high_noise
