Mechanism,Noise,Max_LLR,Entropy,Diaz_Anonymity,TTC,Is_Compromised
"backup
mixes",high_noise,34.26475373736317,0.4942269562489422,0.12057004158923676,66.2,1.0
"backup
mixes",no_noise,44.84467308610197,2.8390550532489388e-08,2.5685116464077006e-16,701.8,1.0
"backup
mixes",normal,37.622428990041435,1.220277507519364e-07,1.5870094467405425e-21,1343.4,1.0
errors,high_noise,23.02235728833548,0.034126821822890875,4.3990785273140144e-13,244.8,1.0
errors,no_noise,49.00677010531483,4.711792735972889e-09,6.147769734031049e-19,360.6,1.0
errors,normal,40.78290456091129,5.46651922955046e-10,7.966394441258446e-27,581.6,1.0
"no
errors",high_noise,16.17235853090082,0.9088862172380754,0.012076732990182228,467.2,0.8
"no
errors",no_noise,41.137506738347284,4.3385845796936527e-07,6.065387940987068e-27,796.4,1.0
"no
errors",normal,51.487035944505216,1.211130912309057e-11,1.968100307090086e-23,1243.2,1.0
"parallel
paths",high_noise,81.94786307699954,1.31220981045349e-23,3.614316518253525e-31,281.2,1.0
"parallel
paths",no_noise,82.28343680198702,3.5037575113749207e-20,2.5403373704432297e-38,1189.0,1.0
"parallel
paths",normal,96.32046030364049,5.68882426040813e-17,1.4692905427797559e-50,263.6,1.0
"path
reestablishment",high_noise,63.45843467733732,0.1161067288695479,0.03025213091126695,102.0,1.0
"path
reestablishment",no_noise,69.82148006055905,0.011076507712861233,3.981465993804773e-20,391.0,1.0
"path
reestablishment",normal,47.87851704310099,0.05604996264198263,1.300863503305922e-07,256.8,1.0
retransmission,high_noise,39.8980206706898,0.0011732768627018154,2.1238497093589177e-99,3254.2,1.0
retransmission,no_noise,56.524770884839086,0.002595103858614694,0.020021591262090986,332.8,1.0
retransmission,normal,50.591933609979975,0.05173996051199856,8.262898014958514e-11,168.8,1.0
