timestamp,event_type,packet_id,src,dst,size,flags
1765548024.8055344,RECEIVED,9cf49b1c-a6a0-4498-9c31-c04e530fa330,?,?,18389,
1765548024.855221,RECEIVED,7c3fc905-ddd3-45bb-b91c-51905e9da89c,?,?,18389,
1765548026.3152914,SENT,7c3fc905-ddd3-45bb-b91c-51905e9da89c,?,?,7525,
1765548026.3235354,SENT,9cf49b1c-a6a0-4498-9c31-c04e530fa330,?,?,7525,
1765548026.4569223,RECEIVED,1c939dcb-2c85-454c-bec2-fc89795f9d3b,?,?,44,type=ACK;ack_id=24380c3e-62a8-49f4-843f-ae0f5bfe12ce
1765548028.332795,SENT,1c939dcb-2c85-454c-bec2-fc89795f9d3b,?,?,44,type=ACK;ack_id=24380c3e-62a8-49f4-843f-ae0f5bfe12ce
1765548028.440955,RECEIVED,c7d36779-8332-466d-a7a4-e67ae94acd04,?,?,44,type=ACK;ack_id=8c894bf2-e32d-4eda-990f-0b9f4e768289
1765548028.8316326,RECEIVED,bf5b91bf-05e1-4a03-b8f7-77a48c21efc1,?,?,18389,
1765548030.051326,RECEIVED,e80c71e6-64a8-4c27-9afb-d40df4fce5dc,?,?,18389,
1765548030.3468654,SENT,bf5b91bf-05e1-4a03-b8f7-77a48c21efc1,?,?,7525,
1765548030.3687594,SENT,c7d36779-8332-466d-a7a4-e67ae94acd04,?,?,44,type=ACK;ack_id=8c894bf2-e32d-4eda-990f-0b9f4e768289
1765548030.3766124,SENT,e80c71e6-64a8-4c27-9afb-d40df4fce5dc,?,?,7525,
1765548030.5050788,RECEIVED,9afcb041-251c-45ee-81f4-129356e8613a,?,?,44,type=ACK;ack_id=b6cfdba9-e904-4e59-9f8b-56499522aa6a
1765548031.2053814,RECEIVED,e547ea8f-dcb6-4143-ab5d-1d0468b080d6,?,?,18389,
1765548031.6338367,RECEIVED,6e53b4dd-7b6c-447e-b6e5-453afe6d4a52,?,?,18389,
1765548032.2059693,RECEIVED,6be23eb3-6478-4b60-816e-8ff577719ee0,?,?,18389,
1765548032.3818963,SENT,6be23eb3-6478-4b60-816e-8ff577719ee0,?,?,7525,
1765548032.3909576,RECEIVED,52a3be11-7296-4d5f-8e60-3a42ecb441a8,?,?,44,type=ACK;ack_id=e9ea86c0-2f65-4863-97fe-464266d4db5a
1765548032.4031892,SENT,e547ea8f-dcb6-4143-ab5d-1d0468b080d6,?,?,7525,
1765548032.4175975,SENT,9afcb041-251c-45ee-81f4-129356e8613a,?,?,44,type=ACK;ack_id=b6cfdba9-e904-4e59-9f8b-56499522aa6a
1765548032.4280663,SENT,6e53b4dd-7b6c-447e-b6e5-453afe6d4a52,?,?,7525,
1765548032.5171735,RECEIVED,b8621676-f81a-47fe-ba00-8efa6ce2c136,?,?,44,type=ACK;ack_id=19a9d1bf-3238-421e-943b-5374d82abf28
1765548033.0133584,RECEIVED,a4a05c4e-66c9-40d8-9c39-3139b7f11cb0,?,?,18389,
1765548033.2335856,RECEIVED,801530ec-ef8e-499a-9c97-44c9b7ba5e4e,?,?,18389,
1765548033.6384692,RECEIVED,3dfb7e08-ca5c-4f93-8133-a67686b9008e,?,?,18389,
1765548034.437976,SENT,b8621676-f81a-47fe-ba00-8efa6ce2c136,?,?,44,type=ACK;ack_id=19a9d1bf-3238-421e-943b-5374d82abf28
1765548034.459837,SENT,52a3be11-7296-4d5f-8e60-3a42ecb441a8,?,?,44,type=ACK;ack_id=e9ea86c0-2f65-4863-97fe-464266d4db5a
1765548034.5616522,RECEIVED,16f6a449-533d-4287-9774-4edc0f5181a1,?,?,44,type=ACK;ack_id=ba79042b-953d-421b-8f68-d0fb90224733
1765548034.5682783,RECEIVED,94c4e1f5-291b-4202-819a-787ad37d53bb,?,?,44,type=ACK;ack_id=1e1f6b05-3a71-440a-9a5f-824844823f7d
1765548034.5691357,RECEIVED,57e3c7d6-aa85-4ea4-b3aa-64ced9ea8a37,?,?,44,type=ACK;ack_id=ee2e6103-d3d6-48b3-a9a2-60360fad7910
1765548034.833208,RECEIVED,07013169-8458-4c4d-b38b-cf5a99d616d1,?,?,18389,
1765548034.8575814,RECEIVED,a2afe18b-d231-44fc-ae6f-cfe6d17b0dca,?,?,18389,
1765548035.8148897,RECEIVED,5258b201-267f-455f-b74c-84d72d94b41d,?,?,18389,
1765548036.2592115,RECEIVED,314c6f6a-22bf-4273-97f3-f36215147020,?,?,18389,
1765548036.4178205,RECEIVED,7cee45cd-af7d-48b4-963f-a9d2a4aedc56,?,?,18389,
1765548036.5027504,SENT,a2afe18b-d231-44fc-ae6f-cfe6d17b0dca,?,?,7525,
1765548036.5220315,SENT,5258b201-267f-455f-b74c-84d72d94b41d,?,?,7525,
1765548036.5407784,SENT,7cee45cd-af7d-48b4-963f-a9d2a4aedc56,?,?,7525,
1765548036.5582426,SENT,07013169-8458-4c4d-b38b-cf5a99d616d1,?,?,7525,
1765548038.5462196,RECEIVED,46d2e34a-61e3-421d-9e3b-a1f19f18a92c,?,?,44,type=ACK;ack_id=65ac3082-7e69-462d-8d5d-9ecbc5e31bdf
1765548038.5627973,SENT,46d2e34a-61e3-421d-9e3b-a1f19f18a92c,?,?,44,type=ACK;ack_id=65ac3082-7e69-462d-8d5d-9ecbc5e31bdf
1765548038.5723202,RECEIVED,4c2b70fd-e432-4417-a9e1-c8f54612b25f,?,?,44,type=ACK;ack_id=d57d6aaf-e3cb-4c0b-8ea9-b0cdf88981f3
1765548038.5922315,RECEIVED,62aab4f1-c967-4b88-8a65-a3406a91eddb,?,?,44,type=ACK;ack_id=90c4be4f-3347-473f-b8de-c8bc183d1835
