timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769755324.6547325,SENT,51d69049-762a-4047-9355-1e6bb0210276,cd9a86e4-1cda-49bb-9d0b-2391eaf4b927,c5,c3,3380,?,p2,
1769755324.654863,CREATED,df4b2f57-968d-4752-bea2-fef922230deb,4a977fec-2d1b-44e0-b7bd-43c997776538,c5,c3,27,?,?,surb={'id': 'ede1ad1e-46c7-42e9-b9db-0ea3dcf911c2', 'route': ['p3', 'e6', 'i9', 'x5', 'p2', 'c5']}
1769755324.6838093,SENT,d9f176b4-1fe7-4299-a693-a1b804dcebe7,5d5fcce6-91a5-48f8-b2c2-eb7b9aeafb46,c5,c3,3367,?,p2,
1769755324.6839392,CREATED,85e27f57-0a05-42d8-8879-97098b8dd7c6,ccfe2801-bd41-4fc3-84a4-4e5c8b102c86,c5,c3,27,?,?,surb={'id': '5683f131-8ec6-46ee-b0bb-7ea0b9cfe938', 'route': ['p3', 'e2', 'i4', 'x6', 'p2', 'c5']}
1769755325.0155554,SENT,b9d736e7-58bf-44f2-8a7a-261fe2401cba,cf311e61-497e-4799-8179-d46dc13edb92,c5,c3,3371,?,p2,
1769755325.0157008,CREATED,2d88138e-a213-4799-a660-9bbb72263412,ccfe2801-bd41-4fc3-84a4-4e5c8b102c86,c5,c3,27,?,?,surb={'id': '5683f131-8ec6-46ee-b0bb-7ea0b9cfe938', 'route': ['p3', 'e2', 'i4', 'x6', 'p2', 'c5']}
1769755325.2885418,RECEIVED,aa293b01-9e07-418e-8908-9013e6953581,c3538e30-cea2-48f4-a447-599321af1c4b,c3,c5,26,p2,?,surb={'id': '825dec60-523b-4fef-960c-1f7dab3ebe00', 'route': ['p2', 'e9', 'i5', 'x4', 'p3', 'c3']}
1769755325.3753262,SENT,dd6b5dc7-aecf-4b59-8644-f5caad782237,1dd77f7f-8571-47b8-9fea-d0ab0444b15e,c5,c3,3381,?,p2,
1769755325.3754573,CREATED,c9354238-4454-43e9-84ce-96cd2910df2a,3f099d6a-1b9b-4c21-8011-c39dd8b49a64,c5,c3,27,?,?,surb={'id': 'e9309699-9b9e-474b-a295-7446890b2711', 'route': ['p3', 'e7', 'i5', 'x4', 'p2', 'c5']}
1769755325.5336044,RECEIVED,2f124e03-b990-4ce0-a88d-4809d57f3298,c3538e30-cea2-48f4-a447-599321af1c4b,c3,c5,26,p2,?,surb={'id': '825dec60-523b-4fef-960c-1f7dab3ebe00', 'route': ['p2', 'e9', 'i5', 'x4', 'p3', 'c3']}
1769755325.6225195,SENT,98299197-09b7-4d36-acd9-24e5e41525bb,d90d9ed3-7d0d-4c54-9343-1b0fa59a7a09,c5,c3,3375,?,p2,
1769755325.622655,CREATED,d42846d3-642b-4d07-9c58-7c6c09090959,3f099d6a-1b9b-4c21-8011-c39dd8b49a64,c5,c3,27,?,?,surb={'id': 'e9309699-9b9e-474b-a295-7446890b2711', 'route': ['p3', 'e7', 'i5', 'x4', 'p2', 'c5']}
1769755325.684871,SENT,12c37483-5cc6-4f8e-b7cb-ce1e93cdfafd,71404ba8-aab3-46a5-a5cc-9eb88d29ac9d,c5,c3,3400,?,p2,
1769755325.684999,CREATED,3719786b-6a22-4f65-87f5-6da2f5095616,7b5b5832-e32c-475d-b7db-227d9ca46c57,c5,c3,27,?,?,surb={'id': '97445f79-5dcf-40ba-be58-846113091cc7', 'route': ['p3', 'e10', 'i6', 'x10', 'p2', 'c5']}
1769755325.7103631,SENT,24cd9b17-e137-422d-adb1-fa9286952c90,2e9adf93-4c54-46ad-9c0b-350365e8f2ef,c5,c3,3381,?,p2,
1769755325.7104926,CREATED,f9106c59-b264-4452-9dcd-3886b51e654a,7b5b5832-e32c-475d-b7db-227d9ca46c57,c5,c3,27,?,?,surb={'id': '97445f79-5dcf-40ba-be58-846113091cc7', 'route': ['p3', 'e10', 'i6', 'x10', 'p2', 'c5']}
1769755326.031439,SENT,21b88d71-d240-49ee-84c5-23d49e03ae69,0f3b1ca4-937f-4753-879f-bbbdcd48acab,c5,c3,3379,?,p2,
1769755326.031604,CREATED,80558835-5491-4476-9623-5cc06fee545b,4533d0ce-e625-402d-90f7-93bfffb0351a,c5,c3,25,?,?,surb={'id': '99625012-0b2c-460a-9f34-e36a6fdfe3a5', 'route': ['p3', 'e12', 'i1', 'x5', 'p2', 'c5']}
1769755326.0443063,RECEIVED,1340c829-8c6b-446f-af79-00d19883112a,36954638-d78a-417c-b55a-8dbea28b0c95,c3,c5,26,p2,?,surb={'id': '3e11e688-6776-46ac-9f0a-fa7408f7205f', 'route': ['p2', 'e10', 'i3', 'x1', 'p3', 'c3']}
1769755326.171972,SENT,ab99599f-b576-41ee-837b-ac4c45e1cc33,54036db6-b8d5-4889-b106-e60aac616939,c5,c3,3380,?,p2,
